F2 D R2 U2 R2
F2 L D R2 U2 R2
F2 L' D R2 U2 R2
F2 L2 D R2 U2 R2
F2 R U F2 U R'
F2 R U2 R' D' L2
F2 R U2 D' L2 R'
F2 R U2 D' R' L2
F2 R D R2 U2 R
F2 R D' U2 L2 R'
F2 R D' U2 R' L2
F2 R' U2 R D' L2
F2 R' U2 D' L2 R
F2 R' U2 D' R L2
F2 R' D R2 U2 R'
F2 R' D' U2 L2 R
F2 R' D' U2 R L2
B' R2 U F' R2 B
F2 R2 U F2 U R2
F2 R2 U2 R2 D' L2
F2 U F2 U D R2
F2 U F2 U2 F2 U'
F2 U F2 D U R2
F2 U F2 D2 B2 U
F2 U2 D' L2 D2 R2
F2 D L R2 U2 R2
F2 D L' R2 U2 R2
F2 D L2 R2 U2 R2
F2 D R2 L U2 R2
F2 D R2 L' U2 R2
F2 D R2 L2 U2 R2
F2 D R2 U2 R2 D
F2 D R2 U2 R2 D'
F2 D R2 U2 R2 D2
F2 D R2 D2 L2 U2
B2 D' L2 R2 U R2
F2 D' R U2 L2 R'
F2 D' R U2 R' L2
F2 D' R' U2 L2 R
F2 D' R' U2 R L2
B2 D' R2 L2 U R2
F2 D' R2 U2 L2 R2
F2 D' R2 U2 R2 L2
R' F2 L' U F2 U
R' F2 L' U2 D' L2
R' F2 L' D R2 U2
R' F2 L' D' U2 L2
F2 D' U2 L2 D2 R2
R' F2 U F2 U R
L' F2 D R2 U2 R2
R2 F2 U F2 U R2
R' F2 D L' R2 U2
R' F2 D R2 L' U2
R' F2 D' L' U2 L'
R2 F2 U2 R2 D' L2
U2 F2 U2 F2 D' L2
L2 F2 D R2 U2 R2
R F2 U F2 U R'
L F2 D R2 U2 R2
R F2 U2 R' D' L2
R F2 U2 D' L2 R'
R F2 U2 D' R' L2
R F2 D R2 U2 R
R F2 D' U2 L2 R'
R F2 D' U2 R' L2
B2 D2 F2 B2 D' L2
B2 D2 B2 F2 D' L2
D2 B2 D2 F2 D' L2
F2 L R U F2 U R'
F2 L R U2 R' D' L2
F2 L R U2 D' L2 R'
F2 L R U2 D' R' L2
F2 L R D R2 U2 R
F2 L R D' U2 L2 R'
F2 L R D' U2 R' L2
F2 L R' U2 R D' L2
F2 L R' U2 D' L2 R
F2 L R' U2 D' R L2
F2 L R' D R2 U2 R'
F2 L R' D' U2 L2 R
F2 L R' D' U2 R L2
B' L R2 U F' R2 B
F2 L R2 U F2 U R2
F2 L R2 U2 R2 D' L2
U L U L' D2 B2 R'
U L U D2 L' B2 R'
F2 L U F2 U D R2
F2 L U F2 U2 F2 U'
F2 L U F2 D U R2
F2 L U F2 D2 B2 U
U L U F2 R U2 F2
U L U F2 U2 F2 L'
U L U' F2 R U2 R'
F2 L U2 D' L2 D2 R2
F2 L D L R2 U2 R2
F2 L D L' R2 U2 R2
F2 L D L2 R2 U2 R2
F2 L D R2 L U2 R2
F2 L D R2 L' U2 R2
F2 L D R2 L2 U2 R2
F2 L D R2 U2 R2 D
F2 L D R2 U2 R2 D'
F2 L D R2 U2 R2 D2
F2 L D R2 D2 L2 U2
F' L D F' R U2 R'
B2 L D' L2 R2 U R2
F2 L D' R U2 L2 R'
F2 L D' R U2 R' L2
F2 L D' R' U2 L2 R
F2 L D' R' U2 R L2
B2 L D' R2 L2 U R2
F2 L D' R2 U2 L2 R2
F2 L D' R2 U2 R2 L2
F2 L D' U2 L2 D2 R2
R' L F2 L' U F2 U
R' L F2 L' U2 D' L2
R' L F2 L' D R2 U2
R' L F2 L' D' U2 L2
U L D2 U L' B2 R'
L' R F2 U F2 U R'
R' L F2 U F2 U R
B2 L D2 F2 B2 D' L2
L' R F2 U2 R' D' L2
L' R F2 U2 D' L2 R'
L' R F2 U2 D' R' L2
R' L F2 D L' R2 U2
L' R F2 D R2 U2 R
R' L F2 D R2 L' U2
L R F2 U F2 U R'
R2 L F2 U F2 U R2
L2 R F2 U F2 U R'
R' L F2 D' L' U2 L'
L' R F2 D' U2 L2 R'
L' R F2 D' U2 R' L2
B2 L D2 B2 F2 D' L2
R L F2 U F2 U R'
R2 L F2 U2 R2 D' L2
L R F2 U2 R' D' L2
L R F2 U2 D' L2 R'
L R F2 U2 D' R' L2
L2 R F2 U2 R' D' L2
L2 R F2 U2 D' L2 R'
L2 R F2 U2 D' R' L2
L R F2 D R2 U2 R
L2 R F2 D R2 U2 R
R L F2 U2 R' D' L2
R L F2 U2 D' L2 R'
R L F2 U2 D' R' L2
L R F2 D' U2 L2 R'
L R F2 D' U2 R' L2
R L F2 D R2 U2 R
L2 R F2 D' U2 L2 R'
L2 R F2 D' U2 R' L2
R L F2 D' U2 L2 R'
R L F2 D' U2 R' L2
U' L F2 U R U R'
D2 L B2 D2 F2 D' L2
F2 L' R U F2 U R'
F2 L' R U2 R' D' L2
F2 L' R U2 D' L2 R'
F2 L' R U2 D' R' L2
F2 L' R D R2 U2 R
F2 L' R D' U2 L2 R'
F2 L' R D' U2 R' L2
F2 L' R' U2 R D' L2
F2 L' R' U2 D' L2 R
F2 L' R' U2 D' R L2
F2 L' R' D R2 U2 R'
F2 L' R' D' U2 L2 R
F2 L' R' D' U2 R L2
B' L' R2 U F' R2 B
F2 L' R2 U F2 U R2
F2 L' R2 U2 R2 D' L2
F2 L' U F2 U D R2
F2 L' U F2 U2 F2 U'
F2 L' U F2 D U R2
F2 L' U F2 D2 B2 U
U L' U F2 U2 L F2
U L' U F2 U2 F2 L
F2 L' U2 D' L2 D2 R2
R' L' F2 L' U F2 U
R' L' F2 L' U2 D' L2
R' L' F2 L' D R2 U2
R' L' F2 L' D' U2 L2
L' R' F2 L' U F2 U
L' R' F2 L' U2 D' L2
L' R' F2 L' D R2 U2
L' R' F2 L' D' U2 L2
F2 L' D L R2 U2 R2
F2 L' D L' R2 U2 R2
L2 R' F2 L' U F2 U
L2 R' F2 L' U2 D' L2
L2 R' F2 L' D R2 U2
L2 R' F2 L' D' U2 L2
L R' F2 L' U F2 U
L R' F2 L' U2 D' L2
L R' F2 L' D R2 U2
L R' F2 L' D' U2 L2
F2 L' D L2 R2 U2 R2
R' L' F2 U F2 U R
L' R' F2 U F2 U R
R' L' F2 D L' R2 U2
R' L' F2 D R2 L' U2
F2 L' D R2 L U2 R2
F2 L' D R2 L' U2 R2
F2 L' D R2 L2 U2 R2
F2 L' D R2 U2 R2 D
F2 L' D R2 U2 R2 D'
F2 L' D R2 U2 R2 D2
L' R' F2 D L' R2 U2
F2 L' D R2 D2 L2 U2
R' L' F2 D' L' U2 L'
L' R' F2 D R2 L' U2
L' R' F2 D' L' U2 L'
L2 R' F2 U F2 U R
R2 L' F2 U F2 U R2
L R' F2 U F2 U R
R2 L' F2 U2 R2 D' L2
R L' F2 U F2 U R'
L2 R' F2 D L' R2 U2
L2 R' F2 D R2 L' U2
L R' F2 D L' R2 U2
L R' F2 D R2 L' U2
L2 R' F2 D' L' U2 L'
R L' F2 U2 R' D' L2
R L' F2 U2 D' L2 R'
R L' F2 U2 D' R' L2
L R' F2 D' L' U2 L'
R L' F2 D R2 U2 R
R L' F2 D' U2 L2 R'
R L' F2 D' U2 R' L2
F2 L' D' R U2 L2 R'
F2 L' D' R U2 R' L2
B2 L' D' L2 R2 U R2
F2 L' D' R' U2 L2 R
F2 L' D' R' U2 R L2
F2 L' D' R2 U2 L2 R2
F2 L' D' R2 U2 R2 L2
B2 L' D' R2 L2 U R2
F2 L' D' U2 L2 D2 R2
B2 L' D2 F2 B2 D' L2
U2 L' D2 B2 R' D L2
U2 L' D2 B2 D L2 R'
U2 L' D2 B2 D R' L2
B2 L' D2 B2 F2 D' L2
D2 L' B2 D2 F2 D' L2
F2 L2 R U F2 U R'
F2 L2 R U2 R' D' L2
F2 L2 R U2 D' L2 R'
F2 L2 R U2 D' R' L2
F2 L2 R D R2 U2 R
F2 L2 R D' U2 L2 R'
F2 L2 R D' U2 R' L2
F2 L2 R' U2 R D' L2
F2 L2 R' U2 D' L2 R
F2 L2 R' U2 D' R L2
F2 L2 R' D R2 U2 R'
F2 L2 R' D' U2 L2 R
F2 L2 R' D' U2 R L2
D' L2 R2 U R2 D' F2
B' L2 R2 U F' R2 B
F2 L2 R2 U F2 U R2
F2 L2 R2 U2 R2 D' L2
D' L2 R2 B' U R2 F'
R' L2 F2 L' U F2 U
R' L2 F2 L' U2 D' L2
R' L2 F2 L' D R2 U2
R' L2 F2 L' D' U2 L2
U L2 U L2 D2 R2 B2
U L2 U L2 D2 B2 R2
R' L2 F2 U F2 U R
L' R2 F2 U F2 U R2
F2 L2 U F2 U D R2
F2 L2 U F2 U2 F2 U'
F2 L2 U F2 D U R2
F2 L2 U F2 D2 B2 U
R' L2 F2 D L' R2 U2
R' L2 F2 D R2 L' U2
L' R2 F2 U2 R2 D' L2
R' L2 F2 D' L' U2 L'
L2 R2 F2 U F2 U R2
R2 L2 F2 U F2 U R2
L2 R2 F2 U2 R2 D' L2
L R2 F2 U F2 U R2
R2 L2 F2 U2 R2 D' L2
U L2 U F2 U2 L2 F2
U L2 U F2 U2 F2 L2
L R2 F2 U2 R2 D' L2
R L2 F2 U F2 U R'
R L2 F2 U2 R' D' L2
R L2 F2 U2 D' L2 R'
R L2 F2 U2 D' R' L2
R L2 F2 D R2 U2 R
R L2 F2 D' U2 L2 R'
R L2 F2 D' U2 R' L2
F2 L2 U2 D' L2 D2 R2
F2 L2 D L R2 U2 R2
F2 L2 D L' R2 U2 R2
F2 L2 D L2 R2 U2 R2
F2 L2 D R2 L U2 R2
F2 L2 D R2 L' U2 R2
F2 L2 D R2 L2 U2 R2
F2 L2 D R2 U2 R2 D
F2 L2 D R2 U2 R2 D'
F2 L2 D R2 U2 R2 D2
F2 L2 D R2 D2 L2 U2
U2 L2 D R2 F2 U' F2
U2 L2 D F2 R2 U' F2
B2 L2 D' L2 R2 U R2
F2 L2 D' R U2 L2 R'
F2 L2 D' R U2 R' L2
F2 L2 D' R' U2 L2 R
F2 L2 D' R' U2 R L2
B2 L2 D' R2 L2 U R2
F2 L2 D' R2 U2 L2 R2
F2 L2 D' R2 U2 R2 L2
F2 L2 D' U2 L2 D2 R2
U2 L2 D2 R2 B2 D L2
B2 L2 D2 F2 B2 D' L2
U2 L2 D2 B2 R2 D L2
B2 L2 D2 B2 F2 D' L2
B L2 F2 D' F' L2 B'
D' L2 B' R2 U F' R2
R2 U R2 D' F2 D' B2
R2 U R2 D2 B2 D F2
R' U D' L2 U L2 R
R' U D' L2 U R L2
D' L2 B2 D' R2 U R2
D2 L2 B2 D2 F2 D' L2
R U D' L2 U L2 R'
R U D' L2 U R' L2
F2 R L U F2 U R'
F2 R L U2 R' D' L2
F2 R L U2 D' L2 R'
F2 R L U2 D' R' L2
F2 R L D R2 U2 R
F2 R L D' U2 L2 R'
F2 R L D' U2 R' L2
F2 R L' U F2 U R'
F2 R L' U2 R' D' L2
F2 R L' U2 D' L2 R'
F2 R L' U2 D' R' L2
F2 R L' D R2 U2 R
F2 R L' D' U2 L2 R'
F2 R L' D' U2 R' L2
F2 R L2 U F2 U R'
F2 R L2 U2 R' D' L2
F2 R L2 U2 D' L2 R'
F2 R L2 U2 D' R' L2
F2 R L2 D R2 U2 R
F2 R L2 D' U2 L2 R'
F2 R L2 D' U2 R' L2
D' R U L2 U L2 R'
D' R U L2 U R' L2
B' R U R F' R2 B
U' R U R' F2 L' U2
R2 U F' R2 D' F2 B
R2 U F' R2 D' B F2
R2 U F' R2 B D' F2
B2 R U R' D2 F2 B2
B2 R U R' D2 B2 F2
B2 R U D2 R' F2 B2
B2 R U D2 R' B2 F2
B2 R U D2 F2 R' B2
U' R U F2 R' U2 R
F2 R U F2 U R' D
F2 R U F2 U R' D'
F2 R U F2 U R' D2
F2 R U F2 U D R'
F2 R U F2 U D' R'
F2 R U F2 U D2 R'
F2 R U F2 D U R'
F2 R U F2 D' U R'
F2 R U F2 D2 U R'
U' R U' R' F2 U2 F2
U' R U' F2 R' U2 F2
B2 R U' F2 B2 L U2
B2 R U' B2 L F2 U2
B2 R U' B2 F2 L U2
D2 R U2 R' B2 D L2
F2 R U2 L R' D' L2
F2 R U2 L D' L2 R'
F2 R U2 L D' R' L2
F2 R U2 L' R' D' L2
F2 R U2 L' D' L2 R'
F2 R U2 L' D' R' L2
F2 R U2 L2 R' D' L2
F2 R U2 L2 D' L2 R'
F2 R U2 L2 D' R' L2
F2 R U2 R' L D' L2
F2 R U2 R' L' D' L2
F2 R U2 R' L2 D' L2
F2 R U2 R' U' F2 U
F2 R U2 R' D' L2 D
F2 R U2 R' D' L2 D'
F2 R U2 R' D' L2 D2
F2 R U2 R2 D' L2 R
F2 R U2 R2 D' R L2
F2 R U2 D' L2 R' D
F2 R U2 D' L2 R' D'
F2 R U2 D' L2 R' D2
F2 R U2 D' L2 D R'
F2 R U2 D' L2 D' R'
F2 R U2 D' L2 D2 R'
F2 R U2 D' R' L2 D
F2 R U2 D' R' L2 D'
F2 R U2 D' R' L2 D2
F2 R U2 D2 R' D L2
F2 R D L R2 U2 R
F2 R D L' R2 U2 R
F2 R D L2 R2 U2 R
F2 R D R2 L U2 R
F2 R D R2 L' U2 R
F2 R D R2 L2 U2 R
F2 R D R2 U2 R D
F2 R D R2 U2 R D'
F2 R D R2 U2 R D2
F2 R D R2 U2 D R
F2 R D R2 U2 D' R
F2 R D R2 U2 D2 R
F2 R D R2 D U2 R
F2 R D R2 D' U2 R
F2 R D R2 D2 U2 R
F2 R D' L U2 L R'
F2 R D' L U2 R' L
B2 R D' L2 R2 U R
F2 R D' L' U2 L' R'
F2 R D' L' U2 R' L'
F2 R D' R U2 L2 R2
F2 R D' R U2 R2 L2
B2 R D' R2 L2 U R
B R D' L2 U R' F
B R D' L2 U F R'
F2 R D' R2 U2 L2 R
F2 R D' R2 U2 R L2
F2 R D' U2 L2 R' D
F2 R D' U2 L2 R' D'
F2 R D' U2 L2 R' D2
F2 R D' U2 L2 D R'
F2 R D' U2 L2 D' R'
F2 R D' U2 L2 D2 R'
F2 R D' U2 R' L2 D
F2 R D' U2 R' L2 D'
F2 R D' U2 R' L2 D2
B2 R D2 U R' F2 B2
B2 R D2 U R' B2 F2
B2 R D2 U F2 R' B2
F2 R D2 U2 R' D L2
U2 R F2 U2 F2 D' L2
F2 R' L U2 R D' L2
F2 R' L U2 D' L2 R
F2 R' L U2 D' R L2
F2 R' L D R2 U2 R'
F2 R' L D' U2 L2 R
F2 R' L D' U2 R L2
F2 R' L' U2 R D' L2
F2 R' L' U2 D' L2 R
F2 R' L' U2 D' R L2
F2 R' L' D R2 U2 R'
F2 R' L' D' U2 L2 R
F2 R' L' D' U2 R L2
F2 R' L2 U2 R D' L2
F2 R' L2 U2 D' L2 R
F2 R' L2 U2 D' R L2
F2 R' L2 D R2 U2 R'
F2 R' L2 D' U2 L2 R
F2 R' L2 D' U2 R L2
D' R' U L2 U L2 R
D' R' U L2 U R L2
U' R' U R F2 U2 R'
R' U' F2 L' U' L U'
B2 R' U R D2 F2 B2
B2 R' U R D2 B2 F2
B2 R' U D2 R F2 B2
B2 R' U D2 R B2 F2
B2 R' U D2 B2 R F2
F2 R' U F2 U' L' U2
U' R' U' R F2 U2 F2
R2 U' F2 U2 R2 D' F2
U' R' U' F2 U2 L' F2
F2 R' U' D2 B2 U' R
B2 R' U' F2 L' B2 U2
B2 R' U' F2 B2 L' U2
D2 R' U2 R B2 D L2
B2 R' U' B2 F2 L' U2
F2 R' U2 L R D' L2
F2 R' U2 L D' L2 R
F2 R' U2 L D' R L2
B R' U' F2 B' L' U2
F2 R' U2 L' R D' L2
F2 R' U2 L' D' L2 R
F2 R' U2 L' D' R L2
F2 R' U2 L2 R D' L2
F2 R' U2 L2 D' L2 R
F2 R' U2 L2 D' R L2
B R' U' B' F2 L' U2
F2 R' U2 R L D' L2
F2 R' U2 R L' D' L2
F2 R' U2 R L2 D' L2
F2 R' U2 R U' F2 U
F2 R' U2 R D' L2 D
F2 R' U2 R D' L2 D'
F2 R' U2 R D' L2 D2
F2 R' U2 R2 D' L2 R'
F2 R' U2 R2 D' R' L2
F2 R' U2 D' L2 R D
F2 R' U2 D' L2 R D'
F2 R' U2 D' L2 R D2
F2 R' U2 D' L2 D R
F2 R' U2 D' L2 D' R
F2 R' U2 D' L2 D2 R
F2 R' U2 D' R L2 D
F2 R' U2 D' R L2 D'
F2 R' U2 D' R L2 D2
F2 R' U2 D2 R D L2
D2 R' U2 B2 R D L2
D2 R' U2 B2 D L2 R
D2 R' U2 B2 D R L2
F2 R' D L R2 U2 R'
F2 R' D L' R2 U2 R'
F2 R' D L2 R2 U2 R'
F2 R' D R2 L U2 R'
F2 R' D R2 L' U2 R'
F2 R' D R2 L2 U2 R'
F2 R' D R2 U2 R' D
F2 R' D R2 U2 R' D'
F2 R' D R2 U2 R' D2
F2 R' D R2 U2 D R'
F2 R' D R2 U2 D' R'
F2 R' D R2 U2 D2 R'
F2 R' D R2 D U2 R'
F2 R' D R2 D' U2 R'
F2 R' D R2 D2 U2 R'
F2 R' D' L U2 L R
F2 R' D' L U2 R L
B2 R' D' L2 R2 U R'
F2 R' D' L' U2 L' R
F2 R' D' L' U2 R L'
B2 R' D' R2 L2 U R'
F2 R' D' R' U2 L2 R2
F2 R' D' R' U2 R2 L2
F2 R' D' R2 U2 L2 R'
F2 R' D' R2 U2 R' L2
B R' D' L2 U R F
F2 R' D' U2 L2 R D
F2 R' D' U2 L2 R D'
F2 R' D' U2 L2 R D2
F2 R' D' U2 L2 D R
F2 R' D' U2 L2 D' R
F2 R' D' U2 L2 D2 R
F2 R' D' U2 R L2 D
F2 R' D' U2 R L2 D'
F2 R' D' U2 R L2 D2
B2 R' D2 U R F2 B2
B2 R' D2 U R B2 F2
B2 R' D2 U B2 R F2
F2 R' D2 U' B2 U' R
F2 R' D2 U2 R D L2
R' U2 R D2 B2 D L2
U2 R' F2 U2 F2 D' L2
D' R' B L2 U R F
R U2 R' D2 B2 D L2
R2 U2 R2 D2 B2 D L2
B' R2 L U F' R2 B
R' U2 D2 R B2 D L2
F2 R2 L U F2 U R2
F2 R2 L U2 R2 D' L2
R' U2 D2 B2 R D L2
R' U2 D2 B2 D L2 R
R' U2 D2 B2 D R L2
B' R2 L' U F' R2 B
F2 R2 L' U F2 U R2
F2 R2 L' U2 R2 D' L2
R U2 D2 R' B2 D L2
D' R2 L2 U R2 D' F2
B' R2 L2 U F' R2 B
F2 R2 L2 U F2 U R2
F2 R2 L2 U2 R2 D' L2
D' R2 L2 B' U R2 F'
D' R2 U L2 U L2 R2
D' R2 U L2 U R2 L2
D2 R2 U R2 B2 D' F2
D' R2 U R2 D' F2 B2
D' R2 U R2 D' B2 F2
U' R2 U R2 F2 U2 R2
B2 R2 U R2 D2 F2 B2
B2 R2 U R2 D2 B2 F2
R2 U2 F' U' R2 F B
R2 U2 F' U' R2 B F
F' R2 U F U B R2
B' R2 U F' R2 D B
B' R2 U F' R2 D' B
B' R2 U F' R2 D2 B
B' R2 U F' R2 B D
B' R2 U F' R2 B D'
B' R2 U F' R2 B D2
B' R2 U F' B R2 B
B' R2 U F' B' R2 B
B' R2 U F' B2 R2 B
U' R2 U F2 R2 U2 R2
B' R2 U B F' R2 B
D2 R2 U B2 R2 D' F2
B' R2 U B' F' R2 B
B' R2 U B2 F' R2 B
F2 R2 U F2 U R2 D
F2 R2 U F2 U R2 D'
F2 R2 U F2 U R2 D2
F2 R2 U F2 D B2 U
F2 R2 U F2 B U R2
F2 R2 U F2 B' U R2
F2 R2 U F2 B2 U R2
L' U2 F2 U2 F2 D' L2
F2 R2 U B F2 U R2
F2 R2 U B' F2 U R2
F2 R2 U B2 F2 U R2
U' R2 U' R2 F2 U2 F2
L2 U2 F2 U2 F2 D' L2
U' R2 U' F2 R2 U2 F2
B' R2 U' F2 U2 R2 F
B' R2 U' F2 U2 F R2
F2 R2 U' D' F2 U' L2
B2 R2 U' F2 B2 U2 R2
L U2 F2 U2 F2 D' L2
B2 R2 U' B2 F2 U2 R2
F2 R2 U2 L R2 D' L2
D2 R2 U2 R2 B2 D L2
F2 R2 U2 L' R2 D' L2
F2 R2 U2 L2 R2 D' L2
B R2 U' F2 B' U2 R2
F2 R2 U2 R D' L2 R
F2 R2 U2 R D' R L2
F2 R2 U2 R' D' L2 R'
F2 R2 U2 R' D' R' L2
F2 R2 U2 R2 L D' L2
F2 R2 U2 R2 L' D' L2
F2 R2 U2 R2 L2 D' L2
B R2 U' B' F2 U2 R2
F2 R2 U2 R2 U' F2 U
F2 R2 U2 R2 D' L2 D
F2 R2 U2 R2 D' L2 D'
F2 R2 U2 R2 D' L2 D2
F2 R2 U2 D' L2 D R2
D2 R2 U2 B2 R2 D L2
F2 R2 D R2 U B2 U
F2 R2 D R2 U2 D' R2
F2 R2 D R2 D L2 U2
F2 R2 D R2 D' U2 R2
F2 R2 D' U' F2 U' L2
F2 R2 D' U2 L2 D R2
F2 R2 D2 L2 U' B2 U'
F2 R2 D2 L2 U2 D L2
F2 R2 D2 L2 D U2 L2
F2 R2 D2 L2 D' R2 U2
U R2 D2 L2 U' L2 B2
U R2 D2 L2 U' B2 L2
F R2 F U' B U' R2
U2 R2 F2 U2 F2 D' L2
D' R2 B L2 U R2 F
D' R2 B L2 U F R2
B' R2 B U F' R2 B
D' R2 B' L2 U R2 F'
D2 R2 B' U R2 F' B'
D2 R2 B' U R2 B' F'
B' R2 B' U F' R2 B
B' R2 B2 U F' R2 B
D2 U L U L' B2 R'
D' U L2 U L2 D2 R2
B U L2 U' F L2 B'
U' D R2 U R2 U2 R2
B2 U D L2 R2 U' L2
D U R2 D2 L2 U' L2
B2 U D R2 L2 U' L2
U D R2 D2 L2 U' L2
D' U F' L2 B' U L2
R2 D B2 D2 L2 U F2
B2 U D2 F2 B2 D R2
B2 U D2 B2 F2 D R2
R2 D' L2 U2 F2 U' F2
F2 U F2 U R D R2
F2 U F2 U R' D R2
F2 U F2 U R2 D R2
F2 U F2 U D R2 D
F2 U F2 U D R2 D'
F2 U F2 U D R2 D2
F2 U F2 U' D' L2 U2
F2 U F2 U2 F2 U' D
F2 U F2 U2 F2 U' D'
F2 U F2 U2 F2 U' D2
F2 U F2 U2 F2 D U'
F2 U F2 U2 F2 D' U'
F2 U F2 U2 F2 D2 U'
F U F' D' L2 B' U
F2 U F2 D U R2 D
F2 U F2 D U R2 D'
F2 U F2 D U R2 D2
F2 U F2 D B U R2
F2 U F2 D B' U R2
F2 U F2 D B2 U R2
F2 U F2 D' U' L2 U2
F2 U F2 D2 B2 U D
F2 U F2 D2 B2 U D'
F2 U F2 D2 B2 U D2
F2 U F2 D2 B2 D U
F2 U F2 D2 B2 D' U
F2 U F2 D2 B2 D2 U
F2 U F2 B U D R2
F2 U F2 B U2 F2 U'
F2 U F2 B D U R2
F2 U F2 B D2 B2 U
F2 U F2 B' U D R2
F2 U F2 B' U2 F2 U'
F2 U F2 B' D U R2
F2 U F2 B' D2 B2 U
F2 U F2 B2 U D R2
F2 U F2 B2 U2 F2 U'
F2 U F2 B2 D U R2
F2 U F2 B2 D2 B2 U
F2 U B F2 U D R2
F2 U B F2 U2 F2 U'
F2 U B F2 D U R2
F2 U B F2 D2 B2 U
R' D' U L2 U L2 R
R' D' U L2 U R L2
F2 U B' F2 U D R2
F2 U B' F2 U2 F2 U'
F2 U B' F2 D U R2
F2 U B' F2 D2 B2 U
U' D' L2 U2 L2 U' L2
D' U' L2 U2 L2 U' L2
R D' U L2 U L2 R'
R D' U L2 U R' L2
F2 U B2 F2 U D R2
F2 U B2 F2 U2 F2 U'
F2 U B2 F2 D U R2
F2 U B2 F2 D2 B2 U
U D' L2 U L2 D2 R2
D U' R2 U R2 U2 R2
R' D' B L2 U R F
U D' F' L2 B' U L2
F2 U' D2 B2 U' D' R2
F2 U' D2 B2 U2 B2 U
F2 U' D2 B2 D' U' R2
F2 U' D2 B2 D2 F2 U'
F' U' F U' F2 U2 F2
R2 D2 L2 U2 B2 D L2
U D2 L U L' B2 R'
B' U' F2 B U B' U
D2 U2 L' B2 R' D L2
D2 U2 L' B2 D L2 R'
D2 U2 L' B2 D R' L2
F U' F' U' F2 U2 F2
B2 U' F2 B2 U B2 U
B2 U' F2 B2 U2 D' R2
B2 U' F2 B2 D L2 U2
B2 U' F2 B2 D' U2 R2
U2 D2 L' B2 R' D L2
U2 D2 L' B2 D L2 R'
U2 D2 L' B2 D R' L2
B' U' B F2 U B' U
F2 U' B U2 F2 B' U
F2 U' B U2 B' F2 U
B U' F2 B' U B U
F2 U' B' U2 F2 B U
F2 U' B' U2 B F2 U
F2 U' B2 U' D' L2 R2
F2 U' B2 U' D' R2 L2
F2 U' B2 U2 F2 B2 U
F2 U' B2 U2 B2 F2 U
B U' B' F2 U B U
F2 U' B2 D' U' L2 R2
F2 U' B2 D' U' R2 L2
F2 U' B2 D2 F2 B2 U'
B2 U' B2 F2 U B2 U
B2 U' B2 F2 U2 D' R2
B2 U' B2 F2 D L2 U2
F2 U' B2 D2 B2 F2 U'
B2 U' B2 F2 D' U2 R2
R' D2 U2 R B2 D L2
F2 U2 L U' F2 U R
R' D2 U2 B2 R D L2
R' D2 U2 B2 D L2 R
R' D2 U2 B2 D R L2
R D2 U2 R' B2 D L2
F2 U2 L2 D' L2 D' R2
F2 U2 L2 D2 R2 D L2
F2 U2 R D' L2 D2 R2
F2 U2 R' D' L2 D2 R2
F2 U2 R2 D' L2 D2 R2
D2 U2 B2 D L2 D2 R2
F2 U2 D L2 D2 L2 R2
F2 U2 D L2 D2 R2 L2
L' D2 B2 D2 F2 D' L2
