D' L B' R' U' R
U L R' U F' R U2
D' L R' B' R' U' R2
D' L R2 B' R' U' R'
U' L U' F U2 L' F'
D' L D B' R' U' R
R2 L F U' L' R2 B'
R2 L F U' L' B' R2
L R F U' L' R' B'
R2 L F U' R2 L' B'
L R F U' R' L' B'
R L F U' L' R' B'
R L F U' R' L' B'
D' L D' B' R' U' R
D' L D2 B' R' U' R
D' L F B' R' U' R
D' L F' B' R' U' R
D' L F2 B' R' U' R
D2 L B' R' U' L R
D2 L B' R' U' R L
D' L B' R' U' R D
D' L B' R' U' R D'
D' L B' R' U' R D2
D' L B' R' U' D R
D' L B' R' U' D' R
D' L B' R' U' D2 R
D' L B' R' D U' R
D' L B' R' D' U' R
D' L B' R' D2 U' R
D L B' R' B U' R
F L B' R' U' L2 R
F L B' R' U' R L2
D' L B' D R' U' R
D' L B' D' R' U' R
D' L B' D2 R' U' R
D' L B' F R' U' R
D' L B' F' R' U' R
D' L B' F2 R' U' R
F L' U L2 R U' B
F L' U R L2 U' B
U' L' D2 R2 U B' L
F L' B' U L2 R' U'
F L' B' U R' L2 U'
L R2 F U' L' R2 B'
L R2 F U' L' B' R2
L R2 F U' R2 L' B'
U R D' L B' U' B2
D' R' L B' R' U' R2
U R' L U F' R U2
B' R' U' L R F L'
B' R' U' R L F L'
D' R2 L B' R' U' R'
U R2 D2 L U' B' L
D' U L R B' U' B2
D' U L B' R U' B
F U L R U' L2 B
F U L R U' B L2
D' U R L B' U' B2
F U R L U' L2 B
F U R L U' B L2
B' U R' U' F L' F2
B' U D R' B U' F'
L D B' R' B U' R
R' D' L B' R' U' R2
R2 D' L F2 B' R' U'
R2 D' L B' R' F2 U'
R2 D' L B' F2 R' U'
U D' L R B' U' B2
U D' L B' R U' B
U D' R L B' U' B2
R2 D' F2 L B' R' U'
L D2 B' R' U' L R
L D2 B' R' U' R L
D' F L B' R' U' R
L F R U' L' R' B'
L F R U' R' L' B'
L F R' U' L' R B'
L F R' U' L' B' R
L F R' U' R L' B'
L F R2 U' L' R2 B'
L F R2 U' L' B' R2
L F R2 U' R2 L' B'
U2 F U' L R U' L2
U2 F U' R L U' L2
B D L' D' F L' B2
B D L' D' F B2 L'
B D L' D' B2 F L'
B' D R' B L U' R
B' D U R' B U' F'
L F B' R' U' L' R
L F B' R' U' R L'
D' F' L B' R' U' R
D' F2 L B' R' U' R
B' F L' U R' U' F'
B' F U R' U' L' F'
D2 B' L U R' U' F'
B F D L' D' F B2
B F D L' D' B2 F
B F D L' F D' B2
F B D L' D' F B2
F B D L' D' B2 F
F B D L' F D' B2
D2 B' R' U' L R F
D2 B' R' U' R L F
D2 B' U R' U' L F'
D2 B' U R' U' F' L
D B' R' B L U' R
D B' U R' B U' F'
F B' L' U R' U' F'
L B' D R' B U' R
F2 B' U R' U' F' L'
F B' U R' U' L' F'
L B' F R' U' L' R
L B' F R' U' R L'
B' F2 U R' U' F' L'
