L' U2 B' L U' R
D' L R F' D' L2 B2
D' L R F' D' B2 L2
L' R U B' L U' B
B L R' F L2 U R2
U' L D' R F' L' B2
U' L D' R F' B2 L'
U' L D' R B2 F' L'
U' L D' B2 R F' L'
R L' U B' L U' B
R' L' U2 B' L U' R2
L' R' U2 B' L U' R2
B L' R' U2 B' U' R2
U2 L' U D' R F' L'
F2 L' U' R B' L U'
F2 L' U' B' L R U'
F2 L' U' B' R L U'
D' L' U2 B' U' R F'
B' L' U2 B' L2 U' R
D L' U2 B' U' R F
U2 L' D' U R F' L'
U2 L' B R' F' U R2
U L' B R' U L R2
U L' B R' U R2 L
L' U R U B' L U'
D' R L F' D' L2 B2
D' R L F' D' B2 L2
L' U B' L U' B R
B R' L F L2 U R2
B R' L' U2 B' U' R2
L' U2 D' B' U' R F'
L' U2 B' L U' R D
L' U2 B' L U' R D'
L' U2 B' L U' R D2
L' U2 B' L U' D R
L' U2 B' L U' D' R
L' U2 B' L U' D2 R
L' U2 B' L D U' R
L' U2 B' L D' U' R
L' U2 B' L D2 U' R
L' U2 B' D L U' R
L' U2 B' D' L U' R
L' U2 B' D2 L U' R
L D' R F' B2 D' L2
L D' R B2 F' D' L2
U2 D' L' U R F' L'
L' D' U2 B' U' R F'
R' D' F2 R U' F' L'
L D' B2 R F' D' L2
D' U2 L' U R F' L'
B U2 L' R' F' U R2
B U2 R' L' F' U R2
L' F' U2 B' L U' R'
U2 B L' R' F' U R2
U B L R D' F2 B2
U B L R D' B2 F2
U B L' R' U L2 R2
U B L' R' U R2 L2
L' B R' U R2 D L2
L' B R' U2 B2 U' R2
L' B R' D B2 U L2
U2 B R' L' F' U R2
U B R L D' F2 B2
U B R L D' B2 F2
U B R' L' U L2 R2
U B R' L' U R2 L2
L B R' F L2 U R2
L' B U2 B2 L U' R
L' B D R' U L2 R2
L' B D R' U R2 L2
L' B D2 R' F2 U R2
L' B' L U2 L' U R
L2 B' L B' R' U' R2
L' B2 R2 F' U R' F'
