F2 L' F B R' U'
F2 L' B R' F U'
F2 L' B F R' U'
F2 B L' R' F U'
F2 B L' F R' U'
F2 B R' L' F U'
B F2 L' R' F U'
B F2 L' F R' U'
B F2 R' L' F U'
B' L R D B' U L2
B' L R D2 F2 B' U
B' L R D2 B' F2 U
B' L R B' U2 B' U'
B L R' U2 R2 B' U
B L R' U2 B' R2 U
B L R' D2 L2 F U'
L R D B' U L B'
R L D B' U L B'
B' L D R B' U L2
B' L D B' R U L2
R2 L F' R' B' L U
B' L D2 R F2 B' U
B' L D2 R B' F2 U
B' L D2 B' R F2 U
B' L B' R U2 B' U'
B L' R' D' F U' F
B L' R' D2 F L2 U'
B L' R' F U' D' F2
B L' R' F U2 R2 U
B L' R' F D' U' F2
B L' R' F D2 L2 U'
F L' F L' B R' U'
F2 L' F B R' U' D
F2 L' F B R' U' D'
F2 L' F B R' U' D2
F2 L' F B R' D U'
F2 L' F B R' D' U'
F2 L' F B R' D2 U'
F2 L' F B D R' U'
F2 L' F B D' R' U'
F2 L' F B D2 R' U'
F L' F B L' R' U'
F L' F B R' L' U'
F2 L' F' B R' F2 U'
B L' F2 L' F' R' U'
F2 L' B R F R2 U'
F2 L' B R' D F U'
F2 L' B R' D' F U'
F2 L' B R' D2 F U'
F2 L' B R' F U' D
F2 L' B R' F U' D'
F2 L' B R' F U' D2
F2 L' B R' F D U'
F2 L' B R' F D' U'
F2 L' B R' F D2 U'
F L' B R' F L' U'
F2 L' B D R' F U'
F2 L' B D F R' U'
F2 L' B D' R' F U'
F2 L' B D' F R' U'
F2 L' B D2 R' F U'
F2 L' B D2 F R' U'
F2 L' B F R' U' D
F2 L' B F R' U' D'
F2 L' B F R' U' D2
F2 L' B F R' D U'
F2 L' B F R' D' U'
F2 L' B F R' D2 U'
F2 L' B F D R' U'
F2 L' B F D' R' U'
F2 L' B F D2 R' U'
F2 L' B F' R' F2 U'
F L' B F L' R' U'
F L' B F R' L' U'
L R2 F' R' B' L U
B' R L D B' U L2
B' R L D2 F2 B' U
B' R L D2 B' F2 U
B' R L B' U2 B' U'
B R' L U2 R2 B' U
B R' L U2 B' R2 U
B R' L D2 L2 F U'
B R' L' D' F U' F
B R' L' D2 F L2 U'
B R' L' F U' D' F2
B R' L' F U2 R2 U
B R' L' F D' U' F2
B R' L' F D2 L2 U'
F2 U L' F B R' U'
F2 U L' B R' F U'
F2 U L' B F R' U'
F2 U B L' R' F U'
F2 U B L' F R' U'
F2 U B R' L' F U'
F2 U' L' F B R' U'
F2 U' L' B R' F U'
F2 U' L' B F R' U'
R2 D' F' R' U B R'
F2 U' B L' R' F U'
F2 U' B L' F R' U'
F2 U' B R' L' F U'
F2 U2 L' F B R' U'
F2 U2 L' B R' F U'
F2 U2 L' B F R' U'
F2 U2 B L' R' F U'
F2 U2 B L' F R' U'
F2 U2 B R' L' F U'
B U2 B2 L R B' U
B U2 B2 L B' R U
B U2 B2 R L B' U
R2 F' L R' B' L U
R2 F' R' L B' L U
R2 F' R' B' L B' U
F2 D' L' B U' R' B
R2 F' D' R' U B R'
D2 F' B R F' L' U'
D' F' B U' R' F' B
D' F' B U' R' B F'
U' F2 L' F B R' U'
U' F2 L' B R' F U'
U' F2 L' B F R' U'
D' F2 L' B U' R' B
L' F2 L' F' B R' U'
L' F2 L' B F' R' U'
U2 F2 L' F B R' U'
U2 F2 L' B R' F U'
U2 F2 L' B F R' U'
U F2 L' F B R' U'
U F2 L' B R' F U'
U F2 L' B F R' U'
F2 D' B L' U' R' B
F' D' B U' R' F' B
F' D' B U' R' B F'
U' F2 B L' R' F U'
U' F2 B L' F R' U'
U' F2 B R' L' F U'
D' F2 B L' U' R' B
L' F2 B L' F' R' U'
U2 F2 B L' R' F U'
U2 F2 B L' F R' U'
U2 F2 B R' L' F U'
B D2 R' U2 B R2 U
U F2 B L' R' F U'
U F2 B L' F R' U'
U F2 B R' L' F U'
L' B R' D' F U' F
L' B R' D2 F L2 U'
L' B R' F U' D' F2
L' B R' F U2 R2 U
L' B R' F D' U' F2
L' B R' F D2 L2 U'
L B R' U' D' R2 F2
L B R' U' D' F2 R2
L B R' U2 R2 B2 U
L B R' U2 B2 R2 U
L B R' D' U' R2 F2
L B R' D' U' F2 R2
L B R' D2 L2 F2 U'
L B R' D2 F2 L2 U'
D' B U' R' D' F2 B
D' B U' R' D' B F2
D' B U' R' B D' F2
D' B U2 R U R2 B
F2 B L' R F R2 U'
F2 B L' R' D F U'
F2 B L' R' D' F U'
F2 B L' R' D2 F U'
F2 B L' R' F U' D
F2 B L' R' F U' D'
F2 B L' R' F U' D2
F2 B L' R' F D U'
F2 B L' R' F D' U'
F2 B L' R' F D2 U'
F2 B L' D R' F U'
F2 B L' D F R' U'
F2 B L' D' R' F U'
F2 B L' D' F R' U'
F2 B L' D2 R' F U'
F2 B L' D2 F R' U'
F2 B L' F R' U' D
F2 B L' F R' U' D'
F2 B L' F R' U' D2
F2 B L' F R' D U'
F2 B L' F R' D' U'
F2 B L' F R' D2 U'
F2 B L' F D R' U'
F2 B L' F D' R' U'
F2 B L' F D2 R' U'
F2 B L' F' R' F2 U'
B F L' R' F L' U'
B F L' F L' R' U'
F B L' R' F L' U'
B F L' F R' L' U'
F B L' F L' R' U'
F B L' F R' L' U'
L B U2 B2 L R U
L B U2 B2 R L U
F2 B R L' F R2 U'
F2 B R' L' D F U'
F2 B R' L' D' F U'
F2 B R' L' D2 F U'
F2 B R' L' F U' D
F2 B R' L' F U' D'
F2 B R' L' F U' D2
F2 B R' L' F D U'
F2 B R' L' F D' U'
F2 B R' L' F D2 U'
F' B R' F' L' F U'
B F R' L' F L' U'
D2 B F' R F' L' U'
D' B F' U' R' F' B
D' B F' U' R' B F'
U' B F2 L' R' F U'
U' B F2 L' F R' U'
F B R' L' F L' U'
B F R' F L' F U'
U' B F2 R' L' F U'
D' B F2 L' U' R' B
L B D2 F2 L' R' U'
L B D2 F2 R' L' U'
L' B F2 L' F' R' U'
F B R' F L' F U'
U2 B F2 L' R' F U'
U2 B F2 L' F R' U'
U2 B F2 R' L' F U'
U B F2 L' R' F U'
U B F2 L' F R' U'
U B F2 R' L' F U'
L B' L R U D L2
L B' L R U2 B2 U'
L B' L R D U L2
L B' L R D2 F2 U
L B' L D R U L2
L B' L D2 R F2 U
R B' L D B' U L
L B' R L U D L2
L B' R L U2 B2 U'
L B' R L D U L2
L B' R L D2 F2 U
L B' R U2 B2 R' U'
L B' R D L U L
L B' R D2 L F2 U
L B' R D2 F2 L U
B F' R' F' L' F U'
L B' D L R U L
L B' D R L U L
L B' D2 L R F2 U
L B' D2 R L F2 U
L B' D2 R F2 L U
B F2 L' R F R2 U'
B F2 L' R' D F U'
B F2 L' R' D' F U'
B F2 L' R' D2 F U'
B F2 L' R' F U' D
B F2 L' R' F U' D'
B F2 L' R' F U' D2
B F2 L' R' F D U'
B F2 L' R' F D' U'
B F2 L' R' F D2 U'
B F2 L' D R' F U'
B F2 L' D F R' U'
B F2 L' D' R' F U'
B F2 L' D' F R' U'
B F2 L' D2 R' F U'
B F2 L' D2 F R' U'
B F2 L' F R' U' D
B F2 L' F R' U' D'
B F2 L' F R' U' D2
B F2 L' F R' D U'
B F2 L' F R' D' U'
B F2 L' F R' D2 U'
B F2 L' F D R' U'
B F2 L' F D' R' U'
B F2 L' F D2 R' U'
B F2 L' F' R' F2 U'
B F2 R L' F R2 U'
B F2 R' L' D F U'
B F2 R' L' D' F U'
B F2 R' L' D2 F U'
B F2 R' L' F U' D
B F2 R' L' F U' D'
B F2 R' L' F U' D2
B F2 R' L' F D U'
B F2 R' L' F D' U'
B F2 R' L' F D2 U'
