R F' L' B' U F
L' R F' B' L' U F2
D2 L F R B' U' F'
D2 L F B' R U' F'
L' R B' F' L' U F2
D2 L B' F R U' F'
F' L' R F' B' U F2
F' L' R B' F' U F2
R L' F' B' L' U F2
F' L' D B' U F L
U L' D F B' L R'
U L' D F B' R' L
U L' D B' R' F L
U L' D B' F L R'
U L' D B' F R' L
U' L' D' F L' R B
U' L' D' F R L' B
U' L' D' F R B L'
F' L' D' B' U F L'
U L' D' F B' L' R'
U L' D' F B' R' L'
U L' D' B' R' F L'
U L' D' B' F L' R'
U L' D' B' F R' L'
R L' B' F' L' U F2
U L' F D B' L R'
U L' F D B' R' L
F' L' B' R F' U F2
F' L' B' U D' F L'
F' L' B' D' U F L'
U L' B' D' R' F L'
U L' B' D' F L' R'
U L' B' D' F R' L'
F' R L' F' B' U F2
F' R L' B' F' U F2
R2 U F' L' F B' R'
R2 U F' L' B' R' F
R2 U F' L' B' F R'
R2 U' L' F R B L
B' R F' L' B' U F
B2 R F' L' B' U F
B R F' L' B' U F
R D F' L' R B' U
R D F' L' B' R U
R D F' R L' B' U
L' D' B' U F L' B'
D F' L' R B' U L
R F' L' R B' U F
R F' L' R' B' U F
D F' L' B' R U L
R F' L' R2 B' U F
R F' L' D B' U F
R F' L' D' B' U F
R F' L' D2 B' U F
R F' L' B' R U F
R F' L' B' R' U F
R F' L' B' R2 U F
R F' L' B' U D F
R F' L' B' U D' F
R F' L' B' U D2 F
R F' L' B' U F D
R F' L' B' U F D'
R F' L' B' U F D2
R F' L' B' D U F
R F' L' B' D' U F
R F' L' B' D2 U F
D F' R L' B' U L
R F' R L' B' U F
R F' R' L' B' U F
R F' R2 L' B' U F
R F' B L' B' U F
R F' B' L' B' U F
R F' B2 L' B' U F
D' B' L F R U' L'
R B F' L' B' U F
L' B' R F' L' U F2
L' B' U D' F L' B'
L' B' D' U F L' B'
R B' F' L' B' U F
R B2 F' L' B' U F
