L U2 L' U' L
F L U2 L' U' L
F' L U2 L' U' L
F2 L U2 L' U' L
D L U2 L' U' L
D' L U2 L' U' L
R2 L D' F2 R U
D2 L U2 L' U' L
R' L F2 R U L'
L R' F2 R U L'
L R2 D' F2 R U
B2 R' D2 F2 U' L'
L U2 L' U' L D
L U2 L' U' L D'
L U2 L' U' L D2
L U2 L' U' D L
L U2 L' U' D' L
L U2 L' U' D2 L
L U2 L' D U' L
L U2 L' D' U' L
L U2 L' D2 U' L
L U2 D L' U' L
L U2 D' L' U' L
L U2 D2 L' U' L
L U2 B L' U' L
L U2 B' L' U' L
L U2 B2 L' U' L
L D U2 L' U' L
R2 D' L F2 R U
L D' U2 L' U' L
L D2 U2 L' U' L
B2 U2 B2 L U L'
B U2 B' L U L'
L F2 R U' R' U2
B2 D2 R' F2 U' L'
R' L U L D F2 L'
R' L U' R U' L' U'
F' L R' F2 R U L'
L R U' R' U' L' U'
R2 L U' R2 U' L' U'
D' L R' F2 R U L'
D2 L R' F2 R U L'
F2 L R' F2 R U L'
D L R' F2 R U L'
F L R' F2 R U L'
R L U' R' U' L' U'
U L R2 U R2 D' F2
F' L R2 D' F2 R U
D' L R2 D' F2 R U
R' L U2 L' U R U2
D2 L R2 D' F2 R U
F2 L R2 D' F2 R U
D L R2 D' F2 R U
F L R2 D' F2 R U
R2 L U2 L' U R2 U2
R2 L U2 L' U' D2 L2
R2 L U2 L' D B2 U'
R2 L U2 L' D2 U' L2
L R U2 L' U R' U2
L R U2 L' B2 U' L
R L U2 L' U R' U2
R L U2 L' B2 U' L
R2 L U2 D L' B2 U'
R2 L U2 D B2 L' U'
R2 L U2 D2 L' U' L'
U L R2 B' U R2 F'
U2 L U L' U2 L U2
U2 L U L' B2 R' B2
U2 L U L2 D2 L R2
U2 L U L2 D2 R2 L
L R U2 B2 L' U' L2
R L U2 B2 L' U' L2
U2 L U B2 L' B2 R'
R2 L D U2 L' B2 U'
R2 L D U2 B2 L' U'
R' L D F2 R U L'
U2 L U' R U2 L' R'
U2 L U' R U2 R' L'
U2 L U' R' U2 L' R
U2 L U' R' U2 R L'
U2 L U' R2 U2 L' R2
U2 L U' R2 U2 R2 L'
R2 L D' R F2 R U
R2 L D' R' F2 R U
R2 L D' R2 F2 R U
F' L U2 L' U' L D
F' L U2 L' U' L D'
F' L U2 L' U' L D2
F' L U2 L' U' D L
F' L U2 L' U' D' L
F' L U2 L' U' D2 L
F' L U2 L' D U' L
F' L U2 L' D' U' L
F' L U2 L' D2 U' L
D2 L U2 L' U' L D
D2 L U2 L' U' L D'
D2 L U2 L' U' L D2
D2 L U2 L' U' D L
D2 L U2 L' U' D' L
D2 L U2 L' U' D2 L
D' L U2 L' U' L D
D' L U2 L' U' L D'
D' L U2 L' U' L D2
D' L U2 L' U' D L
D' L U2 L' U' D' L
D' L U2 L' U' D2 L
D2 L U2 L' D U' L
D' L U2 L' D U' L
D2 L U2 L' D' U' L
D' L U2 L' D' U' L
D2 L U2 L' D2 U' L
D' L U2 L' D2 U' L
R' L D' F2 R U L'
F2 L U2 L' U' L D
F2 L U2 L' U' L D'
F2 L U2 L' U' L D2
F2 L U2 L' U' D L
F2 L U2 L' U' D' L
F2 L U2 L' U' D2 L
F2 L U2 L' D U' L
F2 L U2 L' D' U' L
F2 L U2 L' D2 U' L
D L U2 L' U' L D
D L U2 L' U' L D'
D L U2 L' U' L D2
D L U2 L' U' D L
D L U2 L' U' D' L
D L U2 L' U' D2 L
D L U2 L' D U' L
D L U2 L' D' U' L
D L U2 L' D2 U' L
F L U2 L' U' L D
F L U2 L' U' L D'
F L U2 L' U' L D2
F L U2 L' U' D L
F L U2 L' U' D' L
F L U2 L' U' D2 L
F L U2 L' D U' L
F L U2 L' D' U' L
F L U2 L' D2 U' L
R2 L D' F2 R U D
R2 L D' F2 R U D'
R2 L D' F2 R U D2
R2 L D' F2 R D U
R2 L D' F2 R D' U
R2 L D' F2 R D2 U
R2 L D' F2 D R U
R2 L D' F2 D' R U
R2 L D' F2 D2 R U
F' L U2 D L' U' L
D2 L U2 D L' U' L
D' L U2 D L' U' L
F' L U2 D' L' U' L
D2 L U2 D' L' U' L
D' L U2 D' L' U' L
F2 L U2 D L' U' L
F' L U2 D2 L' U' L
D2 L U2 D2 L' U' L
D' L U2 D2 L' U' L
D L U2 D L' U' L
F2 L U2 D' L' U' L
F L U2 D L' U' L
F2 L U2 D2 L' U' L
D L U2 D' L' U' L
F L U2 D' L' U' L
D L U2 D2 L' U' L
F L U2 D2 L' U' L
F' L U2 B L' U' L
D2 L U2 B L' U' L
D' L U2 B L' U' L
D2 L U2 B' L' U' L
F' L U2 B' L' U' L
D' L U2 B' L' U' L
F2 L U2 B L' U' L
D2 L U2 B2 L' U' L
F' L U2 B2 L' U' L
D' L U2 B2 L' U' L
D L U2 B L' U' L
F2 L U2 B' L' U' L
F L U2 B L' U' L
D L U2 B' L' U' L
F2 L U2 B2 L' U' L
F L U2 B' L' U' L
D L U2 B2 L' U' L
R2 L D2 U2 L' U' L'
F L U2 B2 L' U' L
R' L D2 F2 R U L'
R2 L D2 F2 R U L2
D2 L D U2 L' U' L
D' L D U2 L' U' L
F' L D U2 L' U' L
F2 L D U2 L' U' L
D L D U2 L' U' L
F L D U2 L' U' L
R' L F U L F L'
L R F U' R' U2 F'
R L F U' R' U2 F'
D' L D' U2 L' U' L
D2 L D' U2 L' U' L
F' L D' U2 L' U' L
F2 L D' U2 L' U' L
D L D' U2 L' U' L
F L D' U2 L' U' L
D' L D2 U2 L' U' L
D2 L D2 U2 L' U' L
F' L D2 U2 L' U' L
R' L F2 R U L' D
R' L F2 R U L' D'
R' L F2 R U L' D2
R' L F2 R U D L'
R' L F2 R U D' L'
R' L F2 R U D2 L'
F2 L D2 U2 L' U' L
R' L F2 R D U L'
