R U2 B R U' R
L' R U2 B R U' R
L2 R U2 B R U' R
L R U2 B R U' R
R L U2 B R U' R
R L' U2 B R U' R
F2 L' R B R U' R
R L2 U2 B R U' R
D2 L2 R U2 B U' R2
D2 L2 R' F' R2 U R2
F2 R L' B R U' R
D2 R L2 U2 B U' R2
U2 R U2 R B U' R
B' R U2 B R U' R2
D R U2 B U' B R2
D R D B2 L2 F U
U R F' U L' R2 B'
U R F' U L' B' R2
U R F' U R2 L' B'
R2 U' R U' F' R2 U
R2 U' R F D' L2 F2
R2 U' R F D' F2 L2
F2 R B L' R U' R
F2 R B R L' U' R
R' U' R2 U2 B R U'
D2 R B2 L2 F U R2
R' U' F R2 F2 L' U
D2 R' L2 F' R2 U R2
R' U' F' R2 U2 R U'
D2 R' U' L2 F' R2 U
D2 R' U' F' L2 R2 U
D2 R' U' F' R2 L2 U
D' R' U' F' R2 U B
D R' U' F' R2 U B2
D2 R' F D' L2 F2 B2
D2 R' F D' L2 B2 F2
D' R' F D' L2 F2 B'
D' R' F D' L2 B' F2
D2 R' F D' F2 L2 B2
D2 R' F D' F2 B2 L2
D2 R' F D' B2 L2 F2
D2 R' F D' B2 F2 L2
D2 R' F' L2 R2 U R2
D2 R' F' R2 L2 U R2
D' R' F' R2 U B R2
D R' F B2 D' L2 F2
D R' F B2 D' F2 L2
D R' F' R2 U R2 B2
D R' F' R2 U B2 R2
R2 U2 R F' R2 U R2
R2 U2 R' U2 B U' R2
D R' B2 U' F' R2 U
D R' B2 F D' L2 F2
D R' B2 F D' F2 L2
R U2 D' B R F2 U'
U2 R2 U2 R' F' U R2
R U2 B R U' R D
R U2 B R U' R D'
R U2 B R U' R D2
R U2 B R U' D R
R U2 B R U' D' R
R U2 B R U' D2 R
R U2 B R D U' R
R U2 B R D' U' R
R U2 B R D2 U' R
R U2 B D' R F2 U'
R U2 B' R B2 U' R
R U2 B2 R B' U' R
U' R2 B U' L R F
U' R2 B U' R L F
R D B2 U2 R B' U'
R D B2 U2 B' R U'
R D' U2 B R F2 U'
F2 U2 L' R2 B' U' R
F2 U2 R2 L' B' U' R
R2 D2 B2 L B' U' R
R' F R2 F2 L' U R2
R' F U' R2 F2 L' U
R' F' R2 U2 R U' R
R' F' B2 L R2 U R2
R' F' B2 R2 L U R2
U2 F2 L' R2 B' U' R
R F2 L' U2 B U' R2
U2 F2 R2 L' B' U' R
R B R U' R D' F2
R B R U2 R' U R2
R B' R B2 L U' R
R B' U2 R B2 U' R
R B' U2 B2 R U' R
R' B2 L F' R2 U R2
R' B2 U' L F' R2 U
R' B2 U' F' L R2 U
R' B2 U' F' R2 L U
R B2 U2 R B' U' R
R B2 U2 B' R U' R
R2 B2 D2 L B' U' R
R' B2 F' L R2 U R2
R' B2 F' R2 L U R2
