U' L2 B' R' F' U
U L F L R B' U
U L F L B' R U
U L F R L B' U
L2 R' F B' U F2 L'
L2 R' F2 B' U F L'
L2 R' B' F U F2 L'
L2 R' B' F2 U F L'
U' L2 R' F' B' R' U
U' L2 R' B' F' R' U
R' L2 F B' U F2 L'
R' L2 F2 B' U F L'
R' L2 B' F U F2 L'
R' L2 B' F2 U F L'
U' L2 D B' R' F' U
U' L2 D' B' R' F' U
L U L F R B' U
U L2 D' B' U L F
L U L F B' R U
L U L B' F R U
U' L2 D2 B' R' F' U
U' L2 F B' R' F' U
U' L2 F' B' R' F' U
U' L2 F2 B' R' F' U
U' L2 B' R' D F' U
U' L2 B' R' D' F' U
U' L2 B' R' D2 F' U
U' L2 B' R' F' U D
U' L2 B' R' F' U D'
U' L2 B' R' F' U D2
U' L2 B' R' F' D U
U' L2 B' R' F' D' U
U' L2 B' R' F' D2 U
U' L2 B' D R' F' U
U' L2 B' D' R' F' U
U' L2 B' D2 R' F' U
U' L2 B' F R' F' U
U' L2 B' F' R' F' U
U' L2 B' F2 R' F' U
L2 U B' U B L F
L U' L B' R' F' U
R' U' L2 B' U F' L'
U' R' L2 F' B' R' U
U' R' L2 B' F' R' U
F' R' D L' F' R2 B
D' R' F U' F2 L' B2
D' R' F U' F2 B2 L'
D' R' F U' B2 F2 L'
D' R' F' L' B2 D R2
D R' F' L' D R2 B
D' R' F' B2 L' D R2
D' R' F' B2 D L' R2
D' R' F' B2 D R2 L'
D R' F' D L' R2 B
D R' F' D R2 L' B
D R' F' D R2 B L'
D' R' B2 F' L' D R2
D' R' B2 F' D L' R2
D' R' B2 F' D R2 L'
D2 R2 F U R U2 F'
R' D F' L' D R2 B
R' D F' D L' R2 B
R' D F' D R2 L' B
R' D F' D R2 B L'
R' D' F U' F2 L' B2
R' D' F U' F2 B2 L'
R' D' F U' B2 F2 L'
R' D' F' L' B2 D R2
R' D' F' B2 L' D R2
R' D' F' B2 D L' R2
R' D' F' B2 D R2 L'
B' U' L2 B' R' F' U
B2 U' L2 B' R' F' U
B U' L2 B' R' F' U
R' D' B2 F' L' D R2
R' D' B2 F' D L' R2
R' D' B2 F' D R2 L'
R D2 R2 F U' F2 L'
R' D2 F' L' D R2 B2
R' D2 F' L' D B2 R2
R' D2 F' D L' R2 B2
R' D2 F' D L' B2 R2
R' D2 F' D R2 L' B2
R' D2 F' D R2 B2 L'
R' D2 F' D B2 L' R2
R' D2 F' D B2 R2 L'
F U2 L2 U F2 L' F
F U2 L2 F2 U L' F
D2 F R2 U R' B U2
R' F U' F2 D' L' B2
R' F U' F2 D' B2 L'
R' F U2 L2 U F2 L'
F' D R2 D2 L' F B2
F' D R2 D2 L' B2 F
F' D R2 D2 B2 L' F
R' F' L' U F2 R U'
U F' L' F2 R B' U'
U F' L' F2 B' R U'
U F' L' B' F2 R U'
F' D F2 R B U2 R
L2 F' R' B' U L' F'
F' D' L B2 L2 R' F'
F' D' L B2 R' L2 F'
F' D' L B2 R' F' L2
R' F' D L' R2 D2 B2
R' F' D R2 L' D2 B2
R' F' D R2 D2 L' B2
R' F' D R2 D2 B2 L'
R' F' D' L B2 L2 R'
R' F' D' L B2 R' L2
F' D' L2 U2 L F B2
F' D' L2 U2 L B2 F
R' F' D' B2 D2 L' R2
R' F' D' B2 D2 R2 L'
L2 F' B' R' U L' F'
F D2 R2 U R' B U2
U2 B L2 B' U L' F
U' B' L2 R' F' B' U
U' B' L2 R' B' F' U
U' B' R' L2 F' B' U
U' B' R' L2 B' F' U
L2 B' R' F U F2 L'
L2 B' R' F2 U F L'
L2 B' F' R' U L' F'
D' B2 R' F' L' D R2
D' B2 R' F' D L' R2
D' B2 R' F' D R2 L'
