R' L B' U' F
L R' B' U' F
D L R' U' F L'
D2 L R' B U' F
R' L D B' U' F
R' L D' B' U' F
R' L D2 B' U' F
R' L B' U' D F
R' L B' U' D' F
R' L B' U' D2 F
R' L B' U' F D
R' L B' U' F D'
R' L B' U' F D2
R2 L B' R U' F
R' L B' D U' F
R' L B' D' U' F
R' L B' D2 U' F
L R B' R2 U' F
R L B' R2 U' F
B L B' R' U' F
L2 R' U' F' L' F
L R' D B' U' F
L R' D' B' U' F
L R' D2 B' U' F
L R' B' U' D F
L R' B' U' D' F
L R' B' U' D2 F
L R' B' U' F D
L R' B' U' F D'
L R' B' U' F D2
L R' B' D U' F
L R' B' D' U' F
L R' B' D2 U' F
R' L2 U' F' L' F
L R2 B' R U' F
D R' L U' F L'
D2 R' L B U' F
D2 R' B L U' F
R' D L U' F L'
L D R' B' U' F
L D' R' B' U' F
L D2 R' B' U' F
R' B L B' U' F
R' B' L B' U' F
R' B2 L B' U' F
B L R B' R' U' F
D' L R' U' D2 F L'
D L R' U' F L' D
D L R' U' F L' D'
D L R' U' F L' D2
D L R' U' F D L'
D L R' U' F D' L'
D L R' U' F D2 L'
D2 L R' D B U' F
D2 L R' D' B U' F
D' L R' D2 U' F L'
D2 L R' D2 B U' F
D2 L R' B U' D F
D2 L R' B U' D' F
D2 L R' B U' D2 F
D2 L R' B U' F D
D2 L R' B U' F D'
D2 L R' B U' F D2
D2 L R' B D U' F
F2 L R' F2 B' U' F'
D2 L R' B D' U' F
D2 L R' B D2 U' F
R' L U' F U B' U'
D' L R' B' U' F L
D L R' B U' F L'
F2 L R' B' F2 U' F'
D L R' B' U' F L'
B L R' B' R' U' F
D L R' B2 U' F L'
B L R2 B' R' U' F
R2 L D R B' U' F
R' L D B' U' D F
R' L D B' U' D' F
R' L D B' U' D2 F
R' L D B' U' F D
R' L D B' U' F D'
R' L D B' U' F D2
R' L D B' D U' F
R' L D B' D' U' F
R' L D B' D2 U' F
R2 L D B' R U' F
L R D B' U' F B'
L R D B' U' B' F
R L D B' U' F B'
R L D B' U' B' F
R2 L D' R B' U' F
R' L D' B' U' D F
R' L D' B' U' D' F
R' L D' B' U' D2 F
R' L D' B' U' F D
R' L D' B' U' F D'
R' L D' B' U' F D2
R' L D' B' D U' F
R' L D' B' D' U' F
R' L D' B' D2 U' F
R2 L D' B' R U' F
R2 L D2 R B' U' F
R' L D2 B' U' D F
R' L D2 B' U' D' F
R' L D2 B' U' D2 F
R' L D2 B' U' F D
R' L D2 B' U' F D'
R' L D2 B' U' F D2
R' L D2 B' D U' F
R' L D2 B' D' U' F
R' L D2 B' D2 U' F
R2 L D2 B' R U' F
D L D R' B U' F
B L D B' R' U' F
D2 L D' R' U' F L'
D' L D' R' B U' F
B L D' B' R' U' F
D' L D2 R' U' F L'
B L D2 B' R' U' F
R2 L B R B2 U' F
R' L B U' D F L2
R' L B U' F D L2
L R B R2 B2 U' F
R' L B D U' F L2
R L B R2 B2 U' F
F L F' R' B' U' F2
R' L B' L2 U B' U2
R2 L B' R U' D F
R2 L B' R U' D' F
R2 L B' R U' D2 F
R2 L B' R U' F D
R2 L B' R U' F D'
R2 L B' R U' F D2
R2 L B' R D U' F
R2 L B' R D' U' F
R2 L B' R D2 U' F
R' L B' U B U2 F
R' L B' U B' U2 F
R' L B' U B2 U2 F
R' L B' U' R F R'
R' L B' U' R2 F R2
R' L B' U' D F D
R' L B' U' D F D'
R' L B' U' D F D2
R' L B' U' D' F D
R' L B' U' D' F D'
R' L B' U' D' F D2
R' L B' U' D2 F D
R' L B' U' D2 F D'
R' L B' U' D2 F D2
R' L B' U' F2 D F'
R' L B' U' F2 D' F'
R' L B' U' F2 D2 F'
L R B' R2 U' D F
L R B' R2 U' D' F
L R B' R2 U' D2 F
L R B' R2 U' F D
L R B' R2 U' F D'
L R B' R2 U' F D2
R' L B' U2 R U F
L R B' R2 D U' F
L R B' R2 D' U' F
R' L B' U2 R' U F
R' L B' U2 R2 U F
L R B' R2 D2 U' F
R L B' R2 U' D F
R L B' R2 U' D' F
R L B' R2 U' D2 F
R L B' R2 U' F D
R L B' R2 U' F D'
R L B' R2 U' F D2
R L B' R2 D U' F
R' L B' D U' F D
R' L B' D U' F D'
R' L B' D U' F D2
R L B' R2 D' U' F
R L B' R2 D2 U' F
L R B' U' D F B2
L R B' U' D B2 F
R' L B' D' U' F D
R' L B' D' U' F D'
R' L B' D' U' F D2
L R B' U' F D B2
R' L B' D2 U' F D
R' L B' D2 U' F D'
R' L B' D2 U' F D2
R L B' U' D F B2
R L B' U' D B2 F
R L B' U' F D B2
R2 L B' D R U' F
L R B' D U' F B2
L R B' D U' B2 F
R2 L B' D' R U' F
R L B' D U' F B2
R L B' D U' B2 F
R2 L B' D2 R U' F
R' L B2 D B U' F
R' L B2 D' B U' F
R' L B2 D2 B U' F
B' L B R' B2 U' F
D L B U' F L' B'
L' R' U B' U F U
R' L' U B' U F U
B L B' R' U' D F
B L B' R' U' D' F
B L B' R' U' D2 F
B L B' R' U' F D
B L B' R' U' F D'
B L B' R' U' F D2
B L B' R' D U' F
B L B' R' D' U' F
B L B' R' D2 U' F
L2 R' U' L' F' L' F2
B L B' D R' U' F
B L B' D' R' U' F
B L B' D2 R' U' F
R' L' U' F' D' L2 F
L' R' U' F' D' L2 F
L R' U' F U B' U'
L2 R' U' F' L' D F
L2 R' U' F' L' D' F
L2 R' U' F' L' D2 F
L2 R' U' F' L' F D
L2 R' U' F' L' F D'
L2 R' U' F' L' F D2
L2 R' U' F2 L' F L'
R' L' U2 F U' B' U2
L' R' U2 F U' B' U2
R' L' D L2 B' U' F
L' R' D L2 B' U' F
D' L' R' U B' U2 L
D L' R' U' L2 F L'
D2 L' R' B U B2 U2
D2 L' R' B U' D2 F2
D2 L' R' B D L2 U'
D2 L' R' B D2 U' F2
L R' D B' U' D F
L R' D B' U' D' F
L R' D B' U' D2 F
L R' D B' U' F D
L R' D B' U' F D'
L R' D B' U' F D2
L R' D B' D U' F
L R' D B' D' U' F
L R' D B' D2 U' F
R' L' D' L2 B' U' F
L' R' D' L2 B' U' F
L2 R' D' L' B' L U'
L R' D' B' U' D F
L R' D' B' U' D' F
L R' D' B' U' D2 F
L R' D' B' U' F D
L R' D' B' U' F D'
L R' D' B' U' F D2
L R' D' B' D U' F
L R' D' B' D' U' F
L R' D' B' D2 U' F
R' L' D2 L2 B' U' F
L' R' D2 L2 B' U' F
L R' D2 B' U' D F
L R' D2 B' U' D' F
L R' D2 B' U' D2 F
L R' D2 B' U' F D
L R' D2 B' U' F D'
L R' D2 B' U' F D2
L R' D2 B' D U' F
L R' D2 B' D' U' F
L R' D2 B' D2 U' F
B2 L' U2 F L2 U F
L2 R' B L' B' U' F
R' L' B D L2 B' U'
L' R' B D L2 B' U'
L2 R' B U' F' L' F
L R' B U' D F L2
L R' B U' F D L2
L R' B D U' F L2
L2 R' B' L' B' U' F
L R' B' L2 U B' U2
R' L' B' U2 F U F'
L' R' B' U2 F U F'
L R' B' U B U2 F
L R' B' U B' U2 F
L R' B' U B2 U2 F
L R' B' U' R F R'
L R' B' U' R2 F R2
L R' B' U' D F D
L R' B' U' D F D'
L R' B' U' D F D2
L2 R' B' U' F' L' F
L R' B' U' D' F D
L R' B' U' D' F D'
L R' B' U' D' F D2
L R' B' U' D2 F D
L R' B' U' D2 F D'
L R' B' U' D2 F D2
L R' B' U' F2 D F'
L R' B' U' F2 D' F'
L R' B' U' F2 D2 F'
L R' B' U2 R U F
L R' B' U2 R' U F
L R' B' U2 R2 U F
L R' B' D U' F D
L R' B' D U' F D'
L R' B' D U' F D2
L R' B' D' U' F D
L R' B' D' U' F D'
L R' B' D' U' F D2
L R' B' D2 U' F D
L R' B' D2 U' F D'
L R' B' D2 U' F D2
L2 R' B2 L' B' U' F
L2 R' B2 U' F' L' F
L R' B2 D B U' F
L R' B2 D' B U' F
L R' B2 D2 B U' F
R' L2 U' L' F' L' F2
R' L2 U' F' L' D F
R' L2 U' F' L' D' F
R' L2 U' F' L' D2 F
R' L2 U' F' L' F D
R' L2 U' F' L' F D'
R' L2 U' F' L' F D2
R' L2 U' F2 L' F L'
L R2 D R B' U' F
R' L2 D' L' B' L U'
L R2 D B' R U' F
L R2 D' R B' U' F
L R2 D' B' R U' F
L2 R2 D2 R U' F' L'
R2 L2 D2 R U' F' L'
L R2 D2 R B' U' F
L R2 D2 B' R U' F
D L2 R' U' L' F L'
D L2 R' U' F L' F
D2 L2 R' B L' U' F
R' L2 B L' B' U' F
R' L2 B U' F' L' F
B L2 U' F' L' F B'
B L2 U' F' L' B' F
L R2 B R B2 U' F
R' L2 B' L' B' U' F
R' L2 B' U' F' L' F
L R2 B' R U' D F
L R2 B' R U' D' F
L R2 B' R U' D2 F
L R2 B' R U' F D
L R2 B' R U' F D'
L R2 B' R U' F D2
L R2 B' R D U' F
L R2 B' R D' U' F
L R2 B' R D2 U' F
R' L2 B2 L' B' U' F
L R2 B' D R U' F
L R2 B' D' R U' F
L R2 B' D2 R U' F
R' L2 B2 U' F' L' F
B R L B' R' U' F
R' U B U' L B' U'
L U' R' B' U' R F
D' R' L U' D2 F L'
D' R' L U' D2 F L'
D2 R' L D B U' F
D2 R' L D' B U' F
D2 R' L D2 B U' F
D' R' L D2 U' F L'
D2 R' L B U' D F
D2 R' L B U' D' F
D2 R' L B U' D2 F
D2 R' L B U' F D
D2 R' L B U' F D'
D2 R' L B U' F D2
D2 R' L B D U' F
D2 R' L B D' U' F
D2 R' L B D2 U' F
D R' L U' F L' D
D R' L U' F L' D'
D R' L U' F L' D2
D R' L U' F D L'
D R' L U' F D' L'
D R' L U' F D2 L'
D' R' L B' U' F L
D' R' L' U B' U2 L
F2 R' L F2 B' U' F'
F2 R' L B' F2 U' F'
D R' L B U' F L'
D R' L B' U' F L'
B R' L B' R' U' F
D R' L B2 U' F L'
D2 R' L' B U B2 U2
D2 R' L' B U' D2 F2
D R' L' U' L2 F L'
D2 R' L' B D L2 U'
D2 R' L' B D2 U' F2
L U' F U R' B' U'
D2 R' L2 B L' U' F
D R' L2 U' L' F L'
D R' L2 U' F L' F
D2 R' U2 R' U F' L'
D2 R' D L B U' F
D' R' D L B' U' F
D2 R' D B L U' F
D2 R' D' L B U' F
D R' D' L B' U' F
D2 R' D' B L U' F
D' R' D2 L U' F L'
D2 R' D2 L B U' F
D2 R' D2 B L U' F
F' R' F L B' U' F
F2 R' F2 L B' U' F
D2 R' B L U' D F
D2 R' B L U' D' F
D2 R' B L U' D2 F
D2 R' B L U' F D
D2 R' B L U' F D'
D2 R' B L U' F D2
D2 R' B L D U' F
D2 R' B L D' U' F
D2 R' B L D2 U' F
D2 R' B L' U B' U2
D2 R' B U2 R' U F'
D2 R' B D L U' F
D2 R' B D' L U' F
D R' B L U' F L'
D2 R' B D2 L U' F
D2 R' B' L B2 U' F
D' R' B' L' U' L2 F
D' R' B' L2 U' L' F
D R' B' L U' F L'
D R' B2 L U' F L'
B R2 L B' R' U' F
R' D L U' F L' D
R' D L U' F L' D'
R' D L U' F L' D2
R' D L U' F D L'
R' D L U' F D' L'
R' D L U' F D2 L'
R' D L B U' F L'
R2 D L R U' F L'
R' D L B' U' F L'
R' D L B2 U' F L'
R' D L' U' L2 F L'
R D L U' F L' B2
R D L U' F B2 L'
R D L U' B2 F L'
R' D L2 U' L' F L'
R' D L2 U' F L' F
L' D L2 R' B' U' F
R2 D R L U' F L'
L' D R' L2 B' U' F
L D R B' R2 U' F
L D R' D B' U' F
L D R' D' B' U' F
L D R' D2 B' U' F
L D R' B' U' D F
L D R' B' U' D' F
L D R' B' U' D2 F
L D R' B' U' F D
L D R' B' U' F D'
L D R' B' U' F D2
L D R' B' D U' F
L D R' B' D' U' F
L D R' B' D2 U' F
L D R2 B' R U' F
R' D B L U' F L'
R' D B' L U' F L'
R' D B2 L U' F L'
R' D' L U' D2 F L'
R' D' L D2 U' F L'
R' D' L B' U' F L
R' D' L' U B' U2 L
L2 D' L' R' B' L U'
L' D' L2 R' B' U' F
L' D' R' L2 B' U' F
L2 D' R' L' B' L U'
L D' R B' R2 U' F
L D' R' D B' U' F
L D' R' D' B' U' F
L D' R' D2 B' U' F
L D' R' B' U' D F
L D' R' B' U' D' F
L D' R' B' U' D2 F
L D' R' B' U' F D
L D' R' B' U' F D'
L D' R' B' U' F D2
L D' R' B' D U' F
L D' R' B' D' U' F
L D' R' B' D2 U' F
L D' R2 B' R U' F
R' D' B' L' U' L2 F
R' D' B' L2 U' L' F
R' D2 L U' D' F L'
R' D2 L D' U' F L'
L' D2 L2 R' B' U' F
L' D2 R' L2 B' U' F
L2 D2 R' U B U2 L
L D2 R B' R2 U' F
L D2 R' D B' U' F
L D2 R' D' B' U' F
L D2 R' D2 B' U' F
L D2 R' B' U' D F
L D2 R' B' U' D' F
L D2 R' B' U' D2 F
L D2 R' B' U' F D
L D2 R' B' U' F D'
L D2 R' B' U' F D2
L D2 R' B' D U' F
L D2 R' B' D' U' F
L D2 R' B' D2 U' F
L D2 R2 B' R U' F
R' F L F' B' U' F2
R' F L B' F' U' F2
B' D L U' F B' L'
