B2 L' D F2 R B L
B2 L2 U' L' B' R' U'
B' L2 U2 D L' F B'
B' L2 U2 D L' B' F
B' L2 D U2 L' F B'
B' L2 D U2 L' B' F
L2 U R' U L' B' L
R' U R2 B' L B2 R'
R' U F' L2 B' U2 L
R' U B' D2 L R2 B
R' U B' D2 R2 L B
R' U B2 D2 R2 B L
R' U' L2 D2 F' R U2
D' R F' B2 R2 U B'
D' R B2 F' R2 U B'
R' U' D2 F' R U2 R
R' U' F2 L2 U2 B' L
D2 R' U' F' R U2 R2
R' D2 U' F' R U2 R
R' F2 U' L2 U2 B' L
R' B U' L2 F' R' U2
R' B U' F' L2 R' U2
R' B U' F' R' L2 U2
R B D2 R2 D F2 L'
R B' L B2 D' R' F2
R B' L B2 D' F2 R'
R' B' U D2 L R2 B
R' B' U D2 R2 L B
R' B' U' F' L2 U2 L'
R B' R2 U L B2 R'
R' B' D2 U L R2 B
R' B' D2 U R2 L B
