F2 L' D' B2
U' L U F2 L'
F2 L' U' L2 U
F2 L' D' B2 D
F2 L' D' B2 D'
F2 L' D' B2 D2
F2 L' B D' B2
F2 L' B' D' B2
F2 L' B2 D' B2
F2 U' L U L2
F2 D L' D' B2
F2 D' L' D' B2
L' F2 D' L' B2
L' F2 D' B2 L'
F2 D2 L' D' B2
R' L U R F2 L'
R2 L U R2 F2 L'
U' L U L F2 L'
U' L U L' F2 L'
U' L U L2 F2 L'
U2 L U F2 L' R
U2 L U F2 R L'
U' L U F2 L' D
U' L U F2 L' D'
U' L U F2 L' D2
U' L U F2 D L'
U' L U F2 D' L'
U' L U F2 D2 L'
U' L U' R U2 F2
U' L F U F L'
F2 L B L2 D' B2
L R' U R F2 L'
F2 L B' L2 D' B2
F2 L B2 L2 D' B2
F2 L' R D' R' B2
F2 L' R' D' R B2
F2 L' R' D' B2 R
F2 L' U D2 R2 U'
F2 L' U' L2 U D
F2 L' U' L2 U D'
F2 L' U' L2 U D2
F2 L' U' L2 D U
F2 L' U' L2 D' U
F2 L' U' L2 D2 U
F2 L' U2 D F2 U2
F2 L' D U2 F2 U2
F2 L' D B D2 B2
F2 L' D B' D2 B2
F2 L' D B2 D2 B2
F2 L' D' L B2 L'
F2 L' D' L2 B2 L2
F2 L' D' R' B2 R
F2 L' D' R2 B2 R2
F' L' D' F' L' B2
F' L' D' F' B2 L'
F' L' D' B2 F' L'
D L' D' F2 L' B2
D L' D' F2 B2 L'
F2 L' D' B D B
F2 L' D' B D' B
F2 L' D' B D2 B
F2 L' D' B' D B'
F2 L' D' B' D' B'
F2 L' D' B' D2 B'
D L' D' B2 F2 L'
F2 L' D2 U R2 U'
F2 L' D2 B D B2
F2 L' D2 B' D B2
F2 L' D2 B2 D B2
F2 L' F D' F' B2
F2 L' F D' B2 F'
F' L' F' D' L' B2
F' L' F' D' B2 L'
L R2 U R2 F2 L'
F2 L' F' D' F B2
F2 L' F' D' B2 F
F2 L' B U' L2 U
F2 L' B D' B2 D
F2 L' B D' B2 D'
F2 L' B D' B2 D2
F2 L' B' U' L2 U
F2 L' B' D' B2 D
F2 L' B' D' B2 D'
F2 L' B' D' B2 D2
F2 L' B2 U' L2 U
F2 L' B2 D' B2 D
F2 L' B2 D' B2 D'
F2 L' B2 D' B2 D2
F2 L2 U' L' U L2
F2 L2 D L D' B2
F2 L2 D' L D' B2
F2 L2 D2 L D' B2
R U L U R' F2
R U L U F2 R'
F2 R L' D' R' B2
U2 R U L U F2
L U F2 L' D R2
L U F2 D L' R2
L U F2 D R2 L'
L' U' L2 U F2 L'
L2 U' L' U F2 L'
F2 R' L' D' R B2
F2 R' L' D' B2 R
B2 R' U' R F2 L'
F2 U B' U' L' B'
F2 U B2 R' U' L'
F' U' L U F' L'
F2 U' L U L2 D
F2 U' L U L2 D'
F2 U' L U L2 D2
F2 U' L D F2 U
F2 U' L F U L2
F2 U' L F' U L2
F2 U' L F2 U L2
L' D' B2 D F2 L'
F2 U' D L U L2
F2 U' D' L U L2
F2 U' D2 L U L2
F2 D L' U' L2 U
F2 D L' D' B2 D
F2 D L' D' B2 D'
F2 D L' D' B2 D2
F2 D L' B D' B2
F2 D L' B' D' B2
F2 D L' B2 D' B2
F2 D U' L U L2
F' D F' L' D' B2
L' F' D' F' L' B2
L' F' D' F' B2 L'
L' F' D' B2 F' L'
F2 D' L' U' L2 U
F2 D' L' D' B2 D
F2 D' L' D' B2 D'
F2 D' L' D' B2 D2
F2 D' L' B D' B2
F2 D' L' B' D' B2
F2 D' L' B2 D' B2
L' F2 L' U' L' U
F2 D' U' L U L2
L2 F2 L' U R U'
U2 F2 L' D' B2 R'
F' D' F' L' D' B2
L F2 L' U' L U
D F2 L' D' F2 B2
D F2 L' D' B2 F2
L F2 L2 D' L B2
L' F2 U' L2 U L
L' F2 D L' D2 B2
L2 F2 U R U' L'
L' F2 D' L B2 L2
L' F2 D' L' B2 D
L' F2 D' L' B2 D'
L' F2 D' L' B2 D2
L' F2 D' B L' B
L' F2 D' B2 L' D
L' F2 D' B2 L' D'
L' F2 D' B2 L' D2
L' F2 D' B2 D L'
L' F2 D' B2 D' L'
L' F2 D' B2 D2 L'
L' F2 D2 L' D B2
F2 D2 L' U' L2 U
F2 D2 L' D' B2 D
F2 D2 L' D' B2 D'
F2 D2 L' D' B2 D2
L' F2 B D' L' B2
L' F2 B D' B2 L'
F2 D2 L' B D' B2
F2 D2 L' B' D' B2
F2 D2 L' B2 D' B2
L' F2 B' D' L' B2
L' F2 B' D' B2 L'
L' F2 B2 D' L' B2
L' F2 B2 D' B2 L'
F2 D2 U' L U L2
F' D2 F' L' D' B2
F2 B L2 D L B'
L' B F2 D' L' B2
L' B F2 D' B2 L'
F2 B D L B' L2
U B' U' F2 L' B'
L' B' F2 D' L' B2
L' B' F2 D' B2 L'
B2 F2 L' U R' U'
F2 B2 L' U R' U'
B F2 L2 D L B'
B2 F2 U R' U' L'
F2 B2 U R' U' L'
L' B2 F2 D' L' B2
L' B2 F2 D' B2 L'
B F2 D L B' L2
R' L U L R F2 L'
L' R U L2 U R' F2
L' R U L2 U F2 R'
R' L U L' R F2 L'
U' L R U F2 D' L2
R2 L U L R2 F2 L'
R' L U L2 R F2 L'
R2 L U L' R2 F2 L'
L2 R U L' U R' F2
L2 R U L' U F2 R'
R' L U R L F2 L'
R' L U R L' F2 L'
R' L U R L2 F2 L'
R2 L U L2 R2 F2 L'
R' L U R F2 L' D
R' L U R F2 L' D'
R' L U R F2 L' D2
R' L U R F2 D L'
R' L U R F2 D' L'
R' L U R F2 D2 L'
R2 L U R2 L F2 L'
R2 L U R2 L' F2 L'
L R U R' F2 D' L2
R2 L U R2 L2 F2 L'
R2 L U R2 F2 L' D
