B' L U F L' U' B2
B' L F L' U' L B2
B' L B2 U F L' U'
F L' U2 B' U L B2
D' L' B D' R2 F L'
D' L' B D' F L' R2
D' L' B D' F R2 L'
F' L' B' R U L B2
F2 L' B' U L F B2
F2 L' B' U L B2 F
F' R U B' L R' B
F' R U B' R' L B
F2 U B' L R' F B2
F2 U B' L R' B2 F
F2 U B' L F R' B2
F2 U B' R' L F B2
F2 U B' R' L B2 F
L F L' U' B' L B2
L F L' B' U' L B2
L F B' L' U' L2 B2
L F B' L' U' B2 L2
L' F' B' R U L B2
L' F2 B' U L F B2
L' F2 B' U L B2 F
L' B D' R2 F2 L' F
D2 B' L F U' L' B2
D2 B' L F U' B2 L'
L' B' F' R U L B2
L' B' F2 U L F B2
L' B' F2 U L B2 F
L B' F L' U' L2 B2
L B' F L' U' B2 L2
