B L R2 U R' U B'
D2 L2 B' R' D' F2 B
D2 L2 B' R' D' B F2
D2 L2 B' R' B D' F2
B' R U R2 B2 L B'
B R U' L R U2 B'
B R U' R L U2 B'
D' R F2 B' L U R'
D' R B' L F2 U R'
D' R B' F2 L U R'
D2 R' B L2 D' F2 R
B' R' B2 L D' F2 B'
B' R' B2 L D' B' F2
B' R' B2 L B' D' F2
B R2 L U R' U B'
L D' B' R' D' L2 F2
L D' B' R' D' F2 L2
L' D2 L2 B' R' D' F2
L D2 B' L2 R' D' F2
L D2 B' R' L2 D' F2
B' D2 L2 R' D' F2 B
B' D2 L2 R' D' B F2
B' D2 L2 R' B D' F2
B' D2 R U L2 R2 B
B' D2 R U R2 L2 B
B' D2 R U R2 B L2
B' D2 R' L2 D' F2 B
B' D2 R' L2 D' B F2
B' D2 R' L2 B D' F2
B' D2 R' B L2 D' F2
R B U' L R U2 B'
R B U' R L U2 B'
D' B' L R F2 U R2
D2 B' L2 R' D' F2 B
D2 B' L2 R' D' B F2
D2 B' L2 R' B D' F2
D' B' R L F2 U R2
D2 B' R U L2 R2 B
D2 B' R U R2 L2 B
D2 B' R U R2 B L2
D' B' R F2 L U R2
D2 B' R' L2 D' F2 B
D2 B' R' L2 D' B F2
D2 B' R' L2 B D' F2
D2 B' R' B L2 D' F2
L B' D' R' D' L2 F2
L B' D' R' D' F2 L2
L B' D2 L2 R' D' F2
L B' D2 R' L2 D' F2
