U L' R2 F U B'
U L' F R2 U B'
U R2 L' F U B'
F' U L' R2 F U
F' U L' F R2 U
F' U R2 L' F U
U L' R' F R' U B'
F' L' R2 F U' L U2
F' L' R2 F B2 U R'
U L' R2 D F U B'
U L' R2 D' F U B'
U L' R2 D2 F U B'
F' L' R2 B2 F U R'
U L' R2 F U D B'
U L' R2 F U D' B'
U L' R2 F U D2 B'
U L' R2 F U B' D
U L' R2 F U B' D'
U L' R2 F U B' D2
U L' R2 F D U B'
U L' R2 F D' U B'
U L' R2 F D2 U B'
U L' D' F U F B'
U L' D' F U B' F
F' L' F R2 U' L U2
F' L' F R2 B2 U R'
U L' F R2 U D B'
U L' F R2 U D' B'
U L' F R2 U D2 B'
U L' F R2 U B' D
U L' F R2 U B' D'
U L' F R2 U B' D2
U L' F R2 D U B'
U L' F R2 D' U B'
U L' F R2 D2 U B'
U L' F U D' F2 B'
U L' F U D' B' F2
U L' F U B' D' F2
F' L' F B2 R2 U R
U L' F D' U F2 B'
U L' F D' U B' F2
U L' F' R2 F2 U B'
F' L' B2 F R2 U R
U L2 R2 U B L B'
R' U L' R' F U B'
R' U L' F R' U B'
R U L' R F U B'
R2 U L' F U F' B'
R2 U L' F U B' F'
R U R L' F U B'
R' U R' L' F U B'
F' R U L' R F U
F' R U R L' F U
U R' L' F R' U B'
F' R' U L' R' F U
F' R' U L' F R' U
F' R' U R' L' F U
F' R2 L' F U' L U2
F' R2 L' F B2 U R'
F' R2 L' B2 F U R'
U R2 L' D F U B'
U R2 L' D' F U B'
U R2 L' D2 F U B'
U R2 L' F U D B'
U R2 L' F U D' B'
U R2 L' F U D2 B'
U R2 L' F U B' D
U R2 L' F U B' D'
U R2 L' F U B' D2
U R2 L' F D U B'
U R2 L' F D' U B'
U R2 L' F D2 U B'
F' R2 U L' F U F'
U R2 L2 U B L B'
U R2 D' L' U B' L
U R2 F L' F U B'
U R2 F' L' F U B'
U R2 F2 L' F U B'
F' U L' R' F R' U
D' U L' U F2 B' L
D' U L' U B' L F2
D' U L' U B' F2 L
F' U L' R2 D F U
F' U L' R2 D' F U
B' U L' R2 F U B'
F' U L' R2 D2 F U
F' U L' R2 F U D
F' U L' R2 F U D'
F' U L' R2 F U D2
F' U L' R2 F D U
F' U L' R2 F D' U
F' U L' R2 F D2 U
B2 U L' R2 F U B'
F2 U L' R2 F L' U
F' U L' D' F U F
B' U L' F R2 U B'
F' U L' F R2 U D
F' U L' F R2 U D'
F' U L' F R2 U D2
F' U L' F R2 D U
F' U L' F R2 D' U
F' U L' F R2 D2 U
F' U L' F U D' F2
F' U L' F D' U F2
F' U L' F' R2 F2 U
B2 U L' F R2 U B'
F2 U L' F L' R2 U
F2 U L' F R2 L' U
B U L' R2 F U B'
B U L' F R2 U B'
F' U R' L' F R' U
F' U R2 L' D F U
F' U R2 L' D' F U
F' U R2 L' D2 F U
B' U R2 L' F U B'
F' U R2 L' F U D
F' U R2 L' F U D'
F' U R2 L' F U D2
F' U R2 L' F D U
F' U R2 L' F D' U
F' U R2 L' F D2 U
B2 U R2 L' F U B'
F2 U R2 L' F L' U
F2 U R2 F L' F U
B U R2 L' F U B'
F2 U F L' R2 F U
F2 U F L' F R2 U
F2 U F R2 L' F U
F U F2 L' R2 F U
F U F2 L' F R2 U
F U F2 R2 L' F U
U D' L' U F2 B' L
U D' L' U B' L F2
U D' L' U B' F2 L
F' U' L' F R2 B U
L D' B' U' F2 R B
F' U2 L' R2 F U R2
F' U2 L' F R2 U R2
F' U2 R2 L' F U R2
F2 U2 D' L F2 B' L
F2 U2 D' L B' L F2
F2 U2 D' L B' F2 L
F2 U2 D' F2 L B' L
F2 U2 D' F2 B' L B'
F2 U2 D' B' L F2 B'
F2 U2 D' B' L B' F2
F2 U2 D' B' F2 L B'
U F L' R2 F U B'
U F L' F R2 U B'
L' F R2 B2 L U R'
U F R2 L' F U B'
F2 D R F' R B2 U2
F2 D R F' B2 R U2
F2 D R B2 F' R U2
D F B2 U' R U' L'
R2 F' L' F U' L U2
R2 F' L' F B2 U R'
U F' L' R2 F U B'
R2 F' L' B2 F U R'
F2 D F' R F' B2 U2
F2 D F' R B2 F' U2
U F' L' F R2 U B'
F2 D F' B2 R F' U2
D F' R B2 U L' U
R' F' U L' R' F U
R' F' U L' F R' U
R' F' U R' L' F U
U F' R2 L' F U B'
R2 F' U L' F U F'
F2 D B2 R F' R U2
F2 D B2 F' R F' U2
F2 D' L F2 R B' L
F2 D' L F2 B' L R
F2 D' L F2 B' R L
F2 D' L B' F2 L R
F2 D' L B' F2 R L
D F' B2 R U L' U
F2 D' U2 L F2 B' L
F2 D' U2 L B' L F2
F2 D' U2 L B' F2 L
F2 D' U2 F2 L B' L
F2 D' U2 F2 B' L B'
F2 D' U2 B' L F2 B'
F2 D' U2 B' L B' F2
F2 D' U2 B' F2 L B'
U F2 L' R2 F U B'
U F2 L' F R2 U B'
F2 D' B' L F2 R B'
F2 D' B' L F2 B' R
F2 D' B' L B' F2 R
F2 D' B' U2 L F2 B'
F2 D' B' U2 L B' F2
F2 D' B' U2 F2 L B'
U F2 R2 L' F U B'
F' B U L' R2 F U
F' B U L' F R2 U
F' B U R2 L' F U
L B' U' D' F2 R B
B' F' U L' R2 F U
B' F' U L' F R2 U
B' F' U R2 L' F U
F' B' U L' R2 F U
F' B' U L' F R2 U
B2 F' U L' R2 F U
B2 F' U L' F R2 U
F' B' U R2 L' F U
B2 F' U R2 L' F U
B F' U L' R2 F U
B F' U L' F R2 U
L B' D' U' F2 R B
B F' U R2 L' F U
F' B2 U L' R2 F U
F' B2 U L' F R2 U
F' B2 U R2 L' F U
D B2 F U' R U' L'
D B2 F' R U L' U
