F2 L' U R2 F U2
F2 L' U F R2 U2
F2 L' U' D2 L2 B'
F2 L' D2 U' L2 B'
L R U2 F2 U' B' L'
R L U2 F2 U' B' L'
F2 L D B2 U' F2 B
F2 L D B2 U' B F2
F2 L' R U R F U2
F2 L' R' U R' F U2
F2 L' R' U F R' U2
F2 L' U R' F R' U2
F2 L' U R2 D F U2
F2 L' U R2 D' F U2
F2 L' U R2 D2 F U2
F2 L' U R2 F U2 D
F2 L' U R2 F U2 D'
F2 L' U R2 F U2 D2
F2 L' U R2 F D U2
F2 L' U R2 F D' U2
F2 L' U R2 F D2 U2
F2 L' U D2 F U2 L2
F2 L' U F R2 U2 D
F2 L' U F R2 U2 D'
F2 L' U F R2 U2 D2
F2 L' U F R2 D U2
F2 L' U F R2 D' U2
F2 L' U F R2 D2 U2
F2 L' U F U2 D2 L2
F2 L' U F D2 U2 L2
F2 L' U F' R2 F2 U2
F2 L' U F2 R2 U2 B
F2 L' U' L2 D2 B' L2
F2 L' U' L2 B' D2 L2
F2 L' U' D2 L2 D B'
F2 L' U' D2 L2 D' B'
F2 L' U' D2 L2 D2 B'
F2 L' U' D2 L2 B' D
F2 L' U' D2 L2 B' D'
F2 L' U' D2 L2 B' D2
F2 L' U' D2 B L2 B'
F2 L' U' D2 B' L2 B'
F2 L' U' D2 B2 L2 B'
F2 L' U' B D2 L2 B'
F2 L' U' B' D2 L2 B'
F2 L' U' B2 D2 L2 B'
F2 L' D B2 U F U2
F2 L' D2 R U' L2 B'
F2 L' D2 R' U' L2 B'
F2 L' D2 R2 U' L2 B'
F2 L' D2 U F U2 L2
F2 L' D2 U' L2 D B'
F2 L' D2 U' L2 D' B'
F2 L' D2 U' L2 D2 B'
F2 L' D2 U' L2 B' D
F2 L' D2 U' L2 B' D'
F2 L' D2 U' L2 B' D2
F2 L' D2 U' B L2 B'
F2 L' D2 U' B' L2 B'
F2 L' D2 U' B2 L2 B'
F2 L' D2 B U' L2 B'
F2 L' D2 B' U' L2 B'
F2 L' D2 B2 U' L2 B'
F2 L' B U R2 F U2
F2 L' B U F R2 U2
F2 L' B U' D2 L2 B'
F2 L' B D2 U' L2 B'
F2 L' B' U R2 F U2
F2 L' B' U F R2 U2
F2 L' B' U' D2 L2 B'
F2 L' B' D2 U' L2 B'
F2 L' B2 U R2 F U2
F2 L' B2 U F R2 U2
F2 L' B2 U' D2 L2 B'
F2 L' B2 D2 U' L2 B'
D2 L2 R' D' F2 B R2
D2 L2 R' D' B R2 F2
D2 L2 R' D' B F2 R2
R2 U D2 R' B2 U B'
F2 R L' U R F U2
D2 R U L2 D' R2 B
D2 R F2 B2 U L2 B'
D2 R B2 U' F' U2 L2
D2 R B2 F2 U L2 B'
F2 R' L' U R' F U2
F2 R' L' U F R' U2
D2 R' L2 D' F2 B R2
D2 R' L2 D' B R2 F2
D2 R' L2 D' B F2 R2
D2 R' B2 R2 U B' L2
F2 R' B2 L' U' L2 B'
R U2 F2 U' L B' L2
R D F2 U L' R2 B'
R D F2 U L' B' R2
R D F2 U R2 L' B'
L' D2 R B2 U L2 B'
L D2 R B2 U L2 B
L D2 R B2 U B L2
R2 D2 U R' B2 U B'
L' D2 B2 R U L2 B'
R D2 B2 U' R F' U2
L' F R2 U' F L' U'
F' D F' L' R B2 U'
F' D F' L' B2 R U'
F' D F' R L' B2 U'
F' D F' R B2 L' U'
F' D F' B2 L' R U'
F' D F' B2 R L' U'
F' D B2 F' L' R U'
F' D B2 F' R L' U'
U' F2 L' U R2 F U2
U' F2 L' U F R2 U2
U' F2 L' U' D2 L2 B'
U' F2 L' D2 U' L2 B'
L' F2 L' U R2 U2 B
L' F2 L' U F' R2 U2
U2 F2 L' U R2 F U2
L2 F2 L' U R2 U2 B'
U2 F2 L' U F R2 U2
U2 F2 L' U' D2 L2 B'
L2 F2 L' U' D2 B' L2
L2 F2 L' U' B' D2 L2
L2 F2 L' D B2 U' B
U2 F2 L' D2 U' L2 B'
L2 F2 L' D2 U' B' L2
U F2 L' U R2 F U2
U F2 L' U F R2 U2
U F2 L' U' D2 L2 B'
U F2 L' D2 U' L2 B'
F2 D2 L' R' U' L' B
F2 D2 L' R' U' B L'
L2 F2 D L' B2 U' B
L2 F2 D B2 L' U' B'
L2 F2 D2 L' U' B' L'
L F2 D B2 L' U' B
F2 D2 R' L' U' L' B
F2 D2 R' L' U' B L'
F2 B L' U R2 F U2
F2 B L' U F R2 U2
F2 B L' U' D2 L2 B'
F2 B L' D2 U' L2 B'
F2 B' L' U R2 F U2
F2 B' L' U F R2 U2
F2 B' L' U' D2 L2 B'
F2 B' L' D2 U' L2 B'
D2 B2 R U' F' U2 L2
B' F2 L' U R2 F U2
B' F2 L' U F R2 U2
B' F2 L' U' D2 L2 B'
D2 B2 R F2 U L2 B'
B' F2 L' D2 U' L2 B'
B2 F2 L' U R2 F U2
B2 F2 L' U F R2 U2
B2 F2 L' U' D2 L2 B'
F2 B2 L' U R2 F U2
F2 B2 L' U F R2 U2
F2 B2 L' U' D2 L2 B'
B2 F2 L' D2 U' L2 B'
F2 B2 L' D2 U' L2 B'
B F2 L' U R2 F U2
B F2 L' U F R2 U2
B F2 L' U' D2 L2 B'
B F2 L' D2 U' L2 B'
R2 B2 U' L F2 U' B'
R2 B2 U' F2 L U' B'
