U' R2 B R' U B L
U2 D F' U' L' F B'
U2 D F' U' L' B' F
D U2 F' U' L' F B'
D U2 F' U' L' B' F
R2 F' L' B R' U L
U2 F' U' D L' F B'
U2 F' U' D L' B' F
U2 F' D U' L' F B'
U2 F' D U' L' B' F
R2 F' B L' R' U L2
R2 F' B R' L' U L2
U2 F' B' L R' U' L2
U2 F' B' R' L U' L2
R2 B L2 R' U L' B'
R2 B R' L2 U L' B'
R2 B R' U L' B' L2
R2 B R' F' L' U L2
R2 B F' L' R' U L2
R2 B F' R' L' U L2
F' B U2 L' R' U L2
U2 B' L F' R' U' L'
F' B U2 R' L' U L2
B' F' L U' D' B2 L
B' F' L D' U' B2 L
F' B' L U' D' B2 L
F' B' L D' U' B2 L
U2 B' F' L R' U' L2
U2 B' F' R' L U' L2
B F' U2 L' R' U L2
B F' U2 R' L' U L2
