R F B L' U L
R B F L' U L
D' L R B U L' B2
D' L R B U B2 L'
L' R F L' B U L2
L2 R F L' B U L'
L2 R F B L' U L'
L2 R B F L' U L'
R L' F L' B U L2
F L' F2 U L F R
R L2 F L' B U L'
R L2 F B L' U L'
R L2 B F L' U L'
R U R2 F' R U' F
D' R L B U L' B2
D' R L B U B2 L'
R' U F' R U2 R U
R' U F' D' R U' F2
R' U F' D2 L2 R U'
R' U F' D2 R L2 U'
U' R D B' U R' B
U' R D2 B' L U R'
B' R F B L' U L
B2 R F B L' U L
B R F B L' U L
D' R B L U B' L'
B' R B F L' U L
D2 R B' L B2 U L'
B2 R B F L' U L
B R B F L' U L
U' R B' U D R' B
U' R B' D U R' B
R2 U' D R' U B R'
F2 R' U L' F' U' B'
F' R' F' L' R2 U' L
D R' F D B R2 F'
F' R' F' R2 L' U' L
D R' B U' R2 B U
D R2 U' R' B L U
R2 D U' R' U B R'
F2 U L' F U' R B'
F2 U L' F U' B' R
R D' L B U L' B2
R D' L B U B2 L'
F U F L' U' R B
U' D B' R U R2 B
D2 U' R B' L U R'
R D' B L U B' L'
D2 U' B' L R U R2
D2 U' B' R L U R2
D U' B' R U R2 B
U' D2 R B' L U R'
U' D2 B' L R U R2
U' D2 B' R L U R2
R D2 B' L B2 U L'
R F L B L2 U L
R2 F R' B L' U L
R2 F U' L' R' B U
R2 F U' R' L' B U
R2 F U' R' B L' U
R F D B L' U L
R F D' B L' U L
R F D2 B L' U L
R F B L' U L D
R F B L' U L D'
R F B L' U L D2
R F B L' U D L
R F B L' U D' L
R F B L' U D2 L
R F B L' D U L
R F B L' D' U L
R F B L' D2 U L
R F B L' F U L
R F B L' F' U L
R F B L' F2 U L
R F B D L' U L
R F B D' L' U L
R F B D2 L' U L
U F' R U L' B' U2
F D' L' U F L R
F D' L' U F R L
R' F' D2 L2 R U' L2
R' F' D2 R L2 U' L2
R F2 L B U L' B'
U F2 D' L' F R U'
R F2 B L U L' B'
R B L' U D' L B'
R B L' D' U L B'
R B L' F L' U L2
R B L2 F L' U L'
R B D' L U B' L'
D2 B' L R B U L'
R B F L' U L D
R B F L' U L D'
R B F L' U L D2
R B F L' U D L
R B F L' U D' L
R B F L' U D2 L
R B F L' D U L
R B F L' D' U L
R B F L' D2 U L
R B F L' F U L
R B F L' F' U L
R B F L' F2 U L
R B F D L' U L
R B F D' L' U L
R B F D2 L' U L
R B F2 L U L' B'
D2 B' R L B U L'
U' B' D R U R2 B
D2 B2 R B L U L'
R B2 D2 B' L U L'
