B' L2 R' F U' F
B' L2 F R' U' F
B' R' L2 F U' F
B' R' U2 B' U F2
B' R' D' L2 F U'
B2 U2 B R' U' F2
B' D' L2 R' F U'
B' D' L2 F R' U'
B' D' R' L2 F U'
D' B' L2 R' U' R'
D' B' R' L2 U' R'
B' L R' U' F R F
B' L R' F U' F R
B2 L U2 B R' U' F2
B L D B R2 U L2
B' L F R' U' F R
B L B R2 F' U F'
B L B U2 B U' F2
B L B D R2 F' U
B2 L' U2 B R' U' F2
U' L' F2 D' R2 B' L
U' L' F2 D' B' L R2
U' L' F2 D' B' R2 L
B' L2 R F R2 U' F
B' L2 R' D' F L2 U'
B' L2 R' F U' D F
B' L2 R' F U' D' F
B' L2 R' F U' D2 F
B' L2 R' F U' F D
B' L2 R' F U' F D'
B' L2 R' F U' F D2
B' L2 R' F D U' F
B' L2 R' F D' U' F
B' L2 R' F D2 U' F
B2 L2 U2 B R' U' F2
B' L2 D' R' F L2 U'
B' L2 D' F L2 R' U'
B' L2 D' F R' L2 U'
B' L2 F R' U' D F
B' L2 F R' U' D' F
B' L2 F R' U' D2 F
B' L2 F R' U' F D
B' L2 F R' U' F D'
B' L2 F R' U' F D2
B' L2 F R' D U' F
B' L2 F R' D' U' F
B' L2 F R' D2 U' F
B' L2 F D R' U' F
B' L2 F D' R' U' F
B' L2 F D2 R' U' F
B' R L2 F R2 U' F
D' R B' L2 R' U' R2
D' R B' R' L2 U' R2
B' R' L U' F R F
B' R' L F U' F R
B' R' L2 D' F L2 U'
B' R' L2 F U' D F
B' R' L2 F U' D' F
B' R' L2 F U' D2 F
B' R' L2 F U' F D
B' R' L2 F U' F D'
B' R' L2 F U' F D2
B' R' L2 F D U' F
B' R' L2 F D' U' F
B' R' L2 F D2 U' F
B' R' U' F2 U' B' U
B' R' U2 R B' U F2
B' R' U2 R' B' U F2
B' R' U2 R2 B' U F2
B' R' U2 D R2 B' U
B' R' U2 D B' R2 U
B' R' U2 B' R U F2
B' R' U2 B' R' U F2
B' R' U2 B' R2 U F2
B' R' U2 B' U F2 D
B' R' U2 B' U F2 D'
B' R' U2 B' U F2 D2
B' R' U2 B' D R2 U
B' R' D U2 R2 B' U
B' R' D U2 B' R2 U
B' R' D' L2 D F U'
B' R' D' L2 D' F U'
B' R' D' L2 D2 F U'
B' R' D' L2 F U' D
B' R' D' L2 F U' D'
B' R' D' L2 F U' D2
B' R' D' L2 F D U'
B' R' D' L2 F D' U'
B' R' D' L2 F D2 U'
B' R' D' F L2 F U'
B' R' D' F' L2 F U'
B' R' D' F2 L2 F U'
B' R' F U2 B' U F
B' R' F' L2 F U' F2
B' R' F' U2 B' U F'
B' R' F2 L2 F U' F'
B R' B2 R' F' U' F'
B' R2 D' L2 R F U'
B' R2 D' R L2 F U'
D' R2 B' L2 R' U' R
D' R2 B' R' L2 U' R
L2 D' L2 B' R' U' R'
B2 U F2 U B R' U'
B2 U B R' U' R F2
R' D' B' L2 R' U' R'
R' D' B' R' L2 U' R'
R2 D' B' L2 R' U' R'
R2 D' B' R' L2 U' R'
R D' B' L2 R' U' R'
R D' B' R' L2 U' R'
B2 U2 L B R' U' F2
B2 U2 L' B R' U' F2
B2 U2 L2 B R' U' F2
B2 U2 B L R' U' F2
B2 U2 B L' R' U' F2
B2 U2 B L2 R' U' F2
B2 U2 B R' L U' F2
B2 U2 B R' L' U' F2
B2 U2 B R' L2 U' F2
B2 U2 B R' U' F2 D
B2 U2 B R' U' F2 D'
B2 U2 B R' U' F2 D2
B2 U2 B R' D' L2 U'
B2 U2 B D' L2 R' U'
B2 U2 B D' R' L2 U'
B' U2 B2 L B U F2
B2 D L R2 F' U B'
B' D R' U2 R' B' U
B2 D R2 L F' U B'
D' F B' L2 R' U' R'
D' F B' R' L2 U' R'
B2 D R2 F' L U B'
B' D' L2 R F R2 U'
B' D' L2 R' D F U'
B' D' L2 R' D' F U'
B' D' L2 R' D2 F U'
B' D' L2 R' F U' D
B' D' L2 R' F U' D'
B' D' L2 R' F U' D2
B' D' L2 R' F D U'
B' D' L2 R' F D' U'
B' D' L2 R' F D2 U'
B' D' L2 D R' F U'
B' D' L2 D F R' U'
B' D' L2 D' R' F U'
B' D' L2 D' F R' U'
B' D' L2 D2 R' F U'
B' D' L2 D2 F R' U'
B' D' L2 F R' U' D
B' D' L2 F R' U' D'
B' D' L2 F R' U' D2
B' D' L2 F R' D U'
B' D' L2 F R' D' U'
B' D' L2 F R' D2 U'
B' D' L2 F D R' U'
B' D' L2 F D' R' U'
B' D' L2 F D2 R' U'
B' D' L2 F' R' F2 U'
B' D' R L2 F R2 U'
B' D' R' L2 D F U'
B' D' R' L2 D' F U'
B' D' R' L2 D2 F U'
B' D' R' L2 F U' D
B' D' R' L2 F U' D'
B' D' R' L2 F U' D2
B' D' R' L2 F D U'
B' D' R' L2 F D' U'
B' D' R' L2 F D2 U'
B' D' R' F L2 F U'
B' D' R' F' L2 F U'
B' D' R' F2 L2 F U'
D' F' B' L2 R' U' R'
D' F' B' R' L2 U' R'
U' F2 L' D' R2 B' L
U' F2 L' D' B' L R2
U' F2 L' D' B' R2 L
B' D' F L2 R' F U'
B' D' F L2 F R' U'
B' D' F R' L2 F U'
B' D' F' L2 R' F U'
B' D' F' L2 F R' U'
B' D' F' R' L2 F U'
B' D' F2 L2 R' F U'
B' D' F2 L2 F R' U'
B' D' F2 R' L2 F U'
F D' B' R' U' R' F
F D' B' R' U' F R'
D2 F2 D B' L2 R' U'
D2 F2 D B' R' L2 U'
B' D2 R' D L2 F U'
D2 F2 D2 B' R' U' F2
D2 F2 B' L2 R' U' F
D' F2 B' L2 R' U' R'
D2 F2 B' R' L2 U' F
D2 F2 B' R' U B' U2
D' F2 B' R' L2 U' R'
L B L F B U F
L B L B F U F
F' D2 F2 B' R' U' F
F2 D2 F2 B' R' U' F2
F2 D2 B' R' F2 U' F2
F' D2 B' F2 R' U' F
F2 D2 B' F2 R' U' F2
F D2 B' R' F2 U' F'
B' F R' U2 B' U F
R' B' L2 R' F U' F
D2 B' L2 R' F2 U' F'
D' B' L2 R' U' R' D
D' B' L2 R' U' R' D'
D' B' L2 R' U' R' D2
D' B' L2 R' U' D R'
D' B' L2 R' U' D' R'
D' B' L2 R' U' D2 R'
D' B' L2 R' D U' R'
D' B' L2 R' D' U' R'
D' B' L2 R' D2 U' R'
D' B' L2 R' F U' R'
D' B' L2 R' F' U' R'
D' B' L2 R' F2 U' R'
B2 F U2 B R' U' F
D' B' L2 D' R' F2 U'
D' B' L2 D' F2 R' U'
R' B' L2 F R' U' F
D' B' L2 F R' U' R'
D' B' L2 F' R' U' R'
D' B' L2 F2 R' U' R'
R2 B' L2 R' F U' F
U2 B' L2 F R U' F
R2 B' L2 F R' U' F
R' B' R' L2 F U' F
D2 B' R' L2 F2 U' F'
D' B' R' L2 U' R' D
D' B' R' L2 U' R' D'
D' B' R' L2 U' R' D2
D' B' R' L2 U' D R'
D' B' R' L2 U' D' R'
D' B' R' L2 U' D2 R'
D' B' R' L2 D U' R'
D' B' R' L2 D' U' R'
D' B' R' L2 D2 U' R'
D' B' R' L2 F U' R'
D' B' R' L2 F' U' R'
D' B' R' L2 F2 U' R'
R' B' R' U2 B' U F2
D' B' R' U' R' D F2
D' B' R' U' D R' F2
D' B' R' U' D F2 R'
R' B' R' D' L2 F U'
D' B' R' D U' R' F2
D' B' R' D U' F2 R'
D' B' R' F L2 U' R'
D2 B' R' F2 L2 U' F
D2 B' R' F2 U B' U2
D' B' R' F' L2 U' R'
R B' L2 R' F U' F
D' B' R' F2 L2 U' R'
R B' L2 F R' U' F
R2 B' R' L2 F U' F
R2 B' R' U2 B' U F2
R2 B' R' D' L2 F U'
R B' R' L2 F U' F
R B' R' U2 B' U F2
R B' R' D' L2 F U'
B' F' L2 F R' U' F2
F2 B' L2 R' F U' F'
F' B' L2 F R' U' F2
F2 B' R' L2 F U' F'
R' B' D' L2 R' F U'
R' B' D' L2 F R' U'
R' B' D' R' L2 F U'
U2 B' D' L2 F R U'
F B' R' U2 B' U F
R2 B' D' L2 R' F U'
R2 B' D' L2 F R' U'
R2 B' D' R' L2 F U'
D' B' F L2 R' U' R'
D' B' F R' L2 U' R'
D B' D2 L2 R' U' R'
D B' D2 R' L2 U' R'
R B' D' L2 R' F U'
R B' D' L2 F R' U'
R B' D' R' L2 F U'
D' B' F' L2 R' U' R'
D' B' F' R' L2 U' R'
D2 B' F2 L2 R' U' F
D2 B' F2 R' L2 U' F
D2 B' F2 R' U B' U2
D' B' F2 L2 R' U' R'
D' B' F2 R' L2 U' R'
D' B2 L2 B R' U' R'
B' F2 L2 R' F U' F'
B' F2 R' L2 F U' F'
U2 B2 R2 F' L' U F'
D2 B2 U' F2 B R' U'
D2 B2 U' B R' F2 U'
D2 B2 U' B F2 R' U'
R' B2 U2 B R' U' F2
B2 F2 U B R' U' R
F2 B2 U B R' U' R
R2 B2 U2 B R' U' F2
U2 B2 D R2 F' L' U
R B2 U2 B R' U' F2
F B2 U2 B R' U' F
