L U' F U R B
B' L R F U F' B
B' L R F U B F'
L R U' F U B R
R L U' F U B R
D' L U' F U R B
D2 L U' F U R B
B2 L U' F B L U
D L U' F U R B
B2 L U' B F L U
L' R D' B R' D L2
L' R D' B D L2 R'
L' R D' B D R' L2
L R B U' F U R
R L B U' F U R
R L' D' B R' D L2
R L' D' B D L2 R'
R L' D' B D R' L2
L2 U D F R U' L'
B' R L F U F' B
B' R L F U B F'
B' R F U F' B L
B' R F U B L F'
B' R F U B F' L
B' R F' U F B L
B' R F' U B F L
B' R F2 U F2 B L
B' R F2 U F2 B L
B' R F2 U B L F2
B' R F2 U B F2 L
L U' D F U R B
L U' D' F U R B
L U' D2 F U R B
L U' F L U R B
L U' F L' U R B
L U' F L2 U R B
L U' F U R D B
L U' F U R D' B
L U' F U R D2 B
L U' F U R B D
L U' F U R B D'
L U' F U R B D2
L U' F U D R B
L U' F U D' R B
L U' F U D2 R B
L U' F U B R B
L U' F U B' R B
L U' F U B2 R B
L U' F D U R B
L U' F D' U R B
L U' F D2 U R B
L U' F B L U R
R U' F' B' U L' B2
R U' F' B' U B2 L'
L U' B F L U R
R U' B' F' U L' B2
R U' B' F' U B2 L'
L2 D U F R U' L'
L D U' F U R B
R2 D B' L F U F'
L' D' R B R' D L2
L' D' R B D L2 R'
L' D' R B D R' L2
L D' U' F U R B
B2 U' F' B L U L2
B2 U' B L F' U L'
B2 U' B F' L U L2
L D2 U' F U R B
U' F' B L B2 U L2
U' F' B' U2 R' U' L'
U' B L F' B2 U L'
U' B L B2 F' U L'
R B L U' F B2 U
R B L U' B2 F U
L B U' F U R B
R B U' F' B2 U L'
R B U' B2 F' U L'
U' B F' L B2 U L2
R B' L F U F' B2
R B' L F U B2 F'
U' B' U2 R' B U' L
B' F' R U F B L
B' F' R U B F L
F' B' R U F B L
F' B' R U B F L
U B' U R' U2 R B
F2 B' R U F2 B L
F2 B' R U B L F2
F2 B' R U B F2 L
U B' U' R' F' U2 F
L B' U' F U R B
U' B' F' U2 R' U' L'
B' F2 R U F2 B L
B' F2 R U B L F2
B' F2 R U B F2 L
L B2 U' F U R B
