D R U B R F'
D L R U B R F'
U2 L F2 R2 U' F' B
U2 L F2 R2 U' B F'
U2 L F2 U F' B U2
U2 L F2 U B F' U2
D L' R U B R F'
U2 L' R2 F2 U' F B'
U2 L' R2 F2 U' B' F
U2 L' U' D R2 F' B'
U2 L' U' D R2 B' F'
U2 L' D U' R2 F' B'
U2 L' D U' R2 B' F'
U2 L' F2 R2 U' F' B'
U2 L' F2 R2 U' B' F'
U2 L' F2 U B U2 B2
U2 L' F2 U' B' D2 F2
D L2 R U B R F'
D R L U B R F'
D R L' U B R F'
D R L2 U B R F'
R2 U F' R' D B R'
B' R U B D R2 F'
D R U B R D F'
D R U B R D' F'
D R U B R D2 F'
D R U B R F' D
D R U B R F' D'
D R U B R F' D2
D R U B' R F' B2
D R U B' R B2 F'
D R U B2 R F' B'
D R U B2 R B' F'
R U B R D F' R2
R U B R' D R2 F'
B R U2 F2 U' F2 B
B R U2 F2 U' B F2
B' R D2 B2 U F2 B'
B' R D2 B2 U B' F2
D R B' U R F' B2
D R B' U R B2 F'
D R B' U B2 R F'
D2 R B2 R U F' B'
D2 R B2 R U B' F'
D R B2 U R F' B'
D R B2 U R B' F'
D R B2 U B' R F'
U2 R2 L' F2 U' F B'
U2 R2 L' F2 U' B' F
R2 U2 F2 R' U' F B
R2 U2 F2 R' U' B F
L' D R U B R F'
L2 D R U B R F'
R' D R' U F' R' B
L D R U B R F'
U2 D L' U' R2 F' B'
U2 D L' U' R2 B' F'
R2 D B' L U F' R2
D U R2 F' U' L' U
U D R2 F' U' L' U
U' D B U L U R2
U' D' L2 B U L U
D' U' L2 B U L U
B U' R' F2 U' L' B'
U' D' B L2 U L' U
D' U' B L2 U L' U
D2 U' B U L B U
D U' B U L U R2
R2 D2 L B2 U F' B
R2 D2 L B2 U B F'
R D2 L' B2 U F B'
R D2 L' B2 U B' F
D U2 L' U' R2 F' B'
D U2 L' U' R2 B' F'
B2 U' B' U' R' F2 U'
B2 U' B' U' F2 R' U'
B U' B' R' F2 U' L'
B U2 L' F2 U' F2 B'
B U2 L' F2 U' B' F2
U' D2 B U L B U
R2 D2 B2 L U F' B'
R2 D2 B2 L U B' F'
B U2 F2 L' U' F2 B'
B U2 F2 L' U' B' F2
U2 F2 L U F B U2
U2 F2 L U B F U2
U2 F2 L' R2 U' F' B'
U2 F2 L' R2 U' B' F'
U2 F2 L' U B U2 B2
U2 F2 L' U' B' D2 F2
U2 F2 R2 L' U' F' B'
U2 F2 R2 L' U' B' F'
U2 F2 U B U L U
B' D2 R B2 U F2 B'
B' D2 R B2 U B' F2
U' B L' D F2 U2 R2
U' B L' D' L2 U2 B2
U' B L2 U' F2 R U'
U' B U L U D R2
U' B U L U2 F2 U'
U' B U L D U R2
U' B U L D2 B2 U
U' B U D L U R2
U' B U D2 L B2 U
B' D2 B2 R U F2 B
B' D2 B2 R U B F2
U' B U' F2 U2 L U
U' B D U L U R2
U' B D' L2 U L' U
U' B D2 U L B2 U
D2 B2 L2 R U F B
D2 B2 L2 R U B F
D2 B2 R L2 U F B
D2 B2 R L2 U B F
D2 B2 R U B D2 F2
D2 B2 R U' B' U2 B2
D2 B2 R' U' F' B' U2
D2 B2 R' U' B' F' U2
D2 B2 U' B' U' R' U'
