D' L F2 L2 B' U F
D2 L' R2 B R' U L'
D' L' R2 F2 B U F'
D' L' R2 B F2 U F'
D' L' F2 U F' D R2
D' L' F2 U2 F U' F2
R2 U L' D2 B R' U
R2 U D' L' B U F
R2 U D' B L' U F
R2 U D2 L' B R' U
R2 U D2 B L' R' U
R2 U D2 B R' L' U
R2 U B D' L' U F
D' R2 L' F2 B U F'
D2 R2 L' B R' U L'
D' R2 L' B F2 U F'
F2 R2 U' R' F U' F2
F2 R2 U' F R' U' F'
D2 R2 B L' R' U L'
D' R2 B L' F2 U F'
D2 R2 B R' L' U L'
R2 D' U L' B U F
R2 D' U B L' U F
L' D2 R2 B R' U L2
R2 D2 U L' B R' U
R2 D2 U B L' R' U
R2 D2 U B R' L' U
F' U2 R F2 U L' B'
L' F' R U' R U2 R'
D F2 R F B2 U' F2
D F2 R B2 F U' F2
D F2 B2 R F U' F2
D B2 F2 R F U' F2
