F2 L U D2 F B2
F2 L U D2 B2 F
F2 L U' F2 U2 F'
F2 L D2 U F B2
F2 L D2 U B2 F
F2 L' U' F2 B' U2
F2 L' U' B' F2 U2
F2 L' D' L2 U F
U R F2 U R' F'
B U F2 B' R' U
B U B' R' F2 U
B U B' F2 R' U
L' F2 U' F2 B' U2
L' F2 U' B' F2 U2
U F2 R U R' F'
L F2 U D2 F' B2
L F2 U D2 B2 F'
L' F2 D' L2 U F
F2 D2 L U F B2
F2 D2 L U B2 F
L F2 U' F2 U2 F
L F2 D' L2 U F'
L F2 D2 U F' B2
L F2 D2 U B2 F'
U F2 B' R' U R
L' B' U F2 B U
L' B' U B F2 U
U B' F2 R' U R
F2 L R U D2 F B2
F2 L R U D2 B2 F
F2 L R U' F2 U2 F'
F2 L R D2 U F B2
F2 L R D2 U B2 F
F2 L R' U D2 F B2
F2 L R' U D2 B2 F
F2 L R' U' F2 U2 F'
F2 L R' D2 U F B2
F2 L R' D2 U B2 F
F2 L R2 U D2 F B2
F2 L R2 U D2 B2 F
F2 L R2 U' F2 U2 F'
F2 L R2 D2 U F B2
F2 L R2 D2 U B2 F
F2 L U D F D B2
F2 L U D' F D' B2
F2 L U D2 F B2 D
F2 L U D2 F B2 D'
F2 L U D2 F B2 D2
F2 L U D2 B2 D F
F2 L U D2 B2 D' F
F2 L U D2 B2 D2 F
F2 L U D2 B2 F D
F2 L U D2 B2 F D'
F2 L U D2 B2 F D2
F2 L U F L2 B' L2
F2 L U F U2 F U2
B' L U F2 B U F'
B' L U B F2 U F'
B2 L U F2 B2 U F'
F2 L U B D2 F B2
F2 L U B D2 B2 F
F2 L U B' D2 F B2
F2 L U B' D2 B2 F
B2 L U B2 F2 U F'
F2 L U B2 D2 F B2
F2 L U B2 D2 B2 F
F2 L U' F2 U2 D F'
F2 L U' F2 U2 D' F'
F2 L U' F2 U2 D2 F'
F2 L U' F2 U2 F' D
F2 L U' F2 U2 F' D'
F2 L U' F2 U2 F' D2
F2 L U' F2 D U2 F'
F2 L U' F2 D' U2 F'
F2 L U' F2 D2 U2 F'
F2 L U' F2 B U2 F'
F2 L U' F2 B' U2 F'
F2 L U' F2 B2 U2 F'
F2 L U' B F2 U2 F'
F2 L U' B' F2 U2 F'
F2 L U' B2 F2 U2 F'
F2 L U2 D R2 U' F
B2 L U2 D' R2 F L2
B2 L U2 D' F L2 R2
B2 L U2 D' F R2 L2
D2 L U2 B2 U' F B2
D2 L U2 B2 U' B2 F
B2 L D L2 R2 B' U2
B2 L D L2 B' R2 U2
B2 L D R2 L2 B' U2
F2 L D U F D B2
F2 L D U2 R2 U' F
F2 L D' L2 U' B' U2
F2 L D' U F D' B2
B2 L D' U2 R2 F L2
B2 L D' U2 F L2 R2
B2 L D' U2 F R2 L2
B2 L D' F L2 R2 B
B2 L D' F R2 L2 B
B2 L D' F R2 B L2
F2 L D2 R U F B2
F2 L D2 R U B2 F
F2 L D2 R' U F B2
F2 L D2 R' U B2 F
F2 L D2 R2 U F B2
F2 L D2 R2 U B2 F
F2 L D2 U F B2 D
F2 L D2 U F B2 D'
F2 L D2 U F B2 D2
F2 L D2 U B2 D F
F2 L D2 U B2 D' F
F2 L D2 U B2 D2 F
F2 L D2 U B2 F D
F2 L D2 U B2 F D'
F2 L D2 U B2 F D2
R' L F2 U D2 F' B2
R' L F2 U D2 B2 F'
L' R F2 U' F2 B' U2
L' R F2 U' B' F2 U2
R' L F2 U' F2 U2 F
L R F2 U D2 F' B2
L R F2 U D2 B2 F'
R2 L F2 U D2 F' B2
R2 L F2 U D2 B2 F'
L' R F2 D' L2 U F
R' L F2 D' L2 U F'
R2 L F2 U' F2 U2 F
L R F2 U' F2 U2 F
R L F2 U D2 F' B2
R L F2 U D2 B2 F'
R' L F2 D2 U F' B2
R' L F2 D2 U B2 F'
R L F2 U' F2 U2 F
R2 L F2 D' L2 U F'
L R F2 D' L2 U F'
R2 L F2 D2 U F' B2
R2 L F2 D2 U B2 F'
L R F2 D2 U F' B2
L R F2 D2 U B2 F'
R L F2 D' L2 U F'
R L F2 D2 U F' B2
R L F2 D2 U B2 F'
F' L F' L U F2 B'
F' L F' L U B' F2
L' R B' U F2 B U
L' R B' U B F2 U
F2 L' R U' F2 B' U2
F2 L' R U' B' F2 U2
F2 L' R D' L2 U F
F2 L' R' U' F2 B' U2
F2 L' R' U' B' F2 U2
F2 L' R' D' L2 U F
F2 L' R2 U' F2 B' U2
F2 L' R2 U' B' F2 U2
F2 L' R2 D' L2 U F
D L' R2 B' U B U
F2 L' U L2 F L2 B'
F2 L' U B D2 F2 B2
F2 L' U B D2 B2 F2
U L' U' L F2 U F'
F2 L' U' D2 B' U2 B'
F2 L' U' F2 D B' U2
F2 L' U' F2 D' B' U2
F2 L' U' F2 D2 B' U2
F2 L' U' F2 B' U2 D
F2 L' U' F2 B' U2 D'
F2 L' U' F2 B' U2 D2
F2 L' U' F2 B' D U2
F2 L' U' F2 B' D' U2
F2 L' U' F2 B' D2 U2
F L' U' F' B' U2 L'
F2 L' U' B' U2 D2 B2
F2 L' U' B' D2 U2 B2
F2 L' U' B' F2 U2 D
F2 L' U' B' F2 U2 D'
F2 L' U' B' F2 U2 D2
F2 L' U' B' F2 D U2
F2 L' U' B' F2 D' U2
F2 L' U' B' F2 D2 U2
U L' U' F2 L U F
F L' U' B' F' U2 L'
B2 L' U2 D' L2 R2 F
B2 L' U2 D' L2 F R2
B2 L' U2 D' R2 L2 F
B2 L' D L2 R2 U2 F
R' L' F2 U' F2 B' U2
R' L' F2 U' B' F2 U2
L' R' F2 U' F2 B' U2
L' R' F2 U' B' F2 U2
R' L' F2 D' L2 U F
B2 L' D R2 L2 U2 F
L' R' F2 D' L2 U F
B2 L' D R2 B' L2 U2
L R' F2 U D2 F' B2
L R' F2 U D2 B2 F'
R2 L' F2 U' F2 B' U2
L R' F2 U' F2 U2 F
R2 L' F2 U' B' F2 U2
R L' F2 U' F2 B' U2
R L' F2 U' B' F2 U2
R2 L' F2 D' L2 U F
L R' F2 D' L2 U F'
L R' F2 D2 U F' B2
L R' F2 D2 U B2 F'
R L' F2 D' L2 U F
B2 L' D B' L2 R2 U2
B2 L' D B' R2 L2 U2
F2 L' D' L2 R U F
F2 L' D' L2 R' U F
F2 L' D' L2 R2 U F
F2 L' D' L2 U D F
F2 L' D' L2 U D' F
F2 L' D' L2 U D2 F
F2 L' D' L2 U F D
F2 L' D' L2 U F D'
F2 L' D' L2 U F D2
F2 L' D' L2 D U F
F2 L' D' L2 D' U F
F2 L' D' L2 D2 U F
F2 L' D' R L2 U F
B2 L' D' L2 F R2 B
F2 L' D' R' L2 U F
F2 L' D' R2 L2 U F
B2 L' D' U2 L2 R2 F
B2 L' D' U2 L2 F R2
B2 L' D' U2 R2 L2 F
B2 L' D' B' U2 L2 R2
B2 L' D' B' U2 R2 L2
B L' D' B' L U2 L
F2 L' D2 L2 U F B2
F2 L' D2 L2 U B2 F
R' L' B' U F2 B U
R' L' B' U B F2 U
L' R' B' U F2 B U
L' R' B' U B F2 U
R2 L' B' U F2 B U
R2 L' B' U B F2 U
F2 L' D2 U' B' U2 B'
R L' B' U F2 B U
R L' B' U B F2 U
U' L' D2 B2 U' R' F'
D' L' B' U B U L'
B' L' B' U F2 B2 U
B' L' B' U B2 F2 U
B' L' B' U2 D' L2 R2
B' L' B' U2 D' R2 L2
B' L' B' D L2 R2 U2
B' L' B' D R2 L2 U2
B2 L' B' U F2 B' U
B2 L' B' U B' F2 U
D L' B' R2 U' F' U'
B' L' B' D' U2 L2 R2
B' L' B' D' U2 R2 L2
L' R2 F2 U' F2 B' U2
L' R2 F2 U' B' F2 U2
L' R2 F2 D' L2 U F
L R2 F2 U D2 F' B2
L R2 F2 U D2 B2 F'
L R2 F2 U' F2 U2 F
L R2 F2 D' L2 U F'
L R2 F2 D2 U F' B2
L R2 F2 D2 U B2 F'
L' R2 B' U F2 B U
L' R2 B' U B F2 U
F' L2 D F' R U B'
F2 L2 D2 R U F' B2
F2 L2 D2 R U B2 F'
L' U L2 D' F L2 B2
L' U L2 D' F B2 L2
L' U L2 D' B2 F L2
L U L2 D' L2 F B2
L U L2 D' L2 B2 F
R' U R F2 U R' F'
R2 U R F2 U R' F'
L U R F2 U F' R'
R U R F2 U R' F'
L U R2 F2 U F' R2
L' U D' L2 D' F B2
L' U D' L2 D' B2 F
L' U D' L2 F D' B2
F2 R L U D2 F B2
F2 R L U D2 B2 F
F2 R L U' F2 U2 F'
L U D' F L2 D' B2
F2 R L D2 U F B2
F2 R L D2 U B2 F
F2 R L' U' F2 B' U2
F2 R L' U' B' F2 U2
F2 R L' D' L2 U F
R' U F2 R U R' F'
U R U R' D' L2 F'
U R U R' D' F' L2
R2 U F2 R U R' F'
B R U F2 B' R' U
U R U D' L2 R' F'
U R U D' R' L2 F'
U R U D' R' F' L2
R' U F2 B' R' U R
B R U B' R' F2 U
B R U B' F2 R' U
L U F2 R' U R F'
R U F2 R U R' F'
L U F2 R2 U R2 F'
R2 U F2 B' R' U R
R U F2 B' R' U R
R' U B' F2 R' U R
R2 U B' F2 R' U R
R U B' F2 R' U R
U R D' U L2 R' F'
U R D' U R' L2 F'
U R D' U R' F' L2
F2 R D2 L U F B2
F2 R D2 L U B2 F
U R F2 U R' D F'
U R F2 U R' D' F'
U R F2 U R' D2 F'
U R F2 U R' F' D
U R F2 U R' F' D'
U R F2 U R' F' D2
U R F2 U D R' F'
U R F2 U D' R' F'
U R F2 U D2 R' F'
U R F2 U F R' F'
U R F2 U F' R' F'
U R F2 U F2 R' F'
U R F2 D U R' F'
U R F2 D' U R' F'
U R F2 D2 U R' F'
F2 R' L U D2 F B2
F2 R' L U D2 B2 F
F2 R' L U' F2 U2 F'
F2 R' L D2 U F B2
F2 R' L D2 U B2 F
F2 R' L' U' F2 B' U2
F2 R' L' U' B' F2 U2
F2 R' L' D' L2 U F
B R' U F2 B' R' U
B R' U B' R' F2 U
B R' U B' F2 R' U
F2 R' D2 L U F B2
F2 R' D2 L U B2 F
U2 R' D2 B2 U' F' B2
U2 R' D2 B2 U' B2 F'
U R' F2 U' L' B' U2
U R' B' R' F2 U R2
F2 R2 L U D2 F B2
F2 R2 L U D2 B2 F
F2 R2 L U' F2 U2 F'
F2 R2 L D2 U F B2
F2 R2 L D2 U B2 F
F2 R2 L' U' F2 B' U2
F2 R2 L' U' B' F2 U2
F2 R2 L' D' L2 U F
L U2 D2 B2 U' F B2
L U2 D2 B2 U' B2 F
D R2 L' B' U B U
D R2 U R U R' F'
B R2 U F2 B' R' U
B R2 U B' R' F2 U
D R2 U B' R' U R
B R2 U B' F2 R' U
F2 R2 D2 L U F B2
F2 R2 D2 L U B2 F
F R2 F L U F B
F R2 F L U B F
U R2 F2 R' U R' F'
U R2 F2 U R' F' R'
U R2 F2 B' R' U R'
D R2 B U B' R' U
L' D R2 B' U B U
U R2 B' R' F2 U R'
U R2 B' F2 R' U R'
D' U R U L2 R' F'
D' U R U R' L2 F'
D' U R U R' F' L2
