U L R D F' R
R U L D F' R
U R L D F' R
R U F' L D R2
R U F' D L R2
R U F' D R2 L
U R F' L D R2
U R F' D L R2
U R F' D R2 L
R U2 F U' L F2
R U2 F U' F2 L
F U L F2 R F'
U2 D' F L' U' L2
D' U2 F L' U' L2
R F U L F2 R
U L R D F' R D
U L R D F' R D'
U L R D F' R D2
U L R D F' D R
U L R D F' D' R
U L R D F' D2 R
U L R' D R2 F' R
U L R2 D R' F' R
F' L U F2 R U' F'
U L D F' D' R F'
U L F R D F' R
U L F' R D F' R
L2 R B' L2 U L F'
L2 R B' L2 U F' L
U L F2 R D F' R
U2 L' U' L2 F R F'
U2 L' U' F L2 R F'
U2 L' U' F R L2 F'
U2 L' U' F R F' L2
R L2 B' L2 U L F'
R L2 B' L2 U F' L
R' U L R2 D F' R
R' U L D R2 F' R
R U L D F' R D
R U L D F' R D'
R U L D F' R D2
R U L D F' D R
R U L D F' D' R
R U L D F' D2 R
F L2 D2 R2 U' L' F
R' U R2 L D F' R
R' U R2 F' L D R2
R' U R2 F' D L R2
R' U R2 F' D R2 L
R U D L D F' R
R U D F' L D R2
R U D F' D L R2
R U D F' D R2 L
R U D' L D F' R
R U D' F' L D R2
R U D' F' D L R2
R U D' F' D R2 L
R U D2 L D F' R
U R L D F' R D
U R L D F' R D'
U R L D F' R D2
U R L D F' D R
U R L D F' D' R
U R L D F' D2 R
R U D2 F' L D R2
R U D2 F' D L R2
R U D2 F' D R2 L
R U F L F2 D R2
R' U F' L D R2 F'
R2 U F' L D R2 F2
R2 U F' L D F2 R2
R' U F' D L R2 F'
F' R U L D F' R2
R' U F' D R2 L F'
R' U F' D R2 F' L
R U F' L R D R2
R U F' L R' D R2
R U F' L R2 D R2
R U F' L U F2 U'
F2 R U L F R F2
R U F' L D R2 D
R U F' L D R2 D'
R U F' L D R2 D2
F' R U D L F' R2
R U F' L2 D L' R2
R U F' L2 D R2 L'
F' R U D F' L R2
F' R U D F' R2 L
R U F' R L D R2
R U F' R D L R2
R U F' R D R2 L
R U F' R' L D R2
R U F' R' D L R2
R U F' R' D R2 L
R U F' R2 L D R2
R U F' R2 D L R2
R U F' R2 D R2 L
F R U L F2 R F
R U F' U F2 U' L
F2 R U F L R F2
F2 R U F R L F2
F2 R U F R F2 L
F2 R U F' L D2 R2
R U F' D L R2 D
R U F' D L R2 D'
R U F' D L R2 D2
R U F' D R2 L D
R U F' D R2 L D'
R U F' D R2 L D2
R U F' D R2 D L
R U F' D R2 D' L
R U F' D R2 D2 L
R U F' D2 L D' R2
F R U F L F2 R
U R U F U' L F2
U R U F U' F2 L
U' R U' F U' L F2
U' R U' F U' F2 L
F R U' L' F' L2 B'
U' R U2 L D F' R
F R U' F' L2 B' L'
D' R U2 F L' U' L2
B' R U2 F U' F2 L'
U' R U2 F' L D R2
U' R U2 F' D L R2
U' R U2 F' D R2 L
F' R U2 F2 U' F L
F' R D U L F' R2
F' R D U F' L R2
F' R D U F' R2 L
U R D L D F' R
U R D F' L D R2
U R D F' D L R2
U R D F' D R2 L
U R D' L D F' R
U R D' F' L D R2
U R D' F' D L R2
U R D' F' D R2 L
U R D2 L D F' R
U R D2 F' L D R2
U R D2 F' D L R2
U R D2 F' D R2 L
U2 R F R' U' L F2
U2 R F R' U' F2 L
U R F L F2 D R2
U R F' L R D R2
U R F' L R' D R2
U R F' L R2 D R2
U R F' L U F2 U'
U R F' L D R2 D
U R F' L D R2 D'
U R F' L D R2 D2
U R F' L2 D L' R2
U R F' L2 D R2 L'
U R F' R L D R2
U R F' R D L R2
U R F' R D R2 L
U R F' R' L D R2
U R F' R' D L R2
U R F' R' D R2 L
U R F' R2 L D R2
U R F' R2 D L R2
U R F' R2 D R2 L
U R F' U F2 U' L
U R F' D L R2 D
U R F' D L R2 D'
U R F' D L R2 D2
U R F' D R2 L D
U R F' D R2 L D'
U R F' D R2 L D2
U R F' D R2 D L
U R F' D R2 D' L
U R F' D R2 D2 L
U R F' D2 L D' R2
F2 R F2 U F L R
F2 R F2 U F R L
U R' L D R2 F' R
F' R' U L D R2 F'
F' R' U D L R2 F'
F' R' U D R2 L F'
F' R' U D R2 F' L
F R' U B U2 B' L
D' R' U2 F L' U' L2
F' R' D U L R2 F'
F' R' D U R2 L F'
F' R' D U R2 F' L
R2 U2 L' U' L2 F R
U R' F' L D R2 F'
U R' F' D L R2 F'
U R' F' D R2 L F'
U R' F' D R2 F' L
R U2 D F U' L F2
R U2 D F U' F2 L
R U2 D' F U' L F2
R U2 D' F U' F2 L
U R2 L D R' F' R
R U2 D2 F U' L F2
R U2 D2 F U' F2 L
R2 U2 F L' U' L2 F
R2 U2 F L2 U' L' F
R U2 F L' U' L2 F2
R U2 F L' U' F2 L2
R U2 F L2 U' L' F2
R U2 F U' L F2 D
R U2 F U' L F2 D'
R U2 F U' L F2 D2
R U2 F U' L' F2 L2
R U2 F U' F' L F'
R U2 F U' F2 L D
R U2 F U' F2 L D'
R U2 F U' F2 L D2
R U2 F U' F2 D L
R U2 F U' F2 D' L
R U2 F U' F2 D2 L
R U2 F D' L2 U' L'
U' R2 U' F U' L F
D' R2 U2 F L' U' L2
R D U L D F' R
F' U L R D F' R2
F' U L R' D R2 F'
D' U L D R F' R
D' U L D F' R F'
R D U F' L D R2
R D U F' D L R2
R D U F' D R2 L
F U L R F2 R F
F U L F' R F' R
F U L F2 R D F'
F U L F2 R D' F'
F U L F2 R D2 F'
F U L F2 R F' D
F U L F2 R F' D'
F U L F2 R F' D2
R D U2 F U' L F2
R D U2 F U' F2 L
R D F U L F2 R
F' U R L D F' R2
F' U R D L F' R2
F' U R D F' L R2
F' U R D F' R2 L
F U L2 D2 L' R2 F
F U L2 D2 L' F R2
F U L2 D2 R2 L' F
F' U R' L D R2 F'
F U R L F2 R F
F' U R' D L R2 F'
F' U R' D R2 L F'
F' U R' D R2 F' L
F U R F L F2 R
F U R' B U2 B' L
F U F L F2 R F'
F U F' L F2 R F'
F U F2 L F2 R F'
U D' L D R F' R
U D' L D F' R F'
R D' U L D F' R
R D' U F' L D R2
R D' U F' D L R2
R D' U F' D R2 L
F U B2 R' B U2 B
R D' U2 F U' L F2
R D' U2 F U' F2 L
R D' F U L F2 R
U2 D' F L' U' L2 D
U2 D' F L' U' L2 D'
U2 D' F L' U' L2 D2
U2 D' F L' D' B2 U'
U2 D' F L' B U' L2
U2 D' F L' B' U' L2
U2 D' F L' B2 U' L2
U2 D' F U' L D F2
U2 D' F D L' U' L2
U2 D' F D' L' U' L2
F U' R U2 L F' R'
U2 D' F D2 L' U' L2
F U' R U2 F' L R'
F U' R U2 F' R' L
B2 U' R' B U' F U'
F U' R2 U2 L R2 F
F U' R2 U2 L F R2
F U' R2 U2 R2 L F
D2 U2 L' U' F L2 R
D2 U2 L' U' F R L2
U2 D2 L' U' F L2 R
U2 D2 L' U' F R L2
R D2 U L D F' R
R D2 U F' L D R2
R D2 U F' D L R2
R D2 U F' D R2 L
D' U2 F L' U' L2 D
D' U2 F L' U' L2 D'
D' U2 F L' U' L2 D2
F U' B2 R' B U2 R
D' U2 F L' D' B2 U'
D' U2 F L' B U' L2
D' U2 F L' B' U' L2
D' U2 F L' B2 U' L2
D2 U2 F L' U' F L2
D' U2 F U' L D F2
D' U2 F D L' U' L2
D2 U2 F U' L' F L2
D' U2 F D' L' U' L2
D' U2 F D2 L' U' L2
U2 D2 F L' U' F L2
U2 D2 F U' L' F L2
R D2 U2 F U' L F2
R D2 U2 F U' F2 L
R D2 F U L F2 R
D' F L' U2 L U L
D' F L' D' B2 R' U'
D' F L' B2 R' U' L2
B' U2 F U R U2 F'
B2 U2 F U R' B U2
B U2 D2 F U' L' F
U2 F L2 U' D2 L' F
U2 F L2 D2 U' L' F
R F R U L F2 R
D' F U L D F2 R
R F R' U L F2 R
R' F U B U2 B' L
U2 F U R U2 L F'
U2 F U R U2 F' L
U2 F U R2 U2 L F
R F R2 U L F2 R
U2 F U B2 R' B U2
U2 F U' L R F' R'
U2 F U' L2 D2 L' F
U2 F U' R L F' R'
U2 F U' R F' L R'
U2 F U' R F' R' L
R F U L R F2 R
R F U L R' F2 R
R F U L R2 F2 R
R F U L F2 R D
R F U L F2 R D'
R F U L F2 R D2
R F U L F2 D R
R F U L F2 D' R
R F U L F2 D2 R
R F U R L F2 R
U2 F U' D2 L' F L2
R F U R' L F2 R
R F U R2 L F2 R
U2 F U2 R U L F'
U2 F U2 R U F' L
R F U' L F2 D2 B2
R F U' F2 L D2 B2
R F U' F2 D2 L B2
U2 F D2 L' U' F L2
U2 F D2 U' L' F L2
U2 F B2 U R' B U2
U F' L R D F' R2
U F' L R' D R2 F'
R F' L U F2 R U'
D' F' R U L D R2
D' F' R U D L R2
D' F' R U D R2 L
D' F' R U2 F2 U' L
D' F' R D U L R2
D' F' R D U R2 L
U F' R L D F' R2
U F' R D L F' R2
U F' R D F' L R2
U F' R D F' R2 L
U F' R' L D R2 F'
R' F' U L D R2 F'
U F' R' D L R2 F'
U F' R' D R2 L F'
U F' R' D R2 F' L
R' F' U D L R2 F'
R' F' U D R2 L F'
R' F' U D R2 F' L
D' F' U2 F2 L' U' L2
D' F' D R U L R
D' F' D R U R L
R' F' D U L R2 F'
R' F' D U R2 L F'
R' F' D U R2 F' L
D' F2 R U L F R
R F2 R U F L R
R F2 R U F R L
D' F2 U L F D R2
D' F2 U2 F' U' L F
R F2 U F L D R2
R F2 U F D L R2
R F2 U F D R2 L
R F2 U2 F' U' L F2
R F2 U2 F' U' F2 L
B D2 U2 F U' L' F
U2 B D2 F U' L' F
B2 F U R' B U2 B'
B2 F U' R' B U2 R
L2 B' L2 R U L F'
L2 B' L2 R U F' L
L2 B' R L2 U L F'
L2 B' R L2 U F' L
R B' U2 F U' F2 L'
U' B2 R' B U' F U'
F B2 U R' B U2 B'
F B2 U' R' B U2 R
U2 B2 F U R' B U2
