U2 L2 B U' L' R'
U2 L2 B U' R' L'
D2 R2 F' U L R
D2 R2 F' U R L
D2 F' R2 U L R'
D2 F' R2 U R' L
D L U' B' L' U F2
D L B' L' U L F2
D L B' L' U F2 L
U2 L' B L' U' L' R'
U2 L' B L' U' R' L'
U2 L2 U' L' B R' B'
U2 L2 U' B R' B' L'
U2 L2 U2 B U L' R'
U2 L2 U2 B U R' L'
U2 L2 B U' L' R' D
U2 L2 B U' L' R' D'
U2 L2 B U' L' R' D2
U2 L2 B U' L' D R'
U2 L2 B U' L' D' R'
U2 L2 B U' L' D2 R'
U2 L2 B U' R' L' D
U2 L2 B U' R' L' D'
U2 L2 B U' R' L' D2
U2 L2 B U' R' D L'
U2 L2 B U' R' D' L'
U2 L2 B U' R' D2 L'
U2 L2 B U' D L' R'
U2 L2 B U' D R' L'
U2 L2 B U' D' L' R'
U2 L2 B U' D' R' L'
U2 L2 B U' D2 L' R'
U2 L2 B U' D2 R' L'
U2 L2 B D U' L' R'
U2 L2 B D U' R' L'
U2 L2 B D' U' L' R'
U2 L2 B D' U' R' L'
U2 L2 B D2 U' L' R'
U2 L2 B D2 U' R' L'
U L2 B U' R' B' L'
U2 L2 B' U L U2 L2
U2 L2 B' U' L' D2 R2
D2 R F' U L R F
D2 R F' U R L F
L2 U' B R' D' L' B2
L2 U' B R' D' B2 L'
L2 U' B D' L' R' B2
L2 U' B D' R' L' B2
L2 U' B D' R' B2 L'
L2 U' B' D' B2 L' R'
L2 U' B' D' B2 R' L'
R' U2 L2 B U' L' R'
R' U2 L2 B U' R' L'
D2 R' F' R' U L R2
D2 R' F' R' U R2 L
R2 U2 L2 B U' L' R'
R2 U2 L2 B U' R' L'
R U2 L2 B U' L' R'
R U2 L2 B U' R' L'
D' R' B U' B R' U2
D2 R2 U L F' R F
D2 R2 U F' R F L
L2 U2 B L2 U L R'
L2 U2 B L2 U R' L
D2 R2 U2 F' U' L R
D2 R2 U2 F' U' R L
D2 R2 F U L D2 R2
D2 R2 F U' L' U2 L2
D2 R2 F' U L R D
D2 R2 F' U L R D'
D2 R2 F' U L R D2
D2 R2 F' U L D R
D2 R2 F' U L D' R
D2 R2 F' U L D2 R
D2 R2 F' U R L D
D2 R2 F' U R L D'
D2 R2 F' U R L D2
D2 R2 F' U R D L
D2 R2 F' U R D' L
D2 R2 F' U R D2 L
D2 R2 F' U D L R
D2 R2 F' U D R L
D2 R2 F' U D' L R
D2 R2 F' U D' R L
D2 R2 F' U D2 L R
D2 R2 F' U D2 R L
D2 R2 F' D U L R
D2 R2 F' D U R L
D2 R2 F' D' U L R
D2 R2 F' D' U R L
D2 R2 F' D2 U L R
D2 R2 F' D2 U R L
D2 U L F D' F2 R
D2 U L F' D' R F2
D U L U' B' U F2
U D L U' B' U F2
D U L F2 U' B' U
U D L F2 U' B' U
U2 D L' F U' F L2
L' D F2 L R B' U
L' D F2 L B' R U
L' D F2 R L B' U
D2 U F D' F2 L R
D2 U F D' F2 R L
D2 U F' L D' R F2
D2 U F' D' L R F2
D2 U F' D' R L F2
D2 U F' D' R F2 L
D U F' D L F' R
D U F' D F' L R
D U F' D F' R L
D U F2 L U' B' U
U D F' D L F' R
U D F' D F' L R
U D F' D F' R L
U D F2 L U' B' U
D' U' B2 R' U B U
U' D' B2 R' U B U
U D2 L F D' F2 R
U D2 L F' D' R F2
D U2 L' F U' F L2
R' D2 R2 F' U L R
R' D2 R2 F' U R L
R2 D2 R2 F' U L R
R2 D2 R2 F' U R L
R D2 R2 F' U L R
R D2 R2 F' U R L
R' D2 F' R2 U L R'
R' D2 F' R2 U R' L
F' U2 L2 B U' L' R'
F' U2 L2 B U' R' L'
F2 U2 L2 B U' L' R'
F2 U2 L2 B U' R' L'
U D2 F D' F2 L R
U D2 F D' F2 R L
R2 D2 F' R2 U L R'
R2 D2 F' R2 U R' L
U D2 F' L D' R F2
R D2 F' R2 U L R'
R D2 F' R2 U R' L
U D2 F' D' L R F2
U D2 F' D' R L F2
U D2 F' D' R F2 L
F U2 L2 B U' L' R'
F U2 L2 B U' R' L'
U2 F L2 B U' L' R'
U2 F L2 B U' R' L'
D2 F R2 U L D2 R2
D2 F R2 U' L' U2 L2
D2 F R2 F2 U L R
D2 F R2 F2 U R L
D2 F U D' F2 L R
D2 F U D' F2 R L
D2 F D' U F2 L R
D2 F D' U F2 R L
U2 F' L2 B U' L' R'
U2 F' L2 B U' R' L'
D2 F' R2 U L R' D
D2 F' R2 U L R' D'
D2 F' R2 U L R' D2
D2 F' R2 U L D R'
D2 F' R2 U L D' R'
D2 F' R2 U L D2 R'
D2 F' R2 U R' L D
D2 F' R2 U R' L D'
D2 F' R2 U R' L D2
D2 F' R2 U R' D L
D2 F' R2 U R' D' L
D2 F' R2 U R' D2 L
D2 F' R2 U D L R'
D2 F' R2 U D R' L
D2 F' R2 U D' L R'
D2 F' R2 U D' R' L
D2 F' R2 U D2 L R'
