D B R' F' L' U
D L B R' F' L' U
F' L' D B R' F' U
D L' B R' F' L' U
B2 L2 F R B U' F'
D L2 B R' F' L' U
U' R D F' B L R'
U' R D F' B R' L
U' R D B L F' R'
U' R D B F' L R'
U' R D B F' R' L
F R D B U' F' R'
U' R D' F' B L R
U' R D' F' B R L
U' R D' B L F' R
U' R D' B F' L R
U' R D' B F' R L
U R D' F' L' R B'
U R D' F' L' B' R
U R D' F' R L' B'
F R D' B U' F' R
U' R F' D B L R'
U' R F' D B R' L
U' R B L D' F' R
U' R B D' L F' R
U' R B D' F' L R
U' R B D' F' R L
F R B U' D' F' R
F R B D' U' F' R
D2 R' F' L' U F R
D' R' F' L' R B U
D' R' F' R L' B U
D' R' F' R B L' U
B R' F' L' R2 U F'
B R' F' L' U' B U2
B R' F' R2 L' U F'
F R2 F' R' B U' F'
L' D B R' F' L' U
B U R F' L' R' B'
B U R F' R' L' B'
L2 D B R' F' L' U
L D B R' F' L' U
B U D2 F' L' F B'
B U D2 F' L' B' F
U2 D B L R' F U
U2 D B L F R' U
U2 D B R' L F U
B U F' D2 L' F B'
B U F' D2 L' B' F
B U' R U2 F' L' B
B U' R U2 F' B L'
B U' R U2 B F' L'
B U' R' F' B U2 L
B U' R' B F' U2 L
R D' B U' F' R B
B U' B' R' F' B U2
B U' B' R' B F' U2
B U2 R U' F' L' B'
D U2 B L R' F U
D U2 B L F R' U
D U2 B R' L F U
F' D L' B R' F' U
R F B R F' U' F'
R' F' L' U' B L U2
D F' L' B R' F' U
F' D B L' R' F' U
F' D B R' L' F' U
F2 D B R' F' U B
D F' B L' R' F' U
B D' R' F' L' R U
B D' R' F' R L' U
D F' B R' L' F' U
B D2 R' F' L' U F
U2 B L R F U F2
B D2 U F' L' F B'
B D2 U F' L' B' F
U2 B L F R U F'
D B L R' F' L' U
D B L' R' F' L' U
U' B R U L F' B
U' B R U L B F'
U' B R U F' L B
D B L2 R' F' L' U
U2 B R L F U F2
D2 B R' F' L' U F
D' B R' F' L' R U
D' B R' F' R L' U
D B R' L F' L' U
D B R' L' F' L' U
D B R' L2 F' L' U
D B R' D F' L' U
D B R' D' F' L' U
D B R' D2 F' L' U
D B R' F' L' U D
D B R' F' L' U D'
D B R' F' L' U D2
D B R' F' L' D U
D B R' F' L' D' U
D B R' F' L' D2 U
D B R' F' D L' U
D B R' F' D' L' U
D B R' F' D2 L' U
D2 B U F' L' F B'
D2 B U F' L' B' F
R B U' D' F' R B
D B D R' F' L' U
D B D' R' F' L' U
D B D2 R' F' L' U
R B D' U' F' R B
D B F' L' R' F' U
D B F' R' L' F' U
R B F R F' U' F'
B F U2 R U' F' L'
F B U2 R U' F' L'
