B' L B' U F L' U2
F' R D L' F B' L'
F' R D L' B' F L'
F' R D F L' F B'
F' R D F L' B' F
F' D L' R F B' L'
F' D L' R B' F L'
F2 D L' F R B' L'
F' D L' B' R F L'
F2 D L' F B' L' R
F2 D L' F B' R L'
F2 D L' B' F L' R
F2 D L' B' F R L'
F D L' U2 F B' L'
F D L' U2 B' F L'
F' D R L' F B' L'
F' D R L' B' F L'
F' D R F L' F B'
F' D R F L' B' F
F2 D F L' R F B'
F2 D F L' R B' F
F2 D F L' B' R F
F2 D F R L' F B'
F2 D F R L' B' F
F D F L' F R B'
F D F L' F B' R
F D F L' B' F R
F' D' L' R F' B' L
F' D' L' R B' L F'
F' D' L' R B' F' L
F' D' L' B' L R F'
F' D' L' B' R L F'
F' D' L' B' R F' L
L' F' D' R F' B' L2
L' F' D' R B' L2 F'
L' F' D' R B' F' L2
F' D' R L' F' B' L
F' D' R L' B' L F'
F' D' R L' B' F' L
L' F' D' B' L2 R F'
L' F' D' B' R L2 F'
L' F' D' B' R F' L2
F' D' R F' L' B' L
F' D' R F' L' B' L
