L2 U2 D' R F' B
L2 U2 D' R B F'
L U2 D' R F' B'
L U2 D' R B' F'
L U2 D' B' R F'
B' U' L U' R B'
B' U' L U' B' R
L D' U2 R F' B'
L D' U2 R B' F'
L2 D' U2 R F' B
L2 D' U2 R B F'
L D' U2 B' R F'
U2 L R D B' L' F
U2 L R B' L' D F2
B L U R' U R2 B'
B L U R' U B' R2
U L U D' R F' B'
U L U D' R B' F'
U L U D' B' R F'
U' L U' D' R F' B'
U' L U' D' R B' F'
U' L U' D' B' R F'
B L U2 R D' F2 B'
B L U2 R D' B' F2
B L U2 R B' D' F2
B L U2 B' D' R F'
U2 L D R B' L' F
U2 L D B' L' R F
U2 L D B' R L' F
U2 L D' R B' L' F'
U' L D' U' R F' B'
U' L D' U' R B' F'
U' L D' U' B' R F'
U L D' U R F' B'
U L D' U R B' F'
U L D' U B' R F'
U2 L D' B' L' R F'
U2 L D' B' R L' F'
U L B R' U R2 B2
U L B R' U B2 R2
U2 L B' L' R D F2
U2 L B' L' D R F2
U2 L B' R L' D F2
B' L' U' L2 U' R B'
B' L' U' L2 U' B' R
F' L' D' F U2 R F'
F2 L' D2 F U' L' U'
F' L' F U2 D' R F'
F' L' F D' U2 R F'
F2 L' F B U R' U
F L' F D L' U2 F
F2 L' F B' U' L U'
F2 L' B F U R' U
F2 L' B' F U' L U'
B' L2 U' L' U' R B
B L2 U2 R D' F2 B
B L2 U2 R D' B F2
B L2 U2 R B D' F2
F2 L2 D L F B' U2
F2 L2 D L B' F U2
U2 R L D B' L' F
U2 R L B' L' D F2
L2 U B L R' U R2
L2 U B R' L U R2
L U B R' U R2 B2
L U B R' U B2 R2
R U B' L U' B' L
D' R D F' B2 L B'
D' R D B2 L F' B'
D' R D B2 L B' F'
D' R D B2 F' L B'
R U B2 U' L F B'
R U B2 U' L B' F
D' R F' D B2 L B'
U2 R B' U L U' B'
B R B2 L D' F2 B'
B R B2 L D' B' F2
B R B2 L B' D' F2
B R' U R2 B2 L B'
L2 U2 R B U' R' U
L U2 R B' U L U'
L' U2 D' R F' D2 B2
L2 U2 D' R D F' B
L2 U2 D' R D B F'
L2 U2 D' R D' F' B
L2 U2 D' R D' B F'
L2 U2 D' R D2 F' B
L2 U2 D' R D2 B F'
L2 U2 D' R F' D B
L2 U2 D' R F' D' B
L2 U2 D' R F' D2 B
L2 U2 D' R F' B D
L2 U2 D' R F' B D'
L2 U2 D' R F' B D2
L2 U2 D' R B D F'
L2 U2 D' R B D' F'
L2 U2 D' R B D2 F'
L2 U2 D' R B F' D
L2 U2 D' R B F' D'
L2 U2 D' R B F' D2
L U2 D B' D2 R F'
L2 U2 D' B R F' B
L2 U2 D' B R B F'
L2 U2 D' B' R F' B
L2 U2 D' B' R B F'
L2 U2 D' B2 R F' B
L2 U2 D' B2 R B F'
L U2 D' R D F' B'
L U2 D' R D B' F'
L U2 D' R D' F' B'
L U2 D' R D' B' F'
L U2 D' R D2 F' B'
L U2 D' R D2 B' F'
L U2 D' R F' D B'
L U2 D' R F' D' B'
L U2 D' R F' D2 B'
L U2 D' R F' B' D
L U2 D' R F' B' D'
L U2 D' R F' B' D2
L U2 D' R B' D F'
L U2 D' R B' D' F'
L U2 D' R B' D2 F'
L U2 D' R B' F' D
L U2 D' R B' F' D'
L U2 D' R B' F' D2
L U2 D' B R F' B2
L U2 D' B R B2 F'
L U2 D' B' R D F'
L U2 D' B' R D' F'
L U2 D' B' R D2 F'
L U2 D' B' R F' D
L U2 D' B' R F' D'
L U2 D' B' R F' D2
L U2 D2 B' D R F'
L2 U2 B R D' F2 B
L2 U2 B R D' B F2
L2 U2 B R B D' F2
L U2 B R B2 D' F2
L U2 B' R U L U'
L U2 B' U L U' R
L' D L' U2 R F B
L' D L' U2 R B F
L2 D L' U2 R F B'
L2 D L' U2 R B' F
L2 D L' U2 B' R F
L D L B' U2 R B
B U L R' U R2 B'
B U L R' U B' R2
L D U2 B' D2 R F'
L' D F2 L' F' U2 F2
L2 D F2 L' U2 F B'
L2 D F2 L' U2 B' F
B U R' L U R2 B'
B U R' L U B' R2
L' D' L' U2 R F' B
L' D' L' U2 R B F'
L D' L U2 R F' B
L D' L U2 R B F'
B U D2 R' U B R2
L2 D' L' U2 R F' B'
L2 D' L' U2 R B' F'
L2 D' L' U2 B' R F'
L' D' L2 U2 R F' B'
L' D' L2 U2 R B' F'
L' D' L2 U2 B' R F'
D' U B' L U R F'
L' D' R F' D2 B2 L
D' U B2 U R F' B
D' U B2 U R B F'
L D' R F' B2 L B
L D' R B2 L F' B
L D' R B2 L B F'
L D' R B2 F' L B
B' U' L R' U' R2 B'
B' U' L R' U' B' R2
B' U' L R2 U' R' B'
B' U' L U' R D B'
B' U' L U' R D' B'
B' U' L U' R D2 B'
B' U' L U' R B' D
B' U' L U' R B' D'
B' U' L U' R B' D2
B' U' L U' R' B' R2
B' U' L U' D R B'
B' U' L U' D B' R
B' U' L U' D' R B'
B' U' L U' D' B' R
B' U' L U' D2 R B'
B' U' L U' D2 B' R
B' U' L U' B R B2
B' U' L U' B' R D
B' U' L U' B' R D'
B' U' L U' B' R D2
B' U' L U' B' D R
B' U' L U' B' D' R
B' U' L U' B' D2 R
B' U' L D U' R B'
L' D' U2 R F' D2 B2
B' U' L D U' B' R
B' U' L D' U' R B'
B' U' L D' U' B' R
B2 U' L U' R F B'
B2 U' L U' R B' F
B' U' L D2 U' R B'
B' U' L D2 U' B' R
B2 U' L U' B' R F
L2 D' U2 R D F' B
L2 D' U2 R D B F'
L2 D' U2 R D' F' B
L2 D' U2 R D' B F'
L2 D' U2 R D2 F' B
L2 D' U2 R D2 B F'
L2 D' U2 R F' D B
L2 D' U2 R F' D' B
L2 D' U2 R F' D2 B
L2 D' U2 R F' B D
L2 D' U2 R F' B D'
L2 D' U2 R F' B D2
L2 D' U2 R B D F'
L2 D' U2 R B D' F'
L2 D' U2 R B D2 F'
L2 D' U2 R B F' D
L2 D' U2 R B F' D'
L2 D' U2 R B F' D2
L2 D' U2 B R F' B
L2 D' U2 B R B F'
L2 D' U2 B' R F' B
L2 D' U2 B' R B F'
L2 D' U2 B2 R F' B
L2 D' U2 B2 R B F'
L' D' F U2 R F' R
L' D' F U2 F' R F'
L D' U2 R D F' B'
L D' U2 R D B' F'
L D' U2 R D' F' B'
L D' U2 R D' B' F'
L D' U2 R D2 F' B'
L D' U2 R D2 B' F'
L D' U2 R F' D B'
L D' U2 R F' D' B'
L D' U2 R F' D2 B'
L D' U2 R F' B' D
L D' U2 R F' B' D'
L D' U2 R F' B' D2
L D' U2 R B' D F'
L D' U2 R B' D' F'
L D' U2 R B' D2 F'
L D' U2 R B' F' D
L D' U2 R B' F' D'
L D' U2 R B' F' D2
L D' U2 B R F' B2
L D' U2 B R B2 F'
L D' U2 B' R D F'
L D' U2 B' R D' F'
L D' U2 B' R D2 F'
L D' U2 B' R F' D
L D' U2 B' R F' D'
L D' U2 B' R F' D2
U2 D' R2 D' R' F' B
U2 D' R2 D' R' B F'
B' U' R' L U' R2 B'
B' U' R' L U' B' R2
B' U' R2 L U' R' B'
L2 D' B U2 R F' B
L2 D' B U2 R B F'
L D' B R F' B2 L
L D' B R B2 L F'
L D' B R B2 F' L
L D' B U2 R F' B2
L D' B U2 R B2 F'
L D' B U2 B2 R F'
L2 D' B' U2 R F' B
L2 D' B' U2 R B F'
L2 D' B2 U2 R F' B
L2 D' B2 U2 R B F'
U2 D' B R D F' B2
U2 D' B R D B2 F'
U2 D' B R F' D B2
L D' B2 U2 B R F'
U D' B' L U R F'
U D' B2 U R F' B
U D' B2 U R B F'
D' U2 R2 D' R' F' B
D' U2 R2 D' R' B F'
B' U2 L U' R B' L'
B' U2 L U' B' L' R
B' U2 L U' B' R L'
L D2 U2 B' D R F'
B' U2 R U L U' B'
D' U2 B R D F' B2
D' U2 B R D B2 F'
D' U2 B R F' D B2
L' F U2 F' D' R F'
L' F2 D L' F' U2 F2
L2 F2 D L' U2 F B'
L2 F2 D L' U2 B' F
B D2 U R' U B R2
U B L R' U R2 B'
U B L R' U B' R2
D' B R D F' B2 L
D' B R D B2 L F'
D' B R D B2 F' L
D' B R F' D B2 L
L B R B2 L D' F2
L B R B2 D' L F2
L B R B2 D' F2 L
U B R' L U R2 B'
U B R' L U B' R2
L B R' U R2 B2 L
D' B U' R' U' R2 F'
D' B U2 R D F' B2
D' B U2 R D B2 F'
D' B U2 R F' D B2
L B U R' U R2 B2
L B U R' U B2 R2
L2 B U2 R D' F2 B
L2 B U2 R D' B F2
L2 B U2 R B D' F2
F2 B L' F U R' U
L B U2 R B2 D' F2
U B D2 R' U B R2
U' B' L B U' R B2
U' B' L B U' B2 R
U2 B' L U' R B' L'
U2 B' L U' B' L' R
U2 B' L U' B' R L'
U2 B' R U L U' B'
D' B' U L U R F'
F2 B' L' U' L2 U' B'
U2 B' U L U' R B'
U2 B' U L U' B' R
F2 B' L' D F U2 F
F2 B' L' D' F B2 U2
F2 B' L' D' B2 F U2
F2 B' L' F U' L2 U'
F2 B' L' F U2 D F2
F2 B' L' F D U2 F2
F2 B' L' F D' B2 U2
L2 B' U' L U' R B
R B' U L U' B' L
U B' U2 L U' R B'
U B' U2 L U' B' R
B' F' U' L U' B' R'
F' B' U' L U' B' R'
B' F2 L' U' L2 U' B'
R B2 L B' U' R' U
B' F2 L' D F U2 F
B' F2 L' D' F B2 U2
B' F2 L' D' B2 F U2
B' F2 L' F U' L2 U'
B' F2 L' F U2 D F2
B' F2 L' F D U2 F2
B' F2 L' F D' B2 U2
B F2 L' F U R' U
