R' D2 F' B R2
R' D2 B F' R2
R D2 R2 F' B
R D2 R2 B F'
R' F' D2 B R2
R' F' B D2 R2
R' B D2 F' R2
R' B F' D2 R2
L2 R F' B U2 L2
L2 R B F' U2 L2
L2 R' U2 L2 F' B
L2 R' U2 L2 B F'
L2 R' U2 F' L2 B
L2 R' U2 F' B L2
L2 R' U2 B L2 F'
L2 R' U2 B F' L2
R' L2 U2 L2 F' B
R' L2 U2 L2 B F'
R' L2 U2 F' L2 B
R' L2 U2 F' B L2
R' L2 U2 B L2 F'
R' L2 U2 B F' L2
R L2 F' B U2 L2
R L2 B F' U2 L2
F' R D2 R2 F' B
F' R D2 R2 B F'
F2 R D2 R2 F' B
F2 R D2 R2 B F'
B' R D2 R2 F' B
B' R D2 R2 B F'
B2 R D2 R2 F' B
B2 R D2 R2 B F'
B R D2 R2 F' B
B R D2 R2 B F'
F R D2 R2 F' B
F R D2 R2 B F'
F' R' D2 F' B R2
F' R' D2 B F' R2
B' R' D2 F' B R2
D2 R' D2 F' R' B
F2 R' D2 F' B R2
B' R' D2 B F' R2
R' U2 L2 U2 F' B
R' U2 L2 U2 B F'
F2 R' D2 B F' R2
B2 R' D2 F' B R2
B2 R' D2 B F' R2
B R' D2 F' B R2
B R' D2 B F' R2
F R' D2 F' B R2
F R' D2 B F' R2
F' R' F' D2 B R2
F' R' F' B D2 R2
F2 R' F' D2 B R2
B' R' F' D2 B R2
F2 R' F' B D2 R2
D2 R' F' D2 R' B
B' R' F' B D2 R2
B2 R' F' D2 B R2
B2 R' F' B D2 R2
R U2 L2 F' B U2
R U2 L2 B F' U2
R U2 L2 B F' U2
B R' F' D2 B R2
B R' F' B D2 R2
F R' F' D2 B R2
F R' F' B D2 R2
F' R' B D2 F' R2
F' R' B F' D2 R2
B' R' B D2 F' R2
F2 R' B D2 F' R2
B' R' B F' D2 R2
F2 R' B F' D2 R2
B2 R' B D2 F' R2
B2 R' B F' D2 R2
B R' B D2 F' R2
B R' B F' D2 R2
F R' B D2 F' R2
F R' B F' D2 R2
R U2 F' L2 B U2
R U2 F' B L2 U2
R U2 B L2 F' U2
R U2 B F' L2 U2
R' D B D F' R2
R' D' F' D' B R2
R D2 R2 D F' B
R D2 R2 D B F'
R D2 R2 D' F' B
R D2 R2 D' B F'
R D2 R2 D2 F' B
R D2 R2 D2 B F'
R D2 R2 F' D B
R D2 R2 F' D' B
R D2 R2 F' D2 B
R D2 R2 F' B D
R D2 R2 F' B D'
R D2 R2 F' B D2
R D2 R2 B D F'
R' D2 F B R2 F2
R D2 R2 B D' F'
R D2 R2 B D2 F'
R D2 R2 B F' D
R D2 R2 B F' D'
R D2 R2 B F' D2
R' D2 F' B R2 D
R' D2 F' B R2 D'
R' D2 F' B R2 D2
R' D2 F' B' R2 B2
R' D2 F' B2 R2 B'
R' D2 F2 B R2 F
R' D2 B F R2 F2
R' D2 B F' R2 D
R' D2 B F' R2 D'
R' D2 B F' R2 D2
R' D2 B F2 R2 F
R' D2 B' F' R2 B2
R' D2 B2 F' R2 B'
R' F D2 B R2 F'
R F D2 R2 F' B2
R F D2 R2 B2 F'
R' F' R2 D2 R2 B
R F' L2 B U2 L2
R' F' U2 L2 U2 B
R' F' D B D R2
R' F' D2 B R2 D
R' F' D2 B R2 D'
R' F' D2 B R2 D2
R' F' D2 B' R2 B2
R' F' D2 B2 R2 B'
R' F' B R D2 R2
R' F' B R' D2 R2
R' F' B R2 D2 R2
R' F' B U2 L2 U2
R' F' B U2 L2 U2
R' F' B D2 R2 D
R' F' B D2 R2 D'
R' F' B D2 R2 D2
R' F' B2 D2 R2 B'
R' F' B2 D2 B' R2
R F' B L2 U2 L2
R' F2 D2 F B R2
R' F2 D2 B R2 F
R' F2 D2 B F R2
R' F2 B D2 R2 F
R' F2 B D2 F R2
R' B R2 D2 R2 F'
R B L2 F' U2 L2
R' B U2 L2 U2 F'
R' B D' F' D' R2
R' B D' F' D' R2
R' B D2 F R2 F2
R' B D2 F' R2 D
R' B D2 F' R2 D'
R' B D2 F' R2 D2
R' B D2 F2 R2 F
R' B F' R D2 R2
R' B F' R' D2 R2
R' B F' R2 D2 R2
R' B F' U2 L2 U2
R' B F' D2 R2 D
R' B F' D2 R2 D'
R' B F' D2 R2 D2
R' B F2 D2 R2 F
R' B F2 D2 F R2
R B F' L2 U2 L2
R' B' D2 F' R2 B
R B' D2 R2 F2 B
R B' D2 R2 B F2
L B2 L' R' F' B
L B2 L' R' B F'
L B2 R' L' F' B
L B2 R' L' B F'
L B2 R' B L' F'
R' B2 D2 F' R2 B'
R' B2 D2 F' B' R2
R' B2 D2 B' F' R2
R' B2 F' D2 R2 B'
R' B2 F' D2 B' R2
D2 L R2 D2 B' L' F
D2 L R2 B' D2 L' F
U' L U B2 R' F' B
U' L U B2 R' B F'
U L U' B2 R' F' B
U L U' B2 R' B F'
U2 L U2 F B2 R' B
L2 R D2 R2 U2 F' B
L2 R D2 R2 U2 B F'
U2 L U2 B2 R' F B
U2 L U2 B2 R' B F
U2 L U2 B2 F R' B
L2 R D2 F' R2 U2 F'
L2 R D2 F' B R2 U2
L2 R D2 B R2 U2 B
L2 R D2 B F' R2 U2
L2 R F' R2 U2 L2 F'
L2 R F' R2 U2 F' L2
L2 R F' D2 R2 U2 F'
L2 R F' D2 B R2 U2
L2 R F' B R U2 L2
L2 R F' B R' U2 L2
L2 R F' B R2 U2 L2
L2 R F' B U2 L2 D
L2 R F' B U2 L2 D'
L2 R F' B U2 L2 D2
L2 R F' B D2 R2 U2
L2 R F' B2 U2 L2 F
L2 R F2 B U2 L2 B'
R' L B L' D2 F' R
L2 R B R2 U2 L2 B
L2 R B R2 U2 B L2
R' L B D2 L' F' R
L2 R B D2 R2 U2 B
L2 R B D2 F' R2 U2
L2 R B F' R U2 L2
L2 R B F' R' U2 L2
L2 R B F' R2 U2 L2
L2 R B F' U2 L2 D
L2 R B F' U2 L2 D'
L2 R B F' U2 L2 D2
L2 R B F' D2 R2 U2
L2 R B F2 U2 L2 B'
L2 R B2 F' U2 L2 F
D2 L B' L' R' F' R'
D2 L B' R' L' F' R'
D2 L B' R2 D2 L' F
F' L B2 L' R' F' B
F' L B2 L' R' B F'
B' L B2 L' R' F' B
B' L B2 L' R' B F'
F2 L B2 L' R' F' B
F2 L B2 L' R' B F'
B2 L B2 L' R' F' B
B2 L B2 L' R' B F'
F' L B2 R' L' F' B
F' L B2 R' L' B F'
F L B2 L' R' F' B
F L B2 L' R' B F'
F' L B2 R' B L' F'
B L B2 L' R' F' B
B L B2 L' R' B F'
B' L B2 R' L' F' B
B' L B2 R' L' B F'
F2 L B2 R' L' F' B
F2 L B2 R' L' B F'
B' L B2 R' B L' F'
F2 L B2 R' B L' F'
B2 L B2 R' L' F' B
B2 L B2 R' L' B F'
F L B2 R' L' F' B
F L B2 R' L' B F'
B2 L B2 R' B L' F'
B L B2 R' L' F' B
B L B2 R' L' B F'
F L B2 R' B L' F'
B L B2 R' B L' F'
L2 R' U2 L F' L B
U2 L B2 U2 R' F B
U2 L B2 U2 R' B F
L2 R' U2 L' B L' F'
U2 L B2 U2 F R' B
L2 R' U2 L2 D F' B
L2 R' U2 L2 D B F'
L2 R' U2 L2 D' F' B
L2 R' U2 L2 D' B F'
L2 R' U2 L2 D2 F' B
L2 R' U2 L2 D2 B F'
L2 R' U2 L2 F' D B
L2 R' U2 L2 F' D' B
L2 R' U2 L2 F' D2 B
L2 R' U2 L2 F' B D
L2 R' U2 L2 F' B D'
L2 R' U2 L2 F' B D2
L2 R' U2 L2 B D F'
L2 R' U2 L2 B D' F'
L2 R' U2 L2 B D2 F'
L2 R' U2 L2 B F' D
L2 R' U2 L2 B F' D'
L2 R' U2 L2 B F' D2
L2 R' U2 F L2 F2 B
L2 R' U2 F L2 B F2
L2 R' U2 F B L2 F2
L2 R' U2 F' L' B L'
L2 R' U2 F' L2 D B
L2 R' U2 F' L2 D' B
L2 R' U2 F' L2 D2 B
L2 R' U2 F' L2 B D
