R B L U L' F'
B L R B U L' F'
B L U L' F R F'
B L U D2 L' F R
B L U F R F' L'
B L D2 U L' F R
L R B L U L2 F'
L R B L U F' L2
L2 R B L U L F'
L2 R B L U F' L
R L B L U L2 F'
R L B L U F' L2
D2 L' U F L R B
D2 L' U F R L B
R L2 B L U L F'
R L2 B L U F' L
L' U L F R F' B
L' U L F R B F'
L U L' F R F' B
L U L' F R B F'
L2 U L2 F R F' B
L2 U L2 F R B F'
R2 U R F' L' U' B
L U D2 L' F R B
L' U F L R F' B
L' U F L R B F'
B R L B U L' F'
L' U F R L F' B
L' U F R L B F'
L' U F R F' L B
L2 U F L2 R F' B
L2 U F L2 R B F'
L2 U F R L2 F' B
L2 U F R L2 B F'
L2 U F R F' L2 B
L2 U F R F' B L2
L2 U F R B L2 F'
L2 U F R B F' L2
L U F R F' L' B
L U F R F' B L'
L U F R B F' L'
B R U' L B U F'
L U' L' R F' B' R'
L U' L' R B' F' R'
L U' L' R2 B' R' F'
L U' L' B' R F' R2
R U' L' B U F' B2
R U' L' B U B2 F'
U R F U' B R F2
B' R F' U R2 F' U'
B R F' U' L B U
L U' R L' F' B' R'
L U' R L' B' F' R'
F' R B L U L' F'
F2 R B L U L' F'
D R B L R' U L'
D R B R' L U L'
F R B L U L' F'
L U' R2 L' B' R' F'
B' R B' D' F' R2 B
L U' D2 L' F B' R'
L U' D2 L' B' R' F
L U' D2 L' B' F R'
R U' B L' U F' B'
R U' B L' U B' F'
B' R2 U R F' L' U'
B2 R2 D' R' F' B R
B2 R2 D' R' B F' R
R D B L U L' F'
B' U F R' U' R2 F'
R D' B L U L' F'
L D2 U L' F R B
L D2 U' L' F B' R'
L D2 U' L' B' R' F
L D2 U' L' B' F R'
R D2 B L U L' F'
U F R' U' R2 F' B
U F R' U' R2 B F'
R F B L U L' F2
D' F' R B L U L'
R F' U' L' B U B2
R F' U' B L' U B'
R F' B' U' B2 L U
R F' B2 U' B' L U
U F2 R U' F' B R
U F2 R U' B F' R
R F2 B L U L' F
R B L U L F' L2
R B L U L' D F'
R B L U L' D' F'
R B L U L' D2 F'
R B L U L' F' D
R B L U L' F' D'
R B L U L' F' D2
R B L U L2 F' L
R B L U D L' F'
R B L U D' L' F'
R B L U D2 L' F'
R B L D U L' F'
R B L D' U L' F'
R B L D2 U L' F'
R B D L U L' F'
R B D' L U L' F'
R B D2 L U L' F'
R B F L U L' F2
R B F2 L U L' F
D B' R' F' L U' L'
R B' U' B2 L U F'
R B' F' U' B2 L U
R B2 U' B' L U F'
R2 B2 D' R' F' B R
R2 B2 D' R' B F' R
R B2 F' U' B' L U
