B L F R U R' U
F' L B' U L2 R' B'
F' L B' U R' L2 B'
F' L' R' B' R' D' F2
F' L' R2 D' F2 B' R'
F' L' R2 D' B' R' F2
F' L' R2 D' B' F2 R'
F' L' R2 B' D' R' F2
F' L' R2 B' D' F2 R'
B' L' F' U R' B' L'
F' L' B' R' U' R U
F' L' B' R2 D' R F2
U L' B' R' F' U' F
R' U R B L F U
U R B L F U F'
R U' R' F' L' B' U
F' R' L' B' R' D' F2
F' R2 L' D' F2 B' R'
F' R2 L' D' B' R' F2
F' R2 L' D' B' F2 R'
F' R2 L' B' D' R' F2
F' R2 L' B' D' F2 R'
F' R2 D' L' F2 B' R'
F' R2 D' L' B' R' F2
F' R2 D' L' B' F2 R'
R2 D' F' L' F' B' R'
R2 D' F' L' B' F' R'
U F U' F' L' B' R'
R2 F D' F2 L' B' R'
R2 F' L' D' F2 B' R'
R2 F' L' D' B' R' F2
R2 F' L' D' B' F2 R'
R2 F' L' B' D' R' F2
R2 F' L' B' D' F2 R'
U F' U F R B L
R2 F' D' L' F2 B' R'
R2 F' D' L' B' R' F2
R2 F' D' L' B' F2 R'
L' F' B U B2 L' R'
L' F' B U B2 R' L'
L' F' B2 U L' B R'
L' F' B2 U B L' R'
L' F' B2 U B R' L'
L' B F' U B2 L' R'
L' B F' U B2 R' L'
B' F' L U L2 R' B'
B' F' L U R' L2 B'
F' B' L U L2 R' B'
F' B' L U R' L2 B'
B' F' L2 U L R' B'
B' F' L2 U R' L B'
F' B' L2 U L R' B'
F' B' L2 U R' L B'
L' B2 F' U L' B R'
L' B2 F' U B L' R'
L' B2 F' U B R' L'
