B' R' U' F' U' B'
L2 R B U F L B
B L B R2 D' F' R
D L2 R B U F L
B' L2 R' F U' F2 U'
B' L2 R' F U2 D R2
B' L2 R' F D U2 R2
B' L2 R' F D' L2 U2
R L2 B U F L B
B' L2 F R' U' F' U'
D L2 B U F L R
D L2 B U F R L
D R L2 B U F L
B' R' L2 F U' F2 U'
B' R' L2 F U2 D R2
B' R' L2 F D U2 R2
B' R' L2 F D' L2 U2
B' R' U' R U' B' R'
B' R' U' D F' U' B'
B' R' U' D' F' U' B'
B' R' U' D2 F' U' B'
B' R' U' F' R U' B'
B' R' U' F' R' U' B'
B' R' U' F' R2 U' B'
B' R' U' F' U' D B'
B' R' U' F' U' D' B'
B' R' U' F' U' D2 B'
B' R' U' F' U' B' D
B' R' U' F' U' B' D'
B' R' U' F' U' B' D2
B' R' U' F' D U' B'
B' R' U' F' D' U' B'
B' R' U' F' D2 U' B'
B' R' U2 R2 B' D' R2
B' R' U2 B' U F' U'
B' R' D U' F' U' B'
B' R' D' U' F' U' B'
B' R' D2 U' F' U' B'
B' R' F U' F2 U' B'
B' R' F U2 D R2 B'
B' R' F U2 D B' R2
B' R' F U2 B' D R2
B' R' F D U2 R2 B'
B' R' F D U2 B' R2
B' R' F D' L2 F U2
B' R' F2 U' F U' B'
R D L2 B U F L
B U B2 R' U2 B' R'
B' U' B2 U' L B R'
B' D R' U' F' U' B'
B' D' R' U' F' U' B'
B' D2 R' U' F' U' B'
D2 F2 B' R' U' F' U'
L2 B U F L B R
R B U L D2 F2 B
R B U L D2 B F2
R B U D2 L F2 B
R B U D2 L B F2
R B U D2 F2 L B
R B U' B2 R' U2 B'
B' F R' U' F' U' B'
R B D2 U L F2 B
R B D2 U L B F2
R B D2 U F2 L B
D' B' R' U' F' R' U'
D2 B' R' F2 U' F U'
R2 B' R' U B U B2
R2 B' R' U2 B' D' R2
R B' R' U B2 U B
R B' R' U2 D' R2 B'
R B' R' U2 D' B' R2
R B' R' D L2 F U2
R B' R' D' U2 R2 B'
R B' R' D' U2 B' R2
B' F' R' U' F' U' B'
F' B' R' U' F' U' B'
R B' U B2 U L B
F2 B' R' U' F' U' B'
F B' R' U' F' U' B'
R B' D L2 R' F U2
R B' D L2 F R' U2
R B' D R' L2 F U2
R B' D' R' U2 R' B'
D2 B' F2 R' U' F' U'
B' F2 R' U' F' U' B'
