R' L U L2 U
R' L U2 D' B2
R' L D F2 U2
R' L D' U2 B2
L R' U L2 U
L R' U2 D' B2
L R' D F2 U2
L R' D' U2 B2
L U2 D' B2 L
L D R' F2 U2
L D F2 R' U2
L D' R' U2 B2
L D' U2 B2 L
R' L U L2 U D
R' L U L2 U D'
R' L U L2 U D2
R' L U L2 D U
R' L U L2 D U
R' L U L2 D' U
R' L U L2 D2 U
D' L R' U L2 U
D L R' U L2 U
F2 L R' U' R2 U'
D L R' U2 D' B2
D' L R' U2 D' B2
F2 L R' U2 D B2
D2 L R' U L2 U
D L R' D F2 U2
D' L R' D F2 U2
R' L U' D2 R2 U'
F2 L R' D U2 B2
D L R' D' U2 B2
D' L R' D' U2 B2
F2 L R' D' F2 U2
D2 L R' U2 D' B2
D2 L R' D F2 U2
D2 L R' D' U2 B2
R' L U2 D' B2 D
R' L U2 D' B2 D'
R' L U2 D' B2 D2
R' L U2 B D' B2
R' L U2 B' D' B2
R' L U2 B2 D' B2
R2 L D R F2 U2
R' L D F2 U2 D
R' L D F2 U2 D'
R' L D F2 U2 D2
R' L D F2 D U2
R' L D F2 D' U2
R' L D F2 D2 U2
R2 L D F2 U2 L'
R' L D' U2 B2 D
R' L D' U2 B2 D'
R' L D' U2 B2 D2
R' L D' F U2 B2
R2 L D' R U2 B2
R' L D' F' U2 B2
R' L D' F2 U2 B2
R' L D2 U' R2 U'
D L U2 D' B2 L
D' L U2 D' B2 L
D2 L U2 D' B2 L
F' L D R' U2 B
R' L F U L2 U
D L D R' F2 U2
D' L D R' F2 U2
D2 L D R' F2 U2
R' L F U2 D' B2
R' L F D F2 U2
R' L F D' U2 B2
D' L D F2 R' U2
D L D F2 R' U2
D2 L D F2 R' U2
R' L F' U L2 U
D' L D' R' U2 B2
D2 L D' R' U2 B2
D L D' R' U2 B2
R' L F' U2 D' B2
R' L F' D F2 U2
D' L D' U2 B2 L
R' L F' D' U2 B2
D2 L D' U2 B2 L
D L D' U2 B2 L
R' L F2 U L2 U
R' L F2 U2 D' B2
R' L F2 D F2 U2
R' L F2 D' U2 B2
L R' U L2 U D
L R' U L2 U D'
L R' U L2 U D2
L R' U L2 D U
L R' U L2 D' U
L R' U L2 D2 U
L R' U' D2 R2 U'
L R' U2 D' B2 D
L R' U2 D' B2 D'
L R' U2 D' B2 D2
L R' U2 B D' B2
L R' U2 B' D' B2
L R' U2 B2 D' B2
L R' D F2 U2 D
L R' D F2 U2 D'
L R' D F2 U2 D2
L R' D F2 D U2
L R' D F2 D' U2
L R' D F2 D2 U2
L R' D' U2 B2 D
L R' D' U2 B2 D'
L R' D' U2 B2 D2
L R' D' F U2 B2
L R' D' F' U2 B2
L R' D' F2 U2 B2
L R' D2 U' R2 U'
L R' F U L2 U
U L' U' L2 R' U2
L R' F U2 D' B2
U L' U' R' L2 U2
L R' F D F2 U2
L R' F D' U2 B2
L R' F' U L2 U
L R' F' U2 D' B2
L R' F' D F2 U2
L R' F' D' U2 B2
L R' F2 U L2 U
L R' F2 U2 D' B2
L R' F2 D F2 U2
L R' F2 D' U2 B2
U L' D' B2 U L
L R2 D R F2 U2
L R2 D F2 U2 L'
L R2 D' R U2 B2
R' U L' U D2 R2
R' U L' U' L2 U2
R' U L' D' B2 U
R' U L' D2 U R2
L U L2 U' R' U2
R' U B2 L' U R'
F2 R' L U' R2 U'
D' R' L U L2 U
F2 R' L U2 D B2
F2 R' L D U2 B2
D2 R' L U L2 U
D' R' L U2 D' B2
F2 R' L D' F2 U2
D' R' L D F2 U2
D2 R' L U2 D' B2
D' R' L D' U2 B2
D2 R' L D F2 U2
D2 R' L D' U2 B2
D R' L U L2 U
D R' L U2 D' B2
D R' L D F2 U2
D R' L D' U2 B2
F2 R' U2 D B2 R'
F2 R' D L U2 B2
F2 R' D U2 B2 R'
F' R' D' L U2 B'
F2 R' D' L F2 U2
F2 R' D' F2 L U2
L U2 D' L B2 L
L U2 D' L' B2 L
L U2 D' L2 B2 L
L U2 D' B2 L D
L U2 D' B2 L D'
L U2 D' B2 L D2
L U2 D' B2 D L
L U2 D' B2 D' L
L U2 D' B2 D2 L
R' D L U L2 U
R' D L U2 D' B2
R' D L D F2 U2
