B R U' D' R2 B
B R D' U' R2 B
R' U' B L D' R2
R' U' B D' L R2
R' U' B D' R2 L
B R' U' D' B R2
B R' U2 B2 U B'
B R' D' U' B R2
B R' D2 F2 U' B
B U' R D' R2 B
B U' R' D' B R2
B D' F' R U' R
D B R' U' D' R2
D B R' U2 B2 U
D B R' D' U' R2
D B R' D2 F2 U'
D B U2 B2 L U
D B D' R' U' R'
D B D2 R' F2 U'
D B D2 F2 R' U'
D B D2 F2 R' U'
L2 R' F L2 U' B L
B L' U2 B2 R' U B
B L' D2 L F2 U' B'
B L' D2 F2 L U' B'
R' L2 F L2 U' B L
D L2 F L2 B R' U'
D L2 F B L2 R' U'
D L2 F B R' L2 U'
D L2 B R' F L2 U'
D L2 B F L2 R' U'
D L2 B F R' L2 U'
B R U D L2 F' U2
B R U D F' L2 U2
B R U D' F' U2 R2
B R U F' U B2 U
B R U F' U2 D' R2
B R U F' D L2 U2
B R U F' D' U2 R2
B R U' R2 D' B R2
B R U' D' R2 D B
B R U' D' R2 D' B
B R U' D' R2 D2 B
B R U' D' R2 B D
B R U' D' R2 B D'
B R U' D' R2 B D2
B R U' D' B R2 B
B R U' D' B' R2 B
B R U' D' B2 R2 B
B R U2 B2 U' F' U2
B R D U L2 F' U2
B R D U F' L2 U2
B R D' R' U' R' B
B R D' U F' U2 R2
B R D' U' R2 D B
B R D' U' R2 D' B
B R D' U' R2 D2 B
B R D' U' R2 B D
B R D' U' R2 B D'
B R D' U' R2 B D2
B R D' U' B R2 B
B R D' U' B' R2 B
B R D' U' B2 R2 B
R' U' L' D' B L R'
R' U' L' D' B R' L
B R D2 R2 F2 U' B
B R D2 F2 U F U2
B R F D2 F2 U' B2
B R F' U2 B2 U B2
R' U' D B L D' R2
R' U' D B D' L R2
R' U' D B D' R2 L
B' R B2 U' D' R2 B
B' R B2 D' U' R2 B
R' U' D' B L D' R2
R' U' D' B D' L R2
R' U' D' B D' R2 L
R' U' D2 B L D' R2
R' U' D2 B D' L R2
R' U' D2 B D' R2 L
B' R' U D B L2 F
B R' U D L2 U2 B
R' U' B L R D' R2
R' U' B L R' D' R2
R' U' B L R2 D' R2
R' U' B L U' B2 U
R' U' B L D' R2 D
R' U' B L D' R2 D'
R' U' B L D' R2 D2
R' U' B L2 D' L' R2
R' U' B L2 D' R2 L'
R' U' B R L D' R2
R' U' B R D' L R2
R' U' B R D' R2 L
R' U' B R' L D' R2
R' U' B R' D' L R2
R' U' B R' D' R2 L
R' U' B R2 L D' R2
R' U' B R2 D' L R2
R' U' B R2 D' R2 L
F' R' U' B L D' R2
F' R' U' B D' L R2
F' R' U' B D' R2 L
U' R' U' B' U B2 L
R' U' B D' L R2 D
R' U' B D' L R2 D'
R' U' B D' L R2 D2
B R' U' R2 D' R2 B
R' U' B D' R2 L D
R' U' B D' R2 L D'
R' U' B D' R2 L D2
R' U' B D' R2 D L
R' U' B D' R2 D' L
R' U' B D' R2 D2 L
R' U' B D2 L D R2
B R' U' D B D2 R2
F2 R' U' B L D' R2
B R' U' D' B R2 D
B R' U' D' B R2 D'
B R' U' D' B R2 D2
B R' U' D' B' R2 B2
B R' U' D' B2 R2 B'
F2 R' U' B D' L R2
F2 R' U' B D' R2 L
B R' U' D2 B D R2
B R' U' B U' B U
F R' U' B L D' R2
B R' U2 L B2 U B'
F R' U' B D' L R2
F R' U' B D' R2 L
B R' U2 L' B2 U B'
B R' U2 L2 B2 U B'
D R' U2 B' L F U
B' R' D U B L2 F
B R' U2 B2 U D B'
B R' U2 B2 U D' B'
B R' U2 B2 U D2 B'
B R' U2 B2 U B' D
B R' U2 B2 U B' D'
B R' U2 B2 U B' D2
B R' U2 B2 D U B'
B R' U2 B2 D' U B'
B R' U2 B2 D2 U B'
B R' D U L2 U2 B
B R' D U' B D2 R2
B R' D' U' B R2 D
B R' D' U' B R2 D'
B R' D' U' B R2 D2
B R' D' U' B' R2 B2
B R' D' U' B2 R2 B'
B R' D' F U' B R2
B R' D' F' U' B R2
B R' D' F2 U' B R2
B R' D2 U' B D R2
B R' D2 F2 U' D B
B R' D2 F2 U' D' B
B R' D2 F2 U' D2 B
B R' D2 F2 U' B D
B R' D2 F2 U' B D'
B R' D2 F2 U' B D2
B R' D2 F2 D U' B
B R' D2 F2 D' U' B
B R' D2 F2 D2 U' B
B R' F U' D' B R2
B R' F U2 B2 U B'
B R' F D' U' B R2
B R' F D2 F2 U' B
B R' F' U' D' B R2
B R' F' U2 B2 U B'
B R' F' D' U' B R2
B R' F' D2 F2 U' B
B R' F2 U' D' B R2
B R' F2 U2 B2 U B'
B R' F2 D' U' B R2
B R' F2 D2 F2 U' B
B2 R' B' R' F' U' B2
B2 R' B' U' B' R' B'
B' R' B2 U' D' R2 B'
B' R' B2 U' D' B' R2
B' R' B2 U2 B2 U B
B' R' B2 D' U' R2 B'
B' R' B2 D' U' B' R2
B' R' B2 D2 F2 U' B'
R2 U2 F' B' L' U B'
U R2 U F' B' L' U
U R2 U B' F' L' U
R' U2 B' L F U B2
R' U2 B' U B L B
B R2 U2 L' B2 U B
R2 U2 B' L' F' U B'
D R2 U2 F' B' L U
D R2 U2 B' L F' U
D R2 U2 B' F' L U
B R2 U2 B2 L' U B'
R2 U2 B' F' L' U B'
B R2 D' R U' B R
B R2 D2 R F2 U' B
B R2 D2 F2 R U' B
B2 R2 F' R B' U' B2
B2 R2 F' B' R U' B
B2 R2 B' F' R U' B
R' D U' B L D' R2
R' D U' B D' L R2
R' D U' B D' R2 L
L2 D F B R' U' F
L2 D B R' F U' F
L2 D B F R' U' F
U2 D B' L U D L2
U2 D B' L U2 B2 U'
U2 D B' L D U L2
U2 D B' L D2 F2 U
U2 D B' U2 B2 R' U'
U2 D B' D L U L
U2 D B' D2 L F2 U
U2 D B' D2 F2 L U
R' D' U' B L D' R2
R' D' U' B D' L R2
R' D' U' B D' R2 L
B U' R D' R2 D B
B U' R D' R2 D' B
B U' R D' R2 D2 B
B U' R D' R2 B D
B U' R D' R2 B D'
B U' R D' R2 B D2
B U' R D' B R2 B
B U' R D' B' R2 B
B U' R D' B2 R2 B
B U' R' U' B2 U B'
B U' R' D B D2 R2
B U' R' D' B R2 D
B U' R' D' B R2 D'
B U' R' D' B R2 D2
B U' R' D' B' R2 B2
B U' R' D' B2 R2 B'
B U' R' D2 B D R2
B U' R' B U' B U
B U' R2 D' R B R
B U' D' R' D R' B
B U' B' R' B D' R2
R' D2 U' B L D' R2
R' D2 U' B D' L R2
R' D2 U' B D' R2 L
B U2 R' B2 R U B'
D U2 B' L U D L2
D U2 B' L U2 B2 U'
D U2 B' L D U L2
D U2 B' L D2 F2 U
D U2 B' U2 B2 R' U'
D U2 B' D L U L
D U2 B' D2 L F2 U
D U2 B' D2 F2 L U
L2 F L2 R' U' B L
L2 F L2 D B R' U'
L2 F L2 B R' U' B
L2 F R' L2 U' B L
B U2 B' D B' L U
R' F U' B L D' R2
R' F U' B D' L R2
R' F U' B D' R2 L
B U2 B2 U R' B R
B U2 B2 U2 R' U' B
B U2 B2 D2 L U B'
L2 F D B R' U' F2
D' F B U2 L' B2 U
D' F B U2 B2 L' U
D' F B D2 F2 R U'
L2 F B L2 R' U' B
L2 F B R' L2 U' B
D F B R' U' D' R2
D F B R' U2 B2 U
D F B R' D' U' R2
D F B R' D2 F2 U'
D F B U2 B2 L U
D F B D' R' U' R'
D F B D2 R' F2 U'
D F B D2 F2 R' U'
F' D B R' U' D' R2
F' D B R' U2 B2 U
F' D B R' D' U' R2
F' D B R' D2 F2 U'
F2 D B R' U' D' R2
F2 D B R' U2 B2 U
F2 D B R' D' U' R2
F2 D B R' D2 F2 U'
F' D B U2 B2 L U
F' D B D' R' U' R'
F' D B D2 R' F2 U'
F' D B D2 F2 R' U'
F2 D B U2 B2 L U
F2 D B D' R' U' R'
F2 D B D2 R' F2 U'
F2 D B D2 F2 R' U'
B2 D B' U2 L B2 U
F D B R' U' D' R2
F D B R' U2 B2 U
F D B R' D' U' R2
F D B R' D2 F2 U'
F D B U2 B2 L U
F D B D' R' U' R'
F D B D2 R' F2 U'
F D B D2 F2 R' U'
R' F' U' B L D' R2
R' F' U' B D' L R2
R' F' U' B D' R2 L
D' F' B R U' D' R2
D' F' B R U2 B2 U
D' F' B R D' U' R2
D' F' B R D2 F2 U'
D' F' B D' R U' R
D' F' B D2 R F2 U'
B D' R' U' D R' B
B D' R' D U' R' B
B D' R' F' R U' R2
B2 D' R2 F' R B' U'
B2 D' R2 F' B' R U'
D F' B R' U' D' R2
D F' B R' U2 B2 U
D F' B R' D' U' R2
D F' B R' D2 F2 U'
B2 D' R2 B' F' R U'
D F' B U2 B2 L U
D F' B D' R' U' R'
D F' B D2 R' F2 U'
D F' B D2 F2 R' U'
B D' R2 F' R U' R'
B D' U' R' D R' B
B D' F U2 L' U R2
B D' F D' F2 R U'
B D' F' R U' R D
B D' F' R U' R D'
B D' F' R U' R D2
B D' F' R U' D R
B D' F' R U' D' R
B D' F' R U' D2 R
B D' F' R D U' R
B D' F' R D' U' R
B D' F' R D2 U' R
B D' F' D' R F2 U'
B D' F2 R U' R B
B D' F2 U' R B R
R' F2 U' B L D' R2
R' F2 U' B D' L R2
R' F2 U' B D' R2 L
B' D2 L F2 R U B'
D F2 B R' U' D' R2
D F2 B R' U2 B2 U
D F2 B R' D' U' R2
D F2 B R' D2 F2 U'
D F2 B U2 B2 L U
D F2 B D' R' U' R'
D F2 B D2 R' F2 U'
D F2 B D2 F2 R' U'
B D2 F' D F' R U'
B D2 F2 U' L B' L'
