U L U R U L
F2 L' U L2 U2 L
F2 L' U' D2 L' R2
F2 L' U' D2 R2 L'
F2 L' D2 U' L' R2
F2 L' D2 U' R2 L'
U' L2 R' D' F2 R
U2 R U' L U2 L
U2 R B2 U L2 R'
U2 R B2 U R' L2
U' R' L2 D' F2 R
L U2 R U L R'
L U2 R U R' L
F' U L U2 F L
B2 U' L2 R' D' F2
B2 U' R' L2 D' F2
B2 U2 R U L2 R2
B2 U2 R U R2 L2
D' F' B2 U' R' F'
L2 F2 L' U' L R
L2 F2 L' U' R L
F' D' B2 U' R' F'
F2 D' B2 L' U' R'
D' F2 B2 L' U' R'
B2 F' U' L2 R' F'
B2 F' U' R' L2 F'
B2 F' U' R' F' L2
U2 B2 R U L2 R2
U2 B2 R U R2 L2
R B2 L U L R'
R B2 L U R' L
B2 F2 L' U' L' R'
B2 F2 L' U' R' L'
F2 B2 L' U' L' R'
F2 B2 L' U' R' L'
D' B2 U' R' D' F2
D' B2 U2 R U R2
F' B2 U' L2 R' F'
F' B2 U' R' L2 F'
F' B2 U' R' F' L2
D' B2 F' U' R' F'
D' B2 F2 L' U' R'
U L R' U R2 U L
U' L R' D' L F2 R
U L R' U2 L D' F2
U L R' U2 D' L F2
U L R' U2 D' F2 L
U L R' D B2 R' U2
U L R' D' U2 L F2
U L R' D' U2 F2 L
U L R2 U R' U L
L R U2 R' U' L R
L R U2 R' U' R L
R L U2 R' U' L R
R L U2 R' U' R L
U2 L U L' R U L2
U2 L U R L' U L2
U L U R U L D
U L U R U L D'
U L U R U L D2
U L U R U D L
U L U R U D' L
U L U R U D2 L
U L U R D U L
U L U R D' U L
U L U R D2 U L
U L U R F U L
U L U R F' U L
U L U R F2 U L
U L U D R U L
U L U D' R U L
U L U D2 R U L
U L U F' U L F
B2 L U' L R' D' F2
B2 L U' R' L D' F2
B2 L U' R' D' L F2
B2 L U' R' D' F2 L
U L U2 L U' R U
B2 L U2 R U L R2
B2 L U2 R U R2 L
L' R D' B2 L U L2
D L U2 R F2 U R'
U L U2 F2 L D F2
U L D U R U L
U L D' U R U L
U L D2 U R U L
B2 L F' U' L R' F'
B2 L F' U' R' L F'
B2 L F' U' R' F' L
D' L F2 L' B2 U' R'
U' L F2 L D F2 R
B2 L F2 L' U' L2 R'
B2 L F2 L' U' R' L2
D' L B2 U2 R U R'
U L B2 R' U R2 U
U L B2 R' U2 D' F2
U L B2 R' D B2 U2
U L B2 R' D' U2 F2
R L' D' B2 L U L2
F2 L' U L2 R U2 L
F2 L' U L2 R' U2 L
F2 L' U L2 R2 U2 L
F2 L' U L2 U2 L D
F2 L' U L2 U2 L D'
F2 L' U L2 U2 L D2
F2 L' U L2 U2 D L
F2 L' U L2 U2 D' L
F2 L' U L2 U2 D2 L
F2 L' U L2 D U2 L
F2 L' U L2 D' U2 L
F2 L' U L2 D2 U2 L
F2 L' U R L2 U2 L
F2 L' U R' L2 U2 L
F2 L' U R2 L2 U2 L
F2 L' U' L' U2 L' U2
F2 L' U' L' F2 R F2
B2 L' U' L' R' D' F2
F2 L' U' R D2 L' R2
F2 L' U' R D2 R2 L'
F2 L' U' R' D2 L' R2
F2 L' U' R' D2 R2 L'
B2 L' U' R' L' D' F2
B2 L' U' R' D' L' F2
F2 L' U' R2 D2 L' R2
F2 L' U' R2 D2 R2 L'
F2 L' U' D L' D R2
F2 L' U' D' L' D' R2
F2 L' U' D2 L' R2 D
F2 L' U' D2 L' R2 D'
F2 L' U' D2 L' R2 D2
F2 L' U' D2 R2 L' D
F2 L' U' D2 R2 L' D'
F2 L' U' D2 R2 L' D2
F2 L' U' D2 R2 D L'
F2 L' U' D2 R2 D' L'
F2 L' U' D2 R2 D2 L'
B2 L' U2 R U L' R2
B2 L' U2 R U R2 L'
F2 L' U2 D' B2 U L'
F2 L' D U' L' D R2
D2 L' D F2 L' B2 U'
D' L' D F2 L' U' L'
D2 L' D F2 B2 L' U'
F2 L' D F2 U R U2
D2 L' D B2 F2 L' U'
F2 L' D' U' L' D' R2
F2 L' D' U2 B2 U L'
F2 L' D2 U' L' R2 D
F2 L' D2 U' L' R2 D'
F2 L' D2 U' L' R2 D2
F2 L' D2 U' R2 L' D
F2 L' D2 U' R2 L' D'
F2 L' D2 U' R2 L' D2
F2 L' D2 U' R2 D L'
F2 L' D2 U' R2 D' L'
F2 L' D2 U' R2 D2 L'
F2 L' D2 B U' L' R2
F2 L' D2 B U' R2 L'
F2 L' D2 B' U' L' R2
F2 L' D2 B' U' R2 L'
F2 L' D2 B2 U' L' R2
F2 L' D2 B2 U' R2 L'
F2 L' F2 U L2 R U2
F2 L' F2 U R L2 U2
F2 L' F2 D F2 U' L'
F2 L' B U L2 U2 L
F2 L' B U' D2 L' R2
F2 L' B U' D2 R2 L'
F2 L' B D2 U' L' R2
F2 L' B D2 U' R2 L'
F2 L' B' U L2 U2 L
F2 L' B' U' D2 L' R2
F2 L' B' U' D2 R2 L'
F2 L' B' D2 U' L' R2
F2 L' B' D2 U' R2 L'
F2 L' B2 U L2 U2 L
D' L' B2 D F2 L' U'
F2 L' B2 U' D2 L' R2
F2 L' B2 U' D2 R2 L'
F2 L' B2 D2 U' L' R2
F2 L' B2 D2 U' R2 L'
U' L2 R' D' R F2 R
U' L2 R' D' R' F2 R
U' L2 R' D' R2 F2 R
U' L2 R' D' F2 R D
U' L2 R' D' F2 R D'
U' L2 R' D' F2 R D2
U' L2 R' D' F2 D R
U' L2 R' D' F2 D' R
U' L2 R' D' F2 D2 R
U2 L2 R' D' F2 R B2
U2 L2 R' D' F2 B2 R
U2 L2 R' D' B2 F2 R
U' L2 R' F2 D' R F2
U' L2 R2 F2 R D' F2
U' L2 U F2 L' U' R
U' L2 U' R U' L' U2
U' L2 U2 L' U R U
D L2 U2 R F2 U R
U' L2 D R' D' F2 R
U' L2 D' R' D' F2 R
U' L2 D2 R' D' F2 R
L' U L2 U R U L
U' L2 F D F R F'
D' L2 F2 L' B2 U' R
F2 L2 F2 L U' L' R
F2 L2 F2 L U' R L'
U' L2 F2 R U L' U'
B2 L2 F2 L' U' L R'
B2 L2 F2 L' U' R' L
U' L2 F2 U L' U' R
D' L2 F2 B2 L' U' R
D' L2 B2 F2 L' U' R
U2 R U L' D2 L' R2
U2 R U L' D2 R2 L'
U2 R U L2 U2 L' U2
U2 R U L2 F2 R F2
U2 R U F2 L2 F2 R
U2 R U B2 L2 R' B2
U2 R U B2 R' L2 B2
U2 R U B2 R' B2 L2
U2 R U' L R U2 L
U2 R U' L R' U2 L
U2 R U' L R2 U2 L
U2 R U' L U2 L D
U2 R U' L U2 L D'
U2 R U' L U2 L D2
U2 R U' L U2 D L
U2 R U' L U2 D' L
U2 R U' L U2 D2 L
U2 R U' L D U2 L
U2 R U' L D' U2 L
U2 R U' L D2 U2 L
U2 R U' R L U2 L
U2 R U' R' L U2 L
U2 R U' R2 L U2 L
U2 R U' D2 L R2 U2
U2 R U' D2 R2 L U2
D' R U2 R' B2 U' R'
B2 R U2 R' U' L2 R'
B2 R U2 R' U' R' L2
U2 R U2 D' B2 U' R'
U R U2 L2 D F2 R
U2 R U2 B2 U' L2 R'
U2 R U2 B2 U' R' L2
B2 R D F2 B2 L U
U2 R D F2 U' L U2
U2 R D F2 B2 U R'
B2 R D B2 L F2 U
B2 R D B2 F2 L U
U2 R D B2 F2 U R'
U2 R D' U2 B2 U' R'
L U' L U' R U R'
L' U' L' R' D' F2 R
R U' L U' R' U' L
U2 R D2 U' L R2 U2
U2 R D2 U' R2 L U2
U2 R F U' L U2 L
U2 R F B2 U L2 R'
U2 R F B2 U R' L2
U2 R F' U' L U2 L
U2 R F' B2 U L2 R'
U2 R F' B2 U R' L2
L' U' R' L' D' F2 R
U2 R F2 U' L U2 L
U2 R F2 B2 U L2 R'
U2 R F2 B2 U R' L2
D R F2 B2 L U R'
B2 R B2 L U L R2
B2 R B2 L U R2 L
U' R B2 U L2 R' B2
U' R B2 U R' L2 B2
U' R B2 U R' B2 L2
D R B2 L F2 U R'
U2 R B2 U L2 R' D
U2 R B2 U L2 R' D'
U2 R B2 U L2 R' D2
U2 R B2 U L2 D R'
U2 R B2 U L2 D' R'
U2 R B2 U L2 D2 R'
U2 R B2 U R' L2 D
U2 R B2 U R' L2 D'
U2 R B2 U R' L2 D2
U2 R B2 D F2 U R'
U2 R B2 F U L2 R'
U2 R B2 F U R' L2
U2 R B2 F' U L2 R'
U2 R B2 F' U R' L2
U2 R B2 F2 U L2 R'
U2 R B2 F2 U R' L2
U' R' L D' L F2 R
D R B2 F2 L U R'
U R' L U R2 U L
U R' L U2 L D' F2
U R' L U2 D' L F2
U R' L U2 D' F2 L
U R' L D B2 R' U2
U R' L D' U2 L F2
U R' L D' U2 F2 L
U' R' L2 D' R F2 R
U' R' L2 D' R' F2 R
U' R' L2 D' R2 F2 R
U' R' L2 D' F2 R D
U' R' L2 D' F2 R D'
U' R' L2 D' F2 R D2
U' R' L2 D' F2 D R
U' R' L2 D' F2 D' R
U' R' L2 D' F2 D2 R
U' R' L2 F2 D' R F2
U2 R' L2 D' F2 R B2
U2 R' L2 D' F2 B2 R
U2 R' L2 D' B2 F2 R
U2 R' U L2 D' F2 R
L U' F2 L D R2 F2
L U' F2 L D F2 R2
U R' U2 L2 D' F2 R
L U2 L U' L' R U
L U2 L U' R L' U
L2 U2 L' U L R U
L2 U2 L' U R L U
U' R' F L2 D' F2 R
U' R' F' L2 D' F2 R
L' U2 R U D2 L' R2
L' U2 R U D2 R2 L'
L' U2 R U' L2 U2 L
L' U2 R D' B2 U L'
L' U2 R D2 U L' R2
L' U2 R D2 U R2 L'
L2 U2 R U' L' R' U2
L2 U2 R U' R' L' U2
U' R' F2 L2 D' F2 R
L U2 R U L R' D
L U2 R U L R' D'
L U2 R U L R' D2
L U2 R U L D R'
L U2 R U L D' R'
L U2 R U L D2 R'
L U2 R U R' L D
L U2 R U R' L D'
L U2 R U R' L D2
L U2 R U R' D L
L U2 R U R' D' L
L U2 R U R' D2 L
L U2 R U D L R'
L U2 R U D R' L
L U2 R U D' L R'
L U2 R U D' R' L
L U2 R U D2 L R'
L U2 R U D2 R' L
L U2 R D U L R'
L U2 R D U R' L
L U2 R D' U L R'
L U2 R D' U R' L
L U2 R D2 U L R'
L U2 R D2 U R' L
L U2 R F U L R'
L U2 R F U R' L
L U2 R F' U L R'
L U2 R F' U R' L
L U2 R F2 U L R'
L U2 R F2 U R' L
R U2 R' U L U2 L
R U2 R' D' B2 U' R'
R U2 R' B2 U' L2 R'
R U2 R' B2 U' R' L2
L' U2 D' R B2 U L'
L U2 D R U L R'
L U2 D R U R' L
U2 R' B2 R2 U L2 R
U2 R' B2 R2 U R L2
L' U2 D' B2 R U L'
L' U2 D2 R U L' R
L' U2 D2 R U R L'
L U2 D' R U L R'
L U2 D' R U R' L
R U2 D' R' B2 U' R'
U R2 L U R' U L
L U2 D2 R U L R'
L U2 D2 R U R' L
U' R2 L2 F2 R D' F2
L' D L F2 L' U' L'
L' D L' F2 L' U' L
L' D L2 F2 L' U' L2
R2 D R' F2 U B2 R'
D' R2 B2 L R2 U' R
D' R2 B2 R2 L U' R
F' U L R U2 F L
D2 U L R2 U R' U
F' U L R' U2 F L
F' U L R2 U2 F L
F' U L U2 D F L
F' U L U2 D' F L
F' U L U2 D2 F L
F' U L U2 F L D
F' U L U2 F L D'
F' U L U2 F L D2
F' U L U2 F D L
F' U L U2 F D' L
F' U L U2 F D2 L
F' U L U2 F' L F2
F' U L U2 F2 L F'
F' U L D U2 F L
F' U L D' U2 F L
F' U L D2 U2 F L
F2 U L U' L2 U' L'
F2 U L U2 D L F2
F2 U L U2 D F2 L
F2 U L D U2 L F2
F2 U L D U2 F2 L
F2 U L D' B2 R' U2
F' U L B2 R' U2 F
D U L U R F2 U
U D L U R F2 U
L D U2 R U L R'
L D U2 R U R' L
F' U L' B' L2 U2 L
F' U R L U2 F L
L' D F2 L' U R U2
L2 D F2 L' U' L R
L2 D F2 L' U' R L
R2 D F2 R' U B2 R'
F' U R' L U2 F L
U2 D R F2 U' L U2
U2 D R F2 B2 U R'
U' D R' D' L2 F2 R
U2 D R B2 F2 U R'
D2 U R2 L U R' U
F' U R2 L U2 F L
R D F2 B2 L U R'
R D B2 L F2 U R'
F' U D2 L R2 U2 F
F' U D2 R2 L U2 F
R D B2 F2 L U R'
R' D' R B2 U' R' F2
