B2 D F L' U2
F L B2 U B U
B2 L' U' F R U'
F L' B2 U' F U'
B2 U L2 U B' R'
D F L' U' L' U'
D F U2 D F2 R
D F D L' U2 F2
D F D U2 F2 R
D F D' L' B2 U2
D F D' B2 L' U2
B2 D F L' U2 D
B2 D F L' U2 D'
B2 D F L' U2 D2
B2 D F L' D U2
B2 D F L' D' U2
B2 D F L' D2 U2
B2 D F D L' U2
B2 D F D' L' U2
B2 D F D2 L' U2
B' D F B' L' U2
B D F L' B U2
B D F B L' U2
B' D B' F L' U2
B D B F L' U2
B' D' F B' L U2
B D' F B U2 R'
B' D' B' F L U2
B D' B F U2 R'
B2 F L U B' U
B2 F L' U' F U'
B' F D' B' L U2
B F D' B U2 R'
F B D' B U2 R'
F B' D' B' L U2
L' B2 U' F R U'
F B2 L U B' U
F B2 L' U' F U'
B2 F2 D F' U2 R
F2 B2 D F' U2 R
B2 L U L U B' R'
B2 L U D' B' L U
F L U D' R2 B' U
F L U D' B' R2 U
F L U D2 B' U F2
B2 L U B' L U B'
F L U B' U' B' U2
F L U' D L2 F U'
F L D U' L2 F U'
B2 L D' U B' L U
F L D' U R2 B' U
F L D' U B' R2 U
U L D' R2 B' L U
U L D' B' L R2 U
U L D' B' R2 L U
F L D2 U B' U F2
F2 L F' B2 U B U
F' L F2 B2 U B U
F L B U2 D' R2 F'
F L B D L2 B U2
F L B D B L2 U2
F L B D' U2 R2 F'
F L B D' B U2 R2
F L B2 L U B U
F L B2 L' U B U
F L B2 L2 U B U
F L B2 U D B U
F L B2 U D' B U
F L B2 U D2 B U
F L B2 U B U D
F L B2 U B U D'
F L B2 U B U D2
F L B2 U B D U
F L B2 U B D' U
F L B2 U B D2 U
F L B2 D U B U
F L B2 D' U B U
F' L B2 F2 U B U
F L B2 D2 U B U
F2 L B2 F' U B U
B2 L' U' R F R U'
B2 L' U' R' F R U'
B2 L' U' R2 F R U'
B2 L' U' D F R U'
B2 L' U' D' F R U'
F L' U' D F L2 U'
B2 L' U' D2 F R U'
B2 L' U' F R U' D
B2 L' U' F R U' D'
B2 L' U' F R U' D2
B2 L' U' F R D U'
B2 L' U' F R D' U'
B2 L' U' F R D2 U'
B2 L' U' F D R U'
B2 L' U' F D' R U'
B2 L' U' F D2 R U'
F L' U' D2 F U' F
F L' U' F U B2 U2
F L' U' F U' D2 F2
F L' U' F D L2 U'
F L' U' F D2 U' F2
B2 L' D U' F R U'
F L' D U' F L2 U'
B2 L' D' U' F R U'
B2 L' D2 U' F R U'
F L' D2 U' F U' F
F2 L' F' B2 U' F2 U'
F2 L' F' B2 U2 D R2
F2 L' F' B2 D U2 R2
F2 L' F' B2 D' L2 U2
F' L' F2 B2 U' F' U'
B L' B U' F R U'
F L' B2 L2 U B' U
F L' B2 U' D F U'
F L' B2 U' D' F U'
F L' B2 U' D2 F U'
F L' B2 U' F U' D
F L' B2 U' F U' D'
F L' B2 U' F U' D2
F L' B2 U' F D U'
F L' B2 U' F D' U'
F L' B2 U' F D2 U'
F' L' B2 F2 U' F' U'
F2 L' B2 F' U' F2 U'
F2 L' B2 F' U2 D R2
F2 L' B2 F' D U2 R2
F2 L' B2 F' D' L2 U2
F L' B2 D U' F U'
F L' B2 D' U' F U'
F L' B2 D2 U' F U'
B2 L2 U B U B2 R'
U' L2 U B2 U2 B R'
U2 L2 U B' L2 R' F
U2 L2 U B' L2 F R'
U2 L2 U B' R' L2 F
U L2 U D2 F2 B' R'
B2 L2 U B2 U B R'
U L2 U D2 B' R' F2
U L2 U D2 B' F2 R'
B2 L2 U' F U' R B'
B2 L2 U' F U' B' R
U2 L2 U' B' L2 F R
B2 L2 U2 R B' D' R2
U L2 D' R2 U B' R'
U L2 D2 U F2 B' R'
U L2 D2 U B' R' F2
U L2 D2 U B' F2 R'
F L2 B2 L U' F U'
F L2 B2 L' U B' U
F L2 B2 U B' U R'
F L2 B2 U' F U' R
L U D' R2 B' L U
L U D' B' L R2 U
L U D' B' R2 L U
B2 R D R' F L' U2
B2 R D F L' R' U2
B2 R D F R' L' U2
L' U' D F L2 R U'
L' U' D F R L2 U'
L' U' D2 F R U' F
L' U' F R U B2 U2
L' U' F R U' D2 F2
L' U' F R D L2 U'
L' U' F R D2 U' F2
L' U' F D L2 R U'
L' U' F D R L2 U'
L' U' F D2 R U' F2
B2 R' D R F L' U2
L' D U' F L2 R U'
L' D U' F R L2 U'
B2 U L D' B' L U
B2 U L B' L U B'
B' U L2 U F B' R'
B' U L2 U B' R' F
B' U L2 U B' F R'
B2 U L2 U R B' R'
B2 U L2 U R' B' R'
B2 U L2 U R2 B' R'
B2 U L2 U D B' R'
B2 U L2 U D' B' R'
B2 U L2 U D2 B' R'
B2 U L2 U B' R' D
B2 U L2 U B' R' D'
B2 U L2 U B' R' D2
B2 U L2 U B' D R'
B2 U L2 U B' D' R'
B2 U L2 U B' D2 R'
B2 U L2 D U B' R'
U' D L2 F' U' R B'
U' D L2 F' U' B' R
B2 U L2 D' U B' R'
B2 U L2 D2 U B' R'
F2 U D' R2 U B R'
F U D' R2 B U R'
F U D' B R2 U R
F U D2 R' B U F2
B2 U B L2 U B' R'
B2 U B' L2 U B' R'
B2 U B2 L2 U B' R'
L D' U R2 B' L U
L D' U B' L R2 U
L D' U B' R2 L U
D U' L2 F' U' R B'
D U' L2 F' U' B' R
F U' L D L2 F U'
B' U' L2 U' F R B'
B' U' L2 U' F B' R
B' U' L2 U' B' F R
F U' L' D F L2 U'
F U' L' D2 F U' F
F U' L' F U B2 U2
F U' L' F U' D2 F2
F U' L' F D L2 U'
F U' L' F D2 U' F2
R2 D' F2 R2 U B R'
F U' D L2 F' U' R
F U' D F' L2 U' R
L' D2 U' F R U' F
D2 U2 F2 D R2 B R'
U2 D2 F2 D R2 B R'
F U2 D F D F2 R
F U2 D F' R D F2
F U2 D F' D R F2
D2 F L2 D B' L U2
D F L' U' L' U' D
D F L' U' L' U' D'
D F L' U' L' U' D2
D F L' U' L' D U'
D F L' U' L' D' U'
D F L' U' L' D2 U'
D F L' U' D L' U'
D F L' U' D' L' U'
D F L' U' D2 L' U'
D F L' D U' L' U'
D F L' D' U' L' U'
D F L' D2 U' L' U'
F U2 D2 F' D' F' R
D F L' B U' L' U'
D F L' B' U' L' U'
D F L' B2 U' L' U'
D2 F U R' B U F
D' F U R2 B U R'
D2 F U R2 U F R
D' F U B R2 U R
D2 F U2 R F D R2
B2 D L F L' F U2
D F U' L2 U L U2
D2 F U2 D' F' R F2
D2 F U2 F2 D' F' R
D F U' F2 L2 U' R
D2 F D L2 B' L U2
B2 D L' F L' U2 B'
B2 D L' F' U2 R B
D F U2 R D F2 R
D F U2 R' D F2 R
D F U2 R2 D F2 R
D F U2 D R F2 R
D F U2 D R' F2 R
D F U2 D R2 F2 R
D F U2 D F2 R D
D F U2 D F2 R D'
D F U2 D F2 R D2
D F U2 D F2 D R
D F U2 D F2 D' R
D F U2 D F2 D2 R
D2 F D B U2 R' F
D2 F D B U2 F R'
D2 F D B2 U2 F R
D F U2 F2 R D F2
D F U2 F2 D R F2
D F D L' U2 F2 D
D F D L' U2 F2 D'
D F D L' U2 F2 D2
D F D L' D2 B2 U2
D F D L' B U2 F2
D F D L' B' U2 F2
D F D L' B2 U2 F2
B2 D L2 F' U2 R B'
B2 D L2 F' U2 B' R
D2 F D' U2 F' R F2
B2 D L2 F2 U2 B' R'
D F D U2 R F2 R
D F D U2 R' F2 R
D F D U2 R2 F2 R
D F D U2 F2 R D
D F D U2 F2 R D'
D F D U2 F2 R D2
D F D U2 F2 D R
D F D U2 F2 D' R
D F D U2 F2 D2 R
D F D B L' U2 F2
D F D B U2 F2 R
D F D B' L' U2 F2
D F D B' U2 F2 R
D F D B2 L' U2 F2
D F D B2 U2 F2 R
D F D' L B2 L2 U2
D F D' L' U2 D2 F2
D F D' L' D2 U2 F2
B2 D R F L' R' U2
B2 D R F R' L' U2
D F D' L' B2 U2 D
D F D' L' B2 U2 D'
D F D' L' B2 U2 D2
D F D' L' B2 D U2
D F D' L' B2 D' U2
D F D' L' B2 D2 U2
D F D' L2 B2 U2 R'
D F D' B L' B U2
D F D' B2 L' U2 D
D F D' B2 L' U2 D'
D F D' B2 L' U2 D2
D F D' B2 L' D U2
D F D' B2 L' D' U2
D F D' B2 L' D2 U2
D F D' B2 D L' U2
D F D' B2 D' L' U2
D F D' B2 D2 L' U2
D' F B U R2 U R
D F D2 L' U R2 U
D F D2 L' U2 D' F2
D F D2 L' D B2 U2
D F D2 L' D' U2 F2
D' F B U2 D' R' F2
D' F B U2 D' F2 R'
D' F B D B2 L U2
D' F B D' U2 R' F2
D' F B D' U2 F2 R'
D' F B' L U R2 U
D' F B' L U2 D' F2
D' F B' L D B2 U2
D' F B' L D' U2 F2
D F B L' U' L' U'
D' F B' D L B2 U2
B2 D R2 F L' R2 U2
B2 D R2 F R2 L' U2
D' F B' D B2 U2 R'
D' F B' D' L U2 F2
D F B U2 D F2 R
D F B D L' U2 F2
D F B D U2 F2 R
D F B D' L' B2 U2
D F B D' B2 L' U2
D F B' L' U' L' U'
D F B' U2 D F2 R
D F B' D L' U2 F2
D F B' D U2 F2 R
D F B' D' L' B2 U2
D F B' D' B2 L' U2
D F B2 L' U' L' U'
D F B2 U2 D F2 R
D F B2 D L' U2 F2
D F B2 D U2 F2 R
D F B2 D' L' B2 U2
D F B2 D' B2 L' U2
F D U' L2 F' U' R
B2 D F L U2 D2 R2
B2 D F L D2 U2 R2
F D U' F' L2 U' R
B2 D F L2 D L U2
B2 D F L2 D' L U2
B2 D F L2 D2 L U2
B' D F D B' L' U2
B' D F D' B' L' U2
B' D F D2 B' L' U2
B' D F B L' B2 U2
B' D F B' L' U2 D
B' D F B' L' U2 D'
B' D F B' L' U2 D2
B' D F B' L' D U2
B' D F B' L' D' U2
B' D F B' L' D2 U2
B' D F B' D L' U2
B' D F B' D' L' U2
B' D F B' D2 L' U2
B' D F B2 L' B U2
B2 D F U' F2 U' R
B2 D F U2 F2 R F2
B2 D F D L' U2 D
B2 D F D L' U2 D'
B2 D F D L' U2 D2
B2 D F D L' D U2
B2 D F D L' D' U2
B2 D F D L' D2 U2
B2 D F D' L' U2 D
B2 D F D' L' U2 D'
B2 D F D' L' U2 D2
B2 D F D' L' D U2
B2 D F D' L' D' U2
B2 D F D' L' D2 U2
B2 D F D2 L' U2 D
B2 D F D2 L' U2 D'
B2 D F D2 L' U2 D2
B2 D F D2 L' D U2
B2 D F D2 L' D' U2
B2 D F D2 L' D2 U2
B2 D F B' L' B U2
F D U2 F D F2 R
B2 D F B2 L' B2 U2
B D F L B L2 U2
F D U2 F' R D F2
F D U2 F' D R F2
B D F L' D B U2
B D F L' D' B U2
B D F L' D2 B U2
B D F L' B U2 D
B D F L' B U2 D'
B D F L' B U2 D2
B D F L' B D U2
B D F L' B D' U2
B D F L' B D2 U2
B2 D F' L F2 L' U2
B2 D F' L' F2 L' U2
B2 D F' L2 F2 L' U2
B D F D L' B U2
B2 D F' U2 R D2 B2
B2 D F' U2 D2 R B2
F2 D F' U' L2 U' R
B2 D F' U2 D2 B2 R
B D F D B L' U2
B D F D' L' B U2
B D F D' B L' U2
F2 D F' U2 R D F2
F2 D F' U2 D R F2
B D F D2 L' B U2
B D F D2 B L' U2
F2 D F' D U2 R F2
B D F B L' U2 D
B D F B L' U2 D'
B D F B L' U2 D2
B D F B L' D U2
B D F B L' D' U2
B D F B L' D2 U2
B D F B D L' U2
B D F B D' L' U2
B2 D F' D2 U2 R B2
B2 D F' D2 U2 B2 R
B D F B D2 L' U2
B D F B' L' B2 U2
F2 D F' D' B2 U2 R
B2 D F2 L F' L' U2
B2 D F2 L' F' L' U2
B2 D F2 L2 F' L' U2
B2 D F2 D F' L' U2
B2 D F2 D' F' L' U2
B2 D F2 D2 F' L' U2
B' D B F L' B2 U2
B' D B' F L' U2 D
B' D B' F L' U2 D'
B' D B' F L' U2 D2
B' D B' F L' D U2
B' D B' F L' D' U2
B' D B' F L' D2 U2
B' D B' F D L' U2
B' D B' F D' L' U2
B' D B' F D2 L' U2
B D B F L' U2 D
B D B F L' U2 D'
B D B F L' U2 D2
B D B F L' D U2
B D B F L' D' U2
B D B F L' D2 U2
B D B F D L' U2
B D B F D' L' U2
B D B F D2 L' U2
B2 D B' F L' B U2
B' D B2 F L' B U2
B D B' F L' B2 U2
B2 D B2 F L' B2 U2
B2 D' L' U2 R B R'
B2 D' L2 U2 B R' B2
B D' L2 B U2 R' B2
F2 D' U R2 U B R'
F D' U R2 B U R'
F D' U B R2 U R
B' D' F B' L U2 D
B' D' F B' L U2 D'
B' D' F B' L U2 D2
B' D' F B' L D U2
B' D' F B' L D' U2
B' D' F B' L D2 U2
B' D' F B' D L U2
B' D' F B' D' L U2
B' D' F B' D2 L U2
B2 D' F U B U R'
B2 D' F U2 B R' B'
B2 D' F B' L B U2
B D' F L B U2 R'
B D' F L' B U2 R'
B D' F L2 B U2 R'
B' D' F' B' L F2 U2
B D' F B L U2 R'
B D' F B L' U2 R'
B D' F B L2 U2 R'
B D' F B U2 R' D
B D' F B U2 R' D'
B D' F B U2 R' D2
B D' F B U2 D R'
B D' F B U2 D' R'
B D' F B U2 D2 R'
B D' F B D U2 R'
B D' F B D' U2 R'
B D' F B D2 U2 R'
B D' F B' L B2 U2
B' D' F2 B' L F' U2
B2 D' F2 U2 R2 B R'
B2 D' F2 D2 F' U2 R
B D' B L2 U2 R' B'
B' D' B' D F L U2
B' D' B' D' F L U2
B' D' B' D2 F L U2
B' D' B' F L U2 D
B' D' B' F L U2 D'
B' D' B' F L U2 D2
B' D' B' F L D U2
B' D' B' F L D' U2
B' D' B' F L D2 U2
B' D' B' F D L U2
B' D' B' F D' L U2
B' D' B' F D2 L U2
B' D' B' F' L F2 U2
