B2 L' U L F2 U2
B2 L' U F2 L U2
B2 L' U' D2 B2 R'
U' L' D R2 U' L2
B2 L' D2 U' B2 R'
U' L' B2 U F2 U2
U' L' B2 U' D2 B2
U' L' B2 D R2 U'
U' L' B2 D2 U' B2
F2 R' D B2 U2 L2
F2 R' D' R2 U2 F2
F2 R2 U' B2 L U'
U' D L' R2 U' L'
F2 U R U D L2
F2 U R U2 B2 U'
F2 U R D U L2
F2 U R D2 F2 U
U' D R2 L' U' L'
F2 U D R U L2
F2 U D2 R F2 U
D2 U F2 R U B2
D U' L' R2 U' L'
D U' R2 L' U' L'
F2 U' B2 U2 R U
U D2 F2 R U B2
F2 D U R U L2
F2 D' R2 U R' U
B2 D2 L' U' B2 R'
F2 D2 U R F2 U
U' B2 L' U F2 U2
U' B2 L' U' D2 B2
U' B2 L' D R2 U'
U' B2 L' D2 U' B2
L' B2 U F2 U2 R'
L' B2 U' R' D2 B2
L' B2 U' D2 R' B2
L' B2 D R2 U' R
L' B2 D2 U' R' B2
U' B2 D L' R2 U'
U' B2 D R2 L' U'
U' B2 D2 L' U' B2
U2 L D L2 F2 D B2
U' L D R2 U' L2 F2
U' L D R2 U' F2 L2
B2 L D R2 U' F2 R
U2 L D F2 L2 D B2
D L D F2 L R B2
D L D F2 L B2 R
D L D F2 R L B2
U L D2 R2 F2 U B2
U L D2 F2 R2 U B2
U2 L D2 B2 D' L2 F2
U2 L D2 B2 D' F2 L2
U2 L F D L2 F2 B'
U2 L F D L2 B' F2
U2 L F' D F2 L2 B'
L' R B2 U F2 U2 R'
L' R B2 U' R' D2 B2
L' R B2 U' D2 R' B2
L' R B2 D R2 U' R
L' R B2 D2 U' R' B2
U' L B2 L2 U F2 U2
U' L B2 L2 U' D2 B2
U' L B2 L2 D R2 U'
U' L B2 L2 D2 U' B2
U' L B2 D R2 U' F2
B2 L' R U L F2 U2
B2 L' R U F2 L U2
B2 L' R U' D2 B2 R'
U' L' R D R2 U' L2
B2 L' R D2 U' B2 R'
U' L' R B2 U F2 U2
U' L' R B2 U' D2 B2
U' L' R B2 D R2 U'
U' L' R B2 D2 U' B2
B2 L' R' U L F2 U2
B2 L' R' U F2 L U2
B2 L' R' U' D2 B2 R'
U' L' R' D R2 U' L2
B2 L' R' D2 U' B2 R'
U' L' R' B2 U F2 U2
U' L' R' B2 U' D2 B2
U' L' R' B2 D R2 U'
U' L' R' B2 D2 U' B2
D L' R2 U L U2 L2
B2 L' R2 U L F2 U2
B2 L' R2 U F2 L U2
D L' R2 U' L' D2 R2
B2 L' R2 U' D2 B2 R'
U' L' R2 D R2 U' L2
B2 L' R2 D2 U' B2 R'
U' L' R2 B2 U F2 U2
U' L' R2 B2 U' D2 B2
U' L' R2 B2 D R2 U'
U' L' R2 B2 D2 U' B2
D L' R2 B2 U' L' R'
D L' R2 B2 U' R' L'
B2 L' U L U2 D2 B2
B2 L' U L D2 U2 B2
B2 L' U L F2 U2 D
