D2 L2 F R U R'
D2 L2 F R U R'
B' R2 U' R' F' R'
B' R2 F' L' U' R2
F' R2 B' L' U' R2
U R2 B' L U' F
F' U R2 B' L' U'
F' U B' L' R2 U'
F' U B' R2 L' U'
R2 F' B' L' U' R2
U B' L R2 U' F
F' B' L' R2 U' R2
B' F' L' R2 U' R2
U B' R2 L U' F
R2 B' U' R' F' R'
F' B' R2 L' U' R2
B' F' R2 L' U' R2
R2 B' F' L' U' R2
R2 L U' R' F' L' R'
R2 L U' R' F' R' L'
B' L R2 U' R' F' R'
U L R2 U' F' L' F2
B' L R2 F' L' U' R2
R2 L F' L' B' U' R2
B' L F' L' R2 U' R2
B' L F' R2 L' U' R2
B' L' R2 U' R' F' R'
B' L' R2 F' L' U' R2
B' L' F' L' R2 U' R2
B' L' F' R2 L' U' R2
L R2 U' R' F' L' R'
L R2 U' R' F' R' L'
D2 L2 R F R U R2
B' L2 R2 U' R' F' R'
D2 L2 R2 F R U R
B' L2 R2 F' L' U' R2
L R2 F' L' B' U' R2
D2 L2 D F R U R'
D2 L2 D' F R U R'
L' U L R2 B' U' F
L' U L B' R2 U' F
D2 L2 D2 F R U R'
D2 L2 F R U R' D
D2 L2 F R U R' D'
D2 L2 F R U R' D2
D2 L2 F R U D R'
D2 L2 F R U D' R'
D2 L2 F R U D2 R'
D2 L2 F R D U R'
D2 L2 F R D' U R'
D2 L2 F R D2 U R'
D2 L2 F D R U R'
D L2 F R U R' B2
D2 L2 F D' R U R'
D2 L2 F D2 R U R'
D2 L2 F B R U R'
D2 L2 F B' R U R'
D2 L2 F B2 R U R'
B' L2 F' L' R2 U' R2
B' L2 F' R2 L' U' R2
L' U R2 L B' U' F
D2 L2 B F R U R'
D2 L2 B' F R U R'
D2 L2 B2 F R U R'
D2 R L2 F R U R2
B' R U' R' D F' B2
B' R U' R' D B2 F'
B' R U' R' F' D B2
F R U2 R B' U' R2
R' U' R' B' U' F' R2
U R B' L R U' F
U R B' R L U' F
B' R2 L U' R' F' R'
B' R2 L F' L' U' R2
B' R2 L' U' R' F' R'
U R2 L U' F' L' F2
B' R2 L' F' L' U' R2
B' R2 L2 U' R' F' R'
D2 R2 L2 F R U R
B' R2 L2 F' L' U' R2
B' R2 U L U2 R2 F
B' R2 U L U2 F R2
B' R2 U L' B' U2 R2
B' R2 U' R' D F' R'
B' R2 U' R' D' F' R'
B' R2 U' R' D2 F' R'
B' R2 U' R' F R' F2
B' R2 U' R' F' R' D
B' R2 U' R' F' R' D'
B' R2 U' R' F' R' D2
B' R2 U' R' F' D R'
B' R2 U' R' F' D' R'
B' R2 U' R' F' D2 R'
B' R2 U' R' F2 R' F
B' R2 U' F R' F' R'
B' R2 U' F' R' F' R'
B' R2 U' F2 R' F' R'
B' R2 U2 R' U R' F'
B' R2 U2 B' R' U R'
B' R2 D' F' L' F' U'
F' R2 D' B' L' F2 U'
U R2 D B' L U' F
U R2 D' B' L U' F
B' R2 F U2 R U R
B' R2 F D' F2 L' U'
U R2 D2 B' L U' F
B' R2 F' L' U' R2 D
B' R2 F' L' U' R2 D'
B' R2 F' L' U' R2 D2
B' R2 F' L' D' F2 U'
B' R2 F' L' F U' R2
B' R2 F' L' F' U' R2
B' R2 F' L' F2 U' R2
F2 R2 F B' L' U' R2
B' R2 F' D' L' F2 U'
B R2 F' L' B2 U' R2
B R2 F' B2 L' U' R2
F' R2 B L' B2 U' R2
F' R2 B' L' U' R2 D
F' R2 B' L' U' R2 D'
F' R2 B' L' U' R2 D2
F' R2 B' L' D' F2 U'
F' R2 B' L' F U' R2
F' R2 B' L' F' U' R2
F' R2 B' L' F2 U' R2
U R2 B L B2 U' F
F' R2 B' D' L' F2 U'
U2 R2 B' U2 R' U R
F' R2 B2 L' B U' R2
F2 R2 B' F L' U' R2
U R2 B' L U' D F
U R2 B' L U' D' F
U R2 B' L U' D2 F
U R2 B' L U' F D
U R2 B' L U' F D'
U R2 B' L U' F D2
U R2 B' L D U' F
U R2 B' L D' U' F
U R2 B' L D2 U' F
U R2 B' L' U B' U2
U R2 B' U2 R' U F'
U R2 B' D L U' F
U R2 B' D' L U' F
U R2 B' D2 L U' F
F R2 B2 L B U' R2
B R2 B2 U' R' F' R'
U R2 B2 L B U' F
B R2 B2 F' L' U' R2
B U L R2 B2 U' F
B2 U L B R2 U' F
B U L B2 R2 U' F
L2 D F R U R' B2
B U L' B2 R2 U' F'
F' U R B' L' R U'
F' U R B' R L' U'
F' U R2 D B' L' U'
F' U R2 D' B' L' U'
F' U R2 D2 B' L' U'
F' U R2 B L' B2 U'
F' U R2 B' L' U' D
F' U R2 B' L' U' D'
F' U R2 B' L' U' D2
F' U R2 B' L' D U'
F' U R2 B' L' D' U'
F' U R2 B' L' D2 U'
F2 U R2 D2 B' L U'
B U R2 L B2 U' F
F' U R2 B' D L' U'
F' U R2 B' D' L' U'
F' U R2 B' D2 L' U'
F' U R2 B2 L' B U'
R2 D B' U2 B' R' U
B U R2 B2 L U' F
F U R2 B2 L B U'
F' U B L' R2 B2 U'
F' U B L' B2 R2 U'
B2 U B L R2 U' F
F' U B R2 L' B2 U'
F' U B R2 B2 L' U'
B2 U B R2 L U' F
F' U B' L' R2 U' D
F' U B' L' R2 U' D'
F' U B' L' R2 U' D2
F' U B' L' R2 D U'
F' U B' L' R2 D' U'
F' U B' L' R2 D2 U'
F' U B' L' U' D B2
F' U B' L' D U' B2
F' U B' R2 L' U' D
F' U B' R2 L' U' D'
F' U B' R2 L' U' D2
F' U B' R2 L' D U'
F' U B' R2 L' D' U'
F' U B' R2 L' D2 U'
F' U B' R2 D L' U'
F' U B' R2 D' L' U'
F' U B' R2 D2 L' U'
F' U B' D L' U' B2
F U B R2 B2 L U'
F' U B2 L' B R2 U'
D2 U' L2 R' F U F2
F U B' R2 U2 R' U
B U B2 L R2 U' F
