U' L2 B' D2 L R2
U' L2 B' D2 R2 L
L2 U B' D L F2
L2 U B' D F2 L
D2 U' F U2 L' F'
U' D2 F U2 L' F'
U' F R2 B R' U2
U' F B' U2 L F'
U' F B' U2 F' L
U' F B2 U2 F' L'
U' B R' F U2 F'
U' B' F U2 L F'
U' B' F U2 F' L
U' B2 F U2 F' L'
L2 R U B' D L F2
L2 R U B' D F2 L
U' L B' L D2 R2 B'
U' L B' L D2 B' R2
U' L B' L B' D2 R2
U L B' L B' D2 F2
L2 R' U B' D L F2
L2 R' U B' D F2 L
R' L2 U B' D L F2
R' L2 U B' D F2 L
L2 R2 U B' D L F2
L2 R2 U B' D F2 L
R2 L2 U B' D L F2
R2 L2 U B' D F2 L
R L2 U B' D L F2
R L2 U B' D F2 L
U' L' B' L' B' L2 R'
U' L' B' L' B' R' L2
U L2 R U2 R' B' L
U' L2 R B' D2 L R2
U' L2 R B' D2 R2 L
U L2 R' U2 R B' L
U L2 R' U2 B' L R
U L2 R' U2 B' R L
U' L2 R' B' D2 L R2
U' L2 R' B' D2 R2 L
U L2 R2 U2 R2 B' L
U L2 R2 U2 B' L R2
U L2 R2 U2 B' R2 L
U' L2 R2 B' D2 L R2
U' L2 R2 B' D2 R2 L
D' L2 U D F2 B' L
D' L2 U D B' L F2
D' L2 U D B' F2 L
U L2 R2 B' L R2 F'
U L2 R2 B' R2 L F'
U L2 R2 B' R2 F' L
D' L2 D U F2 B' L
D' L2 D U B' L F2
D' L2 D U B' F2 L
D2 L2 D2 R2 U B' L
U' L2 D2 R2 D2 B' L
L U L B' D L F2
L U L B' D F2 L
U' L2 B L B2 L R'
U' L2 B L B2 R' L
U L2 B L B2 L F
U L2 B L2 F B2 L
U L2 B L2 B2 F L
U' L2 B' L U2 L U2
U' L2 B' L B2 R' B2
U' L2 B' R D2 L R2
U' L2 B' R D2 R2 L
U' L2 B' R' D2 L R2
U' L2 B' R' D2 R2 L
U' L2 B' R2 D2 L R2
U' L2 B' R2 D2 R2 L
U' L2 B' U2 L2 U2 L'
B' L2 B' D L' F2 R
U' L2 B' D L D R2
U' L2 B' D' L D' R2
U L2 B' L R2 F' R2
U L2 B' L U2 B U2
U' L2 B' D2 L R2 D
U' L2 B' D2 L R2 D'
U' L2 B' D2 L R2 D2
U' L2 B' D2 R2 L D
U' L2 B' D2 R2 L D'
U' L2 B' D2 R2 L D2
U' L2 B' D2 R2 D L
U' L2 B' D2 R2 D' L
U' L2 B' D2 R2 D2 L
U L2 B' R2 L F' R2
U L2 B' R2 F' L R2
U L2 B' R2 F' R2 L
L2 U D F2 D' B' L
U' L2 B2 D2 B L R2
U' L2 B2 D2 B R2 L
U L2 B2 D2 F2 B L
U L2 B2 D2 B L F2
U L2 B2 D2 B F2 L
L2 U F B' D L F2
L2 U F B' D F2 L
U' R L2 B' D2 L R2
U' R L2 B' D2 R2 L
U R L2 U2 R' B' L
L2 U F' B' D L F2
L2 U F' B' D F2 L
D2 R U' F U2 L' F'
L2 U F2 B' D L F2
L2 U F2 B' D F2 L
L2 U B' L U L U'
U R U2 L2 R' B' L
U R U2 R' L2 B' L
L U B' L D F2 B'
L U B' L D B' F2
L U B' L B' D F2
L2 U B' U L2 U' L'
L2 U B' D L F2 D
L2 U B' D L F2 D'
L2 U B' D L F2 D2
L2 U B' D L' F2 L2
L2 U B' D F' L F'
L2 U B' D F2 L D
L2 U B' D F2 L D'
L2 U B' D F2 L D2
L2 U B' D F2 D L
L2 U B' D F2 D' L
L2 U B' D F2 D2 L
L2 U B' D' L D2 F2
L2 U B' D2 L D' F2
L2 U B' F D L F2
L2 U B' F D F2 L
L2 U B' F' D L F2
L2 U B' F' D F2 L
L2 U B' F2 D L F2
L2 U B' F2 D F2 L
L2 U B2 D F2 B L
L2 U B2 D B L F2
L2 U B2 D B F2 L
U' R D2 F U2 L' F'
U R D2 F U2 L' R'
U R D2 F U2 R' L'
U' R F R2 B R' U2
U' R F B' U2 L F'
U' R F B' U2 F' L
U' R F B2 U2 F' L'
R' U' L2 B' D2 L R2
