B' L U' R' U2 F' R
F' L' B R' U' L R2
F' L' B R' U' R2 L
B R' U' L R' F' R
B R' U' R' L F' R
B R' U' R' F' L R
B R' U' R' F' R L
B R' F' L' U' L2 R
B R' F' L' U' R L2
D R' B U L F B'
D R' B U L B' F
B U' R' U' L F' R
B U' R' U' F' L R
B U' R' U' F' R L
U' B R' U' F' L' R
U' B R' U' F' R L'
F' B L R D F2 B2
F' B L R D B2 F2
F' B L' R' U' L2 R2
F' B L' R' U' R2 L2
F' B R L D F2 B2
F' B R L D B2 F2
F' B R' L' U' L2 R2
F' B R' L' U' R2 L2
B F' L R D F2 B2
B F' L R D B2 F2
B F' L' R' U' L2 R2
B F' L' R' U' R2 L2
B F' R L D F2 B2
B F' R L D B2 F2
B F' R' L' U' L2 R2
B F' R' L' U' R2 L2
