D L2 F' R B
D F' L2 R B
D F' R L2 B
D F' R B L2
D L F' L R B
D L F' R L B
D L2 F' R D B
D L2 F' R D' B
D L2 F' R D' B
D L2 F' R D2 B
D L2 F' R B D
D L2 F' R B D'
D L2 F' R B D2
D L2 F' D R B
D L2 F' D' R B
D L2 F' D2 R B
D L2 F' B R B
D L2 F' B' R B
D L2 F' B2 R B
D L2 B F' R B
D L2 B' F' R B
D L2 B2 F' R B
D' R2 B U2 R' B
D F' L' R B L'
D F' L2 R D B
D F' L2 R D' B
D F' L2 R D2 B
D F' L2 R B D
D F' L2 R B D'
D F' L2 R B D2
D F' L2 D R B
D F' L2 D' R B
D F' L2 D2 R B
D F' L2 B R B
D F' L2 B' R B
D F' L2 B2 R B
D F' R L' B L'
D F' R L2 D B
D F' R L2 D' B
D F' R L2 D2 B
D F' R L2 B D
D F' R L2 B D'
D F' R L2 B D2
D F' R B L2 D
D F' R B L2 D'
D F' R B L2 D2
D F' R B' L2 B2
D F' B L2 R B
D F' B R L2 B
D F' B R B L2
D F' B' L2 R B
D F' B' R L2 B
D F' B' R B L2
D F' B2 L2 R B
D F' B2 R L2 B
D F' B2 R B L2
D B L2 F' R B
D B F' L2 R B
D B F' R L2 B
D B F' R B L2
D B' L2 F' R B
D B' F' L2 R B
D B' F' R L2 B
D B' F' R B L2
D B2 L2 F' R B
D B2 F' L2 R B
D B2 F' R L2 B
D B2 F' R B L2
D' L R2 B U2 R' B
D2 L D' L2 F' R B
D2 L D' F' L2 R B
D2 L D' F' R L2 B
D2 L D' F' R B L2
D' L D2 L2 F' R B
D' L D2 F' L2 R B
D' L D2 F' R L2 B
D' L D2 F' R B L2
D L F' L R D B
D L F' L R D' B
D L F' L R D2 B
D L F' L R B D
D L F' L R B D'
D L F' L R B D2
D L F' L D R B
D L F' L D' R B
D L F' L D2 R B
D L F' L B R B
D L F' L B' R B
D L F' L B2 R B
D L F' L' R B L2
D L F' L2 R B L'
D L F' R L D B
D L F' R L D' B
D L F' R L D2 B
D L F' R L B D
D L F' R L B D'
D L F' R L B D2
D L F' R L' B L2
D L F' R L2 B L'
D L F' R D L B
D L F' R D' L B
D L F' R D2 L B
D L F' D L R B
D L F' D R L B
D L F' D' L R B
D L F' D' R L B
D L F' D2 L R B
D L F' D2 R L B
D L F' B' R B L
D L B' F' R B L
D' L' R2 B U2 R' B
F' L' U F R B2 U'
F' L' U F B2 R U'
F' L' U B2 F R U'
D L' U2 L' F' R B'
D L' U2 L' F' B' R
D L' U2 L' B' F' R
D2 L' D' L2 F' R B
D2 L' D' F' L2 R B
D2 L' D' F' R L2 B
D2 L' D' F' R B L2
D' L' D2 L2 F' R B
D' L' D2 F' L2 R B
D' L' D2 F' R L2 B
D' L' D2 F' R B L2
B2 L' F R U' F2 B
B2 L' F R U' B F2
U L' F R B2 U' F2
U2 L' F B2 U' F2 B
U2 L' F B2 U' B F2
U L' F B2 R U' F2
U2 L' F' D R2 B' L2
U2 L' F' D B' L2 R2
U2 L' F' D B' R2 L2
D L' B L' F' R B
D L' B' L' F' R B
D L' B2 L' F' R B
U2 L' B2 F U' F2 B
U2 L' B2 F U' B F2
U L' B2 F R U' F2
D L2 R D2 B R' F'
D L2 R B R' F' R
D' L2 R2 B U2 R' B
D2 L2 D' L2 F' R B
D2 L2 D' F' L2 R B
D2 L2 D' F' R L2 B
D2 L2 D' F' R B L2
D' L2 D2 L2 F' R B
D' L2 D2 F' L2 R B
D' L2 D2 F' R L2 B
D L2 D2 R B R' F'
D' L2 D2 F' R B L2
D L2 D2 F' R B R'
D L2 F R F2 B R
D L2 F R B F2 R
D L2 F' L R B L'
D L2 F' L2 R B L2
D L2 F' R L B L'
D L2 F' R L2 B L2
D L2 F' R D B D
D L2 F' R D B D'
D L2 F' R D B D2
D L2 F' R D' B D
D L2 F' R D' B D'
D L2 F' R D' B D2
D L2 F' R D2 B D
D L2 F' R D2 B D'
D L2 F' R D2 B D2
D L2 F' R B2 D B'
D L2 F' R B2 D' B'
D L2 F' R B2 D2 B'
D L2 F' R' B R2 B
D L2 F' R' B' R2 B
D L2 F' R' B2 R2 B
D L2 F' D R D B
D L2 F' D R D' B
D L2 F' D R D2 B
D L2 F' D R B D
D L2 F' D R B D'
D L2 F' D R B D2
D L2 F' D B R B
D L2 F' D B' R B
D L2 F' D B2 R B
D L2 F' D' R D B
D L2 F' D' R D' B
D L2 F' D' R D2 B
D L2 F' D' R B D
D L2 F' D' R B D'
D L2 F' D' R B D2
D L2 F' D' B R B
D L2 F' D' B' R B
D L2 F' D' B2 R B
D L2 F' D2 R D B
D L2 F' D2 R D' B
D L2 F' D2 R D2 B
D L2 F' D2 R B D
D L2 F' D2 R B D'
D L2 F' D2 R B D2
D L2 F' D2 B R B
D L2 F' D2 B' R B
D L2 F' D2 B2 R B
D L2 F' B R D B
D L2 F' B R D' B
D L2 F' B R D2 B
D L2 F' B R B D
D L2 F' B R B D'
D L2 F' B R B D2
D L2 F' B D R B
D L2 F' B D' R B
D L2 F' B D2 R B
D L2 F' B' R D B
D L2 F' B' R D' B
D L2 F' B' R D2 B
D L2 F' B' R B D
D L2 F' B' R B D'
D L2 F' B' R B D2
D L2 F' B' D R B
D L2 F' B' D' R B
D L2 F' B' D2 R B
D L2 F' B2 R D B
D L2 F' B2 R D' B
D L2 F' B2 R D2 B
D L2 F' B2 R B D
D L2 F' B2 R B D'
D L2 F' B2 R B D2
D L2 F' B2 D R B
D L2 F' B2 D' R B
D L2 F' B2 D2 R B
D L2 F2 R F B R
D L2 F2 R B F R
D L2 F2 D F R B
D L2 F2 D' F R B
D L2 F2 D2 F R B
D L2 B F' R D B
D L2 B F' R D' B
D L2 B F' R D2 B
D L2 B F' R B D
D L2 B F' R B D'
D L2 B F' R B D2
D L2 B F' D R B
D L2 B F' D' R B
D L2 B F' D2 R B
D L2 B' F' R D B
D L2 B' F' R D' B
D L2 B' F' R D2 B
D L2 B' F' R B D
D L2 B' F' R B D'
D L2 B' F' R B D2
D L2 B' F' D R B
D L2 B' F' D' R B
D L2 B' F' D2 R B
D L2 B2 F' R D B
D L2 B2 F' R D' B
D L2 B2 F' R D2 B
D L2 B2 F' R B D
D L2 B2 F' R B D'
D L2 B2 F' R B D2
D L2 B2 F' D R B
D L2 B2 F' D' R B
D L2 B2 F' D2 R B
L' U F R B2 U' F2
L' U F B2 R U' F2
D R L2 D2 B R' F'
D R L2 B R' F' R
F' R D L2 D2 B R'
L' U B2 F R U' F2
F' R D' B D2 L2 R'
F' R D' B D2 R' L2
D' R F' B R' F' L'
D' R F2 L' B R' F'
D' R F2 B L' R' F'
D' R F2 B R' L' F'
D' R B R' D2 L2 F'
D' R B R' D2 F' L2
D' R B R' F' D2 L2
D R B L2 R' F' R
D R B R' L2 F' R
D R B R' F' L2 R
D R B R' F' R L2
D' R B F' R' F' L'
D' R B F2 L' R' F'
D' R B F2 R' L' F'
D' R' F' R' B U2 R'
D R' F' R F' L2 B'
D R' F' U2 L2 R F'
D R' F' U2 R L2 F'
D R' F' U2 R F' L2
D' R2 L B U2 R' B
D' R2 L' B U2 R' B
D' R2 L2 B U2 R' B
D' R2 U2 R' B R' F'
D' R2 F B U2 R' B
L2 D L2 D F' R B
D' R2 F' B U2 R' B
R D L2 R' F' R B
R D L2 D2 B R' F'
R D L2 B R' F' R
D' R2 F2 B U2 R' B
D' R2 B L U2 R' B
D' R2 B L' U2 R' B
D' R2 B L2 U2 R' B
D' R2 B U2 R' D B
D' R2 B U2 R' D' B
D' R2 B U2 R' D2 B
D' R2 B U2 R' B D
D' R2 B U2 R' B D'
D' R2 B U2 R' B D2
D' R2 B F U2 R' B
D' R2 B F' U2 R' B
D' R2 B F2 U2 R' B
R D R' L2 F' R B
R D R' F' L2 R B
R D R' F' R L2 B
R D R' F' R B L2
U2 D L' B' L' F' R
R D B L2 R' F' R
R D B R' L2 F' R
R D B R' F' L2 R
R D B R' F' R L2
U2 D F' L' R B' L'
U2 D F' L' B' L' R
U2 D F' L' B' R L'
U2 D F' R L' B' L'
R D' B D2 L2 R' F'
R D' B D2 R' L2 F'
R D' B D2 R' F' L2
D U2 L' B' L' F' R
D U2 F' L' R B' L'
D U2 F' L' B' L' R
D U2 F' L' B' R L'
D U2 F' R L' B' L'
D F L' U2 L' F2 B'
D F L' U2 L' B' F2
D' F R F2 L' B R'
D' F R F2 B L' R'
D' F R F2 B R' L'
D' F R B F2 L' R'
D' F R B F2 R' L'
L' F R B2 U' F2 B'
L' F R B2 U' B' F2
D F R F2 L2 B R
D F R F2 B L2 R
D F R F2 B R L2
D F R B F2 L2 R
D F R B F2 R L2
D F R' F2 L2 R B'
D F R' F2 L2 B' R
D F R' F2 R L2 B'
F' D L2 R D2 B R'
F' D L2 D2 R B R'
F' D L2 F' R F B
F' D L2 F' R B F
F' D R L2 D2 B R'
L' F B2 R U' F2 B
L' F B2 R U' B F2
D F' L R D L B
D F' L R D' L B
D F' L R D2 L B
D F' L D L R B
D F' L D R L B
D F' L D' L R B
D F' L D' R L B
D F' L D2 L R B
D F' L D2 R L B
D F' L B' R B L
D F' L' R D L' B
D F' L' R D B L'
D F' L' R D' L' B
D F' L' R D' B L'
D F' L' R D2 L' B
D F' L' R D2 B L'
D F' L' R B L' D
D F' L' R B L' D'
D F' L' R B L' D2
D F' L' R B D L'
D F' L' R B D' L'
D F' L' R B D2 L'
D F' L' R B' L' B2
B' D F' R B D L2
D F' L' D L' R B
D F' L' D R L' B
D F' L' D R B L'
D F' L' D' L' R B
D F' L' D' R L' B
D F' L' D' R B L'
D F' L' D2 L' R B
D F' L' D2 R L' B
D F' L' D2 R B L'
F' D F' R F L2 B
F' D F' R F B L2
F' D F' R B F L2
F2 D F' L2 R F2 B
F2 D F' L2 R B F2
D F' L' B L' R B
D F' L' B R L' B
D F' L' B R B L'
F2 D F' R L2 F2 B
F2 D F' R L2 B F2
D F' L' B' L' R B
D F' L' B' R L' B
D F' L' B' R B L'
F2 D F' R F2 L2 B
F2 D F' R F2 B L2
F2 D F' R B L2 F2
F2 D F' R B F2 L2
D F' L' B2 L' R B
D F' L' B2 R L' B
D F' L' B2 R B L'
D F' L2 R D B D
D F' L2 R D B D'
D F' L2 R D B D2
D F' L2 R D' B D
D F' L2 R D' B D'
D F' L2 R D' B D2
D F' L2 R D2 B D
D F' L2 R D2 B D'
D F' L2 R D2 B D2
D F' L2 R B2 D B'
D F' L2 R B2 D' B'
D F' L2 R B2 D2 B'
D F' L2 R' B R2 B
D F' L2 R' B' R2 B
D F' L2 R' B2 R2 B
L' F' R D L2 B R2
L' F' R D B L2 R2
L' F' R D B R2 L2
D F' L2 D R D B
D F' L2 D R D' B
D F' L2 D R D2 B
D F' L2 D R B D
D F' L2 D R B D'
D F' L2 D R B D2
D F' L2 D B R B
D F' L2 D B' R B
D F' L2 D B2 R B
D' F' R B R' D2 L2
D F' L2 D' R D B
D F' L2 D' R D' B
D F' L2 D' R D2 B
D F' L2 D' R B D
D F' L2 D' R B D'
D F' L2 D' R B D2
D F' L2 D' B R B
D F' L2 D' B' R B
D F' L2 D' B2 R B
D F' L2 D2 R D B
D F' L2 D2 R D' B
D F' L2 D2 R D2 B
D F' L2 D2 R B D
D F' L2 D2 R B D'
D F' L2 D2 R B D2
D F' L2 D2 B R B
D F' L2 D2 B' R B
D F' L2 D2 B2 R B
D F' L2 B R D B
D F' L2 B R D' B
D F' L2 B R D2 B
D F' L2 B R B D
D F' L2 B R B D'
D F' L2 B R B D2
D F' L2 B D R B
D F' L2 B D' R B
D F' L2 B D2 R B
D F' L2 B' R D B
D F' L2 B' R D' B
D F' L2 B' R D2 B
D F' L2 B' R B D
D F' L2 B' R B D'
D F' L2 B' R B D2
D F' L2 B' D R B
D F' L2 B' D' R B
D F' L2 B' D2 R B
D F' L2 B2 R D B
D F' L2 B2 R D' B
D F' L2 B2 R D2 B
D F' L2 B2 R B D
D F' L2 B2 R B D'
D F' L2 B2 R B D2
D F' L2 B2 D R B
D F' L2 B2 D' R B
D F' L2 B2 D2 R B
D F' R L D L B
D F' R L D' L B
D F' R L D2 L B
D F' R L' D L' B
D F' R L' D B L'
D F' R L' D' L' B
D F' R L' D' B L'
D F' R L' D2 L' B
D F' R L' D2 B L'
D F' R L' B L' D
D F' R L' B L' D'
D F' R L' B L' D2
D F' R L' B D L'
D F' R L' B D' L'
D F' R L' B D2 L'
D F' R L' B' L' B2
D F' R L2 D B D
D F' R L2 D B D'
D F' R L2 D B D2
D F' R L2 D' B D
D F' R L2 D' B D'
D F' R L2 D' B D2
D F' R L2 D2 B D
D F' R L2 D2 B D'
D F' R L2 D2 B D2
D F' R L2 B2 D B'
D F' R L2 B2 D' B'
D F' R L2 B2 D2 B'
L' F' R' D L2 R2 B
L' F' R' D R2 L2 B
L' F' R' D R2 B L2
D F' R D B D' L2
D F' R D2 B D2 L2
D F' R F L2 F' B
D F' R F L2 B F'
D F' R F B L2 F'
D F' R F2 L2 F2 B
D F' R F2 L2 B F2
D F' R F2 B L2 F2
D F' R B L D L
D F' R B L D' L
D F' R B L D2 L
D F' R B L' D L'
D F' R B L' D' L'
D F' R B L' D2 L'
D F' R B F L2 F'
D F' R B F2 L2 F2
D F' R B' L' B2 L'
D F' R B' L2 B2 D
D F' R B' L2 B2 D'
D F' R B' L2 B2 D2
D F' R' L2 B R2 B
D F' R' L2 B' R2 B
D F' R' L2 B2 R2 B
D F' R' B L2 R2 B
D F' R' B R2 L2 B
D F' R' B R2 B L2
D F' R' B' L2 R2 B
D F' R' B' R2 L2 B
D F' R' B' R2 B L2
D F' R' B2 L2 R2 B
D F' R' B2 R2 L2 B
D F' R' B2 R2 B L2
L' F' D L2 R B R
L' F' D R L2 B R
L' F' D R B L2 R
L' F' D R B R L2
D F' D R D' L2 B
D F' D R D' B L2
D F' D R B D' L2
F' D' R B R' D2 L2
D F' D' R D L2 B
D F' D' R D B L2
D F' B L' R B L'
D F' B L2 R D B
D F' B L2 R D' B
D F' B L2 R D2 B
D F' B L2 R B D
D F' B L2 R B D'
D F' B L2 R B D2
D F' B L2 D R B
D F' B L2 D' R B
D F' B L2 D2 R B
D F' B L2 B R B
D F' B L2 B' R B
D F' B L2 B2 R B
D F' B R L' B L'
D F' B R L2 D B
D F' B R L2 D' B
D F' B R L2 D2 B
D F' B R L2 B D
D F' B R L2 B D'
D F' B R L2 B D2
D F' B R B L2 D
D F' B R B L2 D'
D F' B R B L2 D2
D F' B R B' L2 B2
D F' B' L' R B L'
D F' B' L2 R D B
D F' B' L2 R D' B
D F' B' L2 R D2 B
D F' B' L2 R B D
D F' B' L2 R B D'
D F' B' L2 R B D2
D F' B' L2 D R B
D F' B' L2 D' R B
D F' B' L2 D2 R B
D F' B' L2 B R B
D F' B' L2 B' R B
D F' B' L2 B2 R B
D F' B' R L' B L'
D F' B' R L2 D B
D F' B' R L2 D' B
D F' B' R L2 D2 B
D F' B' R L2 B D
D F' B' R L2 B D'
D F' B' R L2 B D2
D F' B' R B L2 D
D F' B' R B L2 D'
D F' B' R B L2 D2
D F' B' R B' L2 B2
D F' B2 L' R B L'
D F' B2 L2 R D B
D F' B2 L2 R D' B
D F' B2 L2 R D2 B
D F' B2 L2 R B D
D F' B2 L2 R B D'
D F' B2 L2 R B D2
D F' B2 L2 D R B
D F' B2 L2 D' R B
D F' B2 L2 D2 R B
D F' B2 L2 B R B
D F' B2 L2 B' R B
D F' B2 L2 B2 R B
D F' B2 R L' B L'
D F' B2 R L2 D B
D F' B2 R L2 D' B
D F' B2 R L2 D2 B
D F' B2 R L2 B D
D F' B2 R L2 B D'
D F' B2 R L2 B D2
D F' B2 R B L2 D
D F' B2 R B L2 D'
D F' B2 R B L2 D2
D F' B2 R B' L2 B2
D F2 R F L2 B R
D F2 R F B L2 R
D F2 R F B R L2
D F2 R B F L2 R
D F2 R B F R L2
D B L F' L R B
D B L F' R L B
D B L2 F' R D B
D B L2 F' R D' B
D B L2 F' R D2 B
D B L2 F' R B D
D B L2 F' R B D'
D B L2 F' R B D2
D B L2 F' D R B
D B L2 F' D' R B
D B L2 F' D2 R B
D B L2 F' B R B
D B L2 F' B' R B
D B L2 F' B2 R B
D B L2 B F' R B
D B L2 B' F' R B
D B L2 B2 F' R B
D2 B D' L2 F' R B
D2 B D' F' L2 R B
D2 B D' F' R L2 B
D2 B D' F' R B L2
D B F' L' R B L'
D B F' L2 R D B
D B F' L2 R D' B
D B F' L2 R D2 B
D B F' L2 R B D
D B F' L2 R B D'
