F R U F' B R2
F R U B F' R2
R F U F2 B R2
R F U B R2 F2
R F U B F2 R2
R F' B R2 D' L2
R B F' R2 D' L2
F L R U F' B R2
F L R U B F' R2
L' R U F' B L R2
L' R U F' B R2 L
L' R U B L F' R2
L' R U B F' L R2
L' R U B F' R2 L
L' R U' F' L' B R2
L' R U' F' B L' R2
L' R U' F' B R2 L'
L' R U' B F' L' R2
L' R U' B F' R2 L'
L2 R F' B R2 D L2
L2 R B F' R2 D L2
L2 R B' U' F' R2 B2
L2 R B' U' F' B2 R2
L2 R B' U' B2 F' R2
R L' U F' B L R2
R L' U F' B R2 L
R L' U B L F' R2
R L' U B F' L R2
R L' U B F' R2 L
R L' U' F' L' B R2
R L' U' F' B L' R2
R L' U' F' B R2 L'
R L' U' B F' L' R2
R L' U' B F' R2 L'
F L' R U F' B R2
F L' R U B F' R2
F L2 R U F' B R2
F L2 R U B F' R2
R L2 F' B R2 D L2
R L2 B F' R2 D L2
R L2 B' U' F' R2 B2
R L2 B' U' F' B2 R2
R L2 B' U' B2 F' R2
F R L U F' B R2
F R L U B F' R2
F R L' U F' B R2
F R L' U B F' R2
R U F U F2 B R2
R U F U B R2 F2
R U F U B F2 R2
F R L2 U F' B R2
F R L2 U B F' R2
F2 R U F' L' B R2
F2 R U F' B L' R2
F2 R U F' B R2 L'
F2 R U B F' L' R2
F2 R U B F' R2 L'
R U F' B R2 D' L2
F R U F B R2 F2
F R U F' B R2 D
F R U F' B R2 D'
F R U F' B R2 D2
F R U F' B' R2 B2
F R U F' B2 R2 B'
F R U F2 B R2 F
F R U B F R2 F2
F R U B F' R2 D
F R U B F' R2 D'
F R U B F' R2 D2
F R U B F2 R2 F
F R U B' F' R2 B2
F R U B2 F' R2 B'
F2 R U' F' B L R2
F2 R U' F' B R2 L
F2 R U' B L F' R2
F2 R U' B F' L R2
F2 R U' B F' R2 L
R U B F' R2 D' L2
F R D B2 U F' B'
F R D B2 U B' F'
B' R F U F2 B R'
B' R F U B R' F2
B' R F U B F2 R'
B' R F' B R' D' L2
B' R F' B D' L2 R'
B' R F' B D' R' L2
F' R F2 U F B R2
F' R F2 U B R2 F
F' R F2 U B F R2
B' R B F' R' D' L2
B' R B F' D' L2 R'
B' R B F' D' R' L2
R' U' R2 F U F2 B
R' U' R2 F U B F2
F R B' U F' R2 B2
F R B' U F' B2 R2
F R B' U B2 F' R2
F R B2 U F' R2 B'
F R B2 U F' B' R2
F R B2 U B' F' R2
R' U' F U' F2 B U2
R' U' F U' B F2 U2
R U' F U F2 B R2
R U' F U B R2 F2
R U' F U B F2 R2
R U' F' B R2 D' L2
R U' B F' R2 D' L2
R' U2 F' D R2 U2 F'
R' U2 F' D B R2 U2
R' U2 F' D' B U2 L2
R U2 F U F2 B R2
R U2 F U B R2 F2
R U2 F U B F2 R2
R' U2 F' B U F2 U
R' U2 F' B U2 D' L2
R' U2 F' B D R2 U2
R' U2 F' B D' U2 L2
R U2 F' B R2 D' L2
R' U2 B F' U F2 U
R' U2 B F' U2 D' L2
R' U2 B F' D R2 U2
R' U2 B F' D' U2 L2
R U2 B F' R2 D' L2
R D F B2 U F2 B'
R D F B2 U B' F2
R D F' D' L2 B R2
R D F' D' B L2 R2
R D F' D' B R2 L2
R D B2 F U F2 B'
R D B2 F U B' F2
R F L U F2 B R2
R F L U B R2 F2
R F L U B F2 R2
R F L' U F2 B R2
R F L' U B R2 F2
R F L' U B F2 R2
R F L2 U F2 B R2
R F L2 U B R2 F2
R F L2 U B F2 R2
R' F R2 U F' R2 B
R2 F R' U F' B R
R2 F R' U B F' R
U' F U R F' B R2
U' F U R B F' R2
R F R2 F2 D' L2 B'
D' F U2 L' U' R' B'
R F U F B R2 F
R F U F2 B R2 D
R F U F2 B R2 D'
R F U F2 B R2 D2
R F U F2 B' R2 B2
R F U F2 B2 R2 B'
R F U B R' F2 R'
R F U B R2 F2 D
R F U B R2 F2 D'
R F U B R2 F2 D2
R F U B F R2 F
R F U B F2 R2 D
R F U B F2 R2 D'
R F U B F2 R2 D2
R F U B' R2 F2 B2
R F U B' R2 B2 F2
R F U B' F2 R2 B2
R F U B2 R2 F2 B'
R F U B2 R2 B' F2
R F U B2 F2 R2 B'
U F U2 R U' F' R2
R F D B2 R2 U B'
R F B R2 F2 D' L2
R F B' U R2 F2 B2
R F B' U R2 B2 F2
R F B' U F2 R2 B2
R F B' U F2 B2 R2
R F B' U B2 R2 F2
R F B' U B2 F2 R2
R F B2 U R2 F2 B'
R F B2 U R2 B' F2
R F B2 U F2 R2 B'
R F B2 U F2 B' R2
R F B2 U B' R2 F2
R F B2 U B' F2 R2
R F' L B R2 D' L2
D' F' R F2 U B R2
R F' L' B R2 D' L2
D' F' R' D' F2 L2 B'
R F' L2 B R2 D' L2
R' F' D R2 U2 F' R2
R' F' D B R2 U2 R2
R F' U' F2 U B R2
R F' D' L2 D B R2
R F' D' L2 B D R2
R' F' B D R2 U2 R2
R F' D' B L2 D R2
R F' B L R2 D' L2
R F' B L' R2 D' L2
R F' B L2 R2 D' L2
R F' B R D' L2 R
R F' B R D' R L2
R F' B R' D' L2 R'
R F' B R' D' R' L2
R F' B R2 L D' L2
R F' B R2 L' D' L2
R F' B R2 L2 D' L2
R F' B R2 U' F2 U
R F' B R2 D' L2 D
R F' B R2 D' L2 D'
R F' B R2 D' L2 D2
R F' B U' F2 U R2
R F' B D' L2 D R2
R F' B' R2 B2 D' L2
R F' B2 R2 D' B' L2
R F' B2 R2 B' D' L2
F2 D' F' R U B R2
R B U' F U R2 F2
R B U' F U F2 R2
B' F R U F' B R'
B' F R U B F' R'
R B D F' D' L2 R2
R B D F' D' R2 L2
R' B F' D R2 U2 R2
R B F R2 F2 D' L2
R B F' L R2 D' L2
R B F' L' R2 D' L2
R B F' L2 R2 D' L2
R B F' R D' L2 R
R B F' R D' R L2
R B F' R' D' L2 R'
R B F' R' D' R' L2
R B F' R2 L D' L2
R B F' R2 L' D' L2
R B F' R2 L2 D' L2
R B F' R2 U' F2 U
R B F' R2 D' L2 D
R B F' R2 D' L2 D'
R B F' R2 D' L2 D2
R B F' U' F2 U R2
R B F' D' L2 D R2
L2 B' R U' F' B R'
L2 B' R U' B F' R'
F B' R U F' B R'
F B' R U B F' R'
R B' F U R2 F2 B2
R B' F U R2 B2 F2
R B' F U F2 R2 B2
R B' F U F2 B2 R2
R B' F U B2 R2 F2
R B' F U B2 F2 R2
R B' F' R2 B2 D' L2
R B2 F U R2 F2 B'
R B2 F U R2 B' F2
R B2 F U F2 R2 B'
R B2 F U F2 B' R2
R B2 F U B' R2 F2
R B2 F U B' F2 R2
R B2 F' R2 D' B' L2
R B2 F' R2 B' D' L2
