R' L U F' B' U'
R' L U B' F' U'
L' R U' F B U
L' R U' B F U
U2 L U' F B' U'
U2 L U' B' F U'
L R' U F' B' U'
L R' U B' F' U'
R L' U' F B U
R L' U' B F U
U2 L' U F B' U
U2 L' U B' F U
L U F B' U' R
D2 R U' F' B U
D2 R U' B F' U
L U B' F U' R
L' U' F B' U R'
D2 R' U F' B U'
D2 R' U B F' U'
L' U' B' F U R'
D U F U' L' R
D U F U' R L'
U D F U' L' R
U D F U' R L'
U' D' B' U L R'
U' D' B' U R' L
D' U' B' U L R'
D' U' B' U R' L
D2 L R U' F' B U
U2 L R U' F B' U'
D2 L R U' B F' U
U2 L R U' B' F U'
R' L U D F' B' U'
R' L U D B' F' U'
R' L U D' F' B' U'
R' L U D' B' F' U'
R' L U D2 F' B' U'
R' L U D2 B' F' U'
R' L U F' D B' U'
R' L U F' D' B' U'
R' L U F' D2 B' U'
R' L U F' B' U' D
R' L U F' B' U' D'
R' L U F' B' U' D2
R' L U F' B' D U'
R' L U F' B' D' U'
R' L U F' B' D2 U'
R' L U B' D F' U'
R' L U B' D' F' U'
R' L U B' D2 F' U'
R' L U B' F' U' D
R' L U B' F' U' D'
R' L U B' F' U' D2
R' L U B' F' D U'
R' L U B' F' D' U'
R' L U B' F' D2 U'
D2 L R' U F' B U'
D2 L R' U B F' U'
U2 L R' U' F B' U'
L R U B' U' D' R2
L R U B' U2 B2 U
L R U B' D' U' R2
U2 L R' U' B' F U'
L R U B' D2 F2 U'
R L U B' U' D' R2
R L U B' U2 B2 U
R L U B' D' U' R2
R L U B' D2 F2 U'
L' R U' D F B U
L' R U' D B F U
L' R U' D' F B U
L' R U' D' B F U
L' R U' D2 F B U
L' R U' D2 B F U
L' R U' F D B U
L' R U' F D' B U
L' R U' F D2 B U
L' R U' F B U D
L' R U' F B U D'
L' R U' F B U D2
L' R U' F B D U
L' R U' F B D' U
L' R U' F B D2 U
L' R U' B D F U
L' R U' B D' F U
L' R U' B D2 F U
L' R U' B F U D
L' R U' B F U D'
L' R U' B F U D2
L' R U' B F D U
L' R U' B F D' U
L' R U' B F D2 U
L2 R U' F' B U L'
U2 L R2 U' F B' U'
U2 L R2 U' B' F U'
L R U' B U D L2
L R U' B U2 B2 U'
L R U' B D U L2
L R U' B D2 F2 U
L2 R U' B F' U L'
R L U' B U D L2
R L U' B U2 B2 U'
R L U' B D U L2
R L U' B D2 F2 U
D L U F U' L' R
D L U F U' R L'
L' R D U' F B U
L' R D U' B F U
R' L D U F' B' U'
R' L D U B' F' U'
U2 L U' D F B' U'
U2 L U' D B' F U'
U2 L U' D' F B' U'
U2 L U' D' B' F U'
U2 L U' D2 F B' U'
U2 L U' D2 B' F U'
U2 L U' F D B' U'
U2 L U' F D' B' U'
U2 L U' F D2 B' U'
U2 L U' F B' U' D
U2 L U' F B' U' D'
U2 L U' F B' U' D2
U2 L U' F B' D U'
U2 L U' F B' D' U'
U2 L U' F B' D2 U'
L' R D' U' F B U
L' R D' U' B F U
R' L D' U F' B' U'
R' L D' U B' F' U'
D' L U' B' U L R'
D' L U' B' U R' L
U2 L U' B' D F U'
U2 L U' B' D' F U'
U2 L U' B' D2 F U'
U2 L U' B' F U' D
U2 L U' B' F U' D'
U2 L U' B' F U' D2
U2 L U' B' F D U'
U2 L U' B' F D' U'
U2 L U' B' F D2 U'
R' L D2 U F' B' U'
R' L D2 U B' F' U'
L' R D2 U' F B U
L' R D2 U' B F U
U2 L D U' F B' U'
U2 L D U' B' F U'
L' R F B U F' B'
L' R F B U B' F'
U2 L D' U' F B' U'
U2 L D' U' B' F U'
R' L F' B' U' F B
R' L F' B' U' B F
U2 L D2 U' F B' U'
U2 L D2 U' B' F U'
L' R B F U F' B'
L' R B F U B' F'
R' L B' F' U' F B
R' L B' F' U' B F
L R' U D F' B' U'
L R' U D B' F' U'
L' R' U F' U' D' L2
R' L' U F' U' D' L2
L' R' U F' U2 F2 U
R' L' U F' U2 F2 U
L' R' U F' D' U' L2
R' L' U F' D' U' L2
L' R' U F' D2 B2 U'
L R' U D' F' B' U'
R' L' U F' D2 B2 U'
L R' U D' B' F' U'
L R' U D2 F' B' U'
L R' U D2 B' F' U'
L R' U F' D B' U'
L R' U F' D' B' U'
L R' U F' D2 B' U'
L R' U F' B' U' D
L R' U F' B' U' D'
L R' U F' B' U' D2
L R' U F' B' D U'
L R' U F' B' D' U'
L R' U F' B' D2 U'
L2 R' U F' B U' L
L2 R' U B F' U' L
U L B' L' F U' R
L R' U B' D F' U'
L R' U B' D' F' U'
L R' U B' D2 F' U'
L R' U B' F' U' D
L R' U B' F' U' D'
L R' U B' F' U' D2
L R' U B' F' D U'
L R' U B' F' D' U'
L R' U B' F' D2 U'
R' L' U' F U D R2
L' R' U' F U D R2
R' L' U' F U2 F2 U'
R' L' U' F D U R2
L' R' U' F U2 F2 U'
L' R' U' F D U R2
R' L' U' F D2 B2 U
L' R' U' F D2 B2 U
R L' U' D F B U
R L' U' D B F U
R L' U' D' F B U
R L' U' D' B F U
R L' U' D2 F B U
R L' U' D2 B F U
R L' U' F D B U
R L' U' F D' B U
R L' U' F D2 B U
R L' U' F B U D
R L' U' F B U D'
R L' U' F B U D2
R L' U' F B D U
R L' U' F B D' U
R L' U' F B D2 U
R L' U' B D F U
R L' U' B D' F U
R L' U' B D2 F U
R L' U' B F U D
R L' U' B F U D'
R L' U' B F U D2
R L' U' B F D U
R L' U' B F D' U
R L' U' B F D2 U
D2 L' R U' F' B U
D2 L' R U' B F' U
U2 L' R U F B' U
U2 L' R U B' F U
D2 L' R' U F' B U'
D2 L' R' U B F' U'
U2 L' R' U F B' U
L R' D U F' B' U'
L R' D U B' F' U'
U2 L' R' U B' F U
R L' D U' F B U
R L' D U' B F U
U2 L' R2 U F B' U
U2 L' R2 U B' F U
L R' D' U F' B' U'
L R' D' U B' F' U'
R L' D' U' F B U
R L' D' U' B F U
L R' D2 U F' B' U'
L R' D2 U B' F' U'
U2 L' U D F B' U
U2 L' U D B' F U
U2 L' U D' F B' U
U2 L' U D' B' F U
U2 L' U D2 F B' U
U2 L' U D2 B' F U
R L' D2 U' F B U
R L' D2 U' B F U
U2 L' U F D B' U
U2 L' U F D' B' U
U2 L' U F D2 B' U
U2 L' U F B' U D
U2 L' U F B' U D'
U2 L' U F B' U D2
U2 L' U F B' D U
U2 L' U F B' D' U
U2 L' U F B' D2 U
D L' U F U' L' R
D L' U F U' R L'
U2 L' U B' D F U
U2 L' U B' D' F U
U2 L' U B' D2 F U
U2 L' U B' F U D
U2 L' U B' F U D'
U2 L' U B' F U D2
U2 L' U B' F D U
U2 L' U B' F D' U
U2 L' U B' F D2 U
D' L' U' B' U L R'
D' L' U' B' U R' L
R L' F B U F' B'
R L' F B U B' F'
L R' F' B' U' F B
L R' F' B' U' B F
U2 L' D U F B' U
U2 L' D U B' F U
U2 L' D' U F B' U
U2 L' D' U B' F U
R L' B F U F' B'
R L' B F U B' F'
U2 L' D2 U F B' U
U2 L' D2 U B' F U
L R' B' F' U' F B
L R' B' F' U' B F
U' L' F L B' U R'
R' L2 U F' B U' L
R' L2 U B F' U' L
R L2 U' F' B U L'
R L2 U' B F' U L'
D2 L2 R U' F' B U
D2 L2 R U' B F' U
D2 L2 R' U F' B U'
D2 L2 R' U B F' U'
D L2 U F U' L' R
D L2 U F U' R L'
D' L2 U' B' U L R'
D' L2 U' B' U R' L
R' U L B' L' F' U'
R' U D F' U R U2
L U D F B' U' R
R' U D' F' B' U' L
L U D B' F U' R
R' U D' B' F' U' L
D2 R L U' F' B U
D2 R L U' B F' U
U2 R L U' F B' U'
U2 R L U' B' F U'
L U D' F B' U' R
L U D' B' F U' R
D2 R L' U' F' B U
D2 R L' U' B F' U
U2 R L' U F B' U
U2 R L' U B' F U
L U D2 F B' U' R
L U D2 B' F U' R
D2 R L2 U' F' B U
D2 R L2 U' B F' U
R' U F' L B' L' U'
L2 U F B U' L R
L2 U F B U' R L
L U F D B' U' R
L U F D' B' U' R
L U F D2 B' U' R
L U F B' U' R D
L U F B' U' R D'
L U F B' U' R D2
L U F B' U' D R
L U F B' U' D' R
L U F B' U' D2 R
L' U F' U2 F2 U R
L U F B' D U' R
L U F B' D' U' R
L U F B' D2 U' R
R' U F' D' B' U' L
R' U F2 D F U' L'
L U F' B' U L' U2
L' U F2 U2 F' U R
D2 R U' D F' B U
D2 R U' D B F' U
D2 R U' D' F' B U
D2 R U' D' B F' U
D2 R U' D2 F' B U
D2 R U' D2 B F' U
D2 R U' F' D B U
D2 R U' F' D' B U
D2 R U' F' D2 B U
D2 R U' F' B U D
D2 R U' F' B U D'
D2 R U' F' B U D2
D2 R U' F' B D U
D2 R U' F' B D' U
D2 R U' F' B D2 U
D2 R U' B D F' U
D2 R U' B D' F' U
D2 R U' B D2 F' U
D2 R U' B F' U D
D2 R U' B F' U D'
D2 R U' B F' U D2
D2 R U' B F' D U
D2 R U' B F' D' U
D2 R U' B F' D2 U
D' R U' B U' R' U2
D R U' F B U L'
D R U' B F U L'
L2 U B F U' L R
L2 U B F U' R L
D2 R D U' F' B U
D2 R D U' B F' U
L U B' U2 B' U R'
L U B' D F U' R
L U B' D' F U' R
L U B' D2 F U' R
L U B' F U' R D
L U B' F U' R D'
