U' R D' F' R2 B'
U' R D' F' B' R2
U' R D' B' F' R2
U' R F' D' R2 B'
U' R F' D' B' R2
R' U' D' R2 F' B'
R' U' D' R2 B' F'
U2 R B2 U F' B
U2 R B2 U B F'
R U' D' F' R2 B'
R U' D' F' B' R2
R U' D' B' F' R2
R U' F' D' R2 B'
R U' F' D' B' R2
U' R' D' R2 F' B'
U' R' D' R2 B' F'
R U2 B2 U F' B
R U2 B2 U B F'
R' D' U' R2 F' B'
R' D' U' R2 B' F'
R D' U' F' R2 B'
R D' U' F' B' R2
R D' U' B' F' R2
R D2 F2 U' F B'
R D2 F2 U' B' F
D' L F L' U' R2 B'
D' L F L' U' B' R2
D2 L' F2 L U' F' B'
D2 L' F2 L U' B' F'
R' U D L2 F B U2
R' U D L2 B F U2
R' U D B L2 U2 B2
R U D L2 F U2 F2
R' U D' B U2 R2 B2
R' U D' B U2 B2 R2
U2 R U D' F' R2 B'
U2 R U D' F' B' R2
U2 R U D' B' F' R2
U2 R U F' D' R2 B'
U2 R U F' D' B' R2
D' R U' D R F' B'
D' R U' D R B' F'
D' R U' D B' R F'
F' R U' D' F' R2 B'
F' R U' D' F' B' R2
F' R U' D' B' F' R2
F' R U' F' D' R2 B'
F' R U' F' D' B' R2
F2 R U' D' F' R2 B'
F2 R U' D' F' B' R2
F2 R U' D' B' F' R2
D' R U' B' D R F'
R' U B U B U B
F2 R U' F' D' R2 B'
F2 R U' F' D' B' R2
U' R U' B2 U F' B
U' R U' B2 U B F'
F R U' D' F' R2 B'
F R U' D' F' B' R2
F R U' D' B' F' R2
F R U' F' D' R2 B'
F R U' F' D' B' R2
F' R U2 B2 U F' B
F' R U2 B2 U B F'
F2 R U2 B2 U F' B
F2 R U2 B2 U B F'
D' R D U' R F' B'
D' R D U' R B' F'
D' R D U' B' R F'
F R U2 B2 U F' B
F R U2 B2 U B F'
U' R D F' D2 R2 B'
U' R D F' D2 B' R2
U' R D F' B' D2 R2
U' R D B' D2 F' R2
U' R D B' F' D2 R2
U' R D' R2 B' D2 F2
F' R D' U' F' R2 B'
F' R D' U' F' B' R2
F' R D' U' B' F' R2
U' R D' F R2 F2 B'
U' R D' F R2 B' F2
U' R D' F B' R2 F2
U' R D' F' R B' R
U' R D' F' R2 D B'
U' R D' F' R2 D' B'
U' R D' F' R2 D2 B'
U' R D' F' R2 B' D
U' R D' F' R2 B' D'
U' R D' F' R2 B' D2
U2 R D' U F' R2 B'
U2 R D' U F' B' R2
U2 R D' U B' F' R2
U' R D' F' B R2 B2
U' R D' F' B' R2 D
U' R D' F' B' R2 D'
U' R D' F' B' R2 D2
U' R D' F2 R2 F B'
U' R D' F2 R2 B' F
F2 R D' U' F' R2 B'
F2 R D' U' F' B' R2
F2 R D' U' B' F' R2
U' R D' F2 B' R2 F
U' R D' B F' R2 B2
U' R D' B' F R2 F2
U' R D' B' F' R2 D
U' R D' B' F' R2 D'
U' R D' B' F' R2 D2
U' R D' B' F2 R2 F
F R D' U' F' R2 B'
F R D' U' F' B' R2
F R D' U' B' F' R2
F' R D2 F2 U' F B'
F' R D2 F2 U' B' F
U' R D2 B' D F' R2
F2 R D2 F2 U' F B'
F2 R D2 F2 U' B' F
F R D2 F2 U' F B'
F R D2 F2 U' B' F
U' R F' R D' R2 B'
U' R F' R D' B' R2
U' R F' R' D' R2 B'
U' R F' R' D' B' R2
U' R F' R2 D' R2 B'
U' R F' R2 D' B' R2
U' R F' U' B2 U B
U' R F' D B' D2 R2
U' R F' D' R B' R
U' R F' D' R2 D B'
U' R F' D' R2 D' B'
U' R F' D' R2 D2 B'
U' R F' D' R2 B' D
U' R F' D' R2 B' D'
U' R F' D' R2 B' D2
U' R F' D' B R2 B2
U' R F' D' B' R2 D
U' R F' D' B' R2 D'
U' R F' D' B' R2 D2
U' R F' D2 B' D R2
U' R F' B' U' B' U
U' R F2 D' R2 F B'
U' R F2 D' R2 B' F
U' R F2 D' F R2 B'
U' R F2 D' F B' R2
U' R F2 D' B' R2 F
U' R F2 D' B' F R2
R' U' R2 D' F' R2 B'
R' U' R2 D' F' B' R2
R' U' R2 D' B' F' R2
R' U' R2 F' D' R2 B'
R' U' R2 F' D' B' R2
U' R B' U' B' U F'
R U' R2 D' R2 F' B'
R U' R2 D' R2 B' F'
U' R B' F' U' B' U
R' U' D B' D2 R2 F2
R' U' D B' D2 F2 R2
U2 R B2 L U F' B
U2 R B2 L U B F'
R' U' D' R B' R F'
U2 R B2 L' U F' B
U2 R B2 L' U B F'
U2 R B2 L2 U F' B
U2 R B2 L2 U B F'
R' U' D' R2 D F' B'
R' U' D' R2 D B' F'
R' U' D' R2 D' F' B'
R' U' D' R2 D' B' F'
R' U' D' R2 D2 F' B'
R' U' D' R2 D2 B' F'
R' U' D' R2 F' D B'
R' U' D' R2 F' D' B'
R' U' D' R2 F' D2 B'
R' U' D' R2 F' B' D
R' U' D' R2 F' B' D'
R' U' D' R2 F' B' D2
R' U' D' R2 B' D F'
R' U' D' R2 B' D' F'
R' U' D' R2 B' D2 F'
R' U' D' R2 B' F' D
R' U' D' R2 B' F' D'
R' U' D' R2 B' F' D2
R' U' D' F R2 F' B'
R' U' D' F R2 B' F'
R' U' D' F' R2 F' B'
R' U' D' F' R2 B' F'
R' U' D' F2 R2 F' B'
R' U' D' F2 R2 B' F'
U2 R B2 U D F' B
U2 R B2 U D B F'
U2 R B2 U D' F' B
U2 R B2 U D' B F'
U2 R B2 U D2 F' B
U2 R B2 U D2 B F'
U2 R B2 U F' D B
U2 R B2 U F' D' B
U2 R B2 U F' D2 B
U2 R B2 U F' B D
U2 R B2 U F' B D'
U2 R B2 U F' B D2
U2 R B2 U B D F'
U2 R B2 U B D' F'
U2 R B2 U B D2 F'
U2 R B2 U B F' D
U2 R B2 U B F' D'
U2 R B2 U B F' D2
R' U' D' B' R2 D2 F2
R U' D F' D2 R2 B'
R U' D F' D2 B' R2
R U' D F' B' D2 R2
U2 R B2 D U F' B
U2 R B2 D U B F'
U2 R B2 D' U F' B
U2 R B2 D' U B F'
R U' D B' D2 F' R2
R U' D B' F' D2 R2
U2 R B2 D2 U F' B
U2 R B2 D2 U B F'
U R B2 U L F' B
U R B2 U L B F'
U R B2 U F' L B
R U' D' R2 B' D2 F2
R U' D' F R2 F2 B'
R U' D' F R2 B' F2
R U' D' F B' R2 F2
R U' D' F' R B' R
R U' D' F' R2 D B'
R U' D' F' R2 D' B'
R U' D' F' R2 D2 B'
R U' D' F' R2 B' D
R U' D' F' R2 B' D'
R U' D' F' R2 B' D2
R U' D' F' B R2 B2
R U' D' F' B' R2 D
R U' D' F' B' R2 D'
R U' D' F' B' R2 D2
R U' D' F2 R2 F B'
R U' D' F2 R2 B' F
R U' D' F2 B' R2 F
R U' D' B F' R2 B2
R U' D' B' F R2 F2
R U' D' B' F' R2 D
R U' D' B' F' R2 D'
R U' D' B' F' R2 D2
R U' D' B' F2 R2 F
R' U' F D' R2 F' B'
R' U' F D' R2 B' F'
R U' D2 B' D F' R2
R' U' F' D' R2 F' B'
R' U' F' D' R2 B' F'
R U' F' R D' R2 B'
R U' F' R D' B' R2
R U' F' R' D' R2 B'
R U' F' R' D' B' R2
R U' F' R2 D' R2 B'
R U' F' R2 D' B' R2
U2 R' U D' R2 F' B'
U2 R' U D' R2 B' F'
R U' F' U' B2 U B
R' U' F2 D' R2 F' B'
R' U' F2 D' R2 B' F'
R U' F' D B' D2 R2
R U' F' D' R B' R
R U' F' D' R2 D B'
R U' F' D' R2 D' B'
R U' F' D' R2 D2 B'
R U' F' D' R2 B' D
R U' F' D' R2 B' D'
R U' F' D' R2 B' D2
R U' F' D' B R2 B2
R U' F' D' B' R2 D
R U' F' D' B' R2 D'
R U' F' D' B' R2 D2
R U' F' D2 B' D R2
R U' F' B' U' B' U
F' R' U' D' R2 F' B'
F' R' U' D' R2 B' F'
F2 R' U' D' R2 F' B'
F2 R' U' D' R2 B' F'
R U' F2 D' R2 F B'
R U' F2 D' R2 B' F
R U' F2 D' F R2 B'
R U' F2 D' F B' R2
R U' F2 D' B' R2 F
R U' F2 D' B' F R2
F R' U' D' R2 F' B'
F R' U' D' R2 B' F'
R2 U' B' U' R' B' U
U' R' D B' D2 R2 F2
U' R' D B' D2 F2 R2
R U' B' U' B' U F'
U' R' D' R B' R F'
R U' B' F' U' B' U
U' R' D' R2 D F' B'
U' R' D' R2 D B' F'
U' R' D' R2 D' F' B'
U' R' D' R2 D' B' F'
U' R' D' R2 D2 F' B'
U' R' D' R2 D2 B' F'
U' R' D' R2 F' D B'
U' R' D' R2 F' D' B'
U' R' D' R2 F' D2 B'
U' R' D' R2 F' B' D
U' R' D' R2 F' B' D'
U' R' D' R2 F' B' D2
U' R' D' R2 B' D F'
U' R' D' R2 B' D' F'
U' R' D' R2 B' D2 F'
U' R' D' R2 B' F' D
U' R' D' R2 B' F' D'
U' R' D' R2 B' F' D2
F' R' D' U' R2 F' B'
F' R' D' U' R2 B' F'
U' R' D' F R2 F' B'
U' R' D' F R2 B' F'
U' R' D' F' R2 F' B'
U' R' D' F' R2 B' F'
U' R' D' F2 R2 F' B'
U' R' D' F2 R2 B' F'
U2 R' D' U R2 F' B'
U2 R' D' U R2 B' F'
F2 R' D' U' R2 F' B'
F2 R' D' U' R2 B' F'
U' R' D' B' R2 D2 F2
F R' D' U' R2 F' B'
F R' D' U' R2 B' F'
U' R' F D' R2 F' B'
U' R' F D' R2 B' F'
U' R' F' D' R2 F' B'
U' R' F' D' R2 B' F'
D' R' F2 U' R' F' B'
D' R' F2 U' R' B' F'
U' R' F2 D' R2 F' B'
U' R' F2 D' R2 B' F'
L U2 R B2 U F' B'
L U2 R B2 U B' F'
R' U2 R2 B2 U F' B
R' U2 R2 B2 U B F'
U2 R' B2 L2 U F B
U2 R' B2 L2 U B F
U2 R' B2 U B D2 F2
U2 R' B2 U' B' U2 B2
B' R2 U' F' B' R' U
B' R2 U' B' F' R' U
R' U2 B2 L2 U F B
R' U2 B2 L2 U B F
R' U2 B2 U B D2 F2
R' U2 B2 U' B' U2 B2
R2 U2 B2 L U F B
R2 U2 B2 L U B F
U' R2 D' R' F' R' B'
R U2 B2 L U F' B
R U2 B2 L U B F'
R U2 B2 L' U F' B
R U2 B2 L' U B F'
R U2 B2 L2 U F' B
R U2 B2 L2 U B F'
L U2 B2 R U F' B
L U2 B2 R U B F'
U' R2 D' B' R' F' R'
R U2 B2 U D F' B
R U2 B2 U D B F'
R U2 B2 U D' F' B
R U2 B2 U D' B F'
R U2 B2 U D2 F' B
R U2 B2 U D2 B F'
R U2 B2 U F' D B
R U2 B2 U F' D' B
R U2 B2 U F' D2 B
R U2 B2 U F' B D
R U2 B2 U F' B D'
R U2 B2 U F' B D2
R U2 B2 U B D F'
R U2 B2 U B D' F'
R U2 B2 U B D2 F'
R U2 B2 U B F' D
R U2 B2 U B F' D'
R U2 B2 U B F' D2
R U2 B2 D U F' B
R U2 B2 D U B F'
R U2 B2 D' U F' B
R U2 B2 D' U B F'
R U2 B2 D2 U F' B
R U2 B2 D2 U B F'
R' D U L2 F B U2
R' D U L2 B F U2
U' R2 B' U' B' R' U
R' D U B L2 U2 B2
R' D U' B' D2 R2 F2
R' D U' B' D2 F2 R2
R D U L2 F U2 F2
R D U' F' D2 R2 B'
R D U' F' D2 B' R2
R D U' F' B' D2 R2
R D U' B' D2 F' R2
R D U' B' F' D2 R2
R' D' R U' R F' B'
R' D' R U' R B' F'
R' D' R U' B' R F'
R2 D' R' U' F' R' B'
R' D' U B U2 R2 B2
R' D' U B U2 B2 R2
R' D' U' R B' R F'
R' D' U' R2 D F' B'
R' D' U' R2 D B' F'
R' D' U' R2 D' F' B'
R' D' U' R2 D' B' F'
R' D' U' R2 D2 F' B'
R' D' U' R2 D2 B' F'
R' D' U' R2 F' D B'
R' D' U' R2 F' D' B'
R' D' U' R2 F' D2 B'
R' D' U' R2 F' B' D
R' D' U' R2 F' B' D'
R' D' U' R2 F' B' D2
R' D' U' R2 B' D F'
R' D' U' R2 B' D' F'
R' D' U' R2 B' D2 F'
R' D' U' R2 B' F' D
R' D' U' R2 B' F' D'
R' D' U' R2 B' F' D2
R' D' U' F R2 F' B'
R' D' U' F R2 B' F'
R' D' U' F' R2 F' B'
R' D' U' F' R2 B' F'
R' D' U' F2 R2 F' B'
R' D' U' F2 R2 B' F'
R' D' U' B' R2 D2 F2
U' D' R D R F' B'
U' D' R D R B' F'
D' U' R D R F' B'
D' U' R D R B' F'
U' D' R D B' R F'
D' U' R D B' R F'
U' D' R B' D R F'
D' U' R B' D R F'
R' D' F U' R2 F' B'
R' D' F U' R2 B' F'
R D' U' R2 B' D2 F2
R D' U' F R2 F2 B'
R D' U' F R2 B' F2
R D' U' F B' R2 F2
R D' U' F' R B' R
R D' U' F' R2 D B'
R D' U' F' R2 D' B'
R D' U' F' R2 D2 B'
R D' U' F' R2 B' D
R D' U' F' R2 B' D'
R D' U' F' R2 B' D2
R D' U' F' B R2 B2
R D' U' F' B' R2 D
R D' U' F' B' R2 D'
R D' U' F' B' R2 D2
R D' U' F2 R2 F B'
R D' U' F2 R2 B' F
R D' U' F2 B' R2 F
R D' U' B F' R2 B2
R D' U' B' F R2 F2
R D' U' B' F' R2 D
R D' U' B' F' R2 D'
R D' U' B' F' R2 D2
R D' U' B' F2 R2 F
R' D' F' U' R2 F' B'
R' D' F' U' R2 B' F'
L D' F L' U' R2 B'
L D' F L' U' B' R2
R D' F U' R2 F2 B'
R D' F U' R2 B' F2
R D' F U' F2 R2 B'
R D' F U' F2 B' R2
R D' F U' B' R2 F2
R D' F U' B' F2 R2
R' D' F2 U' R2 F' B'
R' D' F2 U' R2 B' F'
F' U' R D' F' R2 B'
F' U' R D' F' B' R2
F' U' R D' B' F' R2
F' U' R F' D' R2 B'
F' U' R F' D' B' R2
