R U2 F B R U'
R U2 B F R U'
L2 R B' U2 R' B2 U'
R L2 B' U2 R' B2 U'
D2 R U2 F B R U'
D' R U2 F B R U'
B' R U2 F B R2 U'
D2 R U2 B F R U'
D' R U2 B F R U'
B2 R U2 F B R' U'
B' R U2 B R2 F U'
B' R U2 B F R2 U'
B2 R U2 B R' F U'
D R U2 F B R U'
B2 R U2 B F R' U'
D R U2 B F R U'
F R' U2 F' L' R U
F R' U2 F' R L' U
B' R' F U' D' L2 F2
B' R' F U' D' F2 L2
B' R' F U2 R2 F2 U
B' R' F U2 F2 R2 U
B' R' F D' U' L2 F2
B' R' F D' U' F2 L2
B' R' F D2 L2 B2 U'
B' R' F D2 B2 L2 U'
R U2 R' F R B U'
R U2 D F B R U'
R U2 D B F R U'
R U2 D' F B R U'
R U2 D' B F R U'
R U2 D2 F B R U'
R U2 D2 B F R U'
R U2 F D B R U'
R U2 F D' B R U'
R U2 F D2 B R U'
R U2 F B R U' D
R U2 F B R U' D'
R U2 F B R U' D2
R U2 F B R D U'
R U2 F B R D' U'
R U2 F B R D2 U'
R U2 F B D R U'
R U2 F B D' R U'
R U2 F B D2 R U'
R U2 F B' R B2 U'
R U2 F B2 R B' U'
R U2 B R F R U'
R U2 B R' F R U'
R U2 B R2 F R U'
R U2 B D F R U'
R U2 B D' F R U'
R U2 B D2 F R U'
R U2 B F R U' D
R U2 B F R U' D'
R U2 B F R U' D2
R U2 B F R D U'
R U2 B F R D' U'
R U2 B F R D2 U'
R U2 B F D R U'
R U2 B F D' R U'
R U2 B F D2 R U'
R U2 B' F R B2 U'
R U2 B2 F R B' U'
R D U2 F B R U'
R D U2 B F R U'
R D' U2 F B R U'
R D' U2 B F R U'
R D2 U2 F B R U'
R D2 U2 B F R U'
U2 F D R U' F' L'
U2 F2 L' F' R B' U'
U2 F2 L' F' B' R U'
U2 F2 L' B' F' R U'
R' F2 R2 F B L U
R' F2 R2 B F L U
B' F R' U2 F' R U
L2 B' R U2 B R2 U'
R B' U2 R' F B2 U'
R B' U2 R' B2 F U'
R B' U2 F R' B2 U'
F B' R' U2 F' R U
R B2 L2 F B' L U
R B2 L2 B' F L U
