B L D2 F' R2 U R'
U' L F D R2 U2 F2
U' L F D' B2 U2 L2
B2 L' R2 B R' U' R2
L' U L2 U F' L' U
F2 R F U' L F U2
L' U2 D' F' L' B2 U
L' U2 D' F' B2 L' U
L' U2 D' B2 F' L' U
L' U2 D2 F' L' U R2
B2 R2 L' B R' U' R2
L' U2 F' L' U' L' U2
L' U2 F' D' L' B2 U
L' U2 F' D' B2 L' U
L' U2 F' D2 L' U R2
B2 R2 B L' R' U' R2
B2 R2 B R' L' U' R2
L' D' U2 F' L' B2 U
L' D' U2 F' B2 L' U
F' U' L F U' L' U'
L' D' U2 B2 F' L' U
F' U' D' L F B' U2
F' U' D' L B' F U2
L' D2 U2 F' L' U R2
F' D' U' L F B' U2
F' D' U' L B' F U2
