L' U R2 F' U B'
L' R U R F' U B'
R2 L F' U D2 R2 B2
R2 L F' U D2 B2 R2
R2 L F' U' L2 F2 U2
R2 L F' U' F2 L2 U2
R2 L F' D' L2 B2 U
R2 L F' D' B2 L2 U
B L D2 L2 U' R2 B'
B L D2 L2 U' B' R2
R2 L F' D2 U R2 B2
R2 L F' D2 U B2 R2
R L' U R F' U B'
R2 L' U F' U F B'
R2 L' U F' U B' F
F' L' R2 F' U R B'
F' L' R2 F' U B' R
F2 L' R2 F' U R' B'
U2 L' U R2 F' L' U
D2 L' U' B L' U' B2
D' L' U' B U' F2 B2
D' L' U' B U' B2 F2
B' L' U2 D B' L2 F
B L' U2 R2 U R2 B'
B L' U2 R2 U B' R2
B2 L' U2 D' F2 B' L
B2 L' U2 D' B' L F2
B2 L' U2 D' B' F2 L
D' L' U2 F2 B' D L2
D' L' U2 B' F2 D L2
D L' U2 B' D L2 F
B' L' D U2 B' L2 F
B' L' D B2 U2 L2 B
B' L' D B2 U2 B L2
B' L' D' R2 U2 F2 B'
B' L' D' R2 U2 B' F2
B2 L' D' U2 F2 B' L
B2 L' D' U2 B' L F2
B2 L' D' U2 B' F2 L
B2 L' D' B' L F2 R
L' R2 U F' U F B'
L' R2 U F' U B' F
D2 L' B L' U' B2 R'
F2 L' B' D' R F2 L'
D L' B2 U' B' U' B2
D L' B2 U2 B D L2
L2 R2 F' U' L U2 B'
R2 L2 F' U' L U2 B'
L R2 F' U D2 R2 B2
L R2 F' U D2 B2 R2
L R2 F' U' L2 F2 U2
L R2 F' U' F2 L2 U2
L R2 F' D' L2 B2 U
L R2 F' D' B2 L2 U
L R2 F' D2 U R2 B2
L R2 F' D2 U B2 R2
L' U R2 D F' U B'
L' U R2 D' F' U B'
L' U R2 D2 F' U B'
L' U R2 F' U D B'
L' U R2 F' U D' B'
L' U R2 F' U D2 B'
L' U R2 F' U B' D
L' U R2 F' U B' D'
L' U R2 F' U B' D2
L' U R2 F' D U B'
L' U R2 F' D' U B'
L' U R2 F' D2 U B'
L' U F R2 F' U B'
L' U F' R2 F' U B'
L' U F2 R2 F' U B'
F2 R U' R F' L' U
B R F2 L' U' R B'
B R F2 L' U' B' R
L' U' D' B U' F2 B2
L' U' D' B U' B2 F2
L' U' D2 B L2 U' B2
L' U' B U' B2 D' F2
L' U' B U2 R2 U B2
L' U' B D' R2 U' F2
L' U2 R2 F' U R2 B'
L' U2 R2 F' U B' R2
L' U2 D B' D L2 F
L' U2 D' F2 B' D L2
L' U2 D' B' F2 D L2
L' U2 D2 B' D L2 F2
L' U2 D2 B' D F2 L2
F' R2 L' F' U R B'
F' R2 L' F' U B' R
F2 R2 L' F' U R' B'
L' U2 B' D L2 D2 F2
L' U2 B' D' F2 D2 L2
F' R2 F' L' U R B'
F' R2 F' L' U B' R
F2 R2 F' L' U R' B'
L' D U2 B' D L2 F
F' U R2 F' U R B
L' D B2 U' B' U' B2
L' D B2 U2 B D L2
L' D' U' B U' F2 B2
L' D' U' B U' B2 F2
L' D' U2 F2 B' D L2
L' D' U2 B' F2 D L2
F' U' R2 F' L' U R
F2 U' R2 F' L' U R'
D' U' B U' F2 R B
U' D' B U' F2 R B
L D2 L2 B U' R2 B2
L D2 L2 B U' B2 R2
L' D2 U' B L2 U' B2
L' D2 U2 B' D L2 F2
L' D2 U2 B' D F2 L2
L D2 B L2 U' R2 B'
L D2 B L2 U' B' R2
F2 U2 R2 F' U R' B
L F L2 U R2 F' U
L' F U R2 F' U B'
B' D L' B2 U2 L' B
B' D L' B2 U2 B L'
U' F' L' R2 F' U R
R2 F' L U' F L' U2
U' F' R2 L' F' U R
B' D B2 L' U2 B' L'
L' F' U R2 F' U B'
U F' R2 F' U R B
B' D' L' R2 U2 F2 B'
B' D' L' R2 U2 B' F2
B' D' R F2 L' R B'
B' D' R F2 L' B' R
B' D' R F2 R L' B'
B' D' R2 L' U2 F2 B'
B' D' R2 L' U2 B' F2
B' D' R2 U2 F2 R B
D' F2 L' R D B' L
D' F2 L' B' R D L2
D' F2 L' B' D L2 R
D' F2 L' B' D R L2
D' F2 R L' D B' L
D' F2 R D L' B' L
U2 F2 R2 F' U R' B
L' F2 U R2 F' U B'
B D2 L2 U L U2 B'
D2 B L2 U L U2 B'
U' B U' D' F2 R B
L' B U2 R2 U R2 B2
L' B U2 R2 U B2 R2
U' B D' U' F2 R B
L B D2 L2 U' R2 B'
L B D2 L2 U' B' R2
F2 B U2 R2 U R' B
L' B' D L2 D2 R2 F2
L' B' D L2 D2 F2 R2
L' B' D B2 U2 L2 B2
L' B' D B2 U2 B2 L2
F2 B' D' R F2 L' B'
D B2 L' U2 D' B' L
D B2 L' D' U2 B' L
B F2 U2 R2 U R' B
B' F2 D' R F2 L' B'
