D B2 R' U L B
F' L R U R2 U2 R'
F' L R U' D2 L2 R
F' L R U' D2 R L2
F' L R D B2 U' R
F' L R D2 U' L2 R
F' L R D2 U' R L2
D' L R2 F2 U' B' L'
F L D' F2 U' B2 L
D' L F2 U R' U2 B'
D' L F2 U' B2 L B
D' L F2 B2 U' L B
F' L B2 R U' L R
F' L B2 R U' R L
R' L' U2 D R' F2 B
R' L' U2 D R' B F2
L' R' U2 D R' F2 B
L' R' U2 D R' B F2
R' L' U2 D F2 R' B
L' R' U2 D F2 R' B
D' L B2 F2 U' L B
R' L' D R' F2 L' B
R' L' D R' F2 B L'
R' L' D R' B F2 L'
L' R' D R' F2 L' B
L' R' D R' F2 B L'
L' R' D R' B F2 L'
R' L' D U2 R' F2 B
R' L' D U2 R' B F2
R' L' D U2 F2 R' B
L' R' D U2 R' F2 B
L' R' D U2 R' B F2
L' R' D U2 F2 R' B
R' L' D' B2 L U2 B'
L' R' D' B2 L U2 B'
F L' U R2 D F2 L'
F L' D B2 U L F2
F L' D B2 U F2 L
L U R' U2 D R' B
L U R' D U2 R' B
F' R L U R2 U2 R'
F' R L U' D2 L2 R
F' R L U' D2 R L2
F' R L D B2 U' R
F' R L D2 U' L2 R
F' R L D2 U' R L2
F' R D L B2 U' R
B2 R D' L R F2 B'
B2 R D' L R B' F2
B2 R D' L B' R F2
B2 R D' R L F2 B'
B2 R D' R L B' F2
B2 R D' R F2 L B'
R' U' L U' D R' B
R' U' L D U' R' B
F' R D2 L U' L R
F' R D2 L U' R L
R' U' L F' R U' R2
R' U' D L U' R' B
R' U' D' L U' R' B'
R' U' F' L R U' R2
R' U' F' R L U' R2
B2 R' U L D R' B
B2 R' U R' D' L B'
B2 R' U D L R' B
B2 R' U D R' L B
B2 R' U D' L R' B'
B2 R' U D' R' L B'
D' R' U' L F2 U' B'
F' R' U' L R2 U' R
F' R' U' R2 L U' R
D R' U B2 R' U B'
D' R' U' F2 L U' B'
B2 R' D U L R' B
B2 R' D U R' L B
B2 R' D' U L R' B'
B2 R' D' U R' L B'
L U' B2 R2 D' L B'
B2 R' F L' U L2 R'
B2 R' F L' U R' L2
D' R2 L F2 U' B' L'
D' R2 F2 L U' B' L2
R' D U' L U' R' B
U' D B2 R' U L B
U2 D B2 R' U L B
D U B2 R' U L B
U D B2 R' U L B
R' D' U' L U' R' B'
L D' F2 U' B2 L B'
L D' F2 B2 U' L B'
L D' B2 F2 U' L B'
D U' B2 R' U L B
D U2 B2 R' U L B
D F B2 R' U L B
L F' R U R2 U2 R'
L F' R U' D2 L2 R
L F' R U' D2 R L2
L F' R D B2 U' R
L F' R D2 U' L2 R
L F' R D2 U' R L2
R' F' U' L R U' R2
R' F' U' R L U' R2
F D B2 L' R' U L2
F D B2 R' L' U L2
D' F2 L U R' U2 B'
D' F2 L U' B2 L B
D F' B2 R' U L B
D' F2 L B2 U' L B
L F' B2 R U' L R
L F' B2 R U' R L
R2 F2 U L U' L2 B'
D F2 B2 R' U L B
B2 F L' R' U L2 R'
B2 F L' R' U R' L2
B2 F R' L' U L2 R'
B2 F R' L' U R' L2
D B2 L' R' U L2 B
D B2 L' R' U B L2
D B2 L2 R' U L' B
D B2 L2 R' U B L'
F B2 L' R' U L2 R'
D B2 R' L' U L2 B
F B2 L' R' U R' L2
D B2 R' L' U B L2
D B2 R' L2 U L' B
D B2 R' L2 U B L'
D B2 R' U L D B
D B2 R' U L D' B
D B2 R' U L D2 B
D B2 R' U L B D
D B2 R' U L B D'
D B2 R' U L B D2
D B2 R' U L' B L2
D B2 R' U L2 B L'
D B2 R' U D L B
D B2 R' U D' L B
D B2 R' U D2 L B
D B2 R' D U L B
D B2 R' D' U L B
D B2 R' D2 U L B
D B2 R' F U L B
D B2 R' F' U L B
D B2 R' F2 U L B
F B2 R' L' U L2 R'
F B2 R' L' U R' L2
L B2 U' R2 D' L B'
D B2 D2 R' U L B'
L B2 D' F2 U' L B'
D B2 F R' U L B
D B2 F' R' U L B
L B2 F' R U' L R
L B2 F' R U' R L
D B2 F2 R' U L B
