B L B R U' B R
R2 U R' B2 U' F' B'
R2 U R' B2 U' B' F'
B2 R U' D' B R F'
B2 R U' B R D' F2
R2 U B2 R' U' F' B
R2 U B2 R' U' B F'
B2 R D' U' B R F'
B' R B D' R F2 L'
U2 F' L' B2 U' B R2
B2 D' R F2 U' F B
B2 D' R F2 U' B F
U2 F' B2 L' U' R2 B'
U2 F' B2 L' U' B' R2
B2 D' F2 R U' F' B
B2 D' F2 R U' B F'
R B L B U' R B'
R B L B U' B' R
R B U L B U' R
R B2 U' D' R F' B'
R B2 U' D' R B' F'
R B2 U' D' B' R F'
R B2 D' U' R F' B'
R B2 D' U' R B' F'
R B2 D' U' B' R F'
U2 B2 F' L' U' R2 B'
U2 B2 F' L' U' B' R2
