L2 F B' L U F2
B F R' B2 U' F2
F B R' B2 U' F2
B' F U2 L U F2
L2 B' F L U F2
F B' U2 L U F2
B' L2 U2 B' L' U F'
D2 L2 F B' L' U F2
U' L2 F B' L U F2
U2 L2 F B' L U F2
U L2 F B' L U F2
D2 L2 B' F L' U F2
U' L2 B' F L U F2
U2 L2 B' F L U F2
U L2 B' F L U F2
L2 U F B' L U F2
L2 U B' F L U F2
B' R F U2 L U F
F R B R' B2 U' F2
F R B' U2 L U F2
L2 U' F B' L U F2
L2 U' B' F L U F2
F R' B R' B2 U' F2
F R' B' U2 L U F2
B R' B2 D' F L' U'
L2 U2 F B' L U F2
L2 U2 B' F L U F2
F R2 B R' B2 U' F2
F R2 B' U2 L U F2
R' D F B' L U' B'
R' D B' F L U' B'
B U F R' B2 U' F2
F' U F2 B R' B2 U'
F' U F2 B' U2 L U
F' U B R' F2 B2 U'
F' U B R' B2 F2 U'
F' U B F2 R' B2 U'
F' U B' F2 U2 L U
B U' F R' B2 U' F2
B' U2 L U D F' R
B' U2 L D U F' R
L2 D2 F B' L' U F2
B' U2 L2 B' L' U F'
L2 D2 B' F L' U F2
B2 U2 F B R U' F2
B U2 F R' B2 U' F2
L2 F R B' L U F2
D' F R' B' U' F2 B2
D' F R' B' U' B2 F2
L2 F R' B' L U F2
B2 U2 B F R U' F2
L2 F R2 B' L U F2
R' F D B' L U' B'
U' F B R' B2 U' F2
U2 F B R' B2 U' F2
D' F B' R' U' F2 B
D' F B' R' U' B F2
U' F B' U2 L U F2
D2 F B' U2 L' U F2
L2 F B' L R U F2
L2 F B' L R' U F2
L2 F B' L R2 U F2
L2 F B' L U F2 D
L2 F B' L U F2 D'
L2 F B' L U F2 D2
L2 F B' L D R2 U
L2 F B' R L U F2
L2 F B' R' L U F2
L2 F B' R2 L U F2
U2 F B' U2 L U F2
U F B R' B2 U' F2
D F B' L U' F2 B'
D F B' L U' B' F2
L2 F B' D L R2 U
L2 F B' D R2 L U
R F B R' B2 U' F'
U F B' U2 L U F2
R F B' U2 L U F
B' D F U2 L U F2
B D F R' U' L2 F2
B D F R' U' F2 L2
D2 F' R F2 B' U' F2
D2 F' R B' F2 U' F2
D' F' R' B D L2 R2
D' F' R' B D R2 L2
D2 F' U R F2 B' U'
D2 F' U R B' F2 U'
D2 F' U B' R F2 U'
L2 F' U' F2 B' L U
L2 F' U' B' L F2 U
L2 F' U' B' F2 L U
D2 F' B' R F2 U' F2
L2 F' B' L F2 U F2
F D' R' B' L2 U' B2
B' D' F U2 L U F2
F D' B' L2 R' U' B
F D' B' R' L2 U' B
B' D2 F U2 L U F2
F2 D2 F' R B' U' F2
F2 D2 F' B' R U' F2
F2 D2 B' F' R U' F2
R B R' F B2 U' F2
R B R' B2 F U' F2
B' F L U' F2 D2 B2
R2 B U' R' F B2 U'
B' F L' U' F2 D' B2
R2 B U' R' B2 F U'
B' F L' U2 L2 U F2
B' F L' D' L2 U' B2
R2 B U' F R' B2 U'
B F L R' B2 U' F2
F B L R' B2 U' F2
B' F L2 U2 L' U F2
B F L' R' B2 U' F2
F B L' R' B2 U' F2
B' F R U2 L U F2
B F L2 R' B2 U' F2
F' B R D L2 R2 B2
F' B R D L2 B2 R2
F' B R D R2 L2 B2
F' B R D R2 B2 L2
F' B R D B2 L2 R2
F' B R D B2 R2 L2
F B L2 R' B2 U' F2
B' F R' U2 L U F2
U' B F R' B2 U' F2
F' B R' F2 B2 U' F2
B' F R2 U2 L U F2
F' B R' B2 F2 U' F2
B F R B2 R2 U' F2
B F R' L B2 U' F2
B F R' L' B2 U' F2
B F R' L2 B2 U' F2
U2 B F R' B2 U' F2
B F R' U' F2 D L2
F B R B2 R2 U' F2
F B R' L B2 U' F2
F B R' L' B2 U' F2
F B R' L2 B2 U' F2
F B R' U' F2 D L2
B F R' B2 L U' F2
B F R' B2 L' U' F2
B F R' B2 L2 U' F2
B F R' B2 U' F2 D
B F R' B2 U' F2 D'
B F R' B2 U' F2 D2
B F R' B2 D' L2 U'
F' B U R' F2 B2 U'
F' B U R' B2 F2 U'
F B R' B2 L U' F2
F B R' B2 L' U' F2
F B R' B2 L2 U' F2
F B R' B2 U' F2 D
F B R' B2 U' F2 D'
F B R' B2 U' F2 D2
F B R' B2 D' L2 U'
U B F R' B2 U' F2
F' B U F2 R' B2 U'
B F R2 B2 R U' F2
R B F R' B2 U' F'
B' F U' F2 U' L U
F B R2 B2 R U' F2
B' F U2 L R U F2
B' F U2 L R' U F2
B' F U2 L R2 U F2
B' F U2 L U F2 D
B' F U2 L U F2 D'
B' F U2 L U F2 D2
B' F U2 L D R2 U
B' F U2 R L U F2
B' F U2 R' L U F2
B' F U2 R2 L U F2
B' F U2 D L R2 U
B' F U2 D R2 L U
B' F D U2 L R2 U
B' F D U2 R2 L U
L B' L F B' U F2
B' F D' L2 U2 L' U
L B' L B' F U F2
F B' L U' F2 D2 B2
B' F' L2 F2 R U' F2
F' B' L2 F2 R U' F2
F B' L' U' F2 D' B2
F B' L' U2 L2 U F2
F B' L' D' L2 U' B2
F B' L2 U2 L' U F2
B F' R D L2 R2 B2
B F' R D L2 B2 R2
