F L' U B2 R' U
D L2 U2 D F2 B'
D L2 U2 D B' F2
D L2 U2 B' D F2
D L2 D U2 F2 B'
D L2 D U2 B' F2
F L2 D L2 U2 F2
D L2 D' B2 U2 B
F L2 D' B2 U2 R2
U2 L2 B2 U L2 B
U2 L2 B2 U B L2
U2 R2 D' F2 R2 B
L2 D L2 F U2 F
F U B2 U D2 F2
F U B2 U' B2 U2
F U B2 D' R2 U
F U B2 D2 U F2
L2 D' B2 U2 B R2
F U' D2 F2 U' F2
F U2 R2 D' R2 F2
F U2 R2 D' F2 R2
F U2 D' R2 D' F2
D F L2 U' L2 U'
D F L2 U2 D F2
D F L2 D U2 F2
D F L2 D' B2 U2
D2 F U' F U' F'
U F U F' B2 U
D' F U2 R2 D' F2
U F U B2 F' U
F D L2 U' L2 U'
F D L2 U2 D F2
F D L2 D U2 F2
F D L2 D' B2 U2
F D' U2 R2 D' F2
F D2 U' F2 U' F2
U2 B2 L2 U B' L2
U B2 U' F B2 U2
U B2 U' B2 F U2
F L U B2 U2 L' U'
F L U' L' U' D' R2
F L U' L' U2 B2 U
F L U' L' D' U' R2
F L U' L' D2 F2 U'
F L U' D' L' U' R2
F L U' D2 L' F2 U'
F L D L2 U' L U'
F L D' U' L' U' R2
F L D2 U' L' F2 U'
F' L F2 U R B2 U
F' L F2 U B2 R U
U2 L B2 L U B' L2
U2 L B2 U L B' L2
F L' U R B2 R' U
F L' U R' B2 R' U
F L' U R2 B2 R' U
F L' U B2 R' U D
F L' U B2 R' U D'
F L' U B2 R' U D2
F L' U B2 R' D U
F L' U B2 R' D' U
F L' U B2 R' D2 U
F L' U B2 D R' U
F L' U B2 D' R' U
F L' U B2 D2 R' U
F L' U' L U' D' R2
F L' U' L U2 B2 U
F L' U' L D' U' R2
F L' U' L D2 F2 U'
F L' U' D' L U' R2
F L' U' D2 L F2 U'
F L' U' D2 F2 L U'
F L' D L2 U' L' U'
F L' D' U' L U' R2
F L' D2 U' L F2 U'
F L' D2 U' F2 L U'
F2 L' F' U B2 R' U
F' L' F2 U B2 R' U
F L' B U B R' U
F L' B2 U R' U R
D L2 U D2 R2 U B'
F L2 U B2 U D F2
F L2 U B2 U2 L2 U'
F L2 U B2 D U F2
F L2 U B2 D2 R2 U
D L2 U' L2 U F U2
F L2 U' L2 U' D' R2
F L2 U' L2 U2 B2 U
F L2 U' L2 D' U' R2
F L2 U' L2 D2 F2 U'
D' L2 U2 R2 D F2 B'
D' L2 U2 R2 D B' F2
B2 L2 U2 L2 U' L2 B'
D2 L2 U2 D R2 F2 B'
D2 L2 U2 D R2 B' F2
D' L2 U2 R2 B' D F2
D2 L2 U2 D F2 R2 B'
D2 L2 U2 D F2 B' R2
D2 L2 U2 D B' R2 F2
D2 L2 U2 D B' F2 R2
D L2 U2 D F2 D B'
D L2 U2 D F2 D' B'
D L2 U2 D F2 D2 B'
D L2 U2 D F2 B' D
D L2 U2 D F2 B' D'
D L2 U2 D F2 B' D2
D L2 U2 D B' F2 D
D L2 U2 D B' F2 D'
D L2 U2 D B' F2 D2
D2 L2 U2 B' D R2 F2
D2 L2 U2 B' D F2 R2
D' L2 U2 B' R2 D F2
D L2 U2 D2 B' D' F2
F L2 U2 D F2 D2 R2
D L2 U2 F D F2 B'
D L2 U2 F D B' F2
D L2 U2 F B' D F2
F L2 U2 D' R2 D2 F2
D L2 U2 F' D F2 B'
D L2 U2 F' D B' F2
D L2 U2 F' B' D F2
D L2 U2 F2 D F2 B'
D L2 U2 F2 D B' F2
D L2 U2 F2 B' D F2
D L2 U2 B' U L2 U'
D L2 U2 B' D F2 D
D L2 U2 B' D F2 D'
D L2 U2 B' D F2 D2
D L2 U2 B' F D F2
D L2 U2 B' F' D F2
D L2 U2 B' F2 D F2
D L2 U2 B2 D F2 B
D L2 U2 B2 D B F2
F2 L2 D L2 F' U2 F'
D2 L2 D U2 R2 F2 B'
D2 L2 D U2 R2 B' F2
D2 L2 D U2 F2 R2 B'
D2 L2 D U2 F2 B' R2
D2 L2 D U2 B' R2 F2
D2 L2 D U2 B' F2 R2
F L2 D L' U2 F2 R
F L2 D L2 U2 F2 D
F L2 D L2 U2 F2 D'
F L2 D L2 U2 F2 D2
F L2 D L2 D2 B2 U2
F L2 D L2 B U2 F2
F L2 D L2 B' U2 F2
F L2 D L2 B2 U2 F2
F2 L2 D F' L2 U2 F'
D L2 D U2 F2 D B'
D L2 D U2 F2 D' B'
D L2 D U2 F2 D2 B'
D L2 D U2 F2 B' D
D L2 D U2 F2 B' D'
D L2 D U2 F2 B' D2
D L2 D U2 B' F2 D
D L2 D U2 B' F2 D'
D L2 D U2 B' F2 D2
D L2 D F U2 F B'
D L2 D F U2 B' F
D L2 D F' U2 F' B'
D L2 D F' U2 B' F'
F L2 D U2 F2 D2 R2
D2 L2 D' L2 F B2 U2
D2 L2 D' L2 B2 F U2
D L2 D B U2 F2 B2
D L2 D B U2 B2 F2
F L2 D B L2 U2 F2
D L2 D B2 U2 F2 B
D L2 D B2 U2 B F2
F L2 D B' L2 U2 F2
F L2 D B2 L2 U2 F2
F L2 D' L B2 U2 R2
F L2 D' L' B2 U2 R2
F L2 D' L2 B2 U2 R2
D2 L2 D' B2 L2 U2 B
F2 L2 D' F' B2 U2 R2
D L2 D' F B2 U2 B
F L2 D' U2 R2 D2 F2
D L2 D' F' B2 U2 B
D L2 D' F2 B2 U2 B
F2 L2 D' B2 U2 R2 B
F2 L2 D' B2 F' U2 R2
D L2 D' B2 U2 D B
D L2 D' B2 U2 D' B
D L2 D' B2 U2 D2 B
F L2 D' B U2 R2 F'
D L2 D' B2 U2 B D
D L2 D' B2 U2 B D'
D L2 D' B2 U2 B D2
D L2 D' B2 D U2 B
D L2 D' B2 D' U2 B
D L2 D' B2 D2 U2 B
D L2 D' B2 F U2 B
D L2 D' B2 F' U2 B
D L2 D' B2 F2 U2 B
F L2 D' B2 L U2 R2
F L2 D' B2 L' U2 R2
F L2 D' B2 L2 U2 R2
F L2 D' B2 U2 R2 D
F L2 D' B2 U2 R2 D'
F L2 D' B2 U2 R2 D2
F L2 D' B2 D2 L2 U2
U' L2 D2 F2 U' F2 B'
U' L2 D2 F2 U' B' F2
D L2 D2 U R2 U B'
D L2 D2 U2 B' D' F2
D L2 F U2 D F2 B'
D L2 F U2 D B' F2
D L2 F U2 B' D F2
D L2 F D U2 F2 B'
D L2 F D U2 B' F2
D L2 F D' B2 U2 B
U2 L2 F B2 U L2 B
U2 L2 F B2 U B L2
R' U R D L2 U2 B'
R' U R D F L2 U2
R' U R D' F U2 R2
F2 L2 F' D L2 U2 F2
D L2 F' U2 D F2 B'
D L2 F' U2 D B' F2
F2 L2 F' D' B2 U2 R2
R' U R F U B2 U
R' U R F U2 D' R2
R' U R F D L2 U2
R' U R F D' U2 R2
D L2 F' U2 B' D F2
D L2 F' D U2 F2 B'
D L2 F' D U2 B' F2
D L2 F' D' B2 U2 B
U2 L2 F' B2 U L2 B
U2 L2 F' B2 U B L2
F' L2 F2 D L2 U2 F2
F' L2 F2 D' B2 U2 R2
D L2 F2 U2 D F2 B'
D L2 F2 U2 D B' F2
D L2 F2 U2 B' D F2
D L2 F2 D U2 F2 B'
D L2 F2 D U2 B' F2
D L2 F2 D' B2 U2 B
U2 L2 F2 B2 U L2 B
U2 L2 F2 B2 U B L2
R U R' D L2 U2 B'
R U R' D F L2 U2
R U R' D' F U2 R2
R U R' F U B2 U
R U R' F U2 D' R2
R U R' F D L2 U2
R U R' F D' U2 R2
D L2 B U' L2 U' B2
D L2 B U2 B2 D F2
R2 U R2 D L2 U2 B'
R2 U R2 D F L2 U2
R2 U R2 D' F U2 R2
R' U D L2 R U2 B'
R2 U R2 F U B2 U
R2 U R2 F U2 D' R2
R2 U R2 F D L2 U2
R2 U R2 F D' U2 R2
R' U D R L2 U2 B'
R' U D R F L2 U2
F L2 B' U' L2 F U'
D L2 B' D' B2 U2 B2
U2 L2 B2 L U L B
U2 L2 B2 L' U L' B
U2 L2 B2 L' U B L'
R U D L2 R' U2 B'
R U D R' L2 U2 B'
R U D R' F L2 U2
R U D F L2 R' U2
R U D F R' L2 U2
U2 L2 B2 U L' B L'
U2 L2 B2 U L2 D B
U2 L2 B2 U L2 D' B
U2 L2 B2 U L2 D2 B
U2 L2 B2 U L2 B D
U2 L2 B2 U L2 B D'
U2 L2 B2 U L2 B D2
U2 L2 B2 U B L2 D
U2 L2 B2 U B L2 D'
U2 L2 B2 U B L2 D2
U2 L2 B2 U B' L2 B2
D L2 B2 U' L2 U' B
U2 L2 B2 D F2 U B
D L2 B2 U2 D F2 B
D L2 B2 U2 D B F2
D L2 B2 U2 B D F2
D L2 B2 D U2 F2 B
D L2 B2 D U2 B F2
U2 L2 B2 F U L2 B
U2 L2 B2 F U B L2
D L2 B2 D' B2 U2 B'
U2 L2 B2 F' U L2 B
U2 L2 B2 F' U B L2
U L2 B2 U D2 F2 B
U L2 B2 U D2 B F2
U2 L2 B2 F2 U L2 B
U2 L2 B2 F2 U B L2
U L2 B2 U' B2 U2 B'
R U D' R' F U2 R'
R U D' F R' U2 R'
U L2 B2 D2 U F2 B
U L2 B2 D2 U B F2
R2 U F R2 U B2 U
R2 U F R2 U2 D' R2
R2 U F R2 D L2 U2
R2 U F R2 D' U2 R2
R U F R' U B2 U
R U F R' U2 D' R2
R U F R' D L2 U2
R U F R' D' U2 R2
R U F U B2 U L
R U F D L2 R' U2
R U F D R' L2 U2
R U F D' R' U2 R'
D' R U R' F U2 R2
D R U L2 R' U2 B'
D R U R' L2 U2 B'
D R U R' F L2 U2
B2 R U F R' U2 R
D R U F L2 R' U2
D R U F R' L2 U2
D' R U' R D2 L2 B'
B2 R U' R' F U2 F'
L' U B L B R' U
F R U2 B2 U L B2
L' U B2 D' R' U B
L2 U B2 U D F2 B
L2 U B2 U D B F2
