B L' U' D' R2 B'
B L' U' D' B' R2
B L' U2 B2 U B
B L' D' U' R2 B'
B L' D' U' B' R2
B L' D2 F2 U' B'
L' D' B U' R' B2
L2 F L B U' B2
B D' L' U' R2 B'
B D' L' U' R2 B'
B D' L' U' B' R2
B D2 L' F2 U' B'
B' L U D L2 F2 B'
B' L U D L2 B' F2
B' L U2 L2 B2 U' B
B' L U2 B2 L2 U' B'
B' L D U L2 F2 B'
B' L D U L2 B' F2
B' L D2 F2 R2 U B
B L' R U' D' R2 B'
B L' R U' D' B' R2
B L' R U2 B2 U B
B L' R D' U' R2 B'
B L' R D' U' B' R2
B L' R D2 F2 U' B'
B L' R' U' D' R2 B'
B L' R' U' D' B' R2
B L' R' U2 B2 U B
B L' R' D' U' R2 B'
B L' R' D' U' B' R2
B L' R' D2 F2 U' B'
B L' R2 U' D' R2 B'
B L' R2 U' D' B' R2
B L' R2 U2 B2 U B
B L' R2 D' U' R2 B'
B L' R2 D' U' B' R2
B L' R2 D2 F2 U' B'
B L' U D L2 F U2
B L' U' R D' R2 B'
B L' U' R D' B' R2
B L' U' R' D' R2 B'
B L' U' R' D' B' R2
B L' U' R2 D' R2 B'
B L' U' R2 D' B' R2
B L' U' D B' D2 R2
B L' U' D' R B' R
B L' U' D' R2 D B'
B L' U' D' R2 D' B'
B L' U' D' R2 D2 B'
B L' U' D' R2 B' D
B L' U' D' R2 B' D'
B L' U' D' R2 B' D2
B L' U' D' B R2 B2
B L' U' D' B' R2 D
B L' U' D' B' R2 D'
B L' U' D' B' R2 D2
B L' U' D2 B' D R2
B L' U' B' U' B' U
B L' U2 B2 L U B
B L' U2 B2 L' U B
B L' U2 B2 L2 U B
B L' U2 B2 U D B
B L' U2 B2 U D' B
B L' U2 B2 U D2 B
B L' U2 B2 U B D
B L' U2 B2 U B D'
B L' U2 B2 U B D2
B L' U2 B2 D U B
B L' U2 B2 D' U B
B L' U2 B2 D2 U B
B L' D U L2 F U2
B L' D U' B' D2 R2
B L' D' R U' R B'
B L' D' R U' B' R
B L' D' R' U' R' B'
D2 L' D' B U' R' B2
B L' D' U' R B' R
D' L' D' B U' R' B2
B L' D' U' R2 D B'
B L' D' U' R2 D' B'
B L' D' U' R2 D2 B'
B L' D' U' R2 B' D
B L' D' U' R2 B' D'
B L' D' U' R2 B' D2
B L' D' U' B R2 B2
B L' D' U' B' R2 D
B L' D' U' B' R2 D'
B L' D' U' B' R2 D2
B L' D' F U' R2 B'
B L' D' F U' B' R2
B L' D' F' U' R2 B'
B L' D' F' U' B' R2
B L' D' F2 U' R2 B'
B L' D' F2 U' B' R2
D L' D' B U' R' B2
B L' D2 R F2 U' B'
B L' D2 R' F2 U' B'
B L' D2 R2 F2 U' B'
B L' D2 U' B' D R2
B L' D2 F2 R U' B'
B L' D2 F2 R' U' B'
B L' D2 F2 R2 U' B'
