B L' R2 D F2
B R2 L' D F2
U' L F L2 B R2
U' L F L2 B R2
U' L F B L2 R2
U' L F B R2 L2
U' L B R2 F L2
U' L B F L2 R2
U' L B F R2 L2
B L' R D R F2
B L' R' D R' F2
B L' R' D F2 R'
B L' R2 U L2 U'
B L' R2 D F2 D
B L' R2 D F2 D'
B L' R2 D F2 D2
B L' R2 F D F2
B L' R2 F' D F2
B L' R2 F2 D F2
B L' U L2 U' R2
B L' D F2 D' R2
B L' F R2 D F2
B L' F' R2 D F2
B L' F2 R2 D F2
U' L' B R2 D2 F2
U L' B R' F' R'
U' L' B2 R2 F' B'
U' L' B2 R2 B' F'
B R L' D R F2
B R L' D R F2
L2 U' L F B R2
L2 U' L B R2 F
L2 U' L B F R2
B R' L' D R' F2
B R' L' D F2 R'
B' R' U L' R' B2
B' R' U R' L' B2
B' R' U R' B2 L'
B R2 L' U L2 U'
B R2 L' D F2 D
B R2 L' D F2 D'
B R2 L' D F2 D2
B R2 L' F D F2
B R2 L' F' D F2
B R2 L' F2 D F2
B R2 U L U' L2
B2 R2 D B' L' F
B R2 D L' D F2
B R2 D' L' D F2
B R2 D2 L' D F2
B2 R2 B' L' D F2
B U L U' L2 R2
B U L U' R2 L2
B D' L' D R2 F2
B D' L' D F2 R2
B D2 L' D F2 R
U' B L R2 F L2
U' B L F L2 R2
U' B L F R2 L2
D2 B L' D F2 R
D' B L' D R2 F2
D' B L' D F2 R2
L' B R2 U L U'
L' B U L U' R2
U B L' R' F' R'
U' B R2 L F L2
U B R' L' F' R'
U B R2 D2 L' F
U' B' L' B2 R2 F'
B' L R' U L2 R' B2
B' L R' U R' L2 B2
B' L R' U R' B2 L2
U' L R2 F L2 D2 B2
U' L R2 F2 L2 F' B'
U' L R2 F2 L2 B' F'
B L R2 F L2 D F2
B L R2 F' L2 D F2
B L R2 F2 L2 D F2
U' L U F L2 B R2
U' L U F B L2 R2
U' L U F B R2 L2
U' L U B R2 F L2
U' L U B F L2 R2
U' L U B F R2 L2
B L U' L2 R2 D' B2
B L U' R2 L2 D' B2
U' L U' F L2 B R2
U' L U' F B L2 R2
U' L U' F B R2 L2
U' L U' B R2 F L2
U' L U' B F L2 R2
U' L U' B F R2 L2
U' L U2 F L2 B R2
U' L U2 F B L2 R2
U' L U2 F B R2 L2
U' L U2 B R2 F L2
U' L U2 B F L2 R2
U' L U2 B F R2 L2
B L D' F2 B2 U' B2
B L D' B2 F2 U' B2
U' L F L' B L' R2
U' L F L' B R2 L'
U' L F L2 B R2 D
U' L F L2 B R2 D'
U' L F L2 B R2 D2
U' L F L2 B' R2 B2
U' L F L2 B2 R2 B'
B L F L2 R2 D F2
B L F R2 L2 D F2
U' L F B L2 R2 D
U' L F B L2 R2 D'
U' L F B L2 R2 D2
U' L F B R2 L2 D
U' L F B R2 L2 D'
U' L F B R2 L2 D2
U' L F B' L2 R2 B2
U' L F B' L2 B2 R2
U' L F B' R2 L2 B2
U' L F B' R2 B2 L2
U' L F B2 R2 B' L2
U' L F' L2 F2 B R2
U' L F' L2 B R2 F2
U' L F' L2 B F2 R2
B L F' L2 R2 D F2
U' L F' R2 F2 L2 B'
B L F' R2 L2 D F2
U' L F' B L2 R2 F2
U' L F' B L2 F2 R2
U' L F' B R2 L2 F2
U' L F' B R2 F2 L2
U' L F2 L2 F' B R2
U' L F2 L2 B F' R2
B L F2 L2 R2 D F2
B L F2 R2 L2 D F2
U' L F2 B L2 F' R2
U' L B R' F L2 R'
U' L B R' F R' L2
U' L B R2 F L2 D
U' L B R2 F L2 D'
U' L B R2 F L2 D2
U L B L2 R' F' R'
U' L B R2 F' L2 F2
U' L B R2 F2 L2 F'
U L B R' L2 F' R'
U L B R' F' L2 R'
U L B R' F' R' L2
B L B U' R2 B' L2
B L B U' B' L2 R2
B L B U' B' R2 L2
U' L B F L2 R2 D
U' L B F L2 R2 D'
U' L B F L2 R2 D2
U' L B F R2 L2 D
U' L B F R2 L2 D'
U' L B F R2 L2 D2
U' L B F' L2 R2 F2
U' L B F' L2 F2 R2
U' L B F' R2 L2 F2
U' L B F' R2 F2 L2
U' L B F2 L2 F' R2
U' L B' L2 B2 R2 F'
U' L B' R2 F L2 B2
U' L B' R2 F B2 L2
U' L B' R2 B2 F L2
B L B' U' L2 B R2
B L B' U' B L2 R2
B L B' U' B R2 L2
U' L B' F L2 R2 B2
U' L B' F L2 B2 R2
U' L B' F R2 L2 B2
U' L B' F R2 B2 L2
U' L B2 R2 F B' L2
U' L B2 R2 B' F L2
B L B2 U' L2 R2 B2
B L B2 U' L2 B2 R2
B L B2 U' R2 L2 B2
B L B2 U' R2 B2 L2
B L B2 U' B2 L2 R2
B L B2 U' B2 R2 L2
U' L B2 F R2 B' L2
R2 L' U2 F' U' L' U'
B L' R U L2 U' R
B L' R D R F2 D
B L' R D R F2 D'
B L' R D R F2 D2
B L' R D R' F2 R2
B L' R D R2 F2 R'
B L' R D' R D2 F2
B L' R F2 D F2 R
B' L' R B2 D' R F2
B L' R' U L2 U' R'
B L' R' D R F2 R2
B L' R' D R' F2 D
B L' R' D R' F2 D'
B L' R' D R' F2 D2
B L' R' D F R' F
B L' R' D F2 R' D
B L' R' D F2 R' D'
B L' R' D F2 R' D2
B L' R' D F2 D R'
B L' R' D F2 D' R'
B L' R' D F2 D2 R'
B L' R' D' R' D2 F2
B L' R' F R' D F2
B L' R' F D R' F2
B L' R' F D F2 R'
B L' R' F' R' D F2
B L' R' F' D R' F2
B L' R' F' D F2 R'
B L' R' F2 R' D F2
U L' R' F' R B R2
B L' R' F2 D R' F2
B L' R' F2 D F2 R'
B' L' R2 U' R U B2
U' L' R2 U2 F' B' U2
U' L' R2 U2 B' F' U2
B L' R2 U L2 U' D
B L' R2 U L2 U' D'
B L' R2 U L2 U' D2
B L' R2 U L2 D U'
B L' R2 U L2 D' U'
B L' R2 U L2 D2 U'
B L' R2 U' D2 R2 U
B L' R2 U2 D' B2 U2
B L' R2 D L' F2 L
B L' R2 D L2 F2 L2
B L' R2 D R F2 R'
B L' R2 D R2 F2 R2
B L' R2 D F D F
B L' R2 D F D' F
B L' R2 D F D2 F
B L' R2 D F' D F'
B L' R2 D F' D' F'
B L' R2 D F' D2 F'
B L' R2 D' U2 B2 U2
B L' R2 D' F D2 F2
B L' R2 D' F' D2 F2
B L' R2 D' F2 D2 F2
B L' R2 D2 U' R2 U
B L' R2 D2 F D' F2
B L' R2 D2 F' D' F2
B L' R2 D2 F2 D' F2
B L' R2 F U L2 U'
B L' R2 F D F2 D
B L' R2 F D F2 D'
B L' R2 F D F2 D2
B L' R2 F' U L2 U'
B L' R2 F' D F2 D
B L' R2 F' D F2 D'
B L' R2 F' D F2 D2
B' L' R2 B2 U' R U
B L' R2 F2 U L2 U'
B L' R2 F2 D F2 D
B L' R2 F2 D F2 D'
B L' R2 F2 D F2 D2
B L' R2 B D F2 B'
B L' R2 B D B' F2
B L' R2 B' D F2 B
B L' R2 B' D B F2
B L' U L2 U' R2 D
B L' U L2 U' R2 D'
B L' U L2 U' R2 D2
B L' U L2 D' F2 U'
B L' U L2 F U' R2
B L' U L2 F' U' R2
B L' U L2 F2 U' R2
B L' U F L2 U' R2
B L' U F' L2 U' R2
B L' U F2 L2 U' R2
B' L' U' R' U R' B2
B L' U' D B2 U F2
U' L' U2 B' U2 R2 B2
U' L' U2 B' U2 B2 R2
B L' D R F2 D' R2
B L' D R' F2 D' R2
B L' D R2 F2 D' R2
B L' D U' B2 U F2
B L' D F D' R2 F
B L' D F D' F R2
B L' D F' D' F' R2
B L' D F2 R D' R2
B L' D F2 R' D' R2
B L' D F2 R2 D' R2
B L' D F2 U' B2 U
B L' D F2 D' R2 D
B L' D F2 D' R2 D'
B L' D F2 D' R2 D2
U' L' D2 B D2 R2 F2
U' L' D2 B D2 F2 R2
B L' F R D R F2
B L' F R' D R' F2
B L' F R' D F2 R'
B L' F R2 U L2 U'
B L' F R2 D F2 D
B L' F R2 D F2 D'
B L' F R2 D F2 D2
B L' F R2 F D F2
B L' F R2 F' D F2
B L' F R2 F2 D F2
B L' F U L2 U' R2
U' L' F B R2 D2 F2
B L' F D F2 D' R2
U' L' F B2 R2 F' B'
U' L' F B2 R2 B' F'
U L' F B R' F' R'
B L' F' R D R F2
B L' F' R' D R' F2
B L' F' R' D F2 R'
B L' F' R2 U L2 U'
B L' F' R2 D F2 D
B L' F' R2 D F2 D'
B L' F' R2 D F2 D2
B L' F' R2 F D F2
B L' F' R2 F' D F2
B L' F' R2 F2 D F2
B L' F' U L2 U' R2
U' L' F' B R2 D2 F2
B L' F' D F2 D' R2
U' L' F' B2 R2 F' B'
U' L' F' B2 R2 B' F'
U L' F' B R' F' R'
B L' F2 R D R F2
B L' F2 R' D R' F2
B L' F2 R' D F2 R'
B L' F2 R2 U L2 U'
B L' F2 R2 D F2 D
B L' F2 R2 D F2 D'
B L' F2 R2 D F2 D2
B L' F2 R2 F D F2
B L' F2 R2 F' D F2
B L' F2 R2 F2 D F2
B L' F2 U L2 U' R2
U' L' F2 B R2 D2 F2
B L' F2 D F2 D' R2
U' L' F2 B2 R2 F' B'
U' L' F2 B2 R2 B' F'
U' L' B R D2 R F2
U L' F2 B R' F' R'
D' L' B U L F2 U'
U' L' B R' D2 R' F2
U' L' B R' D2 F2 R'
D' L' B U F2 L U'
U' L' B R2 U2 B2 U2
U' L' B R2 D2 F2 D
U' L' B R2 D2 F2 D'
U' L' B R2 D2 F2 D2
U' L' B R2 F D2 F2
U' L' B R2 F' D2 F2
U' L' B R2 F2 D2 F2
L' R2 U2 F' U' L' U'
B L' B R2 D F2 B'
B L' B R2 D B' F2
U' L' B U2 B2 U2 R2
B L' B R2 B' D F2
U L' B R' D F' R'
U L' B R' D' F' R'
U L' B R' D2 F' R'
U L' B R' F R' F2
U L' B R' F' R' D
U L' B R' F' R' D'
U L' B R' F' R' D2
U L' B R' F' D R'
U L' B R' F' D' R'
U L' B R' F' D2 R'
U L' B R' F2 R' F
U' L' B D2 F2 D2 R2
U' L' B F R2 D2 F2
U' L' B F' R2 D2 F2
U' L' B F2 R2 D2 F2
U L' B F R' F' R'
U L' B F' R' F' R'
U L' B F2 R' F' R'
U' L' B' R2 B2 D2 F2
U L' B' R' F' R' B2
U' L' B2 R B' R F'
B' L' B2 R2 U L U'
B' L' B2 U L U' R2
U' L' B2 R2 D F' B'
U' L' B2 R2 D B' F'
U' L' B2 R2 D' F' B'
U' L' B2 R2 D' B' F'
U' L' B2 R2 D2 F' B'
U' L' B2 R2 D2 B' F'
U' L' B2 R2 F' D B'
U' L' B2 R2 F' D' B'
U' L' B2 R2 F' D2 B'
U' L' B2 R2 F' B' D
U' L' B2 R2 F' B' D'
U' L' B2 R2 F' B' D2
U' L' B2 R2 B' D F'
U' L' B2 R2 B' D' F'
U' L' B2 R2 B' D2 F'
U' L' B2 R2 B' F' D
U' L' B2 R2 B' F' D'
U' L' B2 R2 B' F' D2
B L' B2 R2 B2 D F2
U L' B2 R' F' R' B'
U' L' B2 F R2 F' B'
U' L' B2 F R2 B' F'
U' L' B2 F' R2 F' B'
U' L' B2 F' R2 B' F'
U' L' B2 F2 R2 F' B'
U' L' B2 F2 R2 B' F'
B' L2 R' U L R' B2
B' L2 R' U R' L B2
B L2 R2 U L' U' L2
B L2 R2 D L D F2
B L2 R2 D' L D F2
B L2 R2 D2 L D F2
U2 L2 U L F B R2
U2 L2 U L B R2 F
U2 L2 U L B F R2
B L2 U L' U' L2 R2
B L2 U L' U' R2 L2
U L2 U2 L F B R2
U L2 U2 L B R2 F
U L2 U2 L B F R2
B L2 D' L D R2 F2
B L2 D' L D F2 R2
L2 U L B R' F' R'
R U L' R' F' B R2
R U L' R' B F' R2
L U L2 B R' F' R'
D' L2 F2 U' L F B
D' L2 F2 U' L B F
R U R' L' F' B R2
R U R' L' B F' R2
R U R' B L' F' R2
B R L' U L2 U' R
B R L' D R F2 D
B R L' D R F2 D'
B R L' D R F2 D2
B R L' D R' F2 R2
B R L' D R2 F2 R'
B R L' D' R D2 F2
B' R L' B2 D' R F2
B R L' F2 D F2 R
B R U L U' L2 R
B R U L U' R L2
L U B L2 R' F' R'
L U B R' L2 F' R'
L U B R' F' L2 R'
L U B R' F' R' L2
B2 R D R B' L' F
B R D L' R D F2
B R D L' D R F2
B R D R L' D F2
B2 R D B' L' R F
B2 R D B' R L' F
B2 R D' R B' L' F'
B R D' L' R D F2
B R D' L' D R F2
B R D' R L' D F2
L' U' L U F B R2
L' U' L U B R2 F
L' U' L U B F R2
L2 U' L R2 F D2 B2
B2 R D' B' L' R F'
B2 R D' B' R L' F'
L2 U' L F B R2 D
L2 U' L F B R2 D'
L2 U' L F B R2 D2
L2 U' L F B' R2 B2
L2 U' L F B2 R2 B'
L2 U' L F' B R2 F2
B R D2 L' R D F2
B R D2 L' D R F2
L2 U' L B R' F R'
L2 U' L B R2 D F
L2 U' L B R2 D' F
L2 U' L B R2 D2 F
L2 U' L B R2 F D
L2 U' L B R2 F D'
L2 U' L B R2 F D2
L2 U' L B F R2 D
L2 U' L B F R2 D'
L2 U' L B F R2 D2
L2 U' L B F' R2 F2
B R D2 R L' D F2
L2 U' L B' R2 F B2
L2 U' L B' R2 B2 F
L2 U' L B' F R2 B2
L U' L F L B R2
L2 U' L B2 R2 F B'
L2 U' L B2 R2 B' F
L2 U' L B2 F R2 B'
L2 U' L2 B L' R2 F
L2 U' L2 B L' F R2
L2 U' L2 B R2 L' F
L2 U' R2 L F D2 B2
B2 R B' L' R D F2
B2 R B' L' D R F2
B2 R B' R L' D F2
B' R B2 L' D' R F2
B' R B2 D' L' R F2
B' R B2 D' R L' F2
B' R' L U L2 R' B2
B' R' L U R' L2 B2
B' R' L U R' B2 L2
L2 U' F L F B R2
L2 U' F L B R2 F
L2 U' F L B F R2
B R' L' U L2 U' R'
B R' L' D R F2 R2
B R' L' D R' F2 D
B R' L' D R' F2 D'
B R' L' D R' F2 D2
B R' L' D F R' F
B R' L' D F2 R' D
B R' L' D F2 R' D'
B R' L' D F2 R' D2
B R' L' D F2 D R'
B R' L' D F2 D' R'
B R' L' D F2 D2 R'
B' R' L2 U L R' B2
B R' L' D' R' D2 F2
B' R' L2 U R' L B2
B R' L' F R' D F2
B R' L' F D R' F2
B R' L' F D F2 R'
B R' L' F' R' D F2
B R' L' F' D R' F2
B R' L' F' D F2 R'
B R' L' F2 R' D F2
B R' L' F2 D R' F2
B R' L' F2 D F2 R'
U R' L' F' R B R2
L2 U' F' L F B R2
L2 U' F' L B R2 F
L2 U' F' L B F R2
B' R' U L R' B2 L2
B' R' U L' R B2 R2
B' R' U L' R' B2 D
B' R' U L' R' B2 D'
B' R' U L' R' B2 D2
B' R' U L' R2 B2 R
B' R' U R L' B2 R2
B' R' U R B2 L' R2
B' R' U R B2 R2 L'
B' R' U R' L B2 L2
B' R' U R' L' B2 D
B' R' U R' L' B2 D'
B' R' U R' L' B2 D2
B' R' U R' B L' B
B' R' U R' B2 L' D
B' R' U R' B2 L' D'
B' R' U R' B2 L' D2
B' R' U R' B2 D L'
B' R' U R' B2 D' L'
B' R' U R' B2 D2 L'
B' R' U R2 L' B2 R
B' R' U R2 B2 L' R
B' R' U R2 B2 R L'
B R' U L U' L2 R'
B R' U L U' R' L2
L2 U' F2 L F B R2
L2 U' F2 L B R2 F
L2 U' F2 L B F R2
B' R' U B2 L' D2 R2
U' R' U2 L' R' F' B'
U' R' U2 L' R' B' F'
L U' B L R2 F L
U' R' U2 R' L' F' B'
L U' B L F L R2
U' R' U2 R' L' B' F'
L U' B L F R2 L
L U' B R2 L F L
U R' U2 L' F' R' B'
B' R' D L2 U L R'
B' R' D L2 U R' L
B2 R' D R' B' L' F
B R' D L' R' D F2
B R' D L' D R' F2
B R' D L' D F2 R'
B R' D R' L' D F2
B R' D' L' R' D F2
B R' D' L' D R' F2
B R' D' L' D F2 R'
B R' D' R' L' D F2
B R' D2 L' R' D F2
B R' D2 L' D R' F2
B R' D2 L' D F2 R'
B R' D2 R' L' D F2
U' R2 L F L2 D2 B2
U' R2 L F2 L2 F' B'
U' R2 L F2 L2 B' F'
B' R2 L' U' R U B2
U' R2 L' U2 F' B' U2
U' R2 L' U2 B' F' U2
B R2 L F L2 D F2
B R2 L F' L2 D F2
B R2 L F2 L2 D F2
B R2 L' U L2 U' D
B R2 L' U L2 U' D'
B R2 L' U L2 U' D2
B R2 L' U L2 D U'
B R2 L' U L2 D' U'
B R2 L' U L2 D2 U'
B R2 L' U' D2 R2 U
B' R2 L' B2 U' R U
B R2 L' U2 D' B2 U2
B R2 L' D L' F2 L
B R2 L' D L2 F2 L2
B R2 L' D R F2 R'
B R2 L' D R2 F2 R2
B R2 L' D F D F
B R2 L' D F D' F
B R2 L' D F D' F
B R2 L' D F D2 F
B R2 L' D F' D F'
B R2 L' D F' D' F'
B R2 L' D F' D2 F'
B R2 L' D' U2 B2 U2
