L B U B2 L2 F
L B' L2 D' R2 F
L B' L2 D' F R2
L B' L2 F D' R2
R' L U B' L2 F R
R' L U' B' L2 R' F
R' L U' B' L2 F R'
R' L U' B' R' L2 F
B L R2 U F' B' L2
B L R2 U B' L2 F'
B L R2 U B' F' L2
B L U B' L2 D2 F2
B L U B2 L2 F B
B L U B2 L2 B F
B L U' B U2 L2 B2
B L U' B U2 B2 L2
R2 L F' U' B' L2 F
R2 L B' L2 F D R2
U' L B U B2 L2 F
U2 L B U B2 L2 F
U L B U B2 L2 F
U' L B' L2 D' R2 F
U' L B' L2 D' F R2
U' L B' L2 F D' R2
U2 L B' L2 D' R2 F
U2 L B' L2 D' F R2
U2 L B' L2 F D' R2
L R' U B' L2 F R
U L B' L2 D' R2 F
U L B' L2 D' F R2
U L B' L2 F D' R2
L R' U' B' L2 R' F
L R' U' B' L2 F R'
L R' U' B' R' L2 F
B2 L' D F L' U2 L
D L2 R2 F' R U' L
L R2 F' U' B' L2 F
B2 L2 U' F R U' L
L R2 B' L2 F D R2
R' U L B' L2 F R
L U B U B2 L2 F
L U B' L2 D' R2 F
L U B' L2 D' F R2
L U B' L2 F D' R2
R' U' L B' L2 R' F
R' U' L B' L2 F R'
R' U' L B' R' L2 F
L' U' B U' F B U2
L' U' B U' B F U2
L U' B U B2 L2 F
L U' B' L2 D' R2 F
L U' B' L2 D' F R2
L U' B' L2 F D' R2
B R2 L U F' B' L2
B R2 L U B' L2 F'
B R2 L U B' F' L2
L' U2 F B2 U B' U
D R2 L2 F' R U' L
B R2 U L F' B' L2
B R2 U L B' L2 F'
B R2 U L B' F' L2
B R2 U L' F' D2 B2
L U2 B U B2 L2 F
L U2 B' L2 D' R2 F
L U2 B' L2 D' F R2
L U2 B' L2 F D' R2
L' U2 B2 F U B' U
R2 D L2 F' R U' L
B2 U L U B' L2 R'
B2 U L U B' R' L2
B U L B' L2 D2 F2
B U L B2 L2 F B
B U L B2 L2 B F
B U L' U2 F B U2
B U L' U2 B F U2
B2 U D' B' L U L2
B2 U B' L U B' L2
B2 U B' U L B' L2
B U B' L B' L2 F
L' D' B' D' F2 R2 B
L D' B R2 F' U B2
B U' B U2 L B' L2
L' D2 F2 B' D' R2 B
L' D2 B' F2 D' R2 B
L F B U B2 L2 F
L F B' L2 D' R2 F
L F B' L2 D' F R2
L F B' L2 F D' R2
L F' B U B2 L2 F
B2 D' U B' L U L2
L F' B' L2 D' R2 F
L F' B' L2 D' F R2
L F' B' L2 F D' R2
L F2 B U B2 L2 F
L F2 B' L2 D' R2 F
L F2 B' L2 D' F R2
L F2 B' L2 F D' R2
D2 B R' U L' F2 B
D2 B R' U L' B F2
D2 B R' U B L' F2
D' B R2 U2 R U' L'
L B R2 U L2 F' B2
L B R2 U L2 B2 F'
L B R2 U F' L2 B2
L B R2 U F' B2 L2
L B R2 U B2 L2 F'
L B R2 U B2 F' L2
L B U F B2 L2 F
L B U F' B2 L2 F
L B U F2 B2 L2 F
L B U B2 L2 D F
L B U B2 L2 D' F
L B U B2 L2 D2 F
L B U B2 L2 F D
L B U B2 L2 F D'
L B U B2 L2 F D2
L B U B2 F L2 F
L B U B2 F' L2 F
L B U B2 F2 L2 F
L B U' B U2 L2 B
L B U' B U2 B L2
L B F U B2 L2 F
D' B' L R2 B2 U L2
L B F' U B2 L2 F
D' B' L B2 R2 U L2
D' B' L' D' R2 F2 B2
D' B' L' D' R2 B2 F2
D' B' L' D' F2 R2 B2
D' B' L' D' F2 B2 R2
D' B' L' D' B2 R2 F2
D' B' L' D' B2 F2 R2
L B F2 U B2 L2 F
L B' L D' L R2 F
L B' L D' L F R2
L B' L D' R2 L F
L B' L2 R D' R2 F
L B' L2 R D' F R2
L B' L2 R F D' R2
L B' L2 R' D' R2 F
L B' L2 R' D' F R2
L B' L2 R' F D' R2
L B' L2 R2 D' R2 F
L B' L2 R2 D' F R2
L B' L2 R2 F D' R2
L B' L2 U' B2 U F
L B' L2 D F D2 R2
L B' L2 D' R' F R'
L B' L2 D' R2 D F
L B' L2 D' R2 D' F
L B' L2 D' R2 D2 F
L B' L2 D' R2 F D
L B' L2 D' R2 F D'
L B' L2 D' R2 F D2
L B' L2 D' F R2 D
L B' L2 D' F R2 D'
L B' L2 D' F R2 D2
L B' L2 D' F' R2 F2
L B' L2 F R D' R2
L B' L2 F R' D' R2
L B' L2 F R2 D' R2
L B' L2 F U' B2 U
L B' L2 F D' R2 D
L B' L2 F D' R2 D'
L B' L2 F D' R2 D2
L B' L2 F2 D' F' R2
D' B' R2 L B2 U L2
L B' R L2 D' R2 F
L B' R L2 D' F R2
L B' R L2 F D' R2
L B' R' L2 D' R2 F
L B' R' L2 D' F R2
L B' R' L2 F D' R2
L B' R2 L2 D' R2 F
L B' R2 L2 D' F R2
L B' R2 L2 F D' R2
L B' D' R2 D L2 F
L B' F L2 D' R2 F
L B' F L2 D' F R2
L B' F L2 F D' R2
L B' F' L2 D' R2 F
L B' F' L2 D' F R2
L B' F' L2 F D' R2
L B' F2 L2 D' R2 F
L B' F2 L2 D' F R2
L B' F2 L2 F D' R2
L B2 U B' U L2 B2
L B2 U B' U B2 L2
L B2 U2 B L2 D' R2
