B2 L U2 F' B' U'
B2 L U2 B' F' U'
L U2 F' R' B' U'
U2 D2 F' R' B U'
D2 U2 F' R' B U'
L' F U2 R' F2 U'
L' F U2 F2 R' U'
L' F D2 B2 L U
U2 F' D2 R' B U'
F' L R' B' U2 R U
F L R' F2 B' L' U'
F L R' B' F2 L' U'
U L U F' R' B' U'
U' L U' F' R' B' U'
F L U2 R' F2 B' U'
B2 L U2 D F' B' U'
F L U2 R' B' F2 U'
B2 L U2 D B' F' U'
B2 L U2 D' F' B' U'
B2 L U2 D' B' F' U'
B2 L U2 D2 F' B' U'
B2 L U2 D2 B' F' U'
D2 L U2 F' R' B U'
B2 L U2 F' D B' U'
B2 L U2 F' D' B' U'
B2 L U2 F' D2 B' U'
B2 L U2 F' B' U' D
B2 L U2 F' B' U' D'
B2 L U2 F' B' U' D2
B2 L U2 F' B' D U'
B2 L U2 F' B' D' U'
B2 L U2 F' B' D2 U'
F L U2 F2 R' B' U'
B2 L U2 B' D F' U'
B2 L U2 B' D' F' U'
B2 L U2 B' D2 F' U'
B2 L U2 B' F' U' D
B2 L U2 B' F' U' D'
B2 L U2 B' F' U' D2
B2 L U2 B' F' D U'
B2 L U2 B' F' D' U'
B2 L U2 B' F' D2 U'
B2 L D U2 F' B' U'
B2 L D U2 B' F' U'
B2 L D' U2 F' B' U'
B2 L D' U2 B' F' U'
B2 L D2 U2 F' B' U'
B2 L D2 U2 B' F' U'
B2 L F U2 F2 B' U'
B2 L F U2 B' F2 U'
U L F' R' B' U' F
B2 L F2 U2 F B' U'
B2 L F2 U2 B' F U'
B2 L B U2 F' B2 U'
B2 L B U2 B2 F' U'
B2 L B2 U2 F' B U'
B2 L B2 U2 B F' U'
F' L' R' U2 R F U
D2 L' U2 F' R' B U'
F L' D2 F B2 L U
F L' D2 B2 F L U
B2 L' F L2 U D R2
B2 L' F L2 U2 F2 U'
B2 L' F L2 D U R2
B2 L' F L2 D2 B2 U
F' L' F U2 F' R' U'
F2 L' F U2 R' F' U'
F L' F U2 R' F U'
F L' F U2 F R' U'
B2 L' F2 L2 F' B' U
B2 L' F2 L2 B' F' U
F L2 R' F2 L' B' U'
U' L2 U' F' R' U' L'
D2 L2 U2 F' R' B U'
F L2 D2 B2 L F U
F2 L2 B2 L F B U
F2 L2 B2 L B F U
L U F' R' B' U' F
F' R B2 L R2 B' U'
F' R B2 L B' R2 U'
F' R B2 R2 L B' U'
F' R' L B' U2 R U
F' R' L' U2 R F U
F R' L F2 B' L' U'
F R' L B' F2 L' U'
F R' L2 F2 L' B' U'
F' R' U2 D2 R F' U
F' R' D2 U2 R F' U
F R' F2 L B' L2 U'
F R' F2 L' U2 F U
L U2 D F' R' B' U'
L U2 D' F' R' B' U'
L U2 D2 F' R' B' U'
L U2 F R' F2 B' U'
L U2 F R' B' F2 U'
L' U2 F' R' U' D' L2
L' U2 F' R' U2 F2 U
L' U2 F' R' D' U' L2
L' U2 F' R' D2 B2 U'
L2 U2 F' R B R2 U'
L2 U2 F' R' U2 F' U
L' U2 F' D' R' U' L2
L' U2 F' D2 R' B2 U'
L U2 F' R B' R2 U'
L U2 F' R' D B' U'
L U2 F' R' D' B' U'
L U2 F' R' D2 B' U'
L U2 F' R' B' U' D
L U2 F' R' B' U' D'
L U2 F' R' B' U' D2
L U2 F' R' B' D U'
L U2 F' R' B' D' U'
L U2 F' R' B' D2 U'
L U2 F' R2 B' R U'
L U2 F' D R' B' U'
L U2 F' D' R' B' U'
L U2 F' D2 R' B' U'
L U2 F2 R' F B' U'
L U2 F2 R' B' F U'
L U2 B' D2 F' R U'
L' D F U2 R' F2 U'
L' D F U2 F2 R' U'
L' D F D2 B2 L U
L D U2 F' R' B' U'
D2 U F' R' B U' F
U2 D F' R' U R2 U2
U2 D F' R' U' D2 L2
U2 D F' R' D B2 U'
U2 D F' R' D2 U' L2
L' D' F U2 R' F2 U'
L' D' F U2 F2 R' U'
L' D' F D2 B2 L U
L D' U2 F' R' B' U'
U2 D' F' R' B' U' L
U2 D' F' D' R' B U'
D2 U2 R' D B U' R'
U2 D2 R' D B U' R'
D2 U2 F R' F2 B U'
D2 U2 F R' B F2 U'
L' D2 F U2 R' F2 U'
L' D2 F U2 F2 R' U'
U2 D2 F R' F2 B U'
L' D2 F D2 B2 L U
U2 D2 F R' B F2 U'
D' U2 F' R' B' U' L
D2 U2 F' R' D B U'
D2 U2 F' R' D' B U'
D2 U2 F' R' D2 B U'
D2 U2 F' R' B U' D
D2 U2 F' R' B U' D'
D2 U2 F' R' B U' D2
D2 U2 F' R' B D U'
D2 U2 F' R' B D' U'
D2 U2 F' R' B D2 U'
L D2 U2 F' R' B' U'
D' U2 F' D' R' B U'
U2 D2 F' R' D B U'
U2 D2 F' R' D' B U'
U2 D2 F' R' D2 B U'
U2 D2 F' R' B U' D
U2 D2 F' R' B U' D'
U2 D2 F' R' B U' D2
U2 D2 F' R' B D U'
U2 D2 F' R' B D' U'
U2 D2 F' R' B D2 U'
D2 U2 F2 R' F B U'
D2 U2 F2 R' B F U'
D U2 F' R' U R2 U2
D U2 F' R' U' D2 L2
D U2 F' R' D B2 U'
D U2 F' R' D2 U' L2
U D2 F' R' B U' F
U2 D2 F2 R' F B U'
U2 D2 F2 R' B F U'
F2 U2 R' D F U' L'
F2 U2 D R' F U' L'
F2 U2 D F R' U' L'
L' F L U2 R' F2 U'
L' F L U2 F2 R' U'
L' F L D2 B2 L U
F2 U2 D2 R' F B U'
L' F L' U2 R' F2 U'
F2 U2 D2 R' B F U'
L' F L' U2 F2 R' U'
F2 U2 D2 F R' B U'
L' F L' D2 B2 L U
L' F L2 U2 R' F2 U'
L' F L2 U2 F2 R' U'
L' F L2 D2 B2 L U
F2 U2 F D2 R' B U'
B U2 F' U2 L' F U
D2 F R' F2 L' B U'
D2 F R' F2 B L' U'
D2 F R' B F2 L' U'
L2 F R' F2 L' B' U'
F U2 F2 D2 R' B U'
L' F U R D R2 B2
L' F U R D B2 R2
L F R' F2 B' L' U'
L F R' B' F2 L' U'
D2 F U2 R' F2 B U'
D2 F U2 R' B F2 U'
L' F U2 R F2 R2 U'
L' F U2 R' U' D R2
L' F U2 R' D U' R2
L' F U2 R' F2 U' D
L' F U2 R' F2 U' D'
L' F U2 R' F2 U' D2
L' F U2 R' F2 D U'
L' F U2 R' F2 D' U'
L' F U2 R' F2 D2 U'
L' F U2 D R' U' R'
D2 F U2 F2 R' B U'
L' F U2 F R' F U'
L' F U2 F2 R' U' D
L' F U2 F2 R' U' D'
L' F U2 F2 R' U' D2
L' F U2 F2 R' D U'
L' F U2 F2 R' D' U'
L' F U2 F2 R' D2 U'
L' F U2 F2 D R' U'
L' F U2 F2 D' R' U'
L' F U2 F2 D2 R' U'
L' F D U2 R' U' R'
L' F D B2 L U R2
L F U2 R' F2 B' U'
L F U2 R' B' F2 U'
L F U2 F2 R' B' U'
L' F D2 L B2 L U
L' F D2 L' B2 L U
L' F D2 L2 B2 L U
L' F D2 B2 L U D
L' F D2 B2 L U D'
L' F D2 B2 L U D2
L' F D2 B2 L D U
L' F D2 B2 L D' U
L' F D2 B2 L D2 U
L' F D2 B2 D L U
L' F D2 B2 D' L U
L' F D2 B2 D2 L U
L2 F D2 B2 L F U
D F D2 B2 L U L2
L' F B2 L U D R2
L' F B2 L U2 F2 U'
L' F B2 L D U R2
L' F B2 L D2 B2 U
L' F B2 D L U R2
L' F B2 D2 L B2 U
U2 F' L R' B' L' U'
F2 D U2 R' F U' L'
F2 D U2 F R' U' L'
L' F' R' U2 R F2 U
U2 F' R' L B' L' U'
D2 F' R' B U2 R U
U2 F' R' D' B' U' L
U F' R' U' D F L'
U F' R' D U' F L'
L F' R' B' U2 R U
U2 F' D' R' B' U' L
U F' D R' U' F L'
U2 F' D2 R' D B U'
U2 F' D2 R' D' B U'
U2 F' D2 R' D2 B U'
U2 F' D2 R' B U' D
U2 F' D2 R' B U' D'
U2 F' D2 R' B U' D2
U2 F' D2 R' B D U'
U2 F' D2 R' B D' U'
U2 F' D2 R' B D2 U'
U F' D2 R' B U' F
R2 F2 L' F B R2 U
R2 F2 L' B R2 F U
R2 F2 L' B F R2 U
U2 F2 R' D F U' L'
D2 F2 U2 R' F B U'
D2 F2 U2 R' B F U'
D2 F2 U2 F R' B U'
