B' L D' F B2 U
B' L D' B2 F U
B' L D2 F U R2
B' L F U D2 R2
B' L F U' L2 U2
B' L F D' B2 U
B' L F D2 U R2
U' D L' F R U2
D U' L' F R U2
L D2 F L' U R2
B' F L F U R
F B' L F U R
B2 F2 U R B L
F2 B2 U R B L
B' L U' L2 U' B' U'
B' L D F U2 F U'
D' L D' F L' B2 U
D' L D' F B2 L' U
B' L D' F U D' R2
B' L D' F D' U R2
B' L D' F B2 U D
B' L D' F B2 U D'
B' L D' F B2 U D2
B' L D' F B2 D U
B' L D' F B2 D' U
B' L D' F B2 D2 U
D L D' F B2 U B
B L D' F B2 L U
D' L D' B2 F L' U
B' L D' B2 D F U
B' L D' B2 D' F U
B' L D' B2 D2 F U
B' L D' B2 F U D
B' L D' B2 F U D'
B' L D' B2 F U D2
B' L D' B2 F D U
B' L D' B2 F D' U
B' L D' B2 F D2 U
D L D' B2 F U B
B L D' B2 F L U
B' L D2 F U R2 D
B' L D2 F U R2 D'
B' L D2 F U R2 D2
B' L D2 F D B2 U
B' L D2 F B U R2
B' L D2 F B' U R2
B' L D2 F B2 U R2
D L D2 F U R2 B'
D L D2 F U B' R2
F L D2 F L' U R
B' L D2 B F U R2
B' L D2 B' F U R2
B' L D2 B2 F U R2
D2 L F L' U' L' U2
B' L F U R D2 R2
B' L F U R' D2 R2
B' L F U R2 D2 R2
B' L F U D2 R2 D
B' L F U D2 R2 D'
B' L F U D2 R2 D2
D L F U D2 R2 B'
D L F U D2 B' R2
B' L F U' L2 U2 D
B' L F U' L2 U2 D'
B' L F U' L2 U2 D2
B' L F U' L2 D U2
B' L F U' L2 D' U2
B' L F U' L2 D2 U2
D L F U B' D2 R2
D L F U' L2 F U2
B' L F U2 D F2 U'
D2 L F D' L' B2 U
D2 L F D' B2 L' U
B' L F D U2 F2 U'
D2 L F D2 L' U R2
B' L F D' B2 U D
B' L F D' B2 U D'
B' L F D' B2 U D2
B' L F D' B2 D U
B' L F D' B2 D' U
B' L F D' B2 D2 U
D L F D' B2 U B
B' L F D2 U R2 D
B' L F D2 U R2 D'
B' L F D2 U R2 D2
D L F D2 U R2 B'
D L F D2 U B' R2
B' L F D2 B U R2
B' L F D2 B' U R2
B' L F D2 B2 U R2
B' L F B U D2 R2
B' L F B U' L2 U2
B' L F B D' B2 U
B' L F B D2 U R2
B' L F B' U D2 R2
B L F D' B2 L U
B' L F B' U' L2 U2
B' L F B' D' B2 U
B' L F B' D2 U R2
B' L F B2 U D2 R2
B' L F B2 U' L2 U2
B' L F B2 D' B2 U
B' L F B2 D2 U R2
F L F B' L U R
F L F B2 U R B
B' L F' D' B2 U L2
B' L F2 D' F' B2 U
B' L F2 D' B2 F' U
B' L F2 D2 F' U R2
B' L B D' F B2 U
B' L B D' B2 F U
B' L B D2 F U R2
B' L B F U D2 R2
B' L B F U' L2 U2
B' L B F D' B2 U
B' L B F D2 U R2
B' L B' D' F B2 U
B' L B' D' B2 F U
B' L B' D2 F U R2
B' L B' F U D2 R2
B' L B' F U' L2 U2
B' L B' F D' B2 U
B' L B' F D2 U R2
F L B' F L U R
B' L B2 D' F B2 U
B' L B2 D' B2 F U
B' L B2 D2 F U R2
B' L B2 F U D2 R2
