B D L2 R2 F' U'
B D L2 R2 F' U'
B D R2 L2 F' U'
B D R2 F' L2 U'
B L D L2 R2 F' U'
B L D R2 L2 F' U'
B L D R2 F' L2 U'
B L' D L2 R2 F' U'
B L' D R2 L2 F' U'
B L' D R2 F' L2 U'
L2 R2 F D' L2 R2 B'
L2 R2 F D' L2 B' R2
L2 R2 F D' R2 L2 B'
R2 L2 F D' L2 R2 B'
R2 L2 F D' L2 B' R2
R2 L2 F D' R2 L2 B'
D' L2 U R2 F D' L2
D L2 U' B R2 U' F
D' L2 U2 B U' R2 F
D' L2 U2 B U' F R2
B L2 D L2 R2 F' U'
B L2 D R2 L2 F' U'
B L2 D R2 F' L2 U'
B2 L2 F U' F B U2
B2 L2 F U' B F U2
B' L2 F2 U' F' B2 U'
B' L2 F2 U' B2 F' U'
D2 L2 F2 B U' F' B
D2 L2 F2 B U' B F'
D' L2 B U' F R2 B
D2 L2 B F2 U' F' B
D2 L2 B F2 U' B F'
F2 R D B' L2 U2 L'
D' R2 U' L2 F' U F2
D' R2 U' F' L2 U F
B R2 D L2 F' R2 U'
B R2 D F' L2 R2 U'
B R2 D F' R2 L2 U'
B2 R2 D' L2 F U F2
B R2 D2 F' U' F' B2
B R2 D2 F' U' B2 F'
D' R2 F D' L2 F B2
D' R2 F D' L2 B2 F
B R2 F' U F' B2 U2
B R2 F' U B2 F' U2
F2 R2 B' U F' B' U
F2 R2 B' U B' F' U
B' U D2 F2 B' U B'
B' U D2 B' F2 U B'
R2 D' L2 F' U R2 F2
R2 D' L2 F' U F2 R2
R D' L2 U R2 F L'
R D' L2 U F L' R2
R D' L2 U F R2 L'
B U F2 B2 U B' U
B' U B' D' L2 F U
L2 D' R2 F D' L2 B2
L2 D' R2 F D' B2 L2
B U B2 F2 U B' U
R2 D' F' L2 U R2 F
R2 D' F' L2 U F R2
B2 U' F2 B U' B2 U'
B2 U' F2 B U2 D L2
B2 U' F2 B D U2 L2
B2 U' F2 B D' R2 U2
B2 U' B F2 U' B2 U'
B2 U' B F2 U2 D L2
B2 U' B F2 D U2 L2
B2 U' B F2 D' R2 U2
B' U' B2 D R2 F' U'
L2 D2 F2 B U' F' B
L2 D2 F2 B U' B F'
L2 D2 B F2 U' F' B
L2 D2 B F2 U' B F'
B2 U2 D R2 B' U' F'
B U2 D' L2 B R2 U
B U2 D' B L2 R2 U
B U2 D' B R2 L2 U
B U2 D2 B U F2 B
B U2 D2 B U B F2
B U2 B U' F2 B U2
B2 U2 B' U F2 B2 U2
B U2 B U' B F2 U2
B2 U2 B' U B2 F2 U2
B2 U2 B' U' D2 F2 B2
B2 U2 B' U' D2 B2 F2
B2 U2 B' D L2 R2 U'
B2 U2 B' D R2 L2 U'
B2 U2 B' D2 U' F2 B2
B2 U2 B' D2 U' B2 F2
B D L R2 F' L U'
F2 D L2 U' B U' F
B D L2 R2 D F' U'
B D L2 R2 D' F' U'
B D L2 R2 D2 F' U'
B D L2 R2 F' U' D
B D L2 R2 F' U' D'
B D L2 R2 F' U' D2
B D L2 R2 F' D U'
B D L2 R2 F' D' U'
B D L2 R2 F' D2 U'
R2 F D' L2 R2 F B'
R2 F D' L2 R2 B' F
R2 F D' L2 F R2 B'
R2 F D' L2 F B' R2
R2 F D' L2 B' R2 F
R2 F D' L2 B' F R2
B D L2 F R2 F' U'
R2 F D' R2 L2 F B'
R2 F D' R2 L2 B' F
B D L2 F' R2 F' U'
B D L2 F2 R2 F' U'
B D R2 L F' L U'
B D R2 L2 D F' U'
B D R2 L2 D' F' U'
B D R2 L2 D2 F' U'
B D R2 L2 F' U' D
B D R2 L2 F' U' D'
B D R2 L2 F' U' D2
B D R2 L2 F' D U'
B D R2 L2 F' D' U'
B D R2 L2 F' D2 U'
B D R2 D F' U' F'
B D R2 F L2 F2 U'
B D R2 F' L2 U' D
B D R2 F' L2 U' D'
B D R2 F' L2 U' D2
B D R2 F' L2 D U'
