D' U B' L R' F
D' U B' L F R'
D' U B' R' L F
U D' B' L R' F
U D' B' L F R'
U D' B' R' L F
F2 L F B' L' U' B'
F2 L B' F L' U' B'
B' L' F R B' U B
B L' F R B' U B'
B2 L' F B' R U B2
B L' F B' R U B'
D' L' B' U L F B'
D' L' B' U L B' F
B2 L' B' F R U B2
B L' B' F R U B'
R' U D' B' L R' F
R' U D' B' L F R'
R' U D' B' R' L F
R2 U D' B' L R' F
R2 U D' B' L F R'
R2 U D' B' R' L F
R U D' B' L R' F
R U D' B' L F R'
R U D' B' R' L F
D' R U B' L R' F
D' R U B' L F R'
D' R U B' R' L F
F R U D' B' L R'
F R U D' B' R' L
F R D' U B' L R'
F R D' U B' R' L
U R D' B' L R' F
U R D' B' L F R'
U R D' B' R' L F
D' R' U B' L R' F
D' R' U B' L F R'
D' R' U B' R' L F
U R' D' B' L R' F
U R' D' B' L F R'
U R' D' B' R' L F
D' R2 U B' L R' F
D' R2 U B' L F R'
D' R2 U B' R' L F
U R2 D' B' L R' F
U R2 D' B' L F R'
U R2 D' B' R' L F
B' U L B' U' R' F
B' U L B' U' F R'
L' D F R B' L' U
D U L F L' B' R'
U D L F L' B' R'
L' D F B' L' R U
L' D F B' R L' U
D' U R B' L R' F
D' U R B' L F R'
D' U R B' R' L F
D' U R' B' L R' F
D' U R' B' L F R'
D' U R' B' R' L F
D' U R2 B' L R' F
D' U R2 B' L F R'
D' U R2 B' R' L F
L' D B' F L' R U
L' D B' F R L' U
D' U F B' L R' F
D' U F B' L F R'
D' U F B' R' L F
D' U F' B' L R' F
D' U F' B' L F R'
D' U F' B' R' L F
D' U F2 B' L R' F
D' U F2 B' L F R'
D' U F2 B' R' L F
D' U B' L R F R2
D' U B' L R' D F
D' U B' L R' D' F
D' U B' L R' D2 F
D' U B' L R' F D
D' U B' L R' F D'
D' U B' L R' F D2
D' U B' L D R' F
D' U B' L D F R'
D' U B' L D' R' F
D' U B' L D' F R'
D' U B' L D2 R' F
D' U B' L D2 F R'
D' U B' L F R' D
D' U B' L F R' D'
D' U B' L F R' D2
D' U B' L F D R'
D' U B' L F D' R'
D' U B' L F D2 R'
D' U B' L F' R' F2
D' U B' R L F R2
D' U B' R' L D F
D' U B' R' L D' F
D' U B' R' L D2 F
D' U B' R' L F D
D' U B' R' L F D'
D' U B' R' L F D2
D' U B' R' D L F
D' U B' R' D' L F
D' U B' R' D2 L F
D' U B' R' F L F
D' U B' R' F' L F
D' U B' R' F2 L F
D' U B' D L R' F
D' U B' D L F R'
D' U B' D R' L F
D' U B' D' L R' F
D' U B' D' L F R'
D' U B' D' R' L F
D' U B' D2 L R' F
D' U B' D2 L F R'
D' U B' D2 R' L F
D' U B' F L R' F
D' U B' F L F R'
D' U B' F R' L F
D' U B' F' L R' F
D' U B' F' L F R'
D' U B' F' R' L F
D' U B' F2 L R' F
D' U B' F2 L F R'
D' U B' F2 R' L F
D U B' L R' F L'
D U B' L F L' R'
D U B' L F R' L'
D U B' R' L F L'
U D B' L R' F L'
U D B' L F L' R'
U D B' L F R' L'
U D B' R' L F L'
R' D' U B' L R' F
R' D' U B' L F R'
R' D' U B' R' L F
R2 D' U B' L R' F
R2 D' U B' L F R'
R2 D' U B' R' L F
R D' U B' L R' F
R D' U B' L F R'
R D' U B' R' L F
L' D' F R B' L U
L' D' F B' L R U
L' D' F B' R L U
U D' R B' L R' F
U D' R B' L F R'
U D' R B' R' L F
U D' R' B' L R' F
U D' R' B' L F R'
U D' R' B' R' L F
U D' R2 B' L R' F
U D' R2 B' L F R'
U D' R2 B' R' L F
U D' F B' L R' F
U D' F B' L F R'
U D' F B' R' L F
L' D' B' F L R U
L' D' B' F R L U
U D' F' B' L R' F
U D' F' B' L F R'
U D' F' B' R' L F
U D' F2 B' L R' F
U D' F2 B' L F R'
U D' F2 B' R' L F
U D' B' L R F R2
U D' B' L R' D F
U D' B' L R' D' F
U D' B' L R' D2 F
U D' B' L R' F D
U D' B' L R' F D'
U D' B' L R' F D2
