R D R2 B R' F'
D2 L B R' U L' B2
D2 L B R' U B2 L'
R' U F L' U' B R
R2 U F L' R F2 U'
R2 U F R L' F2 U'
R2 U F' U2 L' R U
R2 U F' U2 R L' U
D R D' F' R' B R2
R D R D2 F' R B
R D R F' R B R'
R D R2 F B R' F'
R D R2 F' B R' F'
R D R2 F2 B R' F'
R D R2 B R' D F'
R D R2 B R' D' F'
R D R2 B R' D2 F'
R D R2 B R' F' D
R D R2 B R' F' D'
R D R2 B R' F' D2
R D R2 B D R' F'
R D R2 B D' R' F'
R D R2 B D2 R' F'
R D R2 B F R' F'
R D R2 B F' R' F'
R D R2 B F2 R' F'
D2 U' L B R' U B2
D2 U' B L R' U B'
D2 U' B R' L U B'
D2 U' B D2 R' U B
U' D2 L B R' U B2
F' U' B R U' F' U2
F2 U' B R' U F' B
F2 U' B R' U B F'
U' D2 B L R' U B'
U' D2 B R' L U B'
U' D2 B D2 R' U B
D' F U' L' B U F
D' F U' B L' U F
D' F B L' U F L
B D' F L' U F L
D2 B L R' U B' L'
D2 B R' L U B' L'
R' B U F L' U' R
R B D R2 B R' F'
D' B F L' U F L
B' F' R' D' F2 B R2
B' F' R' D' B R2 F2
B' F' R' D' B F2 R2
F' B' R' D' F2 B R2
F' B' R' D' B R2 F2
F' B' R' D' B F2 R2
B2 F' R' B D' R2 F2
B2 F' R' B D' F2 R2
R B' D R2 B R' F'
F' B2 R' B D' R2 F2
F' B2 R' B D' F2 R2
R B2 D R2 B R' F'
