D' L' R2 F B' U2
D' L' R2 B' F U2
D' L' F R2 B' U2
D' L' F B' R2 U2
D' L' B' R2 F U2
D' L' B' F R2 U2
D' R2 L' F B' U2
D' R2 L' B' F U2
F L D F L2 R B'
F L D F L2 B' R
F L D F R L2 B'
D' L D2 R2 F B' L2
D' L D2 R2 B' F L2
D L D2 R2 F L B'
D' L D2 F R2 B' L2
D' L D2 F B' L2 R2
D' L D2 F B' R2 L2
D L D2 F L R2 B'
D L D2 F L B' R2
D L D2 F R2 L B'
D' L D2 B' R2 F L2
D' L D2 B' F L2 R2
D' L D2 B' F R2 L2
D L F L B2 R' B
D' L F D2 R2 B' L2
D' L F D2 B' L2 R2
D' L F D2 B' R2 L2
D L F D2 L R2 B'
D L F D2 L B' R2
D L F D2 R2 L B'
D' L F B' D2 L2 R2
D' L F B' D2 R2 L2
D' L B' D2 R2 F L2
D' L B' D2 F L2 R2
D' L B' D2 F R2 L2
D' L B' F D2 L2 R2
D' L B' F D2 R2 L2
F2 L B2 U' R F B
F2 L B2 U' R B F
D' L' R B' R F U2
D' L' R' F R' B' U2
D L' R' B' U2 L' B2
D L' R' B' U2 B2 L'
D' L' R2 D F B' U2
D' L' R2 D B' F U2
D' L' R2 D' F B' U2
D' L' R2 D' B' F U2
D' L' R2 D2 F B' U2
D' L' R2 D2 B' F U2
D' L' R2 F D B' U2
D' L' R2 F D' B' U2
D' L' R2 F D2 B' U2
D' L' R2 F B' U2 D
D' L' R2 F B' U2 D'
D' L' R2 F B' U2 D2
D' L' R2 F B' D U2
D' L' R2 F B' D' U2
D' L' R2 F B' D2 U2
D' L' R2 B' D F U2
D' L' R2 B' D' F U2
D' L' R2 B' D2 F U2
D' L' R2 B' F U2 D
D' L' R2 B' F U2 D'
D' L' R2 B' F U2 D2
D' L' R2 B' F D U2
D' L' R2 B' F D' U2
D' L' R2 B' F D2 U2
D L' R2 B' U2 L' B'
D' L' U2 D2 L2 F B'
D' L' U2 D2 L2 B' F
B' L' D' B' U2 L B'
D' L' D2 U2 L2 F B'
D' L' D2 U2 L2 B' F
D' L' D2 F U2 L2 F
D' L' D2 F B' U2 L2
D' L' D2 B' U2 L2 B'
D' L' D2 B' F U2 L2
D' L' F R B' R U2
D' L' F R2 D B' U2
D' L' F R2 D' B' U2
D' L' F R2 D2 B' U2
D' L' F R2 B' U2 D
D' L' F R2 B' U2 D'
D' L' F R2 B' U2 D2
D' L' F R2 B' D U2
D' L' F R2 B' D' U2
D' L' F R2 B' D2 U2
D' L' F U2 D2 L2 F
D' L' F D2 U2 L2 F
D' L' F D2 B' U2 L2
D' L' F B R2 B2 U2
D' L' F B' R2 U2 D
D' L' F B' R2 U2 D'
D' L' F B' R2 U2 D2
D' L' F B' R2 D U2
D' L' F B' R2 D' U2
D' L' F B' R2 D2 U2
D' L' F B' U2 D2 L2
D' L' F B' D2 U2 L2
D' L' F B2 R2 U2 F'
D' L' F' R2 F2 B' U2
D' L' F' R2 B' F2 U2
D' L' F' B' R2 F2 U2
D' L' F2 R2 B' U2 B2
D L' F2 R F' B' U2
D L' F2 R B' F' U2
D' L' F2 B' R2 U2 B
D L' F2 B' R F' U2
D' L' B R2 F B2 U2
D' L' B R2 B2 F U2
