F' R2 U R U R2
F' R2 U2 R' D' F2
F' U2 R D' F2 L'
F' L R2 U R U R2
F' L R2 U2 R' D' F2
B2 L U F' R2 U2 R'
F' L U2 R D' F2 L'
F' L' R2 U R U R2
F' L' R2 U2 R' D' F2
F L' R2 F2 U' L' U'
F' L' U2 R D' F2 L'
F L' F2 R2 U R U
F' L2 R2 U R U R2
F' L2 R2 U2 R' D' F2
D2 L2 R2 B R' D' F2
F' L2 U2 R D' F2 L'
R' U D2 B2 L B' R'
F' R D R B2 L U2
F' R D B2 R U2 R'
F' R D' R U2 R' F2
F' R D' R U2 F2 R'
F' R D' F2 L' D2 B2
F' R D' F2 D2 L' B2
F' R D' F2 D2 B2 L'
R' U' R F' R2 U2 R'
R' U' R' U2 D2 B R'
R' U' R' D2 U2 B R'
R' U' R' F L' U2 B
R' U' R' F' U2 B R
R' U' F L' R' U2 B
R' U' F R' L' U2 B
R' U' F' R' U2 B R2
D2 R' U L2 R' B R'
D2 R' U L2 B R' B
D2 R' U R' L2 B R'
D2 R' U R' B L2 R'
D2 R' U R' B R' L2
D2 R' U B L2 R' B
D2 R' U B R' L2 B
D2 R' U B R' B L2
F R' U' L' R' F2 U2
F R' U' L' F2 R' U2
F R' U' R' L' F2 U2
F R' U' R' F2 U2 R
F R' U' F2 R' U2 R2
D2 R' B U L2 R' B
D2 R' B U R' L2 B
D2 R' B U R' B L2
F' R2 L U R U R2
F' R2 L U2 R' D' F2
F' R2 L' U R U R2
F' R2 L' U2 R' D' F2
R2 U2 D2 B R' D' F2
F' R2 L2 U R U R2
F' R2 L2 U2 R' D' F2
D2 R2 L2 B R' D' F2
F R2 L' F2 U' L' U'
F' R2 U R U R2 D
F' R2 U R U R2 D'
F' R2 U R U R2 D2
F' R2 U R D B2 U
F' R2 U R B U R2
F' R2 U R B' U R2
F' R2 U R B2 U R2
F' R2 U D R U R2
F' R2 U D' R U R2
F' R2 U D2 R U R2
F' R2 U' F' U' R' F'
F' R2 U' F2 L' U' R'
F' R2 U2 R' U' R2 U
F' R2 U2 R' D' F2 D
F' R2 U2 R' D' F2 D'
F' R2 U2 R' D' F2 D2
F' R2 U2 R' F D' F2
F' R2 U2 R' F' D' F2
F' R2 U2 R' F2 D' F2
F' R2 U2 D R' D' F2
F' R2 U2 D' R' D' F2
F' R2 U2 D2 R' D' F2
F' R2 D U R U R2
F' R2 D U2 R' D' F2
F' R2 D' U R U R2
F' R2 D' U2 R' D' F2
F' R2 D2 U R U R2
F' R2 D2 U2 R' D' F2
F2 R2 F U2 D R F'
F2 R2 F D U2 R F'
D2 R2 B L2 R' D' F2
D2 R2 B R' L2 D' F2
F' R2 B U R B U
F R2 F2 U' L' U' R
F' R2 B2 L U R U
F' U R' U' R' U2 R'
F' U R' D B2 U L
F' U R' B2 U L R2
F' U R' B2 U R2 L
F' U D' R' F2 U R2
F' U D2 R' U L2 R2
F' U D2 R' U R2 L2
F' U' D B2 L U' R
B U' F' R2 U2 R' F'
R' D2 U B2 L B' R'
F' U2 L R D' F2 L'
F' U2 L' R D' F2 L'
R2 D2 U2 B R' D' F2
F' U2 L2 R D' F2 L'
F' U2 R L D' F2 L'
F' U2 R L' D' F2 L'
F' U2 R L2 D' F2 L'
F' U2 R D' L F2 L'
F' U2 R D' L' F2 L'
F' U2 R D' L2 F2 L'
F' U2 R D' F2 L' D
F' U2 R D' F2 L' D'
F' U2 R D' F2 L' D2
F' U2 R D' F2 D L'
F' U2 R D' F2 D' L'
F' U2 R D' F2 D2 L'
F' U2 R F2 L' D' F2
F' U2 R F2 D' L' F2
R2 D2 B R' D' F2 L'
F' U2 D' R D' L2 F2
F' U2 D' R D' F2 L2
F' U2 D2 L2 R D' F2
F' U2 D2 R L2 D' F2
R' F U' L' R' U2 B
R' F U' R' L' U2 B
R2 F D' L' U2 F B
R2 F D' L' U2 B F
F' D U' B2 L U' R
U' F' R2 U R U R2
U' F' R2 U2 R' D' F2
L' F' R2 U R U R2
L' F' R2 U2 R' D' F2
U2 F' R2 U R U R2
L2 F' R2 U R U R2
U2 F' R2 U2 R' D' F2
L2 F' R2 U2 R' D' F2
U F' R2 U R U R2
L F' R2 U R U R2
R' F' U' R' U2 B R2
U F' R2 U2 R' D' F2
L F' R2 U2 R' D' F2
U' F' U2 R D' F2 L'
L' F' U2 R D' F2 L'
U2 F' U2 R D' F2 L'
L2 F' U2 R D' F2 L'
U F' U2 R D' F2 L'
L F' U2 R D' F2 L'
F' D' U R' F2 U R2
F D' R' F2 L2 U R
F' D' U2 R D' L2 F2
F' D' U2 R D' F2 L2
D' F2 L2 R' U B' R'
D' F2 R' L2 U B' R'
F D' F2 L2 R' U R2
F D' F2 R' L2 U R2
F D2 R' U L2 B2 R'
F' D2 U R' U L2 R2
F' D2 U R' U R2 L2
F' D2 U2 L2 R D' F2
F' D2 U2 R L2 D' F2
B2 F' R2 U' L U' R'
F' B2 R2 U' L U' R'
