L' R U R' U F'
L' R U' L U' F
L' R B U' L U'
L' R B' U R' U
R L' U R' U F'
R L' U' L U' F
B' L' R U R2 U
B' L' R U2 D' F2
B' L' R D B2 U2
B' L' R D' U2 F2
B L' R U' L2 U'
B L' R U2 D F2
B L' R D U2 F2
B L' R D' B2 U2
B L' U2 D F2 L'
B L' D R U2 F2
B L' D U2 F2 L'
B2 L' D' R U2 F'
B L' D' R B2 U2
R L' B U' L U'
B L' D' B2 R U2
R L' B' U R' U
B' R L' U R2 U
B' R L' U2 D' F2
B' R L' D B2 U2
B' R L' D' U2 F2
B R L' U' L2 U'
B R L' U2 D F2
B R L' D U2 F2
B R L' D' B2 U2
B' R U2 D' F2 R
B' R D L' B2 U2
B2 R D L' U2 F
B' R D B2 L' U2
B' R D' L' U2 F2
B' R D' U2 F2 R
L' U2 F2 D' L' F
R U2 F2 D R F'
B2 D L' R U2 F
B2 D R L' U2 F
B2 D' L' R U2 F'
B2 D' R L' U2 F'
U2 F2 L' D R F'
U2 F2 R D' L' F
U2 F2 D L' R F'
U2 F2 D R L' F'
U2 F2 D' L' R F
U2 F2 D' R L' F
L' B R U' L U'
R B L' U' L2 U'
R B L' U2 D F2
R B L' D U2 F2
R B L' D' B2 U2
L' B' R U R2 U
L' B' R U2 D' F2
L' B' R D B2 U2
L' B' R D' U2 F2
R B' L' U R' U
L' B2 D' R U2 F'
R B2 D L' U2 F
L' R U R U' B U2
L' R U R' U D F'
L' R U R' U D' F'
L' R U R' U D2 F'
L' R U R' U F' D
L' R U R' U F' D'
L' R U R' U F' D2
L' R U R' D U F'
L' R U R' D' U F'
L' R U R' D2 U F'
L' R U D R' U F'
L' R U D' R' U F'
L' R U D2 R' U F'
L' R U' L U' D F
L' R U' L U' D' F
L' R U' L U' D2 F
L' R U' L U' F D
L' R U' L U' F D'
L' R U' L U' F D2
L' R U' L D U' F
L' R U' L D' U' F
L' R U' L D2 U' F
L' R U' L' U B' U2
L' R U' D L U' F
L' R U' D' L U' F
L' R U' D2 L U' F
L' R U2 F U' R U
L' R U2 F' U L' U'
U' L U L2 R B' U2
U' L U L2 B' R U2
U' L U R L2 B' U2
L' R D U R' U F'
L' R D U' L U' F
L' R D B U' L U'
L' R D B' U R' U
L' R D' U R' U F'
L' R D' U' L U' F
L' R D' B U' L U'
L' R D' B' U R' U
L' R D2 U R' U F'
L' R D2 U' L U' F
L' R D2 B U' L U'
L' R D2 B' U R' U
U' L D F2 U' L' F'
L R B L2 U' L' U'
R L B L2 U' L' U'
L' R B U' L U' D
L' R B U' L U' D'
L' R B U' L U' D2
L' R B U' L D U'
L' R B U' L D' U'
L' R B U' L D2 U'
L' R B U' D L U'
L' R B U' D' L U'
L' R B U' D2 L U'
L' R B D U' L U'
L' R B D' U' L U'
L' R B D2 U' L U'
L R B' L2 U R' U
R L B' L2 U R' U
L' R B' U R' U D
L' R B' U R' U D'
L' R B' U R' U D2
L' R B' U R' D U
L' R B' U R' D' U
L' R B' U R' D2 U
L' R B' U D R' U
L' R B' U D' R' U
L' R B' U D2 R' U
L' R B' D U R' U
L' R B' D' U R' U
L' R B' D2 U R' U
R L' U R U' B U2
R L' U R' U D F'
R L' U R' U D' F'
R L' U R' U D2 F'
R L' U R' U F' D
R L' U R' U F' D'
R L' U R' U F' D2
R L' U R' D U F'
R L' U R' D' U F'
R L' U R' D2 U F'
R L' U D R' U F'
R L' U D' R' U F'
R L' U D2 R' U F'
R L' U' L U' D F
R L' U' L U' D' F
R L' U' L U' D2 F
R L' U' L U' F D
R L' U' L U' F D'
R L' U' L U' F D2
R L' U' L D U' F
R L' U' L D' U' F
R L' U' L D2 U' F
R L' U' L' U B' U2
R L' U' D L U' F
R L' U' D' L U' F
R L' U' D2 L U' F
D2 L' R U R' U F'
D' L' R U R' U F'
D2 L' R U' L U' F
D' L' R U' L U' F
B' L' R U R2 U D
B' L' R U R2 U D'
B' L' R U R2 U D2
B' L' R U R2 D U
B' L' R U R2 D' U
B' L' R U R2 D2 U
D L' R U R' U F'
B' L' R U' D2 L2 U'
D L' R U' L U' F
B' L' R U2 D' F2 D
B' L' R U2 D' F2 D'
B' L' R U2 D' F2 D2
B' L' R U2 F D' F2
B' L' R U2 F' D' F2
B' L' R U2 F2 D' F2
R L' U2 F U' R U
B L' R U D2 R2 U
B L' R U' L2 U' D
B L' R U' L2 U' D'
B L' R U' L2 U' D2
B L' R U' L2 D U'
B L' R U' L2 D' U'
R L' U2 F' U L' U'
B L' R U' L2 D2 U'
B' L' R D B2 U2 D
B' L' R D B2 U2 D'
B' L' R D B2 U2 D2
B' L' R D B2 D U2
B' L' R D B2 D' U2
B' L' R D B2 D2 U2
B' L' R D' U2 F2 D
B' L' R D' U2 F2 D'
B' L' R D' U2 F2 D2
B' L' R D' B U2 F2
B' L' R D' B' U2 F2
B' L' R D' B2 U2 F2
B L' R U2 D F2 D
B L' R U2 D F2 D'
B L' R U2 D F2 D2
B L' R U2 F D F2
B' L' R D2 U' L2 U'
B L' R U2 F' D F2
B L' R U2 F2 D F2
B L' R D U2 F2 D
B L' R D U2 F2 D'
B L' R D U2 F2 D2
B L' R D B U2 F2
B L' R D B' U2 F2
B L' R D B2 U2 F2
D2 L' R B U' L U'
B L' R D' B2 U2 D
B L' R D' B2 U2 D'
B L' R D' B2 U2 D2
B L' R D' B2 D U2
B L' R D' B2 D' U2
B L' R D' B2 D2 U2
D' L' R B U' L U'
B L' R D2 U R2 U
D2 L' R B' U R' U
D' L' R B' U R' U
B' L' R B U R2 U
B' L' R B U2 D' F2
B' L' R B D B2 U2
B' L' R B D' U2 F2
B' L' R B' U R2 U
B' L' R B' U2 D' F2
D L' R B U' L U'
B' L' R B' D B2 U2
B' L' R B' D' U2 F2
B2 L' R B U R' U
B' L' R B2 U R2 U
D L' R B' U R' U
B' L' R B2 U2 D' F2
B' L' R B2 D B2 U2
B' L' R B2 D' U2 F2
B2 L' R B' U' L U'
B L' R B U' L2 U'
B L' R B U2 D F2
B L' R B D U2 F2
B L' R B D' B2 U2
B L' R B' U' L2 U'
B L' R B' U2 D F2
B L' R B' D U2 F2
B L' R B' D' B2 U2
B L' R B2 U' L2 U'
B L' R B2 U2 D F2
B L' R B2 D U2 F2
B L' R B2 D' B2 U2
R L' D U R' U F'
R L' D U' L U' F
R L' D B U' L U'
R L' D B' U R' U
R L' D' U R' U F'
B2 L' R2 D' R' B U2
R L' D' U' L U' F
B L' R2 D R' U2 F2
B L' R2 D' R' B2 U2
B L' R2 D' B2 U2 L
R L' D' B U' L U'
R L' D' B' U R' U
B' L' U R' U D2 L2
B' L' U R' U' R2 U2
B' L' U R' D' F2 U
B' L' U R' D2 U L2
R L' D2 U R' U F'
R L' D2 U' L U' F
B' L' U F2 R' U L'
R L' D2 B U' L U'
R L' D2 B' U R' U
B L' U' L2 U R U2
B2 L' U2 D F2 L' F
D2 L' U2 F2 D' L' F
B L' U2 D L F2 L'
B L' U2 D L' F2 L'
B L' U2 D L2 F2 L'
D' L' U2 F2 D' L' F
B L' U2 D F2 L' D
B L' U2 D F2 L' D'
B L' U2 D F2 L' D2
B L' U2 D F2 D L'
B L' U2 D F2 D' L'
B L' U2 D F2 D2 L'
B2 L' U2 F2 D L' F
D L' U2 F2 D' L' F
B L' U2 F2 D L' F2
B' L' D R U R2 U
B' L' D R U2 D' F2
B' L' D R D B2 U2
B' L' D R D' U2 F2
B L' D R U2 F2 D
B L' D R U2 F2 D'
B L' D R U2 F2 D2
B L' D R D2 B2 U2
B L' D R B U2 F2
B L' D R B' U2 F2
B L' D R B2 U2 F2
B2 L' D U2 F2 L' F
B L' D U2 L F2 L'
B L' D U2 L' F2 L'
B L' D U2 L2 F2 L'
B L' D U2 F2 L' D
B L' D U2 F2 L' D'
B L' D U2 F2 L' D2
B L' D U2 F2 D L'
B L' D U2 F2 D' L'
B L' D U2 F2 D2 L'
B L' D B R U2 F2
B L' D B U2 F2 L'
R' L' B R2 U' L U'
B L' D B' R U2 F2
B L' D B' U2 F2 L'
L' R' B R2 U' L U'
B L' D B2 R U2 F2
B L' D B2 U2 F2 L'
B' L' D' R U R2 U
B' L' D' R U2 D' F2
B' L' D' R D B2 U2
B' L' D' R D' U2 F2
B2 L' D' R U2 D F'
B2 L' D' R U2 D' F'
B2 L' D' R U2 D2 F'
B2 L' D' R U2 F' D
B2 L' D' R U2 F' D'
B2 L' D' R U2 F' D2
B2 L' D' R D U2 F'
B2 L' D' R D' U2 F'
B2 L' D' R D2 U2 F'
B2 L' D' R B U2 F'
B2 L' D' R B' U2 F'
B2 L' D' R B2 U2 F'
B2 L' D' R' B R2 U2
B L' D' R U2 D2 F2
B L' D' R D2 U2 F2
B L' D' R B2 U2 D
B L' D' R B2 U2 D'
B L' D' R B2 U2 D2
B L' D' R B2 D U2
B L' D' R B2 D' U2
B L' D' R B2 D2 U2
B L' D' R' B2 R2 U2
B L' D' R2 B2 U2 L
R L' B U' L U' D
R L' B U' L U' D'
R L' B U' L U' D2
R L' B U' L D U'
R L' B U' L D' U'
R L' B U' L D2 U'
R L' B U' D L U'
R L' B U' D' L U'
R L' B U' D2 L U'
R L' B D U' L U'
B2 L' D' B R U2 F'
R L' B D' U' L U'
B2 L' D' B' R U2 F'
R L' B D2 U' L U'
B2 L' D' B2 R U2 F'
R' L' B' R2 U R U
B L' D' B' R B' U2
L' R' B' R2 U R U
B L' D' B2 R U2 D
B L' D' B2 R U2 D'
B L' D' B2 R U2 D2
B L' D' B2 R D U2
B L' D' B2 R D' U2
B L' D' B2 R D2 U2
B' L' D2 R U R2 U
B L' D' B2 D R U2
B L' D' B2 D' R U2
B' L' D2 R U2 D' F2
B L' D' B2 D2 R U2
B' L' D2 R D B2 U2
B' L' D2 R D' U2 F2
B L' D2 R U R U
R L' B' U R' U D
R L' B' U R' U D'
R L' B' U R' U D2
R L' B' U R' D U
R L' B' U R' D' U
R L' B' U R' D2 U
R L' B' U D R' U
R L' B' U D' R' U
R L' B' U D2 R' U
R L' B' D U R' U
R L' B' D' U R' U
F2 L' D2 B2 D' R F'
R L' B' D2 U R' U
D' L' B R U' L U'
D2 L' B R U' L U'
B2 L' B R U R2 U
B2 L' B R U2 D' F2
B2 L' B R D B2 U2
B2 L' B R D' U2 F2
D L' B R U' L U'
B L' B R U' L2 U'
B L' B R U2 D F2
B L' B R D U2 F2
B L' B R D' B2 U2
B L' B U2 D F2 L'
B L' B D R U2 F2
B L' B D U2 F2 L'
B L' B D' R B2 U2
B L' B D' B2 R U2
D' L' B' R U R2 U
D2 L' B' R U R2 U
D' L' B' R U2 D' F2
D2 L' B' R U2 D' F2
D' L' B' R D B2 U2
D' L' B' R D' U2 F2
D2 L' B' R D B2 U2
D2 L' B' R D' U2 F2
U' L' B' R U' R' U'
B2 L' B' R U' L U'
D L' B' R U R2 U
D L' B' R U2 D' F2
B L' B' R U' L2 U'
D L' B' R D B2 U2
B L' B' R U2 D F2
D L' B' R D' U2 F2
B L' B' R D U2 F2
B L' B' R D' B2 U2
B' L' B' D' R U2 F'
B L' B' U2 D F2 L'
B L' B' D R U2 F2
