F2 L2 F U' B' L'
F' U' L2 F U' L
L2 F U R F2 U2
L2 F U F2 U2 L'
L2 R' F U R F' U2
F2 L2 R F U' B' L'
R' L2 F U R F' U2
F2 L2 R' F U' B' L'
F2 L2 R2 F U' B' L'
B2 L2 R2 F' U' L' B
B2 L2 R2 F' U' B L'
F' L2 U' F U' L F'
F' L2 U' F U' F' L
F2 L2 D2 F U' B' L
F' L2 F R2 U' L B
F2 L2 F R U' B' L'
F' L2 F U F' U2 L
F2 L2 F R' U' B' L'
F2 L2 F R2 U' B' L'
F2 L2 F U' D B' L'
F2 L2 F U' D' B' L'
F2 L2 F U' D2 B' L'
F2 L2 F U' B L' B2
F2 L2 F U' B' L' D
F2 L2 F U' B' L' D'
F2 L2 F U' B' L' D2
F2 L2 F U' B' D L'
F2 L2 F U' B' D' L'
F2 L2 F U' B' D2 L'
F2 L2 F U' B2 L' B
F2 L2 F D U' B' L'
F2 L2 F D' U' B' L'
F L2 F U F U2 L'
F2 L2 F D2 U' B' L'
F2 L2 F B U' L' B2
F2 L2 F B U' B2 L'
F2 L2 F B2 U' L' B
F2 L2 F B2 U' B L'
F2 L2 B F U' L' B2
F2 L2 B F U' B2 L'
F2 L2 B2 F U' L' B
F2 L2 B2 F U' B L'
F2 R L2 F U' B' L'
F' R U' L2 F U' L
R2 U' L2 F U' B L
F R F2 U' L2 F U'
F2 R' L2 F U' B' L'
F' R' U' L2 F U' L
F2 R2 L2 F U' B' L'
B2 R2 L2 F' U' L' B
B2 R2 L2 F' U' B L'
F' R2 U' L2 F U' L
B R2 D' B R2 F' L'
B2 R2 F' L2 U' L B
D2 R2 F' B' U L' B2
D2 R2 F' B' U B2 L'
D' R2 B D' R2 F' L'
D2 R2 B' F' U L' B2
D2 R2 B' F' U B2 L'
L2 D F U R F2 U2
L2 D F U F2 U2 L'
F2 U L2 F U' B' L'
F' U D B' U L' F2
F' U D2 R2 B' U L'
F' U D2 B' R2 U L'
D2 U B' R2 U B L
F' U B' U D L' F2
F' U B' U2 L2 U' L
F' U B' D U L' F2
F' U B' D2 R2 U L'
L2 D' F U R F2 U2
L2 D' F U F2 U2 L'
F' U' L2 D F U' L
F' U' L2 D' F U' L
F' U' L2 D2 F U' L
F' U' L2 F U' L D
F' U' L2 F U' L D'
F' U' L2 F U' L D2
F' U' L2 F U' D L
F' U' L2 F U' D' L
F' U' L2 F U' D2 L
F' U' L2 F D U' L
F' U' L2 F D' U' L
F' U' L2 F D2 U' L
F2 U' L2 F U' B' L'
R2 D' B D' R2 F' L'
F' U' F' L2 F U' L'
D2 U2 R2 B' U B2 L
F' U2 L' U L' F U'
U2 D2 R2 B' U B2 L
L2 D2 F U R F2 U2
L2 D2 F U F2 U2 L'
F2 U2 L2 F U' B' L'
U D2 B' R2 U B L
L2 F R' U R2 F2 U2
L2 F R' U F2 R2 U2
L2 F R' U' D2 L2 B2
L2 F R' U' D2 B2 L2
L2 F R' D R2 B2 U'
L2 F R' D B2 R2 U'
L2 F R' D2 U' L2 B2
L2 F R' D2 U' B2 L2
L2 F R2 U R' F2 U2
L2 F R2 U F2 R' U2
L2 F R2 U' D2 B2 L
L2 F R2 D2 U' B2 L
L2 F U R U2 D2 B2
L2 F U R D2 U2 B2
L2 F U R F2 U2 D
L2 F U R F2 U2 D'
L2 F U R F2 U2 D2
L2 F U R F2 D U2
L2 F U R F2 D' U2
L2 F U R F2 D2 U2
L2 F U R' F2 R2 U2
L2 F U R2 F2 R' U2
L2 F U D2 R U2 B2
L2 F U F2 R U2 L'
L2 F U F2 R' U2 L'
L2 F U F2 R2 U2 L'
L2 F U F2 U2 L' D
L2 F U F2 U2 L' D'
L2 F U F2 U2 L' D2
L2 F U F2 U2 D L'
L2 F U F2 U2 D' L'
L2 F U F2 U2 D2 L'
L2 F U F2 D U2 L'
L2 F U F2 D' U2 L'
L2 F U F2 D2 U2 L'
L2 F D R2 U R' U2
L2 F D R2 B2 U' L
B D L2 F' U2 L' F'
L2 F D2 R2 U' B2 L
L2 F D2 U R U2 B2
L2 F B U R F2 U2
L2 F B U F2 U2 L'
L2 F B' U R F2 U2
L2 F B' U F2 U2 L'
F' D U B' U L' F2
L2 F B2 U R F2 U2
L2 F B2 U F2 U2 L'
R2 F' L2 F U' L B
B D F' L2 U2 L F'
B D F' L2 U2 F' L
D2 F' U R2 B' U L'
D2 F' U B' R2 U L'
D F' U B' U L' F'
L2 F' U' F2 U' F2 L'
D F' U2 L' D F' R
R2 F' B D L' F2 R
D' F' B2 U B U L'
R2 F2 L2 F U' L' B
