U B' U F' R' B
D2 L U' F U' F2 B'
D2 L U' F U' B' F2
D2 L U2 F' D R2 B'
D2 L U2 F' D B' R2
D2 L U2 F' B' D R2
D2 L U2 B' F' D R2
U L B' U F' R' B
F2 L' U B' R' U B
D L' U B' L U F'
D2 L' F U B' U F2
U L' B' U F' R' B
D2 L2 U2 D F' R B
D2 L2 D U2 F' R B
L' U D B' L U F'
U L2 B' U F' R' B
L U' F R' U' F2 B
L U' F R' U' B F2
U' R' F U' B R F'
F R' F2 L' B D' R2
L' U2 F' R' B D' R2
L2 U2 F' R' D' B R'
L U2 F' R D R2 B
L U2 F' R' D B R2
L U2 F' R' B D R2
L' D U B' L U F'
D U B' L U F' R'
U D B' L U F' R'
B' U B' U F' R' B
B2 U B' U F' R' B
F2 U B' U R' F B
F2 U B' U R' B F
F2 U B' U F R' B
B U B' U F' R' B
F U B' U R' F2 B
F U B' U R' B F2
F U B' U F2 R' B
F2 U2 R' F D B R2
F2 U2 R' F B D R2
F2 U2 R' B F D R2
U' F R' U' F2 B R2
U' F R' U' B R2 F2
U' F R' U' B F2 R2
L F R' U' F2 L' B
L F R' U' F2 B L'
L F R' U' B F2 L'
U' F U' R' F2 B R2
U' F U' R' B R2 F2
U' F U' R' B F2 R2
U2 F' R B' D' R2 B
U2 F' R' U F' U' B
U2 F' R' B U F' U'
U2 F' R2 D R B R'
U2 F' U' B' U R' B
U2 F2 R' F D B R2
U2 F2 R' F B D R2
U2 F2 R' B F D R2
U B U F' B2 R' B
U B U B2 F' R' B
U B' L U F' R' B
U B' L' U F' R' B
U B' L2 U F' R' B
U B' U F R' F2 B
U B' U F R' B F2
U B' U F' R' D B
U B' U F' R' D' B
U B' U F' R' D2 B
U B' U F' R' B D
U B' U F' R' B D'
U B' U F' R' B D2
U B' U F2 R' F B
U B' U F2 R' B F
U B2 U F' R' B R'
U B2 U F' B R' B
U B2 U B F' R' B
