D2 L2 B' U' B'
D2 L2 R B' U' B'
D2 L2 R' B' U' B'
D2 L2 R2 B' U' B'
F L2 R2 B U B2
D2 L2 D' R2 B' U'
D2 L2 D' B' R2 U'
D2 L2 B' R U' B'
D2 L2 B' R' U' B'
D2 L2 B' R2 U' B'
D2 L2 B' U' D B'
D2 L2 B' U' D' B'
D2 L2 B' U' D2 B'
D2 L2 B' U' B' D
D2 L2 B' U' B' D'
D2 L2 B' U' B' D2
D2 L2 B' D U' B'
D2 L2 B' D' U' B'
D2 L2 B' D2 U' B'
D2 R L2 B' U' B'
D2 R' L2 B' U' B'
D2 R2 L2 B' U' B'
F R2 L2 B U B2
D R2 D L2 B' U'
U2 R2 D' F L2 U
U2 R2 D2 F U B2
U2 R2 D2 F U B2
U2 R2 F L2 U B'
U2 R2 F U' F U2
F R2 B L2 U B'
F R2 B U' F U2
F2 U F' R2 B U
U2 F L2 R2 U B'
U2 F R2 L2 U B'
U2 F R2 U' F U2
U2 F' R2 F2 U B
U' F' D' F2 L2 B'
U F2 U F' R2 U
B' D2 L2 B' U' B'
B2 D2 L2 B' U' B'
B D2 L2 B' U' B'
D2 B L2 B' U' B2
L2 B' D2 L2 U' B2
D2 B2 L2 B' U' B
F L R2 B L U B'
F2 L U F' R2 B U
F L' R2 B L' U B'
F2 L' U F' R2 B U
D2 L' D' L' R2 B' U'
D2 L' D' L' B' R2 U'
D2 L' D' R2 L' B' U'
U2 L' F' R2 U B L
D2 L' B L' B' U' B2
D L' B R2 U' F' L'
D2 L' B2 L' B' U' B
D2 L2 R D' R2 B' U'
D2 L2 R D' B' R2 U'
D2 L2 R B' R U' B'
D2 L2 R B' R' U' B'
D2 L2 R B' R2 U' B'
D2 L2 R B' U' D B'
D2 L2 R B' U' D' B'
D2 L2 R B' U' D2 B'
D2 L2 R B' U' B' D
D2 L2 R B' U' B' D'
D2 L2 R B' U' B' D2
D2 L2 R B' D U' B'
D2 L2 R B' D' U' B'
D2 L2 R B' D2 U' B'
D2 L2 R' D' R2 B' U'
D2 L2 R' D' B' R2 U'
D2 L2 R' B' R U' B'
D2 L2 R' B' R' U' B'
D2 L2 R' B' R2 U' B'
D2 L2 R' B' U' D B'
D2 L2 R' B' U' D' B'
D2 L2 R' B' U' D2 B'
D2 L2 R' B' U' B' D
D2 L2 R' B' U' B' D'
D2 L2 R' B' U' B' D2
D2 L2 R' B' D U' B'
D2 L2 R' B' D' U' B'
D2 L2 R' B' D2 U' B'
D2 L2 R2 D' R2 B' U'
D2 L2 R2 D' B' R2 U'
F L2 R2 U B' D' R2
U2 L2 R2 D' L2 F U
D L2 R2 D B' L2 U'
F' L2 R2 F2 B' U B2
D2 L2 R2 B' R U' B'
D2 L2 R2 B' R' U' B'
D2 L2 R2 B' R2 U' B'
D2 L2 R2 B' U' D B'
D2 L2 R2 B' U' D' B'
D2 L2 R2 B' U' D2 B'
D2 L2 R2 B' U' B' D
D2 L2 R2 B' U' B' D'
D2 L2 R2 B' U' B' D2
D2 L2 R2 B' D U' B'
D2 L2 R2 B' D' U' B'
D2 L2 R2 B' D2 U' B'
F L2 R2 D B U B2
D L2 R2 D2 B' U' F2
F' L2 R2 B' F2 U B2
F L2 R2 D' B U B2
F L2 R2 D2 B U B2
D L2 R2 B' L2 U' F
D L2 R2 B' U B' U2
F L2 R2 B L U B2
F L2 R2 B L' U B2
F L2 R2 B L2 U B2
F L2 R2 B U B2 D
F L2 R2 B U B2 D'
F L2 R2 B U B2 D2
F L2 R2 B D L2 U
F2 L2 U F' R2 B U
D2 L2 U' B D L2 B
D2 L2 U' B D B L2
D2 L2 U' B2 U B U'
D2 L2 U2 L2 F U B2
D2 L2 U2 D L2 F U
L2 R2 B' U F2 U2 F2
R2 L2 B' U F2 U2 F2
D2 L2 D U2 L2 F U
D2 L2 D B' U' D' B2
D2 L2 D B' U2 L2 U
D2 L2 D B' D' U' B2
D2 L2 D B' D2 R2 U'
D2 L2 D' R B' R U'
D2 L2 D' R2 D B' U'
D2 L2 D' R2 D' B' U'
D2 L2 D' R2 D2 B' U'
D2 L2 D' R2 B' U' D
D2 L2 D' R2 B' U' D'
D2 L2 D' R2 B' U' D2
D2 L2 D' R2 B' D U'
D2 L2 D' R2 B' D' U'
D2 L2 D' R2 B' D2 U'
U2 L2 D' L2 F U F
D2 L2 D' B R2 B2 U'
D2 L2 D' B' R2 U' D
D2 L2 D' B' R2 U' D'
D2 L2 D' B' R2 U' D2
D2 L2 D' B' R2 D U'
D2 L2 D' B' R2 D' U'
D2 L2 D' B' R2 D2 U'
D2 L2 D' B' U' D B2
D2 L2 D' B' D U' B2
D2 L2 D2 B' U F2 U2
D2 L2 D2 B' U' D2 B2
D2 L2 D2 B' D R2 U'
D2 L2 D2 B' D2 U' B2
D2 L2 B U' D L2 B
D2 L2 B U' D B L2
D2 L2 B D U' L2 B
D2 L2 B D U' B L2
D L2 B R2 B2 U' F'
F L2 B R2 B U B
D2 L2 B' R U' D B'
D2 L2 B' R U' D' B'
D2 L2 B' R U' D2 B'
D2 L2 B' R U' B' D
D2 L2 B' R U' B' D'
D2 L2 B' R U' B' D2
D2 L2 B' R D U' B'
D2 L2 B' R D' U' B'
D2 L2 B' R D2 U' B'
D2 L2 B' R' U' D B'
D2 L2 B' R' U' D' B'
D2 L2 B' R' U' D2 B'
D2 L2 B' R' U' B' D
D2 L2 B' R' U' B' D'
D2 L2 B' R' U' B' D2
D2 L2 B' R' D U' B'
D2 L2 B' R' D' U' B'
D2 L2 B' R' D2 U' B'
D2 L2 B' R2 U' D B'
D2 L2 B' R2 U' D' B'
D2 L2 B' R2 U' D2 B'
D2 L2 B' R2 U' B' D
D2 L2 B' R2 U' B' D'
D2 L2 B' R2 U' B' D2
D2 L2 B' R2 D U' B'
D2 L2 B' R2 D' U' B'
D2 L2 B' R2 D2 U' B'
D2 L2 B' U F U2 B'
D2 L2 B' U F' U2 B'
D2 L2 B' U F2 U2 B'
F' L2 B' R2 F2 U B
D2 L2 B' U' R' B' R
D2 L2 B' U' R2 B' R2
D2 L2 B' U' D B' D
D2 L2 B' U' D B' D'
D2 L2 B' U' D B' D2
D2 L2 B' U' D' B' D
D2 L2 B' U' D' B' D'
D2 L2 B' U' D' B' D2
D2 L2 B' U' D2 B' D
D2 L2 B' U' D2 B' D'
D2 L2 B' U' D2 B' D2
D2 L2 B' U' B2 D B
D2 L2 B' U' B2 D' B
D2 L2 B' U' B2 D2 B
D' L2 B' U' F2 D2 B2
D L2 B' L2 R2 U' F
D2 L2 B' D R U' B'
D2 L2 B' D R' U' B'
D2 L2 B' D R2 U' B'
D2 L2 B' D U' B' D
D2 L2 B' D U' B' D'
D2 L2 B' D U' B' D2
D2 L2 B' D' R U' B'
D2 L2 B' D' R' U' B'
D2 L2 B' D' R2 U' B'
D2 L2 B' D' U' B' D
D2 L2 B' D' U' B' D'
D2 L2 B' D' U' B' D2
D2 L2 B' D2 R U' B'
D2 L2 B' D2 R' U' B'
D2 L2 B' D2 R2 U' B'
D2 L2 B' D2 U' B' D
D2 L2 B' D2 U' B' D'
D2 L2 B' D2 U' B' D2
D L2 B' R2 L2 U' F
D L2 B' R2 U B' U2
B' L2 B' D2 L2 U' B2
F L2 B' R2 B U B'
B2 L2 B' D2 L2 U' B2
B L2 B' D2 L2 U' B2
D2 L2 B2 D B U' B'
D2 L2 B2 D' B U' B'
D2 L2 B2 D2 B U' B'
D2 R L2 D' R2 B' U'
D2 R L2 D' B' R2 U'
D2 R L2 B' R U' B'
D2 R L2 B' R' U' B'
D2 R L2 B' R2 U' B'
D2 R L2 B' U' D B'
D2 R L2 B' U' D' B'
D2 R L2 B' U' D2 B'
D2 R L2 B' U' B' D
D2 R L2 B' U' B' D'
D2 R L2 B' U' B' D2
D2 R L2 B' D U' B'
D2 R L2 B' D' U' B'
D2 R L2 B' D2 U' B'
R' U F2 U F' R' U
R2 U F2 U F' U F'
D R D L2 R B' U'
D R D L2 B' R U'
D R D R L2 B' U'
D' R D' L2 B' U' B'
U2 R D' R F L2 U
U2 R D2 R F U B2
D2 R B L2 B' U' B2
D2 R B2 L2 B' U' B
D2 R' L2 D' R2 B' U'
D2 R' L2 D' B' R2 U'
D2 R' L2 B' R U' B'
D2 R' L2 B' R' U' B'
